bgg_id,name,comment
10550,Big Boggle,Reimplementation
31479,Ubongo Extreme,Reimplementation
34969,Ubongo: Duel,Reimplementation
46396,Ubongo 3D,Reimplementation
18529,The Penguin Book Of Card Games,Book
2952,Trivial Pursuit: Genus Edition,Reimplementation
12589,Razzia!,Reimplementation
26156,Ausgerechnet Uppsala,Reimplementation
46213,Telestrations,Hardly a game
25213,30 Seconds,Trivia game
32441,Bezzerwizzer,Trivia game
91425,Map It! World Edition,Reimplementation
113997,Tajemnicze Domostwo,No German edition
235113,30 Seconds: Everyday Life,Reimplementation
295949,Adventure Games: The Grand Hotel Abaddon,Series
25821,The Werewolves of Miller's Hollow,Already recommended
34119,Tales of the Arabian Nights,No German edition
18056,Anno Domini: Kunst,Series
55427,Mr. Jack in New York,Reimplementation
299171,The Key: Theft at Cliffrock Villa,Series
2240,Mad Magazine Card Game,Silly
6937,1829 Northern Board,No German edition
28905,Dostihy a sázky,No German edition
18794,SuperGang,No German edition
226518,Exit: The Game – The Sunken Treasure,Series
226522,Exit: The Game – Dead Man on the Orient Express,Series
255675,Exit: The Game – The Catacombs of Horror,Series
283934,Exit: The Game – Theft on the Mississippi,Series
343322,Exit: The Game – Advent Calendar: The Hunt for the Golden Book,Series
341583,Exit: The Game – The Return to the Abandoned Cabin,Series
366318,Exit: The Game – The Disappearance of Sherlock Holmes,Series
34452,Jagd durch Entenhausen,Silly
