rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
48,811,Rummikub,1977,1698,6.472,7.546,1.074,7.319,1650
27,327,Loopin' Louie,1992,1164,6.748,7.931,1.183,7.447,1137
97,17329,Animal Upon Animal,2005,1141,6.789,7.590,0.801,7.136,1044
34,1465,Wizard,1984,844,6.968,7.810,0.842,7.416,810
2,41,Can't Stop,1980,774,6.906,8.172,1.266,7.868,772
81,15512,Incan Gold,2005,852,6.833,7.360,0.527,7.176,771
8,432,Take 5,1994,645,6.963,7.799,0.835,7.627,637
22,699,HeroQuest,1989,656,7.198,7.812,0.614,7.473,634
61,1353,Time's Up!,1999,679,7.284,7.974,0.690,7.271,618
60,5782,Coloretto,2003,655,6.979,7.473,0.494,7.277,595
32,220,High Society,1995,544,7.157,7.757,0.599,7.420,512
31,11,Bohnanza,1997,517,7.049,7.523,0.474,7.424,486
87,133473,Sushi Go!,2013,571,7.008,7.243,0.235,7.160,484
28,12942,No Thanks!,2004,500,7.077,7.608,0.531,7.439,472
35,150,PitchCar,1995,497,7.266,7.815,0.549,7.415,462
93,13,CATAN,1995,540,7.100,7.176,0.076,7.146,447
56,92415,Skull,2011,430,7.194,7.466,0.273,7.285,374
23,39856,Dixit,2008,391,7.198,7.535,0.337,7.466,368
44,372,Schotten Totten,1999,405,7.355,7.715,0.361,7.340,361
72,70323,King of Tokyo,2011,413,7.136,7.267,0.131,7.210,341
3,172,For Sale,1997,329,7.250,7.941,0.690,7.768,326
1,2653,Survive: Escape from Atlantis!,1982,324,7.315,8.230,0.916,8.005,323
78,41114,The Resistance,2009,400,7.212,7.295,0.083,7.200,322
9,50,Lost Cities,1999,325,7.233,7.734,0.501,7.626,316
33,129622,Love Letter,2012,327,7.225,7.483,0.258,7.417,294
62,47,Chinatown,1999,354,7.428,7.633,0.205,7.266,292
18,46213,Telestrations,2009,307,7.385,7.763,0.378,7.503,289
21,760,Battle Line,2000,294,7.414,7.752,0.338,7.489,273
26,92828,Dixit: Odyssey,2011,291,7.403,7.666,0.263,7.450,265
46,204583,Kingdomino,2016,294,7.306,7.412,0.105,7.324,248
50,156546,Monikers,2015,292,7.784,7.971,0.187,7.315,242
68,2655,Hive,2001,299,7.320,7.329,0.009,7.222,231
90,160477,Onitama,2014,309,7.353,7.331,-0.022,7.154,219
19,9209,Ticket to Ride,2004,230,7.394,7.543,0.149,7.491,211
6,215,Tichu,1991,215,7.579,7.977,0.399,7.653,209
43,192291,Sushi Go Party!,2016,250,7.400,7.470,0.069,7.344,207
59,3,Samurai,1998,264,7.465,7.532,0.067,7.278,205
7,118,Modern Art,1992,212,7.496,7.872,0.376,7.645,205
10,822,Carcassonne,2000,214,7.411,7.645,0.235,7.606,204
92,31481,Galaxy Trucker,2007,284,7.342,7.259,-0.083,7.148,192
11,54043,Jaipur,2009,188,7.488,7.693,0.205,7.600,177
71,165722,KLASK,2014,247,7.632,7.613,-0.020,7.211,176
88,198994,Hero Realms,2016,263,7.523,7.376,-0.146,7.159,175
89,194655,Santorini,2016,256,7.369,7.257,-0.113,7.156,167
75,158600,Hanamikoji,2013,239,7.497,7.432,-0.065,7.203,164
77,156129,Deception: Murder in Hong Kong,2014,237,7.459,7.381,-0.077,7.200,160
94,199478,Flamme Rouge,2016,253,7.496,7.361,-0.135,7.145,159
83,188834,Secret Hitler,2016,234,7.512,7.317,-0.195,7.173,151
52,31627,Ticket to Ride: Nordic Countries,2007,201,7.627,7.603,-0.024,7.304,149
64,148228,Splendor,2014,213,7.424,7.296,-0.127,7.245,149
5,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,151,7.640,7.926,0.286,7.686,146
53,128882,The Resistance: Avalon,2012,196,7.519,7.429,-0.091,7.303,143
14,14996,Ticket to Ride: Europe,2005,155,7.529,7.598,0.069,7.535,141
80,182631,Star Realms: Colony Wars,2015,216,7.803,7.665,-0.138,7.181,136
13,12,Ra,1999,138,7.606,7.743,0.137,7.551,125
39,463,Magic: The Gathering,1993,164,7.576,7.490,-0.086,7.380,125
12,178900,Codenames,2015,129,7.547,7.614,0.068,7.561,117
42,147020,Star Realms,2014,158,7.561,7.439,-0.122,7.345,116
41,254640,Just One,2018,142,7.601,7.510,-0.090,7.348,101
85,209418,Dominion (Second Edition),2016,181,7.835,7.535,-0.300,7.166,96
91,294484,Unmatched: Cobble & Fog,2020,186,7.972,7.644,-0.327,7.154,95
38,36218,Dominion,2008,129,7.599,7.434,-0.165,7.386,91
20,291453,SCOUT,2019,105,7.824,7.765,-0.059,7.491,85
74,118048,Targi,2012,152,7.611,7.370,-0.241,7.205,78
49,163412,Patchwork,2014,126,7.594,7.380,-0.214,7.317,77
15,93,El Grande,1995,91,7.756,7.676,-0.081,7.517,76
45,40834,Dominion: Intrigue,2009,112,7.690,7.458,-0.233,7.332,67
96,263918,Cartographers,2019,153,7.597,7.262,-0.335,7.137,57
67,217372,The Quest for El Dorado,2017,123,7.688,7.378,-0.310,7.227,56
40,110327,Lords of Waterdeep,2012,88,7.733,7.427,-0.306,7.351,48
63,225694,Decrypto,2018,100,7.769,7.432,-0.337,7.257,37
47,230802,Azul,2017,79,7.744,7.366,-0.378,7.321,32
36,244521,The Quacks of Quedlinburg,2018,67,7.822,7.500,-0.322,7.413,31
73,68448,7 Wonders,2010,94,7.680,7.246,-0.435,7.208,21
30,3076,Puerto Rico,2002,45,7.914,7.491,-0.423,7.428,15
4,173346,7 Wonders Duel,2015,19,8.095,7.784,-0.310,7.731,15
