rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
1,2653,Survive: Escape from Atlantis!,1982,324,7.315,8.230,0.915,8.005,323
2,41,Can't Stop,1980,774,6.906,8.172,1.267,7.869,772
3,172,For Sale,1997,329,7.250,7.941,0.690,7.768,326
4,173346,7 Wonders Duel,2015,19,8.095,7.784,-0.310,7.731,15
5,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,151,7.640,7.924,0.285,7.685,146
6,215,Tichu,1991,215,7.579,7.979,0.400,7.655,209
7,118,Modern Art,1992,212,7.496,7.873,0.377,7.647,205
8,432,Take 5,1994,645,6.963,7.799,0.836,7.627,637
9,50,Lost Cities,1999,325,7.233,7.733,0.500,7.626,316
10,822,Carcassonne,2000,214,7.411,7.644,0.234,7.605,204
11,54043,Jaipur,2009,187,7.487,7.692,0.205,7.600,176
12,178900,Codenames,2015,129,7.547,7.614,0.068,7.561,117
13,12,Ra,1999,138,7.606,7.744,0.138,7.553,125
14,14996,Ticket to Ride: Europe,2005,155,7.529,7.597,0.068,7.534,141
15,93,El Grande,1995,90,7.756,7.675,-0.080,7.517,75
16,167791,Terraforming Mars,2016,7,8.357,7.552,-0.805,7.506,-9
17,161936,Pandemic Legacy: Season 1,2015,2,8.525,7.590,-0.935,7.505,-15
18,46213,Telestrations,2009,307,7.385,7.763,0.378,7.504,289
19,760,Battle Line,2000,294,7.414,7.753,0.339,7.491,275
20,291453,SCOUT,2019,105,7.823,7.771,-0.052,7.491,85
21,9209,Ticket to Ride,2004,230,7.394,7.542,0.148,7.490,209
22,699,HeroQuest,1989,656,7.198,7.813,0.615,7.476,634
23,39856,Dixit,2008,370,7.204,7.541,0.337,7.470,347
24,84876,The Castles of Burgundy,2011,16,8.141,7.527,-0.615,7.455,-8
25,92828,Dixit: Odyssey,2011,291,7.403,7.666,0.263,7.451,266
26,316554,Dune: Imperium,2020,6,8.434,7.547,-0.888,7.450,-20
27,327,Loopin' Louie,1992,1164,6.748,7.929,1.181,7.447,1137
28,12942,No Thanks!,2004,500,7.077,7.608,0.531,7.439,472
29,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.533,7.898,-0.635,7.433,-7
30,3076,Puerto Rico,2002,44,7.915,7.492,-0.423,7.429,14
31,11,Bohnanza,1997,517,7.049,7.523,0.473,7.424,486
32,220,High Society,1995,544,7.157,7.756,0.599,7.420,512
33,1465,Wizard,1984,844,6.968,7.809,0.841,7.417,811
34,129622,Love Letter,2012,327,7.225,7.483,0.257,7.417,293
35,150,PitchCar,1995,497,7.266,7.814,0.548,7.415,462
36,244521,The Quacks of Quedlinburg,2018,66,7.822,7.500,-0.323,7.412,30
37,124361,Concordia,2013,24,8.093,7.508,-0.585,7.401,-13
38,36218,Dominion,2008,118,7.599,7.434,-0.165,7.386,80
39,463,Magic: The Gathering,1993,164,7.576,7.488,-0.088,7.379,125
40,110327,Lords of Waterdeep,2012,88,7.733,7.428,-0.305,7.352,48
41,254640,Just One,2018,142,7.601,7.509,-0.092,7.347,101
42,147020,Star Realms,2014,148,7.562,7.442,-0.121,7.345,106
43,192291,Sushi Go Party!,2016,250,7.400,7.469,0.069,7.344,207
44,372,Schotten Totten,1999,405,7.355,7.714,0.360,7.340,361
45,40834,Dominion: Intrigue,2009,110,7.690,7.457,-0.233,7.332,65
46,204583,Kingdomino,2016,280,7.313,7.422,0.109,7.331,234
47,230802,Azul,2017,78,7.745,7.367,-0.378,7.321,31
48,811,Rummikub,1977,1698,6.472,7.546,1.074,7.319,1650
49,163412,Patchwork,2014,114,7.600,7.384,-0.216,7.318,65
50,2651,Power Grid,2004,62,7.810,7.376,-0.434,7.313,12
51,156546,Monikers,2015,292,7.786,7.978,0.192,7.309,241
52,31627,Ticket to Ride: Nordic Countries,2007,201,7.627,7.602,-0.025,7.304,149
53,128882,The Resistance: Avalon,2012,196,7.519,7.428,-0.091,7.303,143
54,187645,Star Wars: Rebellion,2016,9,8.418,7.425,-0.994,7.299,-45
55,295947,Cascadia,2021,46,7.946,7.397,-0.549,7.293,-9
56,92415,Skull,2011,430,7.194,7.466,0.273,7.285,374
57,366013,Heat: Pedal to the Metal,2022,40,8.060,7.452,-0.608,7.284,-17
58,164928,Orléans,2014,32,8.060,7.409,-0.651,7.280,-26
59,3,Samurai,1998,264,7.465,7.533,0.068,7.279,205
60,5782,Coloretto,2003,655,6.979,7.473,0.494,7.278,595
61,1353,Time's Up!,1999,679,7.284,7.975,0.691,7.273,618
62,47,Chinatown,1999,354,7.428,7.634,0.207,7.268,292
63,225694,Decrypto,2018,99,7.770,7.432,-0.338,7.257,36
64,148228,Splendor,2014,213,7.424,7.295,-0.128,7.244,149
65,183394,Viticulture Essential Edition,2015,38,7.986,7.320,-0.667,7.238,-27
66,324856,The Crew: Mission Deep Sea,2021,37,8.142,7.445,-0.697,7.227,-29
67,266192,Wingspan,2019,30,8.043,7.264,-0.779,7.222,-37
68,2655,Hive,2001,299,7.320,7.329,0.009,7.222,231
69,224517,Brass: Birmingham,2018,1,8.595,7.297,-1.298,7.213,-68
70,165722,KLASK,2014,247,7.632,7.612,-0.021,7.212,177
