rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
1,174430,Gloomhaven,2017,3,8.584,8.386,-0.199,8.282,2
2,161936,Pandemic Legacy: Season 1,2015,2,8.525,8.381,-0.144,8.261,0
3,12333,Twilight Struggle,2005,13,8.245,8.372,0.127,8.242,10
4,224517,Brass: Birmingham,2018,1,8.595,8.369,-0.226,8.234,-3
5,115746,War of the Ring: Second Edition,2011,8,8.541,8.505,-0.036,8.213,3
6,233078,Twilight Imperium: Fourth Edition,2017,5,8.598,8.400,-0.199,8.145,-1
7,167791,Terraforming Mars,2016,7,8.357,8.185,-0.172,8.124,0
8,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,151,7.640,8.390,0.750,8.102,143
9,342942,Ark Nova,2021,4,8.535,8.228,-0.307,8.093,-5
10,187645,Star Wars: Rebellion,2016,9,8.418,8.247,-0.172,8.065,-1
11,3076,Puerto Rico,2002,44,7.915,8.123,0.208,8.040,33
12,162886,Spirit Island,2017,11,8.344,8.145,-0.199,8.033,-1
13,28720,Brass: Lancashire,2007,20,8.194,8.267,0.073,8.032,7
14,316554,Dune: Imperium,2020,6,8.434,8.154,-0.280,8.028,-8
15,84876,The Castles of Burgundy,2011,16,8.141,8.105,-0.036,8.012,1
16,291457,Gloomhaven: Jaws of the Lion,2020,10,8.431,8.151,-0.280,7.985,-6
17,220308,Gaia Project,2017,12,8.373,8.175,-0.199,7.966,-5
18,182028,Through the Ages: A New Story of Civilization,2015,14,8.285,8.141,-0.144,7.961,-4
19,93,El Grande,1995,90,7.756,8.154,0.398,7.958,71
20,169786,Scythe,2016,17,8.139,7.968,-0.172,7.901,-3
21,173346,7 Wonders Duel,2015,19,8.095,7.950,-0.144,7.892,-2
22,463,Magic: The Gathering,1993,164,7.576,8.028,0.452,7.887,142
23,193738,Great Western Trail,2016,15,8.189,8.018,-0.172,7.883,-8
24,120677,Terra Mystica,2012,29,8.061,7.998,-0.063,7.883,5
25,96848,Mage Knight Board Game,2011,34,8.084,8.048,-0.036,7.882,9
26,2651,Power Grid,2004,62,7.810,7.964,0.154,7.879,36
27,31260,Agricola,2007,53,7.873,7.946,0.073,7.870,26
28,124361,Concordia,2013,24,8.093,8.003,-0.090,7.868,-4
29,167355,Nemesis,2018,21,8.267,8.042,-0.226,7.864,-8
30,42,Tigris & Euphrates,1997,109,7.704,8.047,0.344,7.857,79
31,2653,Survive: Escape from Atlantis!,1982,324,7.315,8.065,0.750,7.852,293
32,205637,Arkham Horror: The Card Game,2016,27,8.130,7.958,-0.172,7.833,-5
33,177736,A Feast for Odin,2016,23,8.172,8.000,-0.172,7.814,-10
34,55690,Kingdom Death: Monster,2015,76,8.494,8.350,-0.144,7.800,42
35,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.455,8.175,-0.280,7.792,-17
36,164928,Orléans,2014,32,8.060,7.942,-0.117,7.775,-4
37,295770,Frosthaven,2022,26,8.831,8.497,-0.334,7.764,-11
38,192135,Too Many Bones,2017,33,8.341,8.142,-0.199,7.758,-5
39,237182,Root,2018,31,8.072,7.846,-0.226,7.746,-8
40,215,Tichu,1991,215,7.579,8.085,0.506,7.745,175
41,118,Modern Art,1992,212,7.496,7.975,0.479,7.737,171
42,183394,Viticulture Essential Edition,2015,38,7.986,7.842,-0.144,7.736,-4
43,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.533,8.280,-0.253,7.736,-21
44,266192,Wingspan,2019,30,8.043,7.790,-0.253,7.735,-14
45,35677,Le Havre,2008,69,7.848,7.894,0.045,7.731,24
46,28143,Race for the Galaxy,2007,79,7.744,7.817,0.073,7.724,33
47,102794,Caverna: The Cave Farmers,2013,48,7.945,7.855,-0.090,7.708,1
48,199792,Everdell,2018,36,8.023,7.798,-0.226,7.705,-12
49,12,Ra,1999,138,7.606,7.896,0.289,7.690,89
50,312484,Lost Ruins of Arnak,2020,28,8.073,7.793,-0.280,7.681,-22
51,25613,Through the Ages: A Story of Civilization,2006,89,7.841,7.941,0.100,7.679,38
52,170216,Blood Rage,2015,50,7.925,7.781,-0.144,7.674,-2
53,18602,Caylus,2005,109,7.716,7.843,0.127,7.670,56
54,175914,Food Chain Magnate,2015,39,8.057,7.913,-0.144,7.668,-15
55,126163,Tzolk'in: The Mayan Calendar,2012,61,7.858,7.795,-0.063,7.668,6
56,12493,Twilight Imperium: Third Edition,2005,113,7.795,7.922,0.127,7.660,57
57,285774,Marvel Champions: The Card Game,2019,41,8.121,7.868,-0.253,7.658,-16
58,124742,Android: Netrunner,2012,73,7.883,7.820,-0.063,7.654,15
59,341169,Great Western Trail: Second Edition,2021,25,8.335,8.028,-0.307,7.646,-34
60,164153,Star Wars: Imperial Assault,2014,72,7.964,7.846,-0.117,7.644,12
61,37111,Battlestar Galactica: The Board Game,2008,101,7.731,7.776,0.045,7.640,40
62,205059,Mansions of Madness: Second Edition,2016,58,7.946,7.774,-0.172,7.638,-4
63,71,Civilization,1980,432,7.496,8.300,0.805,7.635,369
64,251247,Barrage,2019,35,8.162,7.909,-0.253,7.633,-29
65,822,Carcassonne,2000,214,7.411,7.673,0.262,7.633,149
66,251661,Oathsworn: Into the Deepwood,2022,65,8.963,8.629,-0.334,7.625,-1
