rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
90,432,Take 5,1994,645,6.963,7.428,0.465,7.284,555
57,133473,Sushi Go!,2013,571,7.008,7.495,0.487,7.399,514
97,117959,Las Vegas,2012,579,7.160,7.636,0.477,7.267,482
98,147949,One Night Ultimate Werewolf,2014,566,7.068,7.418,0.350,7.266,468
53,12942,No Thanks!,2004,500,7.077,7.580,0.503,7.413,447
66,150,PitchCar,1995,497,7.266,7.774,0.508,7.381,431
51,274960,Point Salad,2019,482,7.161,7.655,0.494,7.417,431
95,193042,Junk Art,2016,515,7.371,7.822,0.451,7.271,420
47,262543,Wavelength,2019,447,7.287,7.798,0.511,7.441,400
33,92415,Skull,2011,430,7.194,7.708,0.515,7.505,397
49,198773,Codenames: Pictures,2016,431,7.195,7.631,0.437,7.431,382
26,39856,Dixit,2008,391,7.198,7.661,0.463,7.587,365
69,70323,King of Tokyo,2011,413,7.136,7.417,0.281,7.355,344
30,277085,Love Letter,2019,369,7.516,8.022,0.505,7.516,339
76,41114,The Resistance,2009,400,7.212,7.427,0.215,7.324,324
23,129622,Love Letter,2012,327,7.225,7.696,0.470,7.622,304
41,329839,So Clover!,2021,342,7.591,8.114,0.523,7.473,301
29,172,For Sale,1997,329,7.250,7.679,0.428,7.525,300
19,46213,Telestrations,2009,307,7.385,7.926,0.541,7.647,288
18,204583,Kingdomino,2016,294,7.306,7.750,0.444,7.647,276
50,50,Lost Cities,1999,325,7.233,7.519,0.286,7.422,275
20,92828,Dixit: Odyssey,2011,291,7.403,7.885,0.482,7.647,271
27,156546,Monikers,2015,292,7.784,8.317,0.532,7.568,265
83,2653,Survive: Escape from Atlantis!,1982,324,7.315,7.464,0.149,7.302,241
73,160477,Onitama,2014,309,7.353,7.524,0.171,7.329,236
14,165722,KLASK,2014,247,7.632,8.182,0.550,7.672,233
17,192291,Sushi Go Party!,2016,250,7.400,7.797,0.397,7.650,233
11,318977,MicroMacro: Crime City,2020,242,7.518,8.034,0.516,7.698,231
35,260605,Camel Up (Second Edition),2018,259,7.581,7.876,0.296,7.490,224
77,239188,Chronicles of Crime,2018,287,7.581,7.500,-0.080,7.317,210
25,224037,Codenames: Duet,2017,231,7.454,7.812,0.358,7.591,206
93,298047,Marvel United,2020,298,7.579,7.655,0.076,7.281,205
55,199478,Flamme Rouge,2016,253,7.496,7.651,0.156,7.402,198
