rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
1,254640,Just One,2018,142,7.601,8.163,0.562,7.948,141
2,178900,Codenames,2015,129,7.547,7.970,0.424,7.908,127
3,291453,SCOUT,2019,105,7.823,8.196,0.373,7.862,102
4,295947,Cascadia,2021,46,7.946,7.998,0.052,7.862,42
5,161936,Pandemic Legacy: Season 1,2015,2,8.525,7.963,-0.563,7.862,-3
6,173346,7 Wonders Duel,2015,19,8.095,7.910,-0.184,7.854,13
7,230802,Azul,2017,78,7.745,7.852,0.107,7.794,71
8,324856,The Crew: Mission Deep Sea,2021,37,8.142,8.083,-0.059,7.793,29
9,163412,Patchwork,2014,114,7.600,7.807,0.208,7.728,105
10,244521,The Quacks of Quedlinburg,2018,66,7.822,7.816,-0.006,7.715,56
11,318977,MicroMacro: Crime City,2020,242,7.518,8.035,0.517,7.699,231
12,366013,Heat: Pedal to the Metal,2022,40,8.060,7.896,-0.165,7.689,28
13,54043,Jaipur,2009,187,7.487,7.784,0.297,7.687,174
14,165722,KLASK,2014,247,7.632,8.183,0.550,7.674,233
15,284083,The Crew: The Quest for Planet Nine,2019,75,7.799,7.788,-0.011,7.670,60
16,266192,Wingspan,2019,30,8.043,7.710,-0.333,7.658,14
17,204583,Kingdomino,2016,280,7.313,7.762,0.449,7.655,263
18,192291,Sushi Go Party!,2016,250,7.400,7.798,0.397,7.651,232
19,46213,Telestrations,2009,307,7.385,7.927,0.542,7.649,288
20,92828,Dixit: Odyssey,2011,291,7.403,7.886,0.483,7.648,271
21,225694,Decrypto,2018,99,7.770,7.847,0.076,7.633,78
22,316554,Dune: Imperium,2020,6,8.434,7.734,-0.700,7.629,-16
23,129622,Love Letter,2012,327,7.225,7.696,0.471,7.623,304
24,224037,Codenames: Duet,2017,231,7.454,7.813,0.358,7.592,207
25,39856,Dixit,2008,370,7.204,7.667,0.462,7.591,345
26,373106,Sky Team,2023,80,8.195,8.125,-0.070,7.588,54
27,156546,Monikers,2015,292,7.786,8.324,0.539,7.562,265
28,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.533,8.032,-0.500,7.541,-6
29,172,For Sale,1997,329,7.250,7.680,0.429,7.526,300
30,277085,Love Letter,2019,369,7.516,8.022,0.506,7.517,339
31,92415,Skull,2011,430,7.194,7.709,0.516,7.506,399
32,128882,The Resistance: Avalon,2012,196,7.519,7.644,0.124,7.504,164
33,260605,Camel Up (Second Edition),2018,259,7.581,7.877,0.296,7.491,226
34,217372,The Quest for El Dorado,2017,120,7.674,7.679,0.005,7.489,86
35,263918,Cartographers,2019,139,7.616,7.651,0.036,7.489,104
36,201808,Clank!: A Deck-Building Adventure,2016,83,7.777,7.595,-0.182,7.488,47
37,253344,Cthulhu: Death May Die,2019,57,8.184,7.844,-0.340,7.487,20
38,14996,Ticket to Ride: Europe,2005,155,7.529,7.540,0.010,7.479,117
39,167791,Terraforming Mars,2016,7,8.357,7.522,-0.834,7.477,-32
40,329839,So Clover!,2021,342,7.591,8.115,0.524,7.475,302
41,156129,Deception: Murder in Hong Kong,2014,237,7.459,7.680,0.222,7.471,196
42,147020,Star Realms,2014,148,7.562,7.569,0.007,7.466,106
43,188834,Secret Hitler,2016,234,7.512,7.633,0.121,7.464,191
44,148228,Splendor,2014,213,7.424,7.520,0.097,7.463,169
45,233867,Welcome To...,2018,185,7.533,7.594,0.062,7.451,140
46,262543,Wavelength,2019,447,7.287,7.799,0.512,7.442,401
47,244522,That's Pretty Clever!,2018,180,7.572,7.616,0.044,7.436,133
48,198773,Codenames: Pictures,2016,431,7.195,7.632,0.437,7.432,383
49,364073,Splendor Duel,2022,136,7.980,7.961,-0.019,7.431,87
50,50,Lost Cities,1999,325,7.233,7.519,0.286,7.422,275
51,274960,Point Salad,2019,482,7.161,7.655,0.495,7.418,431
52,84876,The Castles of Burgundy,2011,16,8.141,7.486,-0.656,7.416,-36
53,12942,No Thanks!,2004,500,7.077,7.581,0.504,7.415,447
54,9209,Ticket to Ride,2004,230,7.394,7.459,0.065,7.409,176
55,199478,Flamme Rouge,2016,253,7.496,7.652,0.156,7.403,198
56,822,Carcassonne,2000,214,7.411,7.436,0.025,7.401,158
57,133473,Sushi Go!,2013,571,7.008,7.495,0.487,7.400,514
58,68448,7 Wonders,2010,94,7.680,7.441,-0.240,7.399,36
59,209010,Mechs vs. Minions,2016,74,7.969,7.648,-0.321,7.398,15
60,158600,Hanamikoji,2013,239,7.497,7.652,0.155,7.397,179
61,294484,Unmatched: Cobble & Fog,2020,186,7.974,7.956,-0.018,7.392,125
62,232832,Century: Golem Edition,2017,241,7.602,7.758,0.156,7.392,179
63,194655,Santorini,2016,256,7.369,7.501,0.131,7.386,193
64,199792,Everdell,2018,36,8.023,7.463,-0.561,7.385,-28
65,199561,Sagrada,2017,200,7.478,7.489,0.012,7.384,135
66,150,PitchCar,1995,497,7.266,7.775,0.509,7.383,431
67,266524,PARKS,2019,133,7.679,7.556,-0.122,7.377,66
68,312484,Lost Ruins of Arnak,2020,28,8.073,7.453,-0.620,7.358,-40
69,70323,King of Tokyo,2011,413,7.136,7.418,0.281,7.356,344
70,205059,Mansions of Madness: Second Edition,2016,58,7.946,7.471,-0.475,7.354,-12
71,110327,Lords of Waterdeep,2012,88,7.733,7.408,-0.325,7.332,17
72,198994,Hero Realms,2016,263,7.523,7.570,0.047,7.331,191
73,160477,Onitama,2014,309,7.353,7.525,0.172,7.330,236
74,239188,Chronicles of Crime,2018,266,7.598,7.520,-0.078,7.329,192
75,124361,Concordia,2013,24,8.093,7.431,-0.662,7.328,-51
76,282524,Horrified,2019,199,7.647,7.584,-0.063,7.327,123
77,41114,The Resistance,2009,400,7.212,7.428,0.216,7.325,323
78,285774,Marvel Champions: The Card Game,2019,41,8.121,7.491,-0.630,7.316,-37
79,223040,Fantasy Realms,2017,246,7.523,7.602,0.078,7.314,167
80,279537,The Search for Planet X,2020,96,7.949,7.646,-0.303,7.314,16
81,182631,Star Realms: Colony Wars,2015,216,7.803,7.825,0.022,7.307,135
82,31627,Ticket to Ride: Nordic Countries,2007,201,7.627,7.602,-0.025,7.304,119
83,2653,Survive: Escape from Atlantis!,1982,324,7.315,7.465,0.150,7.302,241
84,183394,Viticulture Essential Edition,2015,38,7.986,7.385,-0.601,7.301,-46
85,209418,Dominion (Second Edition),2016,181,7.836,7.699,-0.137,7.298,96
86,36218,Dominion,2008,118,7.599,7.340,-0.259,7.294,32
87,342942,Ark Nova,2021,4,8.535,7.385,-1.150,7.293,-83
88,287954,Azul: Summer Pavilion,2019,199,7.628,7.550,-0.079,7.288,111
89,224517,Brass: Birmingham,2018,1,8.595,7.374,-1.221,7.287,-88
90,432,Take 5,1994,645,6.963,7.429,0.466,7.285,555
91,274637,"Unmatched: Battle of Legends, Volume One",2019,251,7.755,7.765,0.010,7.284,160
92,174430,Gloomhaven,2017,3,8.584,7.341,-1.243,7.276,-89
93,298047,Marvel United,2020,300,7.579,7.659,0.081,7.275,207
94,193042,Junk Art,2016,515,7.371,7.823,0.451,7.273,421
95,365717,Clank!: Catacombs,2022,108,8.274,7.919,-0.355,7.271,13
96,117959,Las Vegas,2012,579,7.160,7.637,0.477,7.268,483
97,40834,Dominion: Intrigue,2009,110,7.690,7.389,-0.301,7.268,13
98,147949,One Night Ultimate Werewolf,2014,566,7.068,7.419,0.350,7.267,468
99,329082,Radlands,2021,183,7.841,7.644,-0.197,7.265,84
100,268864,Undaunted: Normandy,2019,167,7.806,7.618,-0.188,7.264,67
101,285192,Destinies,2021,341,7.747,7.771,0.024,7.261,240
102,219513,Bärenpark,2017,362,7.301,7.478,0.177,7.258,260
103,260180,Project L,2020,388,7.496,7.726,0.229,7.257,285
104,281259,The Isle of Cats,2019,128,7.716,7.452,-0.264,7.257,24
105,150145,Skull King,2013,334,7.523,7.673,0.150,7.247,229
106,164928,Orléans,2014,32,8.060,7.374,-0.686,7.247,-74
107,170216,Blood Rage,2015,50,7.925,7.331,-0.594,7.246,-57
108,291457,Gloomhaven: Jaws of the Lion,2020,10,8.431,7.358,-1.073,7.243,-98
109,351040,Ready Set Bet,2022,496,7.580,7.992,0.411,7.242,387
110,264055,Draftosaurus,2019,619,7.105,7.541,0.436,7.240,509
111,295486,My City,2020,229,7.657,7.622,-0.035,7.234,118
112,209685,Century: Spice Road,2017,328,7.309,7.394,0.085,7.234,216
113,274364,Watergate,2019,145,7.785,7.580,-0.205,7.232,32
114,131357,Coup,2012,632,6.983,7.313,0.330,7.226,518
115,249259,War Chest,2018,182,7.841,7.611,-0.230,7.224,67
116,271324,It's a Wonderful World,2019,149,7.683,7.442,-0.242,7.220,33
117,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,110,7.921,7.468,-0.453,7.219,-7
118,760,Battle Line,2000,294,7.414,7.442,0.029,7.216,176
119,30549,Pandemic,2008,140,7.540,7.247,-0.293,7.215,21
120,242302,Space Base,2018,204,7.548,7.431,-0.117,7.215,84
121,258779,Planet Unknown,2022,192,7.818,7.647,-0.171,7.210,71
122,366161,Wingspan Asia,2022,106,8.305,7.841,-0.465,7.208,-16
123,5782,Coloretto,2003,655,6.979,7.393,0.414,7.206,532
124,367220,Sea Salt & Paper,2022,492,7.465,7.799,0.334,7.205,368
125,230253,Star Realms: Frontiers,2018,298,7.941,7.983,0.043,7.198,173
126,12,Ra,1999,138,7.606,7.356,-0.251,7.198,12
127,270673,Silver & Gold,2019,633,7.211,7.693,0.483,7.195,506
128,10630,Memoir '44,2004,196,7.534,7.320,-0.213,7.192,68
129,293014,Nidavellir,2020,220,7.603,7.493,-0.110,7.191,91
130,118048,Targi,2012,143,7.615,7.360,-0.256,7.190,13
131,153938,Camel Up,2014,575,7.041,7.331,0.290,7.186,444
132,170042,Raiders of the North Sea,2015,110,7.737,7.345,-0.392,7.185,-22
133,256952,Zombie Kidz Evolution,2018,499,7.636,7.980,0.344,7.184,366
134,41,Can't Stop,1980,774,6.906,7.400,0.494,7.184,640
135,283155,Calico,2020,225,7.550,7.399,-0.151,7.182,90
136,244992,The Mind,2018,943,6.767,7.308,0.540,7.180,807
137,167355,Nemesis,2018,21,8.267,7.304,-0.963,7.180,-116
138,171131,Captain Sonar,2016,207,7.524,7.364,-0.160,7.179,69
139,245654,Railroad Ink: Deep Blue Edition,2018,543,7.186,7.479,0.292,7.175,404
140,314491,Meadow,2021,200,7.762,7.566,-0.196,7.172,60
141,135779,A Fake Artist Goes to New York,2011,696,7.144,7.650,0.506,7.172,555
142,196326,Love Letter: Premium Edition,2016,561,7.447,7.831,0.384,7.171,419
143,15512,Incan Gold,2005,852,6.833,7.351,0.519,7.168,709
144,277659,Final Girl,2021,144,8.330,7.885,-0.446,7.168,0
145,187645,Star Wars: Rebellion,2016,9,8.418,7.284,-1.135,7.167,-136
146,191189,Aeon's End,2016,84,7.898,7.346,-0.553,7.163,-62
147,372,Schotten Totten,1999,405,7.355,7.501,0.146,7.162,258
148,374173,Star Wars: The Deckbuilding Game,2023,282,7.937,7.880,-0.058,7.161,134
149,338834,MicroMacro: Crime City – Full House,2021,535,7.706,8.164,0.458,7.159,386
150,215311,Downforce,2017,409,7.308,7.439,0.132,7.157,259
151,143741,BANG! The Dice Game,2013,767,6.899,7.312,0.413,7.154,616
152,181304,Mysterium,2015,395,7.214,7.239,0.025,7.153,243
153,169654,Deep Sea Adventure,2014,813,6.911,7.387,0.476,7.153,660
154,220,High Society,1995,544,7.157,7.441,0.283,7.152,390
155,169786,Scythe,2016,17,8.139,7.190,-0.949,7.145,-138
156,314040,Pandemic Legacy: Season 0,2020,52,8.394,7.629,-0.764,7.144,-104
157,183251,Karuba,2015,592,7.172,7.491,0.319,7.143,435
158,91514,Rhino Hero,2011,916,6.913,7.487,0.573,7.142,758
159,34219,Biblios,2007,444,7.199,7.356,0.158,7.140,285
160,157969,Sheriff of Nottingham,2014,512,7.074,7.246,0.173,7.139,352
