rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
80,277659,Final Girl,2021,125,8.283,8.325,0.042,7.607,45
87,36218,Dominion,2008,129,7.599,7.640,0.042,7.588,42
89,12493,Twilight Imperium: Third Edition,2005,124,7.794,7.836,0.042,7.586,35
85,205896,Rising Sun,2018,119,7.779,7.820,0.042,7.588,34
70,37111,Battlestar Galactica: The Board Game,2008,103,7.731,7.772,0.042,7.638,33
83,18602,Caylus,2005,113,7.715,7.757,0.042,7.591,30
84,40834,Dominion: Intrigue,2009,112,7.690,7.732,0.042,7.589,28
74,155821,Inis,2016,102,7.826,7.868,0.042,7.629,28
79,236457,Architects of the West Kingdom,2018,107,7.732,7.773,0.042,7.609,28
67,68448,7 Wonders,2010,94,7.680,7.722,0.042,7.674,27
45,164153,Star Wars: Imperial Assault,2014,72,7.963,8.005,0.042,7.791,27
100,163412,Patchwork,2014,126,7.594,7.636,0.042,7.565,26
66,110327,Lords of Waterdeep,2012,88,7.733,7.775,0.042,7.685,22
61,201808,Clank!: A Deck-Building Adventure,2016,83,7.776,7.818,0.042,7.699,22
57,230802,Azul,2017,79,7.744,7.786,0.042,7.730,22
52,124742,Android: Netrunner,2012,73,7.884,7.926,0.042,7.754,21
99,364073,Splendor Duel,2022,120,7.928,7.969,0.042,7.566,21
71,93,El Grande,1995,91,7.756,7.798,0.042,7.631,20
91,170042,Raiders of the North Sea,2015,110,7.737,7.778,0.042,7.581,19
59,200680,Agricola (Revised Edition),2016,78,7.958,7.999,0.042,7.719,19
63,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.816,0.042,7.695,18
34,170216,Blood Rage,2015,52,7.924,7.965,0.042,7.851,18
82,225694,Decrypto,2018,100,7.769,7.811,0.042,7.601,18
94,42,Tigris & Euphrates,1997,111,7.703,7.745,0.042,7.578,17
37,31260,Agricola,2007,54,7.873,7.914,0.042,7.840,17
65,72125,Eclipse: New Dawn for the Galaxy,2011,82,7.830,7.871,0.042,7.693,17
69,229853,Teotihuacan: City of Gods,2018,86,7.863,7.904,0.042,7.657,17
64,28143,Race for the Galaxy,2007,80,7.744,7.786,0.042,7.695,16
76,62219,Dominant Species,2010,92,7.814,7.856,0.042,7.626,16
90,163068,Trickerion: Legends of Illusion,2015,106,7.974,8.016,0.042,7.583,16
77,171623,The Voyages of Marco Polo,2015,93,7.781,7.822,0.042,7.626,16
51,244521,The Quacks of Quedlinburg,2018,67,7.822,7.864,0.042,7.761,16
98,271055,Dwellings of Eldervale,2020,114,8.167,8.209,0.042,7.567,16
50,321608,Hegemony: Lead Your Class to Victory,2023,66,8.463,8.504,0.042,7.765,16
47,2651,Power Grid,2004,62,7.809,7.851,0.042,7.771,15
30,3076,Puerto Rico,2002,45,7.914,7.956,0.042,7.879,15
75,25613,Through the Ages: A Story of Civilization,2006,90,7.840,7.881,0.042,7.628,15
55,266810,Paladins of the West Kingdom,2019,70,7.979,8.021,0.042,7.735,15
81,279537,The Search for Planet X,2020,96,7.942,7.984,0.042,7.602,15
33,295947,Cascadia,2021,48,7.944,7.986,0.042,7.852,15
