rank,bgg_id,name,year,complexity,min_time
5,233078,Twilight Imperium: Fourth Edition,2017,4.320,240
47,521,Crokinole,1876,1.230,30
206,188,Go,-2200,3.931,30
226,91,Paths of Glory,1999,3.851,480
336,5,Acquire,1963,2.497,90
404,40354,Maria,2009,3.564,210
410,1,Die Macher,1986,4.315,240
432,71,Civilization,1980,3.647,360
445,171,Chess,1475,3.656,
602,875,Roads & Boats,1999,4.196,240
627,130960,Triumph & Tragedy: European Balance of Power 1936-1945,2015,3.389,240
687,1513,The Republic of Rome,1990,4.361,300
705,2398,Cribbage,1630,1.904,30
773,483,Diplomacy,1959,3.340,360
784,11825,Empire of the Sun,2005,4.360,360
823,45,Perudo,1800,1.256,15
911,12891,Friedrich,2004,3.137,210
933,2093,Mahjong,1850,2.574,120
994,2181,Bridge,1925,3.891,60
998,41066,Virgin Queen,2012,4.436,420
1125,35052,Axis & Allies Anniversary Edition,2008,3.104,360
1156,221,Ikusa,1986,2.952,240
1165,91080,Andean Abyss,2012,3.783,360
1196,68264,No Retreat! The Russian Front,2011,3.132,360
1197,833,For the People,1998,3.728,360
1223,1115,Poker,1810,2.425,60
1295,1540,BattleTech,1985,3.413,
1333,61692,Axis & Allies: Europe 1940,2010,3.503,360
1444,184424,Mega Civilization,2015,3.687,360
1468,30618,Eat Poop You Cat,,1.109,20
1472,2397,Backgammon,-3000,2.014,30
1492,55829,Axis & Allies: Pacific 1940,2009,3.591,360
1570,242,Junta,1979,2.861,240
1573,2065,Shogi,1587,3.758,60
1605,1829,Risk 2210 A.D.,2001,2.717,240
1605,7480,"Sword of Rome: Conquest of Italy, 362-272 BC",2004,3.327,360
1634,63170,1817,2010,4.771,360
1640,423,1856: Railroading in Upper Canada from 1856,1995,4.257,300
1688,10093,Axis & Allies,2004,3.221,240
1711,38718,Normandy '44,2010,3.373,420
1733,325555,Cantaloop: Book 1 – Breaking into Prison,2020,2.100,300
1742,701,A House Divided: War Between the States 1861-65,1981,2.632,240
1785,2251,Strat-O-Matic Baseball,1962,2.362,45
1793,5072,Carrom,,1.457,60
1808,2808,The Russian Campaign,1974,2.843,360
1819,2393,Xiangqi,762,3.578,60
1842,207572,Holland '44: Operation Market-Garden,2017,3.833,240
1871,19622,A Victory Lost: Crisis in Ukraine 1942-1943,2006,2.567,360
1872,21551,SPQR (Deluxe Edition),2008,3.904,240
1880,730,Breakout: Normandy,1992,3.391,240
1899,6901,Euchre,1848,1.693,45
1915,148203,Dutch Blitz,1960,1.257,1
1982,41863,Axis & Allies: 1942,2009,3.147,240
1983,592,Spades,1938,2.022,60
1999,140,Pit,1903,1.156,30
2004,6205,Europe Engulfed: WWII European Theatre Block Game,2003,3.762,720
2038,7858,Ardennes '44: The Battle of the Bulge,2003,3.679,360
2061,6887,Hearts,1850,1.744,30
2090,3353,World War II: Barbarossa to Berlin,2002,3.527,420
2103,424,1870: Railroading Across the Trans Mississippi from 1870,1992,4.189,360
2115,3720,Subbuteo,1947,1.797,20
2129,81640,Florenza,2010,3.737,200
2165,320,Scrabble,1948,2.068,90
2175,1442,Victory in the Pacific,1977,2.383,300
2197,1563,Rise and Decline of the Third Reich,1974,4.333,1440
2209,130,Iron Dragon,1994,2.933,240
2225,6819,Skat,1810,3.067,30
2315,193867,1822: The Railways of Great Britain,2016,4.429,300
2323,36399,The Napoleonic Wars (Second Edition),2008,3.396,240
2381,163841,18CZ,2017,4.226,250
2385,8730,Flying Colors,2003,3.027,240
2447,9364,Doppelkopf,1895,2.921,120
2462,369646,Disney Lorcana,2023,2.062,
2465,183685,"Mr. President: The American Presidency, 2001-2020",2023,4.200,360
2466,325348,Successors (Fourth Edition),2022,4.000,300
2515,9215,Revolution: The Dutch Revolt 1568-1648,2004,4.242,240
2517,11057,The Great Battles of Alexander: Deluxe Edition,1995,3.608,240
2520,4192,Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),1983,3.684,240
2531,22143,EastFront: The War in Russia 1941-45 – Second Edition,2006,3.484,240
2543,987,Kingmaker,1974,3.056,240
2553,949,Twixt,1962,2.495,30
2581,1116,Oh Hell!,1930,1.729,30
2590,2529,Flat Top,1977,4.230,360
2685,286,Machiavelli,1977,3.196,480
2696,3870,7 Ages,2004,3.930,480
2700,714,Talisman,1983,2.183,240
2708,77,"EastFront: The War in Russia, 1941-45",1991,3.600,240
2727,18485,18MEX,2005,3.857,210
2755,4688,Angola,1988,3.170,480
2764,1262,Axis & Allies: Pacific,2001,2.875,240
2765,18748,Unhappy King Charles!,2008,3.291,240
2774,1423,Storm over Arnhem,1981,2.913,300
2779,1260,Rook,1906,1.861,45
2787,69601,1880: China,2010,4.206,300
2808,32424,1848: Australia,2007,3.893,200
2865,1917,Stratego,1946,1.848,45
2871,520,Axis & Allies: Europe,1999,2.841,210
2891,12350,Battlestations,2004,3.399,240
2900,108018,Riichi Mahjong,,3.471,60
2904,17393,Pax Romana,2006,3.667,600
2930,287,Bazaar,1967,2.028,45
2936,23418,Pursuit of Glory,2008,3.926,360
2965,2932,Hnefatafl,400,2.514,20
2977,5620,Vietnam 1965-1975,1984,4.311,360
2995,20133,FAB: The Bulge,2008,3.072,240
3048,6866,Mus,1745,2.269,10
3067,4583,Pinochle,1864,2.303,45
3133,2389,Othello,1883,2.075,30
3186,3263,Ukraine '43,2000,3.559,360
3188,21804,Traditional Card Games,,1.934,
3289,18291,Unpublished Prototype,,2.533,
3324,329,Russian Front,1985,3.309,480
3390,3605,The Third World War: Battle for Germany,1984,3.463,360
3396,183308,1844/1854,2016,4.452,300
3402,422,1835,1990,3.990,360
3406,99358,Stonewall Jackson's Way II: Battles of Bull Run,2013,3.667,240
3416,35614,Where There Is Discord: War in the South Atlantic,2009,3.110,240
3421,66855,The Dark Valley,2013,3.390,500
3434,11949,Shifting Sands: The Campaign for North Africa 1940-1943,2006,3.183,240
3436,6613,"Downtown: Air War Over Hanoi, 1965-1972",2004,4.090,240
3437,4090,2nd Fleet: Modern Naval Combat in the North Atlantic,1986,3.424,240
3501,5451,Hanafuda,1701,1.710,60
3503,3409,The Napoleonic Wars,2002,3.486,240
3574,1430,Caesar: Epic Battle of Alesia,1976,2.947,360
3592,10788,Hellenes: Campaigns of the Peloponnesian War,2009,3.000,240
3597,4505,Tarot,1425,2.469,30
3600,1444,SPQR,1992,3.676,240
3620,713,Nuclear War,1965,1.443,60
3741,15889,Scopa,1600,1.473,30
3755,1447,1841: Railways in Northern Italy,1994,4.452,300
3765,33003,The Caucasus Campaign,2009,2.958,360
3792,17104,Canasta,1939,2.124,45
3858,5684,18EU,2001,4.243,300
3893,3406,Lines of Action,1969,2.720,20
3911,3553,Close Action: The Age of Fighting Sail Vol. 1,1997,3.500,240
3937,20609,Asia Engulfed,2007,3.800,480
3938,282291,Escape Tales: Low Memory,2019,2.542,360
3943,1209,Pax Britannica: The Colonial Era 1880 to the Great War,1985,3.853,300
3950,2998,Reds! The Russian Civil War 1918-1921,2001,3.081,360
3950,24070,Afrika: 2nd Edition,2006,2.729,360
3955,782,"Win, Place & Show",1966,2.084,120
3972,1666,Battle Hymn,1986,3.298,240
3972,125993,France '40,2013,2.896,240
3987,25574,Gin Rummy,1909,1.704,30
4006,14080,The Mighty Endeavor,2005,2.866,360
4028,1710,The Siege of Jerusalem (Third Edition),1989,3.881,300
4040,4204,Tunisia,1995,4.083,360
4058,299800,Escape Tales: Children of Wyrmwoods,2020,2.454,450
4102,2448,Kalah,700,1.604,10
4113,96026,18OE: On the Rails of the Orient Express,2014,4.560,720
4131,2250,Midway,1964,2.440,120
4168,3577,Terrible Swift Sword: Battle of Gettysburg Game,1976,4.163,420
4182,23,Divine Right,1979,3.200,360
4210,196217,18Ireland,2017,4.235,240
4225,29285,Case Blue,2007,4.580,
4227,2748,"Thirty Years War: Europe in Agony, 1618-1648",2001,3.146,360
4252,13123,500,1904,2.018,30
4258,17394,"The Burning Blue: The Battle of Britain, 1940",2006,4.043,300
4290,17651,Under the Lily Banners,2005,3.618,
4291,12896,La Bataille des Quatre Bras,1991,4.045,360
4296,94373,Dien Bien Phu: The Final Gamble,2014,3.037,360
4297,13532,Guderian's Blitzkrieg II,2001,4.382,4500
4298,4112,Hex,1942,3.158,20
4305,23953,Outside the Scope of BGG,,1.700,
4312,35669,Bastogne: Screaming Eagles Under Siege 18-27 Dec' 44,2009,2.627,300
4324,130006,Mini Kubb,,1.250,15
4354,277538,1822MX,2019,4.308,240
4375,103339,Reluctant Enemies: Operation Exporter,2014,3.546,750
4379,911,Empires of the Middle Ages,1980,3.544,240
4401,12234,"DAK2: The Campaign in North Africa, 1940-1942",2004,4.371,360
4402,26055,Twilight Imperium: Second Edition,2000,3.463,240
4457,14188,Bughouse Chess,1960,2.795,10
4461,789,Focus,1963,2.384,45
4484,816,2038: Tycoons of the Asteroid Belt,1995,4.020,360
4500,4173,Anzio: The Struggle for Italy – 1943-1945,1969,3.197,120
4510,5445,Rod Hockey,1932,1.469,20
4522,1883,Cataphract,1999,3.425,360
4536,31954,"A Victory Denied: Crisis at Smolensk, July-September, 1941",2009,2.542,240
4559,2073,Sixth Fleet: Modern Naval Combat in the Mediterranean,1985,3.296,360
4570,4258,Totaler Krieg!,1999,4.014,360
4585,23995,No Peace Without Spain!: The War of the Spanish Succession 1702-1713,2011,2.766,240
4597,6817,Schafkopf,1780,2.657,30
4605,341519,The Light in the Mist,2022,2.909,300
4608,299371,The Emerald Flame,2021,3.200,270
4629,7935,1844: Schweiz,2003,4.316,300
4635,755,Thunder at Cassino,1987,3.119,360
4644,27969,"A Most Dangerous Time: Japan in Chaos, 1570-1584",2009,3.121,240
4646,15826,Triumph of Chaos,2005,4.354,360
4655,24,Twilight Imperium,1997,3.444,240
4676,39328,Baltic Gap: Summer 1944,2009,4.174,240
4677,18746,Gustav Adolf the Great: With God and Victorious Arms,2006,3.788,300
4682,1206,Venture,1969,1.971,45
4688,5740,Strat-O-Matic Pro Football,1968,2.850,120
4698,2077,Hell's Highway: Operation Market Garden,1983,3.688,360
4699,4050,Fortress Europa,1978,3.168,240
4704,1535,Formula 1,1962,1.700,30
4710,142889,Enemy Coast Ahead: Operation Chastise – The Dambuster Raid,2014,3.171,
4734,13855,"Carthage: The First Punic War – The Ancient World, Vol. II",2005,4.000,1800
4753,5651,The Longest Day,1979,4.158,5400
4792,3408,This Accursed Civil War,2002,3.552,240
4800,157323,MBT (Second Edition),2016,3.944,360
4856,39019,Nothing Gained But Glory,2010,3.717,300
4875,1506,Conquistador: The Age of Exploration,1976,3.293,360
4887,10174,Bitter Woods Deluxe Edition,2003,3.118,240
4900,240905,Death Valley: Battles for the Shenandoah,2019,4.333,300
4926,101682,Saints in Armor,2012,3.618,300
4935,248,Blood Royale,1987,3.323,240
4935,8993,Fire in the East,1984,4.419,3000
4965,7843,Caesar: Conquest of Gaul,1998,3.537,240
4990,2079,NATO: The Next War in Europe,1983,3.214,240
4997,3414,"Yom Kippur: The Battle for the Sinai, October, 1973",1995,2.596,240
5000,6930,Sweden Fights On,2003,3.565,240
5011,22303,Celebrities,,1.188,90
5015,249582,The Dark Summer: Normandy 1944,2021,2.867,480
5031,1496,Imperium Romanum II,1985,3.781,240
5033,7614,A World at War,2003,4.852,1440
5034,23685,1805: Sea of Glory,2009,3.717,480
5088,65936,"The Blitzkrieg Legend: The Battle for France, 1940",2012,3.889,2880
5142,99630,Rolling Stock,2011,3.895,240
5178,10156,The Russian Campaign: 4th edition,2003,2.902,240
5190,6203,Enemy at the Gates,1994,4.400,240
5217,3218,The Arab-Israeli Wars: Tank Battles in the Mideast,1977,3.218,240
5221,249750,"Brazen Chariots: Battles for Tobruk, 1941",2019,3.615,
5227,847,Feudal,1967,2.312,90
5227,3518,Napoleon in Europe,2001,3.462,360
5241,26447,Clash of Monarchs,2008,4.045,360
5256,176596,The Great Battles of Alexander: Macedonian Art of War,2014,3.833,240
5283,8521,Whistling Death,2003,4.343,240
5295,13709,Clash of Giants II: 1st Ypres & Galicia 1914,2006,2.367,300
5296,4974,"Wellington's Victory: Battle of Waterloo Game – June 18th, 1815",1976,4.109,240
5321,150761,Next War: India-Pakistan,2015,4.154,240
5339,149620,Decision at Elst: An Advanced Squad Leader Starter Kit Historical Module,2014,3.824,360
5348,11865,Koi-Koi,,1.762,15
5356,4984,Jutland,1967,2.913,60
5382,2579,Arctic Front: Battle for Norway,1985,3.467,240
5394,2259,Afrika Korps,1964,2.234,180
5396,20078,Monmouth,2007,2.585,240
5408,272538,1828,2018,4.167,210
5416,207568,Baptism By Fire: The Battle of Kasserine,2017,4.000,240
5455,1894,War Galley,1999,3.125,360
5456,86177,Genesis: Empires and Kingdoms of the Ancient Middle East,2015,3.107,450
5462,5071,Sjoelen,1870,1.161,30
5470,1708,Stellar Conquest,1975,3.053,240
5490,300323,Conquest & Consequence,2021,3.850,240
5514,29875,"Barbarossa: Kiev to Rostov, 1941",2008,4.255,240
5517,5833,CAESAR: The Great Battles of Julius Caesar – The Civil Wars 48-45 B.C.,1994,3.500,360
5528,11582,Schnapsen,1715,2.067,20
5564,94396,It Never Snows,2012,2.537,540
5568,1549,Password,1962,1.513,30
5613,68260,FAB: Sicily,2011,3.122,240
5700,766,Regatta,1967,2.067,60
5703,923,Breakaway Rider,1963,1.277,20
5707,13337,Whist,1663,2.000,60
5708,374145,Dungeon Pages: Core Set,2023,1.875,
5727,21779,1914: Twilight in the East,2007,4.361,720
5737,219717,18USA,2017,4.737,420
5739,85424,La Bataille de la Moscowa (Third Edition),2011,4.229,1000
5774,246873,"Königsberg: The Soviet Attack on East Prussia, 1945",2018,2.250,240
5780,7263,Nertz,1930,1.258,60
5807,5511,Southern Front: Race for the Turkish Straits,1984,3.393,360
5848,5452,"DAK: The Campaign in North Africa, 1940-1942",1997,4.042,360
5848,12897,La Bataille de Ligny,1991,3.870,360
5865,1233,Facts in Five,1964,1.658,30
5878,10641,"Barbarossa: Army Group South, 1941",1996,4.176,240
5881,11274,Devil's Horsemen,2004,3.452,240
5881,163097,Beyond the Rhine: The Campaign for Northwest Europe,2015,4.429,3000
5886,5217,Eleusis,1956,2.933,20
5889,10226,"Thunder at the Crossroads: The Battle of Gettysburg, July 1-3, 1863 (Second Edition)",1993,3.424,360
5891,82,Bobby Lee: The Civil War in Virginia 1861-1865,1993,2.922,240
5902,21358,Savage Worlds,2003,2.947,240
5908,25775,"Elusive Victory: The Air War over the Suez Canal, 1967-1973",2009,3.950,240
5917,157653,Illusions of Glory: The Great War on the Eastern Front,2017,3.389,360
5919,3044,Air Assault on Crete / Invasion of Malta: 1942,1977,3.179,240
5923,209951,Thunder in the East,2018,4.056,480
5925,37672,"Warhammer 40,000: Assault On Black Reach",2008,3.125,240
5936,367820,Dungeons & Dragons: The Yawning Portal,2023,2.000,
5974,87907,1865: Sardinia,2011,3.850,240
5990,11733,Briscola,1800,1.500,30
5995,1644,Tipp-Kick,1921,1.224,10
6020,22161,WestFront II: The War in Europe 1943-45 – Second Edition,2006,3.343,240
6053,2583,18GA,1998,4.074,240
6058,39941,Legion of Honor,2014,2.727,240
6073,250,Colonial Diplomacy,1994,2.800,360
6075,895,APBA Pro Baseball,1951,1.885,30
6081,22677,Stalin's War,2010,3.077,240
6085,2447,World War II: European Theater of Operations,1985,3.980,240
6114,21947,RAN,2007,3.744,240
6120,8719,The Next War: Modern Conflict in Europe,1978,4.167,360
6128,10789,Pitch,1600,1.773,30
6181,368036,Unlock!: Short Adventures – The Flight of the Angel,2022,2.000,
6196,2168,Hitler's War,1981,2.973,300
6196,27968,"Red Star Rising: The War in Russia, 1941-1944",2007,3.296,1200
6201,34659,The Spanish Civil War 1936-1939,2010,3.114,360
6202,28302,Oware,550,2.083,20
6207,2076,Gulf Strike,1983,4.398,360
6219,917,Rack-O,1956,1.190,45
6240,26459,PQ-17: Arctic Naval Operations 1941-1943,2009,4.125,210
6247,25314,Bowling Solitaire,1969,1.548,30
6255,3412,Brandywine,2000,2.667,240
6289,315196,Dungeons & Dragons: Adventure Begins,2020,1.367,
6291,207230,"Thunder in the Ozarks: Battle for Pea Ridge, March 1862",2016,3.300,900
6329,10642,"Barbarossa: Army Group North, 1941",2000,4.154,300
6371,5614,Achtung: Spitfire!,1995,4.086,240
6376,4346,"Cedar Mountain: Prelude to Bull Run, August 9, 1862",1981,3.097,360
