rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
72,256952,Zombie Kidz Evolution,2018,499,7.636,8.353,0.717,7.436,427
99,2655,Hive,2001,299,7.320,7.501,0.181,7.384,200
96,92828,Dixit: Odyssey,2011,291,7.403,7.598,0.195,7.389,195
49,188834,Secret Hitler,2016,234,7.512,7.707,0.195,7.532,185
73,194655,Santorini,2016,256,7.369,7.550,0.181,7.433,183
69,156129,Deception: Murder in Hong Kong,2014,237,7.459,7.653,0.195,7.446,168
40,128882,The Resistance: Avalon,2012,196,7.519,7.714,0.195,7.570,156
75,9209,Ticket to Ride,2004,230,7.394,7.476,0.082,7.426,155
65,822,Carcassonne,2000,214,7.411,7.493,0.082,7.457,149
67,148228,Splendor,2014,213,7.424,7.506,0.082,7.449,146
82,283155,Calico,2020,225,7.550,7.663,0.113,7.415,143
42,249259,War Chest,2018,182,7.841,8.023,0.181,7.559,140
61,199561,Sagrada,2017,200,7.478,7.590,0.113,7.479,139
90,7854,YINSH,2003,227,7.712,7.893,0.181,7.400,137
66,287954,Azul: Summer Pavilion,2019,199,7.628,7.741,0.113,7.454,133
60,54043,Jaipur,2009,188,7.488,7.570,0.082,7.482,128
63,233867,Welcome To...,2018,185,7.532,7.614,0.082,7.469,122
62,244522,That's Pretty Clever!,2018,182,7.571,7.653,0.082,7.470,120
51,77423,The Lord of the Rings: The Card Game,2011,166,7.662,7.723,0.061,7.529,115
54,463,Magic: The Gathering,1993,164,7.576,7.637,0.061,7.519,110
45,14996,Ticket to Ride: Europe,2005,155,7.529,7.612,0.082,7.548,110
91,31627,Ticket to Ride: Nordic Countries,2007,201,7.627,7.710,0.082,7.395,110
94,242302,Space Base,2018,204,7.548,7.631,0.082,7.391,110
33,254640,Just One,2018,142,7.601,7.796,0.195,7.610,109
24,178900,Codenames,2015,129,7.547,7.741,0.195,7.685,105
52,263918,Cartographers,2019,153,7.597,7.679,0.082,7.524,101
30,163412,Patchwork,2014,126,7.594,7.707,0.113,7.634,96
88,325494,ISS Vanguard,2022,184,8.588,8.367,-0.222,7.410,96
93,390092,Ticket to Ride Legacy: Legends of the West,2023,189,8.731,8.813,0.082,7.393,96
41,266524,PARKS,2019,133,7.679,7.761,0.082,7.563,92
37,217372,The Quest for El Dorado,2017,123,7.688,7.770,0.082,7.588,86
19,225694,Decrypto,2018,100,7.769,7.964,0.195,7.741,81
32,291453,SCOUT,2019,105,7.824,7.906,0.082,7.614,73
13,230802,Azul,2017,79,7.744,7.857,0.113,7.799,66
18,55690,Kingdom Death: Monster,2015,77,8.494,8.272,-0.222,7.741,59
14,124742,Android: Netrunner,2012,73,7.884,7.945,0.061,7.772,59
16,284083,The Crew: The Quest for Planet Nine,2019,75,7.798,7.880,0.082,7.757,59
12,244521,The Quacks of Quedlinburg,2018,67,7.822,7.904,0.082,7.800,55
20,251661,Oathsworn: Into the Deepwood,2022,65,8.959,8.737,-0.222,7.717,45
77,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,121,7.915,7.693,-0.222,7.425,44
55,264220,Tainted Grail: The Fall of Avalon,2019,98,8.090,7.868,-0.222,7.503,43
5,295947,Cascadia,2021,48,7.944,8.057,0.113,7.919,43
86,277659,Final Girl,2021,125,8.283,8.061,-0.222,7.411,39
4,285774,Marvel Champions: The Card Game,2019,40,8.120,8.181,0.061,7.947,36
7,366013,Heat: Pedal to the Metal,2022,41,8.055,8.137,0.082,7.914,34
87,146021,Eldritch Horror,2013,118,7.752,7.530,-0.222,7.410,31
6,324856,The Crew: Mission Deep Sea,2021,37,8.139,8.221,0.082,7.919,31
44,164153,Star Wars: Imperial Assault,2014,72,7.963,7.741,-0.222,7.550,28
34,205059,Mansions of Madness: Second Edition,2016,59,7.944,7.722,-0.222,7.591,25
98,180263,The 7th Continent,2017,122,7.801,7.579,-0.222,7.385,24
36,253344,Cthulhu: Death May Die,2019,58,8.183,7.961,-0.222,7.588,22
35,255984,Sleeping Gods,2021,55,8.195,7.974,-0.222,7.589,20
79,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,95,7.741,7.520,-0.222,7.419,16
10,167355,Nemesis,2018,21,8.266,8.044,-0.222,7.870,11
95,37111,Battlestar Galactica: The Board Game,2008,103,7.731,7.509,-0.222,7.390,8
2,187645,Star Wars: Rebellion,2016,9,8.417,8.196,-0.222,8.019,7
15,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.532,8.310,-0.222,7.766,7
22,205637,Arkham Horror: The Card Game,2016,27,8.130,7.819,-0.311,7.702,5
71,373106,Sky Team,2023,76,8.195,7.905,-0.290,7.440,5
3,342942,Ark Nova,2021,4,8.536,8.109,-0.427,7.983,1
11,162886,Spirit Island,2017,11,8.344,7.917,-0.427,7.816,0
1,224517,Brass: Birmingham,2018,1,8.594,8.168,-0.427,8.043,0
9,167791,Terraforming Mars,2016,7,8.356,7.930,-0.427,7.875,-2
8,316554,Dune: Imperium,2020,6,8.435,8.008,-0.427,7.891,-2
17,220308,Gaia Project,2017,12,8.372,7.945,-0.427,7.757,-5
50,397598,Dune: Imperium – Uprising,2023,44,8.734,8.308,-0.427,7.530,-6
25,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.454,8.027,-0.427,7.670,-7
26,169786,Scythe,2016,17,8.138,7.711,-0.427,7.652,-9
23,182028,Through the Ages: A New Story of Civilization,2015,14,8.282,7.856,-0.427,7.697,-9
28,84876,The Castles of Burgundy,2011,16,8.141,7.715,-0.427,7.637,-12
31,173346,7 Wonders Duel,2015,19,8.095,7.668,-0.427,7.617,-12
27,193738,Great Western Trail,2016,15,8.188,7.761,-0.427,7.641,-12
38,177736,A Feast for Odin,2016,23,8.171,7.744,-0.427,7.579,-15
83,321608,Hegemony: Lead Your Class to Victory,2023,66,8.463,8.036,-0.427,7.412,-17
21,174430,Gloomhaven,2017,3,8.583,7.784,-0.799,7.703,-18
39,28720,Brass: Lancashire,2007,20,8.195,7.768,-0.427,7.578,-19
48,120677,Terra Mystica,2012,29,8.059,7.633,-0.427,7.535,-19
43,124361,Concordia,2013,24,8.093,7.666,-0.427,7.550,-19
47,312484,Lost Ruins of Arnak,2020,28,8.072,7.646,-0.427,7.542,-19
46,341169,Great Western Trail: Second Edition,2021,26,8.328,7.902,-0.427,7.546,-20
59,251247,Barrage,2019,35,8.162,7.736,-0.427,7.483,-24
58,164928,Orléans,2014,32,8.060,7.634,-0.427,7.489,-26
64,183394,Viticulture Essential Edition,2015,38,7.986,7.559,-0.427,7.467,-26
29,161936,Pandemic Legacy: Season 1,2015,2,8.525,7.726,-0.799,7.634,-27
57,266192,Wingspan,2019,30,8.041,7.546,-0.495,7.498,-27
70,256960,Pax Pamir: Second Edition,2019,42,8.182,7.755,-0.427,7.445,-28
74,284378,Kanban EV,2020,46,8.418,7.991,-0.427,7.429,-28
80,184267,On Mars,2020,51,8.187,7.761,-0.427,7.417,-29
76,3076,Puerto Rico,2002,45,7.914,7.488,-0.427,7.425,-31
120,383179,Age of Innovation,2023,89,8.669,8.242,-0.427,7.306,-31
68,199792,Everdell,2018,36,8.022,7.527,-0.495,7.447,-32
85,185343,Anachrony,2017,50,8.070,7.644,-0.427,7.411,-35
89,170216,Blood Rage,2015,52,7.924,7.497,-0.427,7.405,-37
84,247763,Underwater Cities,2018,43,8.059,7.632,-0.427,7.412,-41
81,175914,Food Chain Magnate,2015,39,8.056,7.629,-0.427,7.416,-42
97,31260,Agricola,2007,54,7.873,7.446,-0.427,7.387,-43
92,102794,Caverna: The Cave Farmers,2013,49,7.944,7.518,-0.427,7.393,-43
127,191189,Aeon's End,2016,84,7.898,7.471,-0.427,7.276,-43
100,161533,Lisboa,2017,56,8.188,7.761,-0.427,7.378,-44
114,266810,Paladins of the West Kingdom,2019,70,7.979,7.552,-0.427,7.320,-44
53,115746,War of the Ring: Second Edition,2011,8,8.543,7.737,-0.806,7.523,-45
123,200680,Agricola (Revised Edition),2016,78,7.958,7.531,-0.427,7.303,-45
109,276025,Maracaibo,2019,64,8.011,7.584,-0.427,7.330,-45
128,72125,Eclipse: New Dawn for the Galaxy,2011,82,7.830,7.403,-0.427,7.260,-46
56,291457,Gloomhaven: Jaws of the Lion,2020,10,8.429,7.630,-0.799,7.498,-46
118,125153,The Gallerist,2015,71,8.021,7.595,-0.427,7.313,-47
111,182874,Grand Austria Hotel,2015,63,7.949,7.522,-0.427,7.325,-48
112,126163,Tzolk'in: The Mayan Calendar,2012,61,7.857,7.431,-0.427,7.325,-51
132,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.348,-0.427,7.251,-51
119,216132,Clans of Caledonia,2017,68,7.940,7.514,-0.427,7.311,-51
141,110327,Lords of Waterdeep,2012,88,7.733,7.307,-0.427,7.235,-53
138,159675,Fields of Arle,2014,85,8.030,7.603,-0.427,7.242,-53
150,256916,Concordia Venus,2018,97,8.290,7.863,-0.427,7.214,-53
78,295770,Frosthaven,2022,25,8.826,8.027,-0.799,7.419,-53
116,2651,Power Grid,2004,62,7.809,7.383,-0.427,7.319,-54
140,229853,Teotihuacan: City of Gods,2018,86,7.863,7.436,-0.427,7.237,-54
125,35677,Le Havre,2008,69,7.848,7.421,-0.427,7.291,-56
137,28143,Race for the Galaxy,2007,80,7.744,7.318,-0.427,7.245,-57
148,317985,Beyond the Sun,2020,87,7.917,7.491,-0.427,7.224,-61
158,279537,The Search for Planet X,2020,96,7.942,7.516,-0.427,7.206,-62
153,25613,Through the Ages: A Story of Civilization,2006,90,7.840,7.413,-0.427,7.210,-63
160,62219,Dominant Species,2010,92,7.814,7.388,-0.427,7.204,-68
