rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
1,224517,Brass: Birmingham,2018,1,8.595,8.168,-0.427,8.044,0
2,187645,Star Wars: Rebellion,2016,9,8.418,8.198,-0.221,8.021,7
3,342942,Ark Nova,2021,4,8.535,8.109,-0.427,7.981,1
4,285774,Marvel Champions: The Card Game,2019,41,8.121,8.182,0.061,7.947,37
5,295947,Cascadia,2021,46,7.946,8.058,0.112,7.919,41
6,324856,The Crew: Mission Deep Sea,2021,37,8.142,8.224,0.082,7.919,31
7,366013,Heat: Pedal to the Metal,2022,40,8.060,8.142,0.082,7.914,33
8,316554,Dune: Imperium,2020,6,8.434,8.008,-0.427,7.890,-2
9,167791,Terraforming Mars,2016,7,8.357,7.930,-0.427,7.876,-2
10,167355,Nemesis,2018,21,8.267,8.047,-0.221,7.871,11
11,162886,Spirit Island,2017,11,8.344,7.918,-0.427,7.816,0
12,244521,The Quacks of Quedlinburg,2018,66,7.822,7.904,0.082,7.799,54
13,230802,Azul,2017,78,7.745,7.857,0.112,7.799,65
14,124742,Android: Netrunner,2012,73,7.883,7.944,0.061,7.771,59
15,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.533,8.312,-0.221,7.766,7
16,284083,The Crew: The Quest for Planet Nine,2019,75,7.799,7.881,0.082,7.758,59
17,220308,Gaia Project,2017,12,8.373,7.947,-0.427,7.758,-5
18,55690,Kingdom Death: Monster,2015,76,8.494,8.274,-0.221,7.743,58
19,225694,Decrypto,2018,99,7.770,7.965,0.195,7.741,80
20,251661,Oathsworn: Into the Deepwood,2022,65,8.963,8.743,-0.221,7.710,45
21,174430,Gloomhaven,2017,3,8.584,7.786,-0.798,7.705,-18
22,205637,Arkham Horror: The Card Game,2016,27,8.130,7.819,-0.311,7.703,5
23,182028,Through the Ages: A New Story of Civilization,2015,14,8.285,7.858,-0.427,7.700,-9
24,178900,Codenames,2015,129,7.547,7.741,0.195,7.685,105
25,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.455,8.028,-0.427,7.670,-7
26,169786,Scythe,2016,17,8.139,7.713,-0.427,7.654,-9
27,193738,Great Western Trail,2016,15,8.189,7.763,-0.427,7.643,-12
28,84876,The Castles of Burgundy,2011,16,8.141,7.715,-0.427,7.637,-12
29,161936,Pandemic Legacy: Season 1,2015,2,8.525,7.727,-0.798,7.636,-27
30,163412,Patchwork,2014,114,7.600,7.712,0.112,7.635,84
31,173346,7 Wonders Duel,2015,19,8.095,7.668,-0.427,7.617,-12
32,254640,Just One,2018,142,7.601,7.796,0.195,7.610,110
33,291453,SCOUT,2019,105,7.823,7.905,0.082,7.608,72
34,205059,Mansions of Madness: Second Edition,2016,58,7.946,7.725,-0.221,7.594,24
35,255984,Sleeping Gods,2021,54,8.200,7.980,-0.221,7.591,19
36,253344,Cthulhu: Death May Die,2019,57,8.184,7.964,-0.221,7.588,21
37,177736,A Feast for Odin,2016,23,8.172,7.745,-0.427,7.579,-14
38,28720,Brass: Lancashire,2007,20,8.194,7.768,-0.427,7.577,-18
39,128882,The Resistance: Avalon,2012,196,7.519,7.714,0.195,7.570,157
40,266524,PARKS,2019,133,7.679,7.761,0.082,7.563,93
41,249259,War Chest,2018,182,7.841,8.023,0.181,7.560,141
