rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
1,174430,Gloomhaven,2017,3,8.584,8.519,-0.065,8.412,2
2,224517,Brass: Birmingham,2018,1,8.595,8.530,-0.065,8.388,-1
3,161936,Pandemic Legacy: Season 1,2015,2,8.525,8.460,-0.065,8.339,-1
4,291457,Gloomhaven: Jaws of the Lion,2020,10,8.431,8.502,0.071,8.316,6
5,316554,Dune: Imperium,2020,6,8.434,8.369,-0.065,8.234,1
6,342942,Ark Nova,2021,4,8.535,8.334,-0.201,8.196,-2
7,84876,The Castles of Burgundy,2011,16,8.141,8.213,0.071,8.117,9
8,173346,7 Wonders Duel,2015,19,8.095,8.166,0.071,8.103,11
9,220308,Gaia Project,2017,12,8.373,8.309,-0.065,8.091,3
10,177736,A Feast for Odin,2016,23,8.172,8.243,0.071,8.040,13
11,162886,Spirit Island,2017,11,8.344,8.143,-0.201,8.032,0
12,312484,Lost Ruins of Arnak,2020,28,8.073,8.144,0.071,8.016,16
13,266192,Wingspan,2019,30,8.043,8.069,0.026,8.008,17
14,246900,Eclipse: Second Dawn for the Galaxy,2020,18,8.455,8.390,-0.065,7.980,4
15,167791,Terraforming Mars,2016,7,8.357,8.020,-0.337,7.963,-8
16,324856,The Crew: Mission Deep Sea,2021,37,8.142,8.259,0.117,7.949,21
17,199792,Everdell,2018,36,8.023,8.049,0.026,7.948,19
18,205637,Arkham Horror: The Card Game,2016,27,8.130,8.065,-0.065,7.936,9
19,193738,Great Western Trail,2016,15,8.189,8.057,-0.133,7.921,-4
20,251661,Oathsworn: Into the Deepwood,2022,65,8.963,9.034,0.071,7.909,45
21,28720,Brass: Lancashire,2007,20,8.194,8.130,-0.065,7.909,-1
22,366013,Heat: Pedal to the Metal,2022,40,8.060,8.131,0.071,7.905,18
23,237182,Root,2018,31,8.072,8.007,-0.065,7.901,8
24,285774,Marvel Champions: The Card Game,2019,41,8.121,8.124,0.003,7.894,17
25,167355,Nemesis,2018,21,8.267,8.066,-0.201,7.889,-4
26,120677,Terra Mystica,2012,29,8.061,7.996,-0.065,7.882,3
27,295947,Cascadia,2021,46,7.946,8.017,0.071,7.880,19
28,183394,Viticulture Essential Edition,2015,38,7.986,7.989,0.003,7.878,10
29,192135,Too Many Bones,2017,33,8.341,8.276,-0.065,7.876,4
30,169786,Scythe,2016,17,8.139,7.938,-0.201,7.873,-13
31,295770,Frosthaven,2022,26,8.831,8.630,-0.201,7.872,-5
32,31260,Agricola,2007,53,7.873,7.945,0.071,7.870,21
33,55690,Kingdom Death: Monster,2015,76,8.494,8.429,-0.065,7.869,43
34,102794,Caverna: The Cave Farmers,2013,48,7.945,8.016,0.071,7.861,14
35,185343,Anachrony,2017,49,8.073,8.145,0.071,7.857,14
36,96848,Mage Knight Board Game,2011,34,8.084,8.019,-0.065,7.857,-2
37,115746,War of the Ring: Second Edition,2011,8,8.541,8.068,-0.473,7.821,-29
38,256960,Pax Pamir: Second Edition,2019,42,8.185,8.189,0.003,7.817,4
39,251247,Barrage,2019,35,8.162,8.097,-0.065,7.802,-4
40,231733,Obsession,2018,60,8.142,8.214,0.071,7.802,20
41,12333,Twilight Struggle,2005,13,8.245,7.908,-0.337,7.800,-28
42,341169,Great Western Trail: Second Edition,2021,25,8.335,8.202,-0.133,7.798,-17
43,284083,The Crew: The Quest for Planet Nine,2019,75,7.799,7.916,0.117,7.791,32
44,182028,Through the Ages: A New Story of Civilization,2015,14,8.285,7.948,-0.337,7.783,-30
45,266507,Clank! Legacy: Acquisitions Incorporated,2019,22,8.533,8.332,-0.201,7.782,-23
46,276025,Maracaibo,2019,63,8.014,8.085,0.071,7.769,17
47,180263,The 7th Continent,2017,110,7.815,7.999,0.185,7.764,63
48,216132,Clans of Caledonia,2017,68,7.942,8.013,0.071,7.760,20
49,230802,Azul,2017,78,7.745,7.816,0.071,7.759,29
50,35677,Le Havre,2008,69,7.848,7.920,0.071,7.756,19
51,373106,Sky Team,2023,80,8.195,8.335,0.139,7.755,29
52,170216,Blood Rage,2015,50,7.925,7.860,-0.065,7.751,-2
53,200680,Agricola (Revised Edition),2016,77,7.957,8.028,0.071,7.743,24
54,314040,Pandemic Legacy: Season 0,2020,52,8.394,8.397,0.003,7.737,-2
55,201808,Clank!: A Deck-Building Adventure,2016,83,7.777,7.848,0.071,7.728,28
56,397598,Dune: Imperium – Uprising,2023,59,8.730,8.665,-0.065,7.725,3
57,244521,The Quacks of Quedlinburg,2018,66,7.822,7.826,0.003,7.724,9
58,28143,Race for the Galaxy,2007,79,7.744,7.815,0.071,7.724,21
59,255984,Sleeping Gods,2021,54,8.200,8.135,-0.065,7.722,-5
60,124361,Concordia,2013,24,8.093,7.847,-0.246,7.721,-36
61,124742,Android: Netrunner,2012,73,7.883,7.887,0.003,7.718,12
62,284378,Kanban EV,2020,47,8.421,8.356,-0.065,7.709,-15
63,68448,7 Wonders,2010,94,7.680,7.752,0.071,7.703,31
64,164928,Orléans,2014,32,8.060,7.859,-0.201,7.699,-32
65,164153,Star Wars: Imperial Assault,2014,72,7.964,7.899,-0.065,7.694,7
66,225694,Decrypto,2018,99,7.770,7.910,0.139,7.690,33
67,157354,Five Tribes: The Djinns of Naqala,2014,81,7.775,7.801,0.026,7.680,14
68,161533,Lisboa,2017,55,8.189,8.125,-0.065,7.679,-13
69,221107,Pandemic Legacy: Season 2,2017,56,8.030,7.965,-0.065,7.671,-13
70,163412,Patchwork,2014,114,7.600,7.739,0.139,7.661,44
71,291453,SCOUT,2019,105,7.823,7.962,0.139,7.658,34
72,187645,Star Wars: Rebellion,2016,9,8.418,7.809,-0.609,7.658,-63
73,247763,Underwater Cities,2018,43,8.059,7.903,-0.156,7.654,-30
74,182874,Grand Austria Hotel,2015,64,7.947,7.882,-0.065,7.649,-10
75,3076,Puerto Rico,2002,44,7.915,7.714,-0.201,7.645,-31
76,264220,Tainted Grail: The Fall of Avalon,2019,98,8.090,8.025,-0.065,7.635,22
77,178900,Codenames,2015,129,7.547,7.686,0.139,7.631,52
78,125153,The Gallerist,2015,71,8.022,7.957,-0.065,7.626,-7
79,209010,Mechs vs. Minions,2016,74,7.969,7.904,-0.065,7.625,-5
80,40834,Dominion: Intrigue,2009,110,7.690,7.761,0.071,7.616,30
81,36218,Dominion,2008,118,7.599,7.670,0.071,7.616,37
82,171623,The Voyages of Marco Polo,2015,92,7.782,7.807,0.026,7.613,10
83,184267,On Mars,2020,51,8.187,7.986,-0.201,7.608,-32
84,253344,Cthulhu: Death May Die,2019,57,8.184,7.983,-0.201,7.604,-27
85,191189,Aeon's End,2016,84,7.898,7.833,-0.065,7.602,-1
86,72125,Eclipse: New Dawn for the Galaxy,2011,82,7.830,7.765,-0.065,7.596,-4
87,383179,Age of Innovation,2023,93,8.690,8.716,0.026,7.585,6
88,110327,Lords of Waterdeep,2012,88,7.733,7.668,-0.065,7.582,0
89,321608,Hegemony: Lead Your Class to Victory,2023,67,8.471,8.270,-0.201,7.574,-22
90,463,Magic: The Gathering,1993,164,7.576,7.692,0.117,7.572,74
91,147020,Star Realms,2014,148,7.562,7.679,0.117,7.571,57
92,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,95,7.741,7.676,-0.065,7.567,3
93,366161,Wingspan Asia,2022,106,8.305,8.331,0.026,7.566,13
94,277659,Final Girl,2021,144,8.330,8.447,0.117,7.562,50
95,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,110,7.921,7.856,-0.065,7.558,15
96,266524,PARKS,2019,133,7.679,7.750,0.071,7.554,37
97,217372,The Quest for El Dorado,2017,120,7.674,7.745,0.071,7.549,23
98,240980,Blood on the Clocktower,2022,177,8.338,8.409,0.071,7.544,79
99,159675,Fields of Arle,2014,85,8.029,7.964,-0.065,7.541,-14
100,317985,Beyond the Sun,2020,87,7.921,7.856,-0.065,7.539,-13
101,126163,Tzolk'in: The Mayan Calendar,2012,61,7.858,7.657,-0.201,7.538,-40
102,77423,The Lord of the Rings: The Card Game,2011,166,7.662,7.733,0.071,7.538,64
103,254640,Just One,2018,142,7.601,7.717,0.117,7.538,39
104,14996,Ticket to Ride: Europe,2005,155,7.529,7.601,0.071,7.538,51
105,155821,Inis,2016,100,7.827,7.762,-0.065,7.533,-5
106,365717,Clank!: Catacombs,2022,108,8.274,8.277,0.003,7.533,2
107,93,El Grande,1995,90,7.756,7.691,-0.065,7.531,-17
108,329082,Radlands,2021,183,7.841,7.957,0.117,7.523,75
109,263918,Cartographers,2019,139,7.616,7.687,0.071,7.521,30
110,266810,Paladins of the West Kingdom,2019,70,7.980,7.779,-0.201,7.521,-40
111,103885,Star Wars: X-Wing Miniatures Game,2012,175,7.634,7.705,0.071,7.520,64
112,279537,The Search for Planet X,2020,96,7.949,7.884,-0.065,7.515,-16
113,262712,Res Arcana,2019,141,7.660,7.731,0.071,7.513,28
114,236457,Architects of the West Kingdom,2018,103,7.733,7.668,-0.065,7.510,-11
115,30549,Pandemic,2008,140,7.540,7.544,0.003,7.506,25
116,364073,Splendor Duel,2022,136,7.980,8.051,0.071,7.502,20
117,271324,It's a Wonderful World,2019,149,7.683,7.755,0.071,7.497,32
118,175914,Food Chain Magnate,2015,39,8.057,7.720,-0.337,7.497,-79
119,294484,Unmatched: Cobble & Fog,2020,186,7.974,8.091,0.117,7.496,67
120,163068,Trickerion: Legends of Illusion,2015,102,7.976,7.911,-0.065,7.496,-18
121,18602,Caylus,2005,109,7.716,7.652,-0.065,7.494,-12
122,170042,Raiders of the North Sea,2015,110,7.737,7.672,-0.065,7.484,-12
123,205059,Mansions of Madness: Second Edition,2016,58,7.946,7.608,-0.337,7.484,-65
124,146652,Legendary Encounters: An Alien Deck Building Game,2014,172,7.756,7.827,0.071,7.482,48
125,233867,Welcome To...,2018,185,7.533,7.626,0.094,7.481,60
126,42,Tigris & Euphrates,1997,109,7.704,7.639,-0.065,7.480,-17
127,256916,Concordia Venus,2018,97,8.291,8.227,-0.065,7.472,-30
128,233371,Clank! In! Space!: A Deck-Building Adventure,2017,125,7.792,7.795,0.003,7.472,-3
129,54043,Jaipur,2009,187,7.487,7.558,0.071,7.471,58
130,249259,War Chest,2018,182,7.841,7.913,0.071,7.471,52
131,209418,Dominion (Second Edition),2016,181,7.836,7.908,0.071,7.469,50
132,198928,Iberia,2016,127,7.890,7.893,0.003,7.463,-5
133,274364,Watergate,2019,145,7.785,7.856,0.071,7.462,12
134,244522,That's Pretty Clever!,2018,180,7.572,7.643,0.071,7.461,46
135,203993,Lorenzo il Magnifico,2016,110,7.851,7.786,-0.065,7.460,-25
136,10630,Memoir '44,2004,196,7.534,7.605,0.071,7.457,60
137,132531,Roll for the Galaxy,2014,134,7.595,7.598,0.003,7.455,-3
138,128882,The Resistance: Avalon,2012,196,7.519,7.591,0.071,7.455,58
139,822,Carcassonne,2000,214,7.411,7.482,0.071,7.446,75
140,271055,Dwellings of Eldervale,2020,116,8.189,8.124,-0.065,7.446,-24
141,43015,Hansa Teutonica,2009,126,7.734,7.737,0.003,7.444,-15
142,304783,Hadrian's Wall,2021,153,7.976,8.047,0.071,7.443,11
143,229853,Teotihuacan: City of Gods,2018,86,7.865,7.664,-0.201,7.441,-57
144,199561,Sagrada,2017,200,7.478,7.549,0.071,7.440,56
145,188920,This War of Mine: The Board Game,2017,193,7.771,7.774,0.003,7.438,48
146,148228,Splendor,2014,213,7.424,7.495,0.071,7.438,67
147,281259,The Isle of Cats,2019,128,7.716,7.651,-0.065,7.436,-19
148,102680,Trajan,2011,117,7.752,7.687,-0.065,7.433,-31
149,12,Ra,1999,138,7.606,7.610,0.003,7.430,-11
150,148949,Istanbul,2014,176,7.543,7.568,0.026,7.428,26
151,328871,Terraforming Mars: Ares Expedition,2021,171,7.672,7.676,0.003,7.425,20
152,268864,Undaunted: Normandy,2019,167,7.806,7.809,0.003,7.424,15
153,325494,ISS Vanguard,2022,188,8.596,8.395,-0.201,7.420,35
154,287954,Azul: Summer Pavilion,2019,199,7.628,7.700,0.071,7.419,45
155,227935,Wonderland's War,2022,174,8.113,8.116,0.003,7.417,19
156,9209,Ticket to Ride,2004,230,7.394,7.465,0.071,7.415,74
157,218417,Aeon's End: War Eternal,2017,121,8.269,8.204,-0.065,7.412,-36
158,220877,Rajas of the Ganges,2017,147,7.728,7.731,0.003,7.412,-11
159,129437,Legendary: A Marvel Deck Building Game,2012,236,7.535,7.606,0.071,7.409,77
160,339789,Welcome to the Moon,2021,195,7.961,8.055,0.094,7.407,35
161,172287,Champions of Midgard,2015,132,7.727,7.662,-0.065,7.407,-29
162,2651,Power Grid,2004,62,7.810,7.473,-0.337,7.406,-100
163,308765,Praga Caput Regni,2020,152,7.925,7.928,0.003,7.398,-11
164,224037,Codenames: Duet,2017,231,7.454,7.594,0.139,7.393,67
165,306735,Under Falling Skies,2020,217,7.684,7.801,0.117,7.393,52
166,198994,Hero Realms,2016,263,7.523,7.639,0.117,7.392,97
167,350184,Earth,2023,191,7.682,7.685,0.003,7.391,24
168,192291,Sushi Go Party!,2016,250,7.400,7.517,0.117,7.389,82
169,172386,Mombasa,2015,110,7.850,7.717,-0.133,7.386,-59
170,31627,Ticket to Ride: Nordic Countries,2007,201,7.627,7.699,0.071,7.386,31
171,390092,Ticket to Ride Legacy: Legends of the West,2023,198,8.738,8.855,0.117,7.384,27
172,158600,Hanamikoji,2013,239,7.497,7.636,0.139,7.383,67
173,175640,Vinhos: Deluxe Edition,2016,123,8.101,8.036,-0.065,7.381,-50
174,182631,Star Realms: Colony Wars,2015,216,7.803,7.920,0.117,7.380,42
175,34635,Stone Age,2008,161,7.527,7.462,-0.065,7.379,-14
176,283155,Calico,2020,225,7.550,7.621,0.071,7.379,49
177,332772,Revive,2022,104,8.146,7.945,-0.201,7.377,-73
178,156129,Deception: Murder in Hong Kong,2014,237,7.459,7.575,0.117,7.376,59
179,194655,Santorini,2016,256,7.369,7.486,0.117,7.372,77
180,318977,MicroMacro: Crime City,2020,242,7.518,7.657,0.139,7.372,62
181,205896,Rising Sun,2018,119,7.779,7.578,-0.201,7.371,-62
182,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,151,7.640,7.575,-0.065,7.370,-31
183,274637,"Unmatched: Battle of Legends, Volume One",2019,251,7.755,7.871,0.117,7.368,68
184,189932,Tyrants of the Underdark,2016,163,7.909,7.844,-0.065,7.366,-21
185,82222,Xia: Legends of a Drift System,2014,184,7.856,7.791,-0.065,7.365,-1
186,310873,Carnegie,2022,107,8.021,7.820,-0.201,7.364,-79
187,118048,Targi,2012,143,7.615,7.551,-0.065,7.363,-44
188,233398,Endeavor: Age of Sail,2018,154,7.896,7.831,-0.065,7.362,-34
189,204583,Kingdomino,2016,280,7.313,7.452,0.139,7.360,91
190,165722,KLASK,2014,247,7.632,7.794,0.162,7.359,57
191,235802,Too Many Bones: Undertow,2018,179,8.684,8.619,-0.065,7.358,-12
192,188834,Secret Hitler,2016,234,7.512,7.515,0.003,7.356,42
193,223040,Fantasy Realms,2017,246,7.523,7.640,0.117,7.347,53
194,296151,Viscounts of the West Kingdom,2020,173,7.842,7.777,-0.065,7.344,-21
195,122515,Keyflower,2012,109,7.725,7.524,-0.201,7.342,-86
196,239188,Chronicles of Crime,2018,266,7.598,7.533,-0.065,7.341,70
197,300531,Paleo,2020,210,7.705,7.708,0.003,7.339,13
198,73439,Troyes,2010,108,7.716,7.515,-0.201,7.335,-90
199,316377,7 Wonders (Second Edition),2020,243,7.869,7.940,0.071,7.329,44
200,39463,Cosmic Encounter,2008,200,7.521,7.457,-0.065,7.329,0
201,43111,Chaos in the Old World,2009,190,7.662,7.597,-0.065,7.328,-11
202,199478,Flamme Rouge,2016,253,7.496,7.567,0.071,7.328,51
203,171131,Captain Sonar,2016,207,7.524,7.527,0.003,7.327,4
204,322289,Darwin's Journey,2023,166,8.199,8.134,-0.065,7.326,-38
205,282524,Horrified,2019,199,7.647,7.582,-0.065,7.325,-6
206,2655,Hive,2001,299,7.320,7.437,0.117,7.323,93
207,283948,Marco Polo II: In the Service of the Khan,2019,177,7.958,7.893,-0.065,7.323,-30
208,232832,Century: Golem Edition,2017,241,7.602,7.673,0.071,7.321,33
209,295486,My City,2020,229,7.657,7.728,0.071,7.320,20
210,310100,Nemesis: Lockdown,2022,157,8.364,8.163,-0.201,7.319,-53
211,150376,Dead of Winter: A Crossroads Game,2014,209,7.471,7.406,-0.065,7.315,-2
212,7854,YINSH,2003,227,7.712,7.783,0.071,7.314,15
213,118,Modern Art,1992,212,7.496,7.499,0.003,7.308,-1
214,176494,Isle of Skye: From Chieftain to King,2015,255,7.397,7.469,0.071,7.303,41
215,260605,Camel Up (Second Edition),2018,259,7.581,7.652,0.071,7.303,44
216,146021,Eldritch Horror,2013,110,7.753,7.416,-0.337,7.302,-106
217,160477,Onitama,2014,309,7.353,7.492,0.139,7.301,92
218,258779,Planet Unknown,2022,192,7.818,7.753,-0.065,7.295,-26
219,126042,Nations,2013,223,7.607,7.633,0.026,7.294,4
220,337627,Voidfall,2023,174,8.571,8.370,-0.201,7.294,-46
221,176189,Zombicide: Black Plague,2015,244,7.618,7.553,-0.065,7.294,23
222,25613,Through the Ages: A Story of Civilization,2006,89,7.841,7.504,-0.337,7.291,-133
223,293014,Nidavellir,2020,220,7.603,7.606,0.003,7.287,-3
224,62219,Dominant Species,2010,90,7.814,7.477,-0.337,7.285,-134
225,3,Samurai,1998,264,7.465,7.536,0.071,7.283,39
226,37111,Battlestar Galactica: The Board Game,2008,101,7.731,7.393,-0.337,7.281,-125
227,371942,The White Castle,2023,179,7.976,7.820,-0.156,7.281,-48
228,129622,Love Letter,2012,327,7.225,7.342,0.117,7.280,99
229,314491,Meadow,2021,200,7.762,7.697,-0.065,7.279,-29
230,92828,Dixit: Odyssey,2011,291,7.403,7.474,0.071,7.278,61
231,244271,Dice Throne: Season Two – Battle Chest,2018,297,8.079,8.196,0.117,7.275,66
232,380607,Great Western Trail: New Zealand,2023,182,8.615,8.482,-0.133,7.262,-50
233,242302,Space Base,2018,204,7.548,7.483,-0.065,7.261,-29
234,196340,Yokohama,2016,131,7.812,7.611,-0.201,7.258,-103
235,54998,Cyclades,2009,229,7.512,7.447,-0.065,7.255,-6
