rank,bgg_id,name
1,167791,Terraforming Mars
2,161936,Pandemic Legacy: Season 1
3,316554,Dune: Imperium
4,224517,Brass: Birmingham
5,174430,Gloomhaven
6,169786,Scythe
7,342942,Ark Nova
8,187645,Star Wars: Rebellion
9,84876,The Castles of Burgundy
10,291457,Gloomhaven: Jaws of the Lion
11,173346,7 Wonders Duel
12,246900,Eclipse: Second Dawn for the Galaxy
13,162886,Spirit Island
14,182028,Through the Ages: A New Story of Civilization
15,115746,War of the Ring: Second Edition
16,233078,Twilight Imperium: Fourth Edition
17,164928,Orléans
18,183394,Viticulture Essential Edition
19,124361,Concordia
20,266192,Wingspan
21,220308,Gaia Project
22,193738,Great Western Trail
23,177736,A Feast for Odin
24,237182,Root
25,120677,Terra Mystica
26,28720,Brass: Lancashire
27,102794,Caverna: The Cave Farmers
28,110327,Lords of Waterdeep
29,521,Crokinole
30,312484,Lost Ruins of Arnak
31,266507,Clank! Legacy: Acquisitions Incorporated
32,199792,Everdell
33,72125,Eclipse: New Dawn for the Galaxy
34,201808,Clank!: A Deck-Building Adventure
35,12333,Twilight Struggle
36,244521,The Quacks of Quedlinburg
37,271320,The Castles of Burgundy
38,3076,Puerto Rico
39,216132,Clans of Caledonia
40,126163,Tzolk'in: The Mayan Calendar
41,209010,Mechs vs. Minions
42,31260,Agricola
43,230802,Azul
44,167355,Nemesis
45,68448,7 Wonders
46,157354,Five Tribes: The Djinns of Naqala
47,170216,Blood Rage
48,96848,Mage Knight Board Game
49,366013,Heat: Pedal to the Metal
50,2651,Power Grid
51,200680,Agricola (Revised Edition)
52,233371,Clank! In! Space!: A Deck-Building Adventure
53,164153,Star Wars: Imperial Assault
54,121921,Robinson Crusoe: Adventures on the Cursed Island
55,205637,Arkham Horror: The Card Game
56,295947,Cascadia
57,170042,Raiders of the North Sea
58,231733,Obsession
59,205059,Mansions of Madness: Second Edition
60,236457,Architects of the West Kingdom
61,28143,Race for the Galaxy
62,132531,Roll for the Galaxy
63,341169,Great Western Trail: Second Edition
64,148949,Istanbul
65,185343,Anachrony
66,36218,Dominion
67,163412,Patchwork
68,198928,Iberia
69,128621,Viticulture
70,247763,Underwater Cities
71,317985,Beyond the Sun
72,35677,Le Havre
73,30549,Pandemic
74,147020,Star Realms
75,217372,The Quest for El Dorado
76,189932,Tyrants of the Underdark
77,284083,The Crew: The Quest for Planet Nine
78,178900,Codenames
79,233398,Endeavor: Age of Sail
80,34635,Stone Age
81,160069,Ticket to Ride: 10th Anniversary
82,172287,Champions of Midgard
83,118048,Targi
84,37111,Battlestar Galactica: The Board Game
85,175914,Food Chain Magnate
86,155821,Inis
87,324856,The Crew: Mission Deep Sea
88,123260,Suburbia
89,93,El Grande
90,248562,Mage Knight: Ultimate Edition
91,256916,Concordia Venus
92,40834,Dominion: Intrigue
93,14996,Ticket to Ride: Europe
94,155426,Castles of Mad King Ludwig
95,54043,Jaipur
96,62219,Dominant Species
97,108687,Puerto Rico
98,363622,The Castles of Burgundy: Special Edition
99,171623,The Voyages of Marco Polo
100,182874,Grand Austria Hotel
101,266524,PARKS
102,159675,Fields of Arle
103,148228,Splendor
104,209418,Dominion (Second Edition)
105,150376,Dead of Winter: A Crossroads Game
106,82222,Xia: Legends of a Drift System
107,54998,Cyclades
108,146021,Eldritch Horror
109,127023,Kemet
110,124742,Android: Netrunner
111,266810,Paladins of the West Kingdom
112,144733,Russian Railroads
113,122515,Keyflower
114,31627,Ticket to Ride: Nordic Countries
115,285774,Marvel Champions: The Card Game
116,196340,Yokohama
117,822,Carcassonne
118,12,Ra
119,146652,Legendary Encounters: An Alien Deck Building Game
120,161970,Alchemists
121,463,Magic: The Gathering
122,263918,Cartographers
123,233867,Welcome To...
124,244522,That's Pretty Clever!
125,225694,Decrypto
126,182631,Star Realms: Colony Wars
127,43015,Hansa Teutonica
128,262712,Res Arcana
129,10630,Memoir '44
130,199561,Sagrada
131,254640,Just One
132,191189,Aeon's End
133,279537,The Search for Planet X
134,9209,Ticket to Ride
135,249259,War Chest
136,242302,Space Base
137,199478,Flamme Rouge
138,274364,Watergate
139,104006,Village
140,73439,Troyes
141,271324,It's a Wonderful World
142,48726,Alien Frontiers
143,19857,Glory to Rome
144,171131,Captain Sonar
145,17133,Railways of the World
146,176494,Isle of Skye: From Chieftain to King
147,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
148,47,Chinatown
149,229853,Teotihuacan: City of Gods
150,192291,Sushi Go Party!
151,206718,Ethnos
152,180263,The 7th Continent
153,154597,Hive Pocket
154,220877,Rajas of the Ganges
155,287954,Azul: Summer Pavilion
156,269207,The Taverns of Tiefenthal
157,276025,Maracaibo
158,169426,Roll Player
159,232832,Century: Golem Edition
160,188834,Secret Hitler
161,281259,The Isle of Cats
162,221194,Dinosaur Island
163,59959,Letters from Whitechapel
164,140620,Lewis & Clark: The Expedition
165,31481,Galaxy Trucker
166,129622,Love Letter
