game_id,bgg_id,name,num_all_matches,num_connected_matches,num_all_players,num_connected_players,num_regular_players,num_max_matches,two_player_only,elo_k,std_dev,p_deterministic
2417,102881,Trench,1502,1084,997,386,13,210,true,141.1,380.5,0.87
2327,302385,Natural Chaos,471,186,549,128,3,49,true,100.1,368.6,0.86
1588,120533,Redstone,1393,811,1217,429,6,196,true,185.3,361.4,0.86
1359,526,Abalone,86122,69499,43228,22575,551,9097,true,130.4,358.1,0.86
1731,368733,Roll Into Town,4726,2944,4140,1810,34,316,false,157.8,328.8,0.84
1174,287002,Marram,8322,6436,4431,1345,61,772,false,78.9,314.1,0.83
1896,2065,Shogi,11302,5694,7158,1780,85,304,true,139.7,308.1,0.82
1297,127304,Herooj,2241,1573,1536,586,21,498,true,120.0,294.0,0.81
1786,325735,Empire Plateau,2353,1136,2147,519,11,237,true,110.6,292.4,0.81
1458,340377,EVL,386,253,265,85,6,51,true,160.4,290.3,0.81
1944,376707,Cannonades,1048,464,1296,358,7,106,false,74.9,287.9,0.81
1512,318702,Tumbleweed,8178,6940,2744,1403,101,1365,true,98.2,279.7,0.8
1081,188,Go,98542,71399,51909,22678,995,1505,true,117.2,275.6,0.8
1578,30936,Oust,7397,5717,2071,888,76,1290,true,99.8,273.9,0.79
1574,359061,Rive,682,528,355,142,10,147,true,82.8,271.4,0.79
29,18602,Caylus,133521,123606,45776,31648,1895,2852,false,113.7,271.0,0.79
1515,14634,Homeworlds,13681,12225,3445,1931,174,1418,true,92.4,269.0,0.79
1280,250725,Thrive,3895,2225,2952,995,26,266,true,96.5,267.4,0.79
1596,74129,Fractal,9573,6177,3632,1472,91,529,true,120.3,266.4,0.78
1504,331666,Zola,4041,2818,2561,961,43,406,true,96.9,265.6,0.78
tennis_wta,,Tennis_Wta,751965,751949,30045,30013,8352,1735,true,65.6,264.9,0.78
2484,336933,Elongo,2458,1557,2240,840,13,152,false,132.2,261.7,0.78
1794,7388989,Expeditions: Around the World,30925,27240,11368,6123,344,1819,false,75.9,260.6,0.78
1007,4112,Hex,140629,109878,39013,19070,1405,5962,true,100.8,260.4,0.78
1973,379706,Quartermaster General: East Front,13806,11692,5133,2467,193,1793,true,101.0,258.8,0.77
1598,311725,Dice Theme Park,5896,3584,6983,2891,40,306,false,149.9,258.1,0.77
2090,419643,Norsemen,606,420,708,369,2,34,false,116.4,257.1,0.77
74,26952,Checkers,483688,380190,200447,91337,3132,11523,true,75.3,257.0,0.77
1968,19253,Mate,947,624,709,265,9,89,true,102.7,256.7,0.77
2173,2955,Mexica,1325,865,1855,992,8,74,false,163.9,256.4,0.77
1696,357973,Rift Valley Reserve,2433,1080,2937,1007,6,55,false,144.9,255.2,0.77
1157,182274,NXS,7794,5147,5667,1768,67,387,true,93.0,254.6,0.77
1388,121073,Panic Lab,18405,7913,18489,4720,103,334,false,121.5,254.0,0.77
1150,20782,Siam,2079,831,1389,392,8,80,true,119.4,252.3,0.77
1651,333775,Meridians,7788,5863,3370,1514,91,426,true,82.3,252.1,0.77
1034,12995,Dungeon Twister,51629,45487,14188,6669,499,2485,true,72.8,251.5,0.77
1031,2393,Xiangqi,65941,42554,34617,12910,604,1733,true,104.5,249.7,0.76
1608,358196,Lifeline,6986,3962,3761,1345,47,421,true,79.7,249.2,0.76
2274,437821,Sir Ocelot's cave,5805,3575,4516,1808,29,202,true,88.8,249.1,0.76
1683,67080,Flume,4013,2426,2326,750,34,451,true,103.8,248.9,0.76
1814,355467,Envelopes of Cash,2785,2030,2423,1101,33,171,false,113.7,248.1,0.76
81,171,Chess,1092438,988587,186356,103044,9550,37380,true,64.1,248.1,0.76
