num_players,num_matches,players_per_match,p_deterministic,elo_k,elo_scale,mean,std_dev,p00,p01,p25,p50,p75,p99,p100
1000,1000000,2,0.00000,0.00000,400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,1000000,2,0.00000,0.00000,400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,1000000,2,0.01000,0.02066,400,0.00000,0.44282,-1.36669,-1.03676,-0.29851,0.01103,0.29717,1.01630,1.51849
1000,1000000,2,0.02000,0.08885,400,0.00000,1.92970,-5.50039,-4.58259,-1.23562,0.03191,1.25848,4.56838,5.83277
1000,1000000,2,0.03000,0.15199,400,-0.00000,3.55574,-10.85998,-8.14491,-2.44893,0.03809,2.46450,8.00488,11.66648
1000,1000000,2,0.04000,0.27564,400,-0.00000,6.07470,-18.53315,-12.93669,-4.31200,0.18934,4.14792,13.51828,17.39111
1000,1000000,2,0.05000,0.38040,400,0.00000,8.85232,-24.45463,-19.99441,-6.64563,0.08805,6.47631,18.32899,23.56972
1000,1000000,2,0.06000,0.48979,400,0.00000,10.98594,-28.25873,-23.75481,-8.50362,0.16336,8.35023,23.40764,31.42082
1000,1000000,2,0.07000,0.58907,400,0.00000,13.48188,-36.97822,-28.11747,-10.22474,-0.08758,9.74284,27.73177,36.18735
1000,1000000,2,0.08000,0.69017,400,0.00000,15.86024,-41.44552,-34.70802,-12.09660,0.45840,11.87045,30.86468,38.94165
1000,1000000,2,0.09000,0.79699,400,-0.00000,18.24178,-43.89770,-36.29452,-14.06752,-0.67105,14.16866,38.23211,47.27482
1000,1000000,2,0.10000,0.89082,400,-0.00000,20.59515,-49.61681,-42.46099,-16.46658,0.03117,16.30517,40.69223,52.19765
1000,1000000,2,0.10000,0.87054,400,-0.00000,20.33301,-51.53000,-39.68758,-16.52830,-0.06088,16.72645,41.25831,55.32767
1000,1000000,2,0.11000,0.98715,400,0.00000,22.83975,-56.95837,-47.99529,-18.17765,0.34755,16.90983,46.78286,56.54319
1000,1000000,2,0.12000,1.08073,400,0.00000,25.18328,-62.19099,-48.43475,-20.43906,-0.26197,19.53685,52.71710,65.18511
1000,1000000,2,0.13000,1.21980,400,0.00000,27.63611,-73.01489,-55.60479,-21.60441,0.93903,22.49693,54.66599,67.90392
1000,1000000,2,0.14000,1.28872,400,0.00000,29.20910,-65.99154,-54.88487,-24.16355,0.87601,23.20146,56.90733,69.58758
1000,1000000,2,0.15000,1.38549,400,-0.00000,31.96814,-79.30598,-62.81746,-25.88215,-0.37881,24.86413,64.94997,73.81972
1000,1000000,2,0.16000,1.51761,400,0.00000,33.07475,-74.52156,-66.44265,-26.38735,0.96005,26.28035,62.52779,83.55890
1000,1000000,2,0.17000,1.57687,400,0.00000,36.70588,-80.93814,-71.87463,-30.64802,-0.11686,29.51848,68.40506,87.76801
1000,1000000,2,0.18000,1.70300,400,0.00000,38.43290,-83.46717,-74.55650,-31.09658,0.22447,32.14180,71.41495,86.05775
1000,1000000,2,0.19000,1.78406,400,0.00000,40.39910,-92.51483,-76.79352,-32.88827,0.20981,34.01757,79.13493,91.81120
1000,1000000,2,0.20000,1.89105,400,-0.00000,41.92985,-104.27714,-78.84677,-33.78329,-0.22578,34.88734,81.22289,97.79134
1000,1000000,2,0.20000,1.90849,400,-0.00000,43.13593,-96.43785,-80.90287,-35.30316,-0.21138,36.71360,82.49021,104.61756
1000,1000000,2,0.21000,1.97700,400,0.00000,45.47009,-106.00031,-87.39260,-38.64461,1.25928,37.77554,83.90483,121.23043
1000,1000000,2,0.22000,2.10793,400,-0.00000,46.63156,-113.80940,-90.99542,-37.78816,0.05586,38.33220,89.28121,106.51392
1000,1000000,2,0.23000,2.22670,400,0.00000,49.37697,-111.34119,-95.23855,-40.93613,-0.67396,40.62965,95.20949,119.17008
1000,1000000,2,0.24000,2.28075,400,-0.00000,52.50062,-121.15189,-99.29097,-41.24676,0.61174,41.80222,96.07987,127.52019
1000,1000000,2,0.25000,2.42100,400,-0.00000,54.12076,-121.81507,-102.39322,-43.16780,3.28905,45.51006,100.18129,113.05611
1000,1000000,2,0.26000,2.56211,400,0.00000,56.69806,-115.31673,-106.47942,-45.47667,-0.73559,45.40607,104.69610,122.89477
1000,1000000,2,0.27000,2.64240,400,0.00000,58.74227,-129.01316,-107.90900,-49.02575,-0.92765,49.20665,106.46920,135.57560
1000,1000000,2,0.28000,2.76400,400,0.00000,61.17285,-127.25194,-114.09219,-50.71340,-0.54687,50.48437,114.27885,139.38693
1000,1000000,2,0.29000,2.94442,400,0.00000,63.67641,-127.38611,-117.37772,-54.87537,0.33644,53.17845,116.33858,137.55594
1000,1000000,2,0.30000,3.07515,400,-0.00000,65.76487,-138.28154,-123.37896,-53.81991,0.46745,54.27023,125.52091,134.61123
1000,1000000,2,0.30000,3.06913,400,0.00000,64.94023,-141.91920,-123.92849,-54.20789,-0.38737,55.57134,116.01174,144.72734
1000,1000000,2,0.31000,3.16924,400,0.00000,68.84842,-175.82400,-129.12246,-58.01696,1.86592,55.90615,132.12148,165.30389
1000,1000000,2,0.32000,3.23313,400,0.00000,71.04986,-162.81272,-138.41665,-58.26463,0.33616,58.95074,133.60819,151.43040
1000,1000000,2,0.33000,3.48979,400,0.00000,72.84860,-157.04128,-137.96598,-59.99522,-0.82032,61.19233,135.22081,152.81063
1000,1000000,2,0.34000,3.55137,400,-0.00000,74.87820,-166.02040,-138.85583,-61.35716,-0.68984,61.08191,142.18221,174.14557
1000,1000000,2,0.35000,3.68598,400,-0.00000,78.21560,-188.00553,-147.20411,-62.58801,-3.11138,66.43540,144.83132,167.78450
1000,1000000,2,0.36000,3.77759,400,0.00000,80.89052,-155.41415,-141.12967,-66.61986,1.43148,69.53292,149.86429,163.33559
1000,1000000,2,0.37000,3.99904,400,-0.00000,82.82891,-165.92568,-145.91286,-67.20285,-0.00913,68.61774,156.28328,184.39369
1000,1000000,2,0.38000,4.12366,400,-0.00000,85.40004,-180.44448,-154.05200,-73.26036,-2.64047,72.90090,155.28926,177.01495
1000,1000000,2,0.39000,4.24235,400,0.00000,89.37181,-208.11190,-165.39288,-73.72743,0.71063,75.83795,168.63307,184.09610
1000,1000000,2,0.40000,4.49984,400,0.00000,89.93967,-178.27604,-162.15831,-74.26172,-1.68886,75.27019,174.48284,201.56130
1000,1000000,2,0.40000,4.45049,400,-0.00000,90.90458,-193.31579,-170.02386,-74.96174,0.61162,75.86620,169.59992,183.71801
1000,1000000,2,0.41000,4.59508,400,0.00000,93.41659,-205.33346,-177.88527,-77.99174,3.52358,75.74452,172.29345,187.44588
1000,1000000,2,0.42000,4.75131,400,0.00000,96.67268,-205.14881,-178.64657,-78.82865,-3.21210,78.78017,179.41959,211.72158
1000,1000000,2,0.43000,4.94991,400,0.00000,99.01417,-205.71791,-178.24834,-80.79022,0.00811,79.08628,184.67080,214.82916
1000,1000000,2,0.44000,5.14512,400,-0.00000,100.23174,-214.13180,-193.12773,-79.50912,2.22433,81.69835,190.08468,209.77202
1000,1000000,2,0.45000,5.30813,400,-0.00000,104.91420,-236.55073,-195.23710,-86.15006,-1.37847,83.99606,196.97689,215.82055
1000,1000000,2,0.46000,5.53054,400,-0.00000,106.64396,-226.00527,-194.24135,-85.22758,-0.14137,87.40326,194.28465,226.81271
1000,1000000,2,0.47000,5.64465,400,-0.00000,110.57072,-251.01672,-204.64277,-89.46341,-4.06441,92.25701,204.56489,238.87134
1000,1000000,2,0.48000,5.86672,400,0.00000,113.54252,-239.78330,-207.82916,-91.85371,-1.78751,92.40252,209.67571,232.99867
1000,1000000,2,0.49000,6.11092,400,0.00000,117.06906,-247.69572,-217.97442,-94.93776,0.34080,96.10679,212.33908,267.32973
1000,1000000,2,0.50000,6.30733,400,-0.00000,120.97483,-268.00976,-224.40567,-97.20556,2.30027,99.60623,228.49574,274.17185
1000,1000000,2,0.50000,6.22645,400,0.00000,120.35997,-248.15266,-223.38093,-99.56371,0.88843,97.36046,221.64744,265.65230
1000,1000000,2,0.51000,6.45757,400,0.00000,123.19746,-277.49708,-232.86350,-101.36624,-0.60759,98.73662,229.87293,281.39082
1000,1000000,2,0.52000,6.70777,400,0.00000,126.96990,-281.79196,-235.72228,-105.70521,0.65114,106.75456,235.46437,252.85340
1000,1000000,2,0.53000,6.97658,400,0.00000,129.97336,-280.15896,-243.84177,-106.14736,1.26059,106.12396,245.62020,299.08758
1000,1000000,2,0.54000,7.21689,400,0.00000,134.95169,-296.85093,-244.12147,-108.94083,-0.53194,109.13194,252.03453,281.35199
1000,1000000,2,0.55000,7.47285,400,-0.00000,136.97785,-298.28928,-259.19290,-111.93405,-0.21181,113.80228,249.56330,296.85993
1000,1000000,2,0.56000,7.66965,400,-0.00000,140.28961,-324.31996,-256.56839,-115.88698,-4.47485,117.66612,254.34252,300.25478
1000,1000000,2,0.57000,7.89375,400,0.00000,145.00670,-310.97920,-267.40907,-116.37630,-0.92385,115.96425,266.88575,310.17028
1000,1000000,2,0.58000,8.25140,400,-0.00000,147.06498,-332.47369,-270.31403,-117.74395,-0.63693,118.37245,268.49467,295.71386
1000,1000000,2,0.59000,8.52535,400,0.00000,152.68016,-329.44348,-286.35973,-123.93855,1.76385,125.34971,281.50056,324.36397
1000,1000000,2,0.60000,8.79177,400,0.00000,156.56897,-350.89534,-291.97515,-121.40646,-3.54362,129.14710,286.71812,325.81352
1000,1000000,2,0.60000,8.80772,400,-0.00000,155.05291,-320.02590,-283.60288,-128.67695,3.54180,127.44376,289.22282,342.62854
1000,1000000,2,0.61000,9.14914,400,0.00000,159.10282,-320.97657,-304.91096,-129.61999,-0.57182,132.75758,293.07238,351.41964
1000,1000000,2,0.62000,9.49116,400,0.00000,165.49738,-347.96173,-302.44663,-131.35708,-0.10960,138.32197,306.57349,345.06290
1000,1000000,2,0.63000,9.78347,400,-0.00000,170.71513,-370.56873,-319.46263,-139.68160,0.51963,136.97312,317.85409,392.66947
1000,1000000,2,0.64000,10.15943,400,0.00000,173.85577,-362.89015,-331.71607,-138.25984,-1.54274,139.89631,333.86078,362.25574
1000,1000000,2,0.65000,10.52802,400,0.00000,178.35029,-400.26942,-333.36471,-149.33697,0.88526,145.73627,333.72207,372.66213
1000,1000000,2,0.66000,11.03368,400,0.00000,183.92559,-402.92028,-352.71712,-140.90678,5.09350,153.11459,345.64875,380.38133
1000,1000000,2,0.67000,11.47957,400,0.00000,190.06981,-421.66497,-355.03181,-158.73900,-3.02574,148.59231,365.51964,404.57429
1000,1000000,2,0.68000,11.80859,400,-0.00000,196.38721,-406.98444,-366.95162,-159.91756,-4.35468,160.14029,368.20184,434.03515
1000,1000000,2,0.69000,12.17606,400,-0.00000,200.33316,-436.27166,-390.00978,-165.10530,-2.12210,158.82691,377.67409,426.41219
1000,1000000,2,0.70000,12.83454,400,0.00000,207.51861,-427.86934,-374.25480,-173.12652,-0.31592,161.26785,394.85311,447.38469
1000,1000000,2,0.70000,12.80484,400,0.00000,209.73568,-449.01837,-398.95661,-166.68011,-6.27447,171.60944,395.25349,455.88853
1000,1000000,2,0.71000,13.41878,400,0.00000,212.93373,-482.51839,-410.61987,-176.31207,3.49984,172.59161,406.20473,477.81901
1000,1000000,2,0.72000,13.79861,400,-0.00000,218.97316,-440.80631,-414.03701,-180.20287,5.38120,172.45682,426.90761,464.99397
1000,1000000,2,0.73000,14.44316,400,0.00000,223.57891,-510.39585,-421.18299,-178.67209,2.52960,180.57661,425.46828,459.47180
1000,1000000,2,0.74000,14.87637,400,0.00000,235.49977,-543.89097,-446.53208,-191.60331,-2.18233,194.86353,431.07422,512.54746
1000,1000000,2,0.75000,15.43155,400,-0.00000,241.14056,-529.54574,-467.42741,-185.52246,2.57467,196.36060,453.51654,505.86876
1000,1000000,2,0.76000,16.31800,400,0.00000,247.92826,-583.54619,-468.01879,-197.72849,-3.04349,196.30136,464.99019,552.52542
1000,1000000,2,0.77000,17.04795,400,0.00000,254.62392,-550.22445,-486.98934,-204.83758,1.14992,200.36787,487.34010,535.48498
1000,1000000,2,0.78000,17.71543,400,-0.00000,265.56226,-574.73158,-496.89689,-209.54263,-0.09186,215.02103,505.74838,598.39876
1000,1000000,2,0.79000,18.64244,400,0.00000,272.17821,-563.40804,-515.65892,-213.17438,-7.86408,215.96578,517.90786,595.59476
1000,1000000,2,0.80000,19.34619,400,0.00000,282.05472,-642.92088,-533.97842,-221.62840,-2.32604,222.37714,562.10495,616.68025
1000,1000000,2,0.80000,19.75232,400,0.00000,285.50505,-602.13221,-532.95302,-217.98503,-4.22022,227.85382,552.35922,620.33471
1000,1000000,2,0.81000,20.62214,400,-0.00000,296.83149,-624.69970,-570.11848,-225.43315,2.57982,230.23374,566.96093,622.82407
1000,1000000,2,0.82000,21.71159,400,-0.00000,309.58270,-679.06470,-592.80118,-254.22157,-1.76413,240.61429,584.79087,700.01293
