Rank,Name,ID,Elo,NumMatches,FirstMatchDate,LastMatchDate
1,John Higgins,237,739.051,1436,1992-10-25T00:00:00+00:00,2025-04-06T00:00:00+00:00
2,Judd Trump,12,709.297,1407,2005-11-03T00:00:00+00:00,2025-04-02T11:56:28+00:00
3,Kyren Wilson,39,695.943,1055,2010-06-27T00:00:00+00:00,2025-04-03T11:55:29+00:00
4,Mark Selby,17,693.756,1446,1999-10-24T00:00:00+00:00,2025-04-06T00:00:00+00:00
5,Zhao Xintong,946,687.657,424,2012-06-18T08:00:00+00:00,2025-04-15T10:02:12+00:00
6,Joe O'Connor,1038,646.751,367,2012-09-05T14:00:00+00:00,2025-04-16T00:00:00+00:00
7,Barry Hawkins,16,641.197,1153,1997-03-25T00:00:00+00:00,2025-04-04T11:57:46+00:00
8,Neil Robertson,154,624.164,1236,1999-03-20T00:00:00+00:00,2025-04-02T18:04:18+00:00
9,Shaun Murphy,97,606.973,1225,2001-02-11T00:00:00+00:00,2025-03-31T12:00:59+00:00
10,Ali Carter,158,605.298,1194,1997-03-25T00:00:00+00:00,2025-04-16T00:00:00+00:00
11,Xiao Guodong,24,601.478,765,2005-04-03T00:00:00+00:00,2025-04-02T11:56:28+00:00
12,Hossein Vafaei,666,600.446,368,2011-09-05T06:37:39+00:00,2025-04-16T00:00:00+00:00
13,Wu Yize,2469,579.142,160,2019-02-20T00:00:00+00:00,2025-04-16T00:00:00+00:00
14,Zak Surety,89,552.347,306,2010-06-27T00:00:00+00:00,2025-04-15T10:02:12+00:00
15,Mark Allen,202,551.175,1040,2005-07-20T00:00:00+00:00,2025-03-17T18:59:35+00:00
16,Ding Junhui,224,549.301,918,2002-03-03T00:00:00+00:00,2025-04-05T12:01:24+00:00
17,Matthew Selt,47,545.613,756,2002-10-12T00:00:00+00:00,2025-04-16T00:00:00+00:00
18,David Gilbert,118,544.441,846,2002-10-12T00:00:00+00:00,2025-04-15T10:02:12+00:00
19,Zhou Yuelong,906,539.730,523,2012-02-27T11:30:00+00:00,2025-04-15T10:02:12+00:00
20,Ryan Day,68,535.751,1117,1999-03-20T00:00:00+00:00,2025-04-15T10:02:12+00:00
21,Lei Peifan,2498,534.090,163,2019-05-19T18:00:00+00:00,2025-04-16T00:00:00+00:00
22,Pang Junxu,1257,527.991,220,2013-06-13T04:30:00+00:00,2025-04-16T00:00:00+00:00
23,Luca Brecel,101,524.995,657,2010-06-27T00:00:00+00:00,2025-02-19T14:14:56+00:00
24,Fan Zhengyi,1417,508.481,206,2013-10-21T04:30:00+00:00,2025-04-16T00:00:00+00:00
25,Michael Holt,125,494.296,805,1997-03-25T00:00:00+00:00,2025-04-16T00:00:00+00:00
26,Elliot Slessor,608,491.861,423,2011-06-19T13:58:53+00:00,2025-04-15T10:02:12+00:00
27,Yan Bingtao,1260,491.045,343,2013-06-12T13:00:00+00:00,2023-01-06T16:14:36+00:00
28,Ben Woollaston,19,490.096,720,2004-10-10T00:00:00+00:00,2025-04-15T10:02:12+00:00
29,Gao Yang,2607,482.343,107,2019-10-05T00:00:00+00:00,2025-04-16T00:00:00+00:00
