Rank,Name,ID,Elo,NumMatches,FirstMatchDate,LastMatchDate
1,Zhao Xintong,946,817.405,511,2012-06-18T08:00:00+00:00,2026-04-05T00:00:00+00:00
2,Judd Trump,12,768.265,1475,2005-11-03T00:00:00+00:00,2026-04-05T00:00:00+00:00
3,John Higgins,237,696.946,1526,1992-10-25T00:00:00+00:00,2026-04-04T11:57:01+00:00
4,Wu Yize,2469,674.614,240,2019-02-20T00:00:00+00:00,2026-03-30T17:50:08+00:00
5,Zhou Yuelong,906,663.453,580,2012-02-27T11:30:00+00:00,2026-04-14T09:59:15+00:00
6,Kyren Wilson,39,641.697,1110,2010-06-27T00:00:00+00:00,2026-03-19T05:59:13+00:00
7,Ronnie O'Sullivan,5,631.656,1118,1992-09-24T00:00:00+00:00,2026-03-22T00:00:00+00:00
8,Mark Selby,17,628.964,1519,1999-09-19T00:00:00+00:00,2026-04-02T11:56:01+00:00
9,Mark Allen,202,628.825,1098,2005-07-20T00:00:00+00:00,2026-03-30T11:58:10+00:00
10,Barry Hawkins,16,621.504,1206,1997-03-25T00:00:00+00:00,2026-04-01T12:01:16+00:00
11,Shaun Murphy,97,610.415,1291,2001-02-11T00:00:00+00:00,2026-04-01T12:01:16+00:00
12,Ali Carter,158,585.195,1242,1997-03-25T00:00:00+00:00,2026-04-15T00:00:00+00:00
13,Zhang Anda,81,584.873,568,2008-03-30T00:00:00+00:00,2026-04-15T00:00:00+00:00
14,Neil Robertson,154,583.796,1300,1999-03-20T00:00:00+00:00,2026-04-03T11:58:24+00:00
15,Xiao Guodong,24,574.892,838,2005-04-03T00:00:00+00:00,2026-03-18T11:30:00+00:00
16,Stan Moody,2758,566.920,138,2020-08-04T08:00:00+00:00,2026-04-14T09:59:15+00:00
17,Elliot Slessor,608,560.185,491,2011-06-19T13:58:53+00:00,2026-04-12T08:59:39+00:00
18,Jiang Jun,2640,559.038,95,2019-10-24T17:08:11+00:00,2026-04-14T09:59:15+00:00
19,Jack Lisowski,85,553.656,841,2010-06-27T00:00:00+00:00,2026-04-15T00:00:00+00:00
20,Stuart Bingham,30,551.660,1220,1997-03-25T00:00:00+00:00,2026-04-14T09:59:15+00:00
21,Chang Bingyu,1981,542.957,150,2015-10-19T05:30:00+00:00,2026-04-12T13:25:19+00:00
22,Ding Junhui,224,535.378,949,2002-03-03T00:00:00+00:00,2026-02-12T00:00:00+00:00
23,Gary Wilson,546,534.071,695,2004-10-10T00:00:00+00:00,2026-04-15T00:00:00+00:00
24,Jak Jones,90,531.200,513,2010-06-27T00:00:00+00:00,2026-04-15T00:00:00+00:00
25,Hossein Vafaei,666,530.403,407,2011-09-05T06:37:39+00:00,2026-04-14T09:59:15+00:00
26,Liam Highfield,45,529.759,527,2010-06-27T00:00:00+00:00,2026-04-15T00:00:00+00:00
27,Mark Williams,1,526.473,1397,1993-10-31T00:00:00+00:00,2026-03-31T11:50:18+00:00
28,Thepchaiya Un-Nooh,217,520.129,552,2009-07-22T00:00:00+00:00,2026-04-12T08:59:39+00:00
29,Vinnie Calabrese,521,514.322,149,2011-05-11T18:07:13+00:00,2026-03-28T00:00:00+00:00
30,Si Jiahui,1982,507.732,301,2015-10-20T12:58:33+00:00,2026-02-23T13:00:00+00:00
31,Liam Pullen,2778,504.456,128,2021-05-27T18:00:00+00:00,2026-04-14T09:59:15+00:00
32,Pang Junxu,1257,504.408,270,2013-06-13T04:30:00+00:00,2026-04-14T09:59:15+00:00
33,Yan Bingtao,1260,497.735,343,2013-06-12T13:00:00+00:00,2023-01-06T16:14:36+00:00
34,Chris Wakelin,1044,496.845,529,2012-09-06T12:00:00+00:00,2026-04-01T18:08:36+00:00
35,Lei Peifan,2498,492.303,206,2019-05-19T18:00:00+00:00,2026-04-15T00:00:00+00:00
36,Zak Surety,89,490.959,345,2010-06-27T00:00:00+00:00,2026-04-15T00:00:00+00:00
37,Anthony McGill,22,490.918,729,2010-06-27T00:00:00+00:00,2026-04-15T00:00:00+00:00
38,Matthew Selt,47,487.506,805,2002-10-12T00:00:00+00:00,2026-04-12T08:59:39+00:00
39,Ashley Hugill,1323,484.385,395,2013-08-14T14:30:00+00:00,2026-04-10T13:24:44+00:00
40,Fan Zhengyi,1417,482.131,237,2013-10-21T04:30:00+00:00,2026-04-15T00:00:00+00:00
41,Ryan Day,68,480.329,1162,1999-03-20T00:00:00+00:00,2026-04-15T00:00:00+00:00
42,David Gilbert,118,479.655,890,2002-10-12T00:00:00+00:00,2026-04-14T09:59:15+00:00
43,Yuan Sijun,1108,474.453,339,2012-09-24T07:00:00+00:00,2026-04-13T08:55:48+00:00
44,Robbie Williams,96,473.409,524,2010-06-27T00:00:00+00:00,2026-04-12T08:59:39+00:00
45,Julien Leclercq,2754,472.983,142,2020-08-03T13:00:00+00:00,2026-04-13T08:55:48+00:00
46,Cao Yupeng,507,472.671,360,2008-08-01T11:00:00+00:00,2024-04-17T00:00:00+00:00
47,Xu Si,1407,471.677,276,2013-10-20T10:39:17+00:00,2026-04-15T00:00:00+00:00
48,He Guoqiang,1383,467.101,131,2013-09-24T07:00:00+00:00,2026-04-15T00:00:00+00:00
49,Tom Ford,8,466.666,887,2001-03-04T00:00:00+00:00,2026-04-11T09:12:06+00:00
50,Luca Brecel,101,465.015,686,2010-06-27T00:00:00+00:00,2026-04-15T00:00:00+00:00
51,Jackson Page,2166,464.611,311,2017-02-13T12:41:23+00:00,2026-04-14T09:59:15+00:00
52,Michael Holt,125,463.993,842,1997-03-25T00:00:00+00:00,2026-04-14T09:59:15+00:00
53,Noppon Saengkham,208,463.213,484,2010-08-01T10:00:00+00:00,2026-04-14T09:59:15+00:00
54,Jamie Clarke,106,458.029,381,2010-06-27T00:00:00+00:00,2026-04-10T13:24:44+00:00
55,Jimmy Robertson,93,454.119,721,2002-10-12T00:00:00+00:00,2026-04-13T08:55:48+00:00
56,Igor Figueiredo,18,451.835,182,2010-06-27T00:00:00+00:00,2025-11-24T09:30:21+00:00
57,Marco Fu,4,449.480,859,1998-03-15T00:00:00+00:00,2026-04-12T13:25:19+00:00
58,Ashley Carty,724,448.061,385,2011-09-21T17:32:53+00:00,2026-04-09T08:57:30+00:00
59,Ben Mertens,1923,447.516,182,2015-08-27T07:00:00+00:00,2026-04-15T00:00:00+00:00
60,Stephen Maguire,2,446.673,1045,1999-03-20T00:00:00+00:00,2026-04-13T08:55:48+00:00
61,Sam Craigie,109,446.218,372,2010-06-27T00:00:00+00:00,2026-04-10T13:24:44+00:00
62,Gao Yang,2607,435.926,142,2019-10-05T00:00:00+00:00,2026-04-14T09:59:15+00:00
63,Ng On Yee,1485,433.991,373,2014-03-05T04:30:00+00:00,2026-04-06T08:57:29+00:00
64,David Grace,67,429.838,501,2008-08-01T11:00:00+00:00,2026-04-08T08:56:17+00:00
65,Daniel Wells,32,429.450,540,2008-08-01T11:00:00+00:00,2026-04-11T09:12:06+00:00
66,Ricky Walden,62,428.785,1049,2001-03-04T00:00:00+00:00,2026-04-12T08:59:39+00:00
67,Joe O'Connor,1038,425.272,429,2012-09-05T14:00:00+00:00,2026-04-12T08:59:39+00:00
68,Oliver Sykes,2797,425.192,137,2021-09-22T00:00:00+00:00,2026-04-12T13:25:19+00:00
69,Aaron Hill,2470,422.640,201,2019-04-10T14:04:18+00:00,2026-04-14T09:59:15+00:00
70,Mei Xiwen,306,420.537,166,2007-04-01T00:00:00+00:00,2020-03-13T14:29:26+00:00
71,Ploychompoo Laokiatphong,2411,410.551,91,2018-09-15T00:00:00+00:00,2025-10-30T00:00:00+00:00
72,Dylan Emery,2320,407.118,261,2018-03-08T12:00:00+00:00,2026-04-12T08:59:39+00:00
73,Matthew Stevens,9,406.919,886,1995-10-29T00:00:00+00:00,2026-04-14T09:59:15+00:00
74,Long Zehuang,1261,405.120,123,2013-06-12T13:00:00+00:00,2026-04-13T08:55:48+00:00
75,Martin O'Donnell,120,405.020,513,2010-06-27T00:00:00+00:00,2026-04-13T08:55:48+00:00
76,Artemijs Zizins,3534,404.709,102,2023-10-20T15:30:00+00:00,2026-04-09T08:57:30+00:00
77,Anton Kazakov,2767,404.376,119,2021-05-28T15:30:00+00:00,2026-04-06T13:31:10+00:00
78,Scott Donaldson,894,401.032,537,2011-12-10T00:00:00+00:00,2026-04-08T13:27:08+00:00
79,Antoni Kowalski,1465,399.690,152,2014-02-06T10:30:00+00:00,2026-04-14T09:59:15+00:00
80,Iulian Boiko,1889,398.705,291,2015-07-18T10:00:00+00:00,2026-04-08T13:27:08+00:00
81,Bai Yulu,2616,398.481,151,2019-10-24T17:04:02+00:00,2026-04-08T13:27:08+00:00
82,Hammad Miah,593,397.245,361,2011-06-18T19:20:08+00:00,2026-04-06T08:57:29+00:00
83,Ian Burns,87,395.121,497,2010-06-27T00:00:00+00:00,2026-04-10T09:02:32+00:00
84,Wang Xinbo,3461,390.111,40,2023-09-05T00:00:00+00:00,2026-04-11T09:12:06+00:00
85,Louis Heathcote,1045,388.679,272,2012-09-06T14:00:00+00:00,2026-04-10T09:02:32+00:00
86,Li Hang,295,384.625,387,2006-03-20T00:00:00+00:00,2023-01-06T16:14:36+00:00
87,Oliver Lines,592,384.047,438,2011-06-18T19:20:08+00:00,2026-04-15T00:00:00+00:00
88,Alfie Burden,21,382.842,579,1997-03-25T00:00:00+00:00,2026-04-06T13:31:10+00:00
89,Stuart Carrington,128,376.963,509,2010-06-27T00:00:00+00:00,2026-04-07T09:01:14+00:00
90,Ishpreet Chadha,2066,375.400,99,2016-07-01T14:05:03+00:00,2026-04-12T13:25:19+00:00
91,Craig Steadman,131,374.635,540,2005-03-24T00:00:00+00:00,2026-04-07T09:01:14+00:00
92,Liu Hongyu,2611,370.586,101,2019-10-24T17:04:02+00:00,2026-04-12T13:25:19+00:00
93,Allan Taylor,26,367.205,439,2010-06-27T00:00:00+00:00,2026-04-12T13:25:19+00:00
94,Mark Joyce,48,366.939,584,2005-03-24T00:00:00+00:00,2026-03-17T00:00:00+00:00
95,Rebecca Kenna,2121,365.492,282,2016-08-25T00:00:00+00:00,2026-03-29T00:00:00+00:00
96,Yu Delu,184,363.550,292,2006-03-20T00:00:00+00:00,2018-04-16T08:57:05+00:00
97,Bulcsu Revesz,2655,358.042,112,2019-11-15T11:08:10+00:00,2026-04-12T13:25:19+00:00
98,Robbie McGuigan,2507,356.540,188,2019-05-21T08:00:00+00:00,2026-04-11T09:12:06+00:00
99,Ben Woollaston,19,356.408,759,2004-10-10T00:00:00+00:00,2026-04-13T08:55:48+00:00
100,Lyu Haotian,905,353.724,383,2012-02-27T06:28:25+00:00,2026-04-10T09:02:32+00:00
101,Wendy Jans,236,351.060,75,2010-08-01T10:00:00+00:00,2025-02-09T00:00:00+00:00
102,Lu Ning,908,351.020,270,2012-02-27T11:30:00+00:00,2022-12-09T23:47:12+00:00
103,Peter Lines,37,350.794,603,1992-01-19T00:00:00+00:00,2026-04-11T09:12:06+00:00
104,Ross Muir,898,348.602,398,2011-12-10T00:00:00+00:00,2026-04-09T08:57:30+00:00
105,Robin Hull,549,345.305,291,1993-10-31T00:00:00+00:00,2026-03-14T00:00:00+00:00
106,Liang Wenbo,200,341.976,671,2005-04-03T00:00:00+00:00,2022-11-28T22:55:21+00:00
107,Michael White,171,332.850,653,2008-01-11T00:00:00+00:00,2024-07-02T00:00:00+00:00
108,George Pragnell,733,331.712,225,2011-10-05T14:13:13+00:00,2026-03-16T13:30:00+00:00
109,Joe Perry,168,331.173,1049,1997-03-25T00:00:00+00:00,2025-12-28T00:00:00+00:00
110,Jordan Brown,58,328.670,356,2009-08-01T10:00:00+00:00,2026-04-12T13:25:19+00:00
111,Jamie Jones,10,328.108,597,2006-10-29T00:00:00+00:00,2026-04-14T09:59:15+00:00
112,Sunny Akani,1763,324.860,231,2016-04-07T09:00:05+00:00,2026-01-09T16:00:00+00:00
113,Steven Hallworth,605,324.859,379,2011-06-19T10:29:34+00:00,2026-04-10T09:02:32+00:00
114,David Lilley,998,322.862,320,2012-08-08T14:00:00+00:00,2026-04-08T13:27:08+00:00
115,Peter Ebdon,42,320.296,788,1991-10-27T00:00:00+00:00,2020-02-09T12:38:19+00:00
116,Liam Davies,2438,319.407,192,2019-08-31T07:00:00+00:00,2026-04-10T09:02:32+00:00
117,Michał Szubarczyk,3192,319.093,72,2023-09-15T10:51:41+00:00,2026-04-11T09:12:06+00:00
118,Mitchell Mann,49,317.180,402,2010-06-27T00:00:00+00:00,2026-04-06T08:57:29+00:00
119,Cheung Ka Wai,1893,314.550,146,2015-07-18T16:00:00+00:00,2026-04-06T13:31:10+00:00
120,Steve Mifsud,580,310.034,47,2003-10-12T00:00:00+00:00,2025-10-11T22:40:32+00:00
121,Umut Dikme,2249,309.762,176,2017-08-22T10:00:00+00:00,2026-04-13T08:55:48+00:00
122,Martin Gould,27,308.686,736,2002-02-17T00:00:00+00:00,2024-04-05T13:15:25+00:00
123,Xing Zihao,2630,308.673,76,2019-10-24T17:04:02+00:00,2026-03-27T04:00:00+00:00
124,Paul Norris,2046,308.396,54,2016-05-12T10:30:00+00:00,2026-03-28T00:00:00+00:00
125,Alfie Davies,2803,306.893,145,2021-11-19T11:30:00+00:00,2026-03-16T08:55:07+00:00
126,Graeme Dott,52,306.630,976,1996-03-17T00:00:00+00:00,2025-04-10T16:59:02+00:00
127,Kurt Maflin,61,303.502,483,2002-02-17T00:00:00+00:00,2022-06-01T17:52:26+00:00
128,Robert Milkins,92,298.033,879,1996-03-22T00:00:00+00:00,2026-04-09T08:57:30+00:00
129,Barry Pinches,6,297.883,598,1990-09-26T00:00:00+00:00,2026-03-16T08:55:07+00:00
130,Wang Yuchen,954,297.603,177,2012-06-18T11:00:00+00:00,2026-04-10T13:24:44+00:00
131,Jamie Hunter,2793,297.038,87,2021-08-07T00:00:00+00:00,2023-11-19T00:00:00+00:00
132,Ryan Davies,2378,290.254,205,2018-07-10T11:30:00+00:00,2026-04-06T08:57:29+00:00
133,Hassan Kerde,1930,288.212,52,2023-10-13T00:00:00+00:00,2026-03-27T01:00:00+00:00
134,Sanderson Lam,621,286.570,358,2011-06-21T08:16:14+00:00,2026-04-08T13:27:08+00:00
135,Lan Yuhao,4148,285.162,39,2024-01-24T00:00:00+00:00,2026-04-10T13:24:44+00:00
136,Anupama Ramachandran,3085,283.946,71,2023-02-28T06:00:00+00:00,2025-11-30T00:00:00+00:00
137,Duane Jones,448,283.830,397,2010-08-01T10:00:00+00:00,2026-04-08T13:27:08+00:00
138,Lukas Kleckers,1082,283.448,264,2012-10-18T14:30:00+00:00,2026-03-13T09:00:00+00:00
139,Riley Powell,3062,282.982,104,2023-01-26T12:56:24+00:00,2026-03-12T11:00:00+00:00
140,Ali Gharahgozlou,4031,281.900,36,2024-05-24T10:30:00+00:00,2025-09-28T00:00:00+00:00
141,Mark Davis,15,281.138,960,1992-01-11T00:00:00+00:00,2026-04-08T13:27:08+00:00
142,Zachary Richardson,1201,280.505,134,2013-05-11T12:00:00+00:00,2026-03-13T14:02:51+00:00
143,Alan McManus,44,279.853,681,1990-09-26T00:00:00+00:00,2021-04-09T13:23:55+00:00
144,Dechawat Poomjaeng,582,279.733,275,2011-06-20T15:41:31+00:00,2024-05-10T13:00:00+00:00
145,Alexander Ursenbacher,239,277.660,334,2010-08-01T10:00:00+00:00,2026-04-06T00:25:26+00:00
146,Stephen Lee,13,276.683,430,1993-10-31T00:00:00+00:00,2012-11-15T00:00:00+00:00
