rank,bgg_id,name,g_index
1,463,Magic: The Gathering,500
2,28143,Race for the Galaxy,311
3,36218,Dominion,306
4,171,Chess,279
5,285774,Marvel Champions: The Card Game,264
6,124742,Android: Netrunner,250
7,147020,Star Realms,225
8,41,Can't Stop,223
9,284083,The Crew: The Quest for Planet Nine,208
10,77423,The Lord of the Rings: The Card Game,204
11,167791,Terraforming Mars,191
12,822,Carcassonne,180
13,266192,Wingspan,174
14,205637,Arkham Horror: The Card Game,172
15,50,Lost Cities,160
15,68448,7 Wonders,160
17,18291,Unpublished Prototype,156
17,174430,Gloomhaven,156
19,13,CATAN,153
19,215,Tichu,153
19,2397,Backgammon,153
19,244522,That's Pretty Clever!,153
23,2398,Cribbage,152
24,84876,The Castles of Burgundy,151
24,162886,Spirit Island,151
26,230802,Azul,150
27,98778,Hanabi,149
28,129437,Legendary: A Marvel Deck Building Game,145
29,69789,Ascension: Deckbuilding Game,144
29,173346,7 Wonders Duel,144
31,9209,Ticket to Ride,142
32,521,Crokinole,139
32,148228,Splendor,139
34,178900,Codenames,134
35,188,Go,133
35,182028,Through the Ages: A New Story of Civilization,133
37,129622,Love Letter,130
38,324856,The Crew: Mission Deep Sea,128
39,2223,UNO,127
40,2243,Yahtzee,124
40,31260,Agricola,124
40,163412,Patchwork,124
43,1115,Poker,123
43,147949,One Night Ultimate Werewolf,123
43,156336,Onirim (Second Edition),123
43,257501,KeyForge: Call of the Archons,123
43,342942,Ark Nova,123
48,63888,Innovation,120
49,242302,Space Base,119
50,30549,Pandemic,118
50,103885,Star Wars: X-Wing Miniatures Game,118
50,131357,Coup,118
50,204583,Kingdomino,118
54,432,Take 5,117
54,10630,Memoir '44,117
56,205359,Star Wars: Destiny,114
56,223040,Fantasy Realms,114
58,2655,Hive,113
58,107529,Kingdom Builder,113
60,320,Scrabble,111
61,194655,Santorini,109
62,327,Loopin' Louie,108
62,34635,Stone Age,108
64,233867,Welcome To...,107
65,3076,Puerto Rico,106
65,40834,Dominion: Intrigue,106
67,165722,KLASK,104
68,102652,Sentinels of the Multiverse,103
69,118247,Lucky Numbers,102
70,25613,Through the Ages: A Story of Civilization,101
70,70323,King of Tokyo,101
70,120677,Terra Mystica,101
70,131260,Qwixx,101
70,263918,Cartographers,101
70,271324,It's a Wonderful World,101
76,12333,Twilight Struggle,100
76,63268,Spot it!,100
78,811,Rummikub,99
78,245654,Railroad Ink: Deep Blue Edition,99
80,45,Perudo,98
80,156009,Port Royal,98
82,123570,Strike,97
82,128882,The Resistance: Avalon,97
82,205597,Jump Drive,97
85,2165,Pokémon Trading Card Game,96
85,21241,Neuroshima Hex! 3.0,96
85,54043,Jaipur,96
85,132531,Roll for the Galaxy,96
85,169786,Scythe,96
90,2719,Connect Four,95
90,14996,Ticket to Ride: Europe,95
92,181,Risk,94
92,9217,Saint Petersburg,94
92,43570,Friday,94
92,198994,Hero Realms,94
92,224037,Codenames: Duet,94
97,6887,Hearts,93
98,12942,No Thanks!,92
98,169255,A Game of Thrones: The Card Game (Second Edition),92
100,760,Battle Line,91
100,180974,Potion Explosion,91
100,206931,Encore!,91
100,346703,7 Wonders: Architects,91
104,5782,Coloretto,90
104,245476,CuBirds,90
104,268620,Similo,90
107,133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,89
108,8217,San Juan,88
108,71836,Onirim,88
110,1406,Monopoly,87
110,191189,Aeon's End,87
110,237182,Root,87
113,2181,Bridge,86
113,262712,Res Arcana,86
113,269210,Twice as Clever!,86
116,37380,Roll Through the Ages: The Bronze Age,85
116,41114,The Resistance,85
116,108745,Seasons,85
116,133473,Sushi Go!,85
116,312484,Lost Ruins of Arnak,85
121,172,For Sale,84
121,6901,Euchre,84
121,209418,Dominion (Second Edition),84
124,55690,Kingdom Death: Monster,83
125,173090,The Game,82
125,199561,Sagrada,82
125,264055,Draftosaurus,82
128,3955,BANG!,81
128,21790,Thurn and Taxis,81
128,110327,Lords of Waterdeep,81
128,245487,Orchard: A 9 card solitaire game,81
128,302260,Abandon All Artichokes,81
133,1465,Wizard,80
133,161417,Red7,80
133,191925,Bandido,80
133,251658,Sprawlopolis,80
137,166384,Spyfall,79
137,231999,Finished!,79
137,353545,Next Station: London,79
137,367220,Sea Salt & Paper,79
141,243,Advanced Squad Leader,78
141,1293,Boggle,78
141,219215,Werewords,78
144,9674,Ingenious,77
144,47185,Warhammer: Invasion,77
144,188834,Secret Hitler,77
144,220308,Gaia Project,77
144,240980,Blood on the Clocktower,77
144,266083,L.L.A.M.A.,77
150,14105,Commands & Colors: Ancients,76
150,15818,Pickomino,76
150,62871,Zombie Dice,76
150,70919,Takenoko,76
150,180020,Virus!,76
150,199792,Everdell,76
150,244992,The Mind,76
157,2083,Checkers,75
157,15512,Incan Gold,75
157,232361,After the Virus,75
160,11,Bohnanza,74
160,2093,Mahjong,74
160,103886,Star Wars: The Card Game,74
160,164153,Star Wars: Imperial Assault,74
164,286096,Tapestry,73
164,298047,Marvel United,73
166,6249,Alhambra,72
166,40398,Monopoly Deal Card Game,72
166,99875,Martian Dice,72
166,194594,Dice Forge,72
166,254640,Just One,72
