rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
1,92,136,98,blackpharaoh
2,84,16,184,danissimus
3,82,39,137,russ
4,80,23,168,sa266
4,80,47,128,tr0llet
6,78,42,135,smiley7172015
7,75,44,131,ljourneymanl
8,71,13,197,neiln99
9,70,27,160,rseater
10,67,9,222,yzemaze
10,67,24,164,skifreak737
10,67,150,96,plush
13,66,36,142,lauro
13,66,47,128,jgoyes
15,65,18,178,mr mjeh
15,65,131,99,bgdigger
15,65,242,86,gregburbidge
18,64,50,126,hylsberg
18,64,209,89,betsychuck
20,63,17,179,gnomekin
20,63,54,120,lajr
22,62,54,120,nishikawa-collector
23,61,37,141,ruffalo
23,61,75,112,hilkman
23,61,242,86,olavf
23,61,493,72,jphillipson
27,60,22,169,tiagovip
27,60,64,115,andrepor
27,60,94,107,clemenswb
27,60,216,88,forlorn110
31,59,61,117,wilcoxdave
31,59,196,90,timon of athens
31,59,413,75,heavyd
34,58,79,110,miksuleppis
34,58,113,102,captncavern
34,58,147,97,jumatake
34,58,161,94,bnordeng
34,58,180,92,quartzgamer
39,57,180,92,chrizlutz
39,57,252,85,dgbg
41,56,78,111,nap16
41,56,85,109,gurth
41,56,252,85,akapastorguy
41,56,1362,56,rabesandratana
45,55,85,109,jcarvin
45,55,94,107,fnord23
45,55,94,107,nightmare
45,55,100,106,stormknight
45,55,113,102,patchwerq
45,55,161,94,barteus
45,55,252,85,aernoutmjc
52,54,29,153,joerockehf
52,54,64,115,birdman284
52,54,106,104,bubbaxis
52,54,113,102,pikkusiili2000
52,54,196,90,gregrice23
52,54,209,89,gaulamos
58,53,106,104,markmcmulti
58,53,120,101,rubeus
58,53,136,98,orphebus
58,53,150,96,dkirchert
58,53,180,92,werbaer
58,53,230,87,r56ygf
58,53,298,81,team_bonnie
65,52,85,109,sintonic
65,52,230,87,jtakagi
65,52,652,67,slevin678
65,52,843,63,sefrite
69,51,40,136,jim_p
69,51,46,129,dam the man
69,51,56,119,fazermozg
69,51,196,90,jimzik
69,51,196,90,pzvie
69,51,216,88,1mmirg
69,51,589,69,mr penguin
76,50,15,187,benron
76,50,33,149,neil thomson
76,50,79,110,gamesnight
76,50,79,110,shizzane
76,50,120,101,tom-le-termite
76,50,216,88,cdevos
76,50,230,87,marnak
76,50,266,84,timmierz
76,50,438,74,sebert
76,50,493,72,jjc552
76,50,589,69,msaari
76,50,589,69,saldagon
76,50,1034,60,agn1964
89,49,21,172,senorcoo
89,49,216,88,snoozefest
89,49,361,77,agricolafarm
89,49,438,74,sir yuru
89,49,473,73,dblayton
89,49,493,72,miinin
89,49,559,70,matmo
96,48,18,178,xnardnkita
96,48,75,112,maxvigne
96,48,85,109,ny518
96,48,110,103,geeken
96,48,131,99,krwoods1
96,48,190,91,1point21gigawatts
96,48,196,90,dancingdanslc
96,48,289,82,lilian
96,48,361,77,bobby4th
96,48,361,77,dsmeyer
96,48,390,76,artmark
96,48,413,75,gerarddeg
96,48,413,75,kataclysm
96,48,589,69,dd68
96,48,623,68,kungfuhippie
111,47,47,128,familywontplay
111,47,93,108,irwinbuijs
111,47,131,99,megamau
111,47,161,94,gibmaatsuki
111,47,170,93,larryjrice
111,47,180,92,malorick
111,47,216,88,mikehulsebus
111,47,252,85,panotxa
111,47,273,83,dchamp
111,47,326,79,tapanote
111,47,361,77,baron frog
111,47,361,77,boromir1983
111,47,361,77,sheylon
111,47,413,75,jayboy
111,47,559,70,manellii
111,47,787,64,b0ardgamer
111,47,787,64,michiel
128,46,32,150,gmg159
128,46,147,97,pola
128,46,170,93,hendal
128,46,190,91,woodnoggin
128,46,209,89,lovelace
128,46,209,89,saccenti
128,46,230,87,sqar
128,46,252,85,dubbelnisse
128,46,252,85,islander
128,46,252,85,valon12
128,46,273,83,betote
128,46,273,83,jhauser42
128,46,318,80,eric brosius
128,46,318,80,katielou
128,46,326,79,spiderrunnertim
128,46,390,76,kristobald
128,46,413,75,mmihaela
128,46,493,72,jaskier
128,46,522,71,kcandmythreesons
128,46,522,71,syr99
128,46,589,69,jmdsplotter
128,46,696,66,craigd74
128,46,696,66,kerstinee
128,46,741,65,popebrain
128,46,843,63,stratonifler
128,46,914,62,lacxox
128,46,914,62,tamn
128,46,970,61,zenfun
128,46,1202,58,arumata
128,46,1276,57,spacealien
158,45,64,115,ranior
158,45,136,98,meeplemaven
158,45,155,95,critical mass
158,45,161,94,alterno
158,45,170,93,decebo
158,45,242,86,spellengek
158,45,289,82,ironmoss
158,45,298,81,jwml
158,45,318,80,roninn
158,45,361,77,avron
158,45,413,75,cookehj
158,45,413,75,raile
158,45,438,74,carthoris
158,45,438,74,jugular
158,45,493,72,saracv
158,45,522,71,ellstar
158,45,559,70,jlukac
158,45,559,70,peter the rat
158,45,623,68,sahrinoa
158,45,787,64,tallboy
158,45,914,62,lolcese
158,45,1034,60,kerbster76
180,44,45,130,tradenmyr
180,44,63,116,pfluftl
180,44,94,107,ryoga121
180,44,113,102,cybrmage13
180,44,170,93,mitcharf
180,44,216,88,vidaldo
180,44,230,87,will98683
180,44,289,82,grildensnork
180,44,298,81,beru
180,44,318,80,elrond3737
180,44,318,80,skrabi
180,44,326,79,taliaisabelle
180,44,340,78,gamer dc
180,44,340,78,hawk-x-
180,44,361,77,seanxor
180,44,361,77,tropicana55
180,44,390,76,maiknovember
180,44,390,76,mark taylor
180,44,438,74,captainjax
180,44,438,74,jhaimowitz
180,44,438,74,toc13
180,44,473,73,baltu_kobalts
180,44,559,70,boltongeordie
180,44,559,70,mixo
180,44,623,68,vadgil
180,44,741,65,vica8081
180,44,843,63,elbobo
180,44,970,61,exoow
180,44,1276,57,druvey
180,44,1362,56,olafslomp
210,43,58,118,marble911
