rank,bgg_user_name,g_index
1,shelfcounselor,307
1,victorcardoso,307
3,michieltummers,286
4,whytemeet,267
5,great dane,250
6,fevin,232
6,gsr165,232
8,peepser,225
9,yzemaze,222
10,incredisteve,211
11,eeeville,210
12,knapicrllr,205
13,neiln99,197
14,turtler7,193
15,benron,187
16,danissimus,184
17,gnomekin,179
18,mr mjeh,178
18,xnardnkita,178
20,catosulla,173
21,senorcoo,172
22,tiagovip,169
23,sa266,168
24,skifreak737,164
24,whsvin,164
26,rexkow,163
27,rseater,160
28,timewellspent,157
29,joerockehf,153
30,ekted,151
30,ragnarok1er,151
32,gmg159,150
33,neil thomson,149
34,chrisw,143
34,pendragon714,143
36,lauro,142
37,deemoding,141
37,ruffalo,141
39,russ,137
40,jarmoaulu,136
40,jim_p,136
42,smiley7172015,135
43,invervegas,133
44,ljourneymanl,131
45,tradenmyr,130
46,dam the man,129
47,familywontplay,128
47,jgoyes,128
47,tr0llet,128
50,hylsberg,126
50,xiglixx,126
52,alpacino11,124
53,general_norris,121
54,lajr,120
54,nishikawa-collector,120
56,fazermozg,119
56,niczone,119
58,adamolanna,118
58,marble911,118
58,pchamberlain,118
61,legofanfamily,117
61,wilcoxdave,117
63,pfluftl,116
64,andrepor,115
64,birdman284,115
64,pmatheus,115
64,ranior,115
68,buhaj,114
68,iansbach,114
68,leximusmaximus,114
71,bowie47,113
71,moriarty 101,113
71,stormparkiet,113
71,syedshowmic,113
75,bechidow,112
75,hilkman,112
75,maxvigne,112
78,nap16,111
79,-johnny-,110
79,gamesnight,110
79,halmakoenig,110
79,jclancy15,110
79,miksuleppis,110
79,shizzane,110
85,airjudden,109
85,breve maltese,109
85,dbucak,109
85,gurth,109
85,jcarvin,109
85,kubigaruma,109
85,ny518,109
85,sintonic,109
93,irwinbuijs,108
94,anathema,107
94,bodblugh,107
94,clemenswb,107
94,fnord23,107
94,nightmare,107
94,ryoga121,107
100,dice roller,106
100,edgecheng,106
100,rarce,106
100,stormknight,106
104,blueorange75,105
104,konstantinossofistis,105
106,bubbaxis,104
106,cartu1,104
106,glyfair,104
106,markmcmulti,104
110,dooz,103
110,evilshoot,103
110,geeken,103
113,bluecloud,102
113,captncavern,102
113,cybrmage13,102
113,mastergabber05,102
113,patchwerq,102
113,pikkusiili2000,102
113,pilsprediger,102
120,bobby tweaks,101
120,carlos palomino,101
120,forgeforgeforge,101
120,gibbon27,101
120,mith,101
120,rubeus,101
120,tom-le-termite,101
127,hockeyking9,100
127,houjix,100
127,niramas,100
127,surfitch,100
131,amuk,99
131,bgdigger,99
131,krwoods1,99
131,megamau,99
131,pike70,99
136,blackpharaoh,98
136,bretai70,98
136,computer82,98
136,crazymongrel,98
136,dasbaerchen,98
136,holy smoker,98
136,iamnan,98
136,jgbaxter,98
136,meeplemaven,98
136,orphebus,98
136,theboardgamefamily,98
147,errosen,97
147,jumatake,97
147,pola,97
150,alobunko,96
150,dkirchert,96
150,plush,96
150,scifi66,96
150,seraphine82,96
155,alduc,95
155,critical mass,95
155,grognard1914,95
155,hecose,95
155,velazarius,95
155,zombiegod,95
161,alterno,94
161,barteus,94
161,bnordeng,94
161,fiend138,94
161,gibmaatsuki,94
161,ludesfactor,94
161,manucube,94
161,mkwg,94
161,vorpalgens,94
170,arnest_r,93
170,decebo,93
170,hendal,93
170,houserules,93
170,larryjrice,93
170,mitcharf,93
170,pottaway,93
170,randor,93
170,sstair,93
170,trimchris,93
180,aandjso,92
180,cerulean,92
180,chrizlutz,92
180,gische,92
180,malorick,92
180,markus_mzh,92
180,quartzgamer,92
180,sawhat,92
180,werbaer,92
180,zejeidorb,92
190,1point21gigawatts,91
190,danief,91
190,frantic_mastro,91
190,kjpoalses,91
190,wolfbane333,91
190,woodnoggin,91
196,aoverdorf,90
196,brrrmanza,90
196,dancingdanslc,90
196,gregrice23,90
196,jimzik,90
196,kompanjon83,90
196,lothrain,90
196,manchuwok,90
196,pzvie,90
196,robrun,90
196,spacie81,90
196,tibi692,90
196,timon of athens,90
209,aldaron,89
209,balsawood,89
209,betsychuck,89
209,flip0104,89
209,gaulamos,89
209,lovelace,89
209,saccenti,89
216,1mmirg,88
216,canales,88
216,cdevos,88
216,forlorn110,88
216,jonah42,88
216,littleweb,88
216,mikehulsebus,88
216,milhouse46,88
216,monsieurb_,88
216,nm156,88
216,pintsizepete,88
216,snoozefest,88
216,ternal2,88
216,vidaldo,88
230,bayushi sezaru,87
230,bigbadbgu,87
230,brahman71,87
230,essejsllim,87
230,jtakagi,87
230,marnak,87
230,miguelamores10,87
230,r56ygf,87
230,sqar,87
230,stephan valkyser,87
230,will98683,87
230,xfwx_firebird,87
242,axinit,86
242,blackdice23,86
242,carlcorey,86
242,chris coyote,86
242,gregburbidge,86
242,jade_alarm,86
242,olavf,86
242,sarsenlintel,86
242,spellengek,86
242,traemyn,86
252,aernoutmjc,85
252,akapastorguy,85
252,dgbg,85
252,dubbelnisse,85
252,eldar1986,85
252,ikarami,85
252,islander,85
252,jettachan,85
252,mkaks7,85
252,panotxa,85
252,refecs,85
252,squiz,85
252,stevejuggler,85
252,valon12,85
266,big head dave,84
266,orlando_wordsmith,84
266,shadowdale,84
266,svanhildur,84
266,therealsorcerer,84
266,timmierz,84
266,wentu,84
273,betote,83
273,byfed,83
273,captainossum,83
273,dchamp,83
273,grievy,83
273,hyde85,83
273,japara,83
273,jhauser42,83
273,mimem,83
273,ooogene,83
273,rafal100,83
273,shano13,83
273,taoteo,83
273,troybowers,83
273,tvstevie,83
273,zastrygon,83
289,amassgames,82
289,camy_1968,82
289,cokasaki,82
289,grildensnork,82
289,heroperffig,82
289,ironmoss,82
289,lilian,82
289,sharamis87,82
289,tommyredskin,82
