year,num_games,avg_rating,bayes_rating,rel_num_games
1900,3,6.14667,5.50933,0.00197
1903,4,5.73750,5.65975,0.00262
1904,1,7.04000,5.79100,0.00066
1906,2,5.83500,5.73650,0.00131
1908,1,5.42000,5.49300,0.00066
1909,2,6.19500,5.67150,0.00131
1910,3,3.93333,5.46567,0.00197
1911,2,6.83500,5.54700,0.00131
1912,1,5.98000,5.50600,0.00066
1913,1,7.06000,5.54000,0.00066
1915,2,6.32000,5.51300,0.00131
1916,1,4.11000,5.29300,0.00066
1919,1,6.14000,5.51600,0.00066
1920,2,6.08500,5.65900,0.00131
1921,1,6.51000,5.68700,0.00066
1925,3,6.40000,5.85067,0.00197
1927,2,4.17000,5.08550,0.00131
1929,2,5.27000,5.09650,0.00131
1930,12,6.23917,5.59333,0.00787
1931,2,4.69500,5.08750,0.00131
1932,5,5.40600,5.53940,0.00328
1933,1,5.24000,5.46400,0.00066
1934,2,4.05000,5.35300,0.00131
1935,8,4.67250,5.31313,0.00525
1936,3,5.47667,5.44433,0.00197
1937,6,5.97333,5.51450,0.00393
1938,6,5.85667,5.63633,0.00393
1939,3,5.88000,5.61833,0.00197
1940,6,5.00500,5.41950,0.00393
1941,2,6.01000,5.52050,0.00131
1942,3,5.91333,5.60500,0.00197
1943,3,5.63333,5.47667,0.00197
1945,2,5.58500,5.51350,0.00131
1946,2,5.97500,5.74400,0.00131
1947,2,6.15500,5.81450,0.00131
1948,2,5.57000,5.78150,0.00131
1949,4,5.20000,5.09525,0.00262
1950,4,5.88500,5.51675,0.00262
1951,2,5.91000,5.40550,0.00131
1952,4,5.40000,5.49700,0.00262
1953,5,5.47000,5.47280,0.00328
1954,7,5.91429,5.52129,0.00459
1955,5,5.59400,5.53440,0.00328
1956,9,5.89667,5.54033,0.00590
1957,2,4.03000,5.37550,0.00131
1958,10,5.64800,5.48900,0.00656
1959,11,5.73273,5.58091,0.00721
1960,22,5.56727,5.45532,0.01443
1961,11,5.82818,5.51355,0.00721
1962,20,5.95300,5.60110,0.01311
1963,22,5.97364,5.57327,0.01443
1964,16,5.74313,5.54038,0.01049
1965,27,5.26630,5.39556,0.01770
1966,11,5.86818,5.47864,0.00721
1967,21,5.53714,5.53257,0.01377
1968,25,5.79720,5.48596,0.01639
1969,30,5.84567,5.53077,0.01967
1970,41,6.07073,5.52395,0.02689
1971,40,6.11125,5.55673,0.02623
1972,69,6.01754,5.53197,0.04525
1973,75,5.94680,5.53763,0.04918
1974,76,6.10947,5.57342,0.04984
1975,125,6.09104,5.52916,0.08197
1976,70,6.11557,5.54721,0.04590
1977,112,6.11205,5.58834,0.07344
1978,103,6.04981,5.52477,0.06754
1979,138,6.27493,5.58433,0.09049
1980,132,6.21038,5.57494,0.08656
1981,160,6.09681,5.55398,0.10492
1982,136,6.07574,5.56889,0.08918
1983,147,6.10306,5.57135,0.09639
1984,108,5.92009,5.55206,0.07082
1985,137,6.10686,5.58277,0.08984
1986,156,6.04622,5.59781,0.10230
1987,145,5.97703,5.56126,0.09508
1988,141,5.79972,5.56415,0.09246
1989,141,5.94482,5.57682,0.09246
1990,155,6.01006,5.56972,0.10164
1991,180,5.96400,5.57197,0.11803
1992,212,6.16368,5.58505,0.13902
1993,197,6.05919,5.57246,0.12918
1994,191,6.04372,5.58755,0.12525
1995,224,6.14446,5.61410,0.14689
1996,227,5.93740,5.57439,0.14885
1997,238,6.09861,5.59406,0.15607
1998,260,5.96288,5.59140,0.17049
1999,283,6.07134,5.64469,0.18557
2000,307,5.97498,5.61216,0.20131
2001,310,5.94981,5.60496,0.20328
2002,350,5.97977,5.61567,0.22951
2003,425,5.99880,5.62178,0.27869
2004,513,6.07881,5.65071,0.33639
2005,558,6.03477,5.64822,0.36590
2006,541,6.03238,5.62606,0.35475
2007,557,6.07110,5.65783,0.36525
2008,608,6.22209,5.66365,0.39869
2009,675,6.23748,5.67600,0.44262
2010,737,6.34422,5.67664,0.48328
2011,773,6.34417,5.70004,0.50689
2012,870,6.33902,5.69907,0.57049
2013,919,6.36916,5.68780,0.60262
2014,1065,6.38083,5.69830,0.69836
2015,1226,6.46803,5.71991,0.80393
2016,1386,6.52895,5.70954,0.90885
2017,1457,6.62874,5.72648,0.95541
2018,1496,6.71279,5.72302,0.98098
2019,1525,6.79468,5.73836,1.00000
2020,1250,6.89574,5.72947,0.81967
2021,1235,6.95984,5.73149,0.80984
2022,1281,7.06833,5.72245,0.84000
2023,1129,7.23903,5.69268,0.74033
