year,num_games,avg_rating,avg_rating_pred,avg_rating_error,avg_rating_p_value,avg_rating_significant,avg_rating_p_value_bonferroni,avg_rating_significant_bonferroni,avg_rating_p_value_holm,avg_rating_significant_holm,avg_rating_p_value_bh,avg_rating_significant_bh,bayes_rating,bayes_rating_pred,bayes_rating_error,bayes_rating_p_value,bayes_rating_significant,bayes_rating_p_value_bonferroni,bayes_rating_significant_bonferroni,bayes_rating_p_value_holm,bayes_rating_significant_holm,bayes_rating_p_value_bh,bayes_rating_significant_bh
1970,41,6.07073,5.84720,0.22353,0.31754,false,1.00000,false,1.00000,false,0.86284,false,5.52400,5.51613,0.00787,0.71775,false,1.00000,false,1.00000,false,0.93007,false
1971,40,6.11125,5.86084,0.25041,0.26442,false,1.00000,false,1.00000,false,0.83994,false,5.55670,5.52002,0.03668,0.09678,false,1.00000,false,1.00000,false,0.71497,false
1972,69,6.01783,5.87448,0.14335,0.52207,false,1.00000,false,1.00000,false,0.89672,false,5.53199,5.52391,0.00808,0.71139,false,1.00000,false,1.00000,false,0.93007,false
1973,75,5.94787,5.88812,0.05975,0.78966,false,1.00000,false,1.00000,false,0.89672,false,5.53764,5.52779,0.00985,0.65291,false,1.00000,false,1.00000,false,0.93007,false
1974,76,6.10934,5.90176,0.20758,0.35679,false,1.00000,false,1.00000,false,0.87576,false,5.57343,5.53168,0.04175,0.06114,false,1.00000,false,1.00000,false,0.71497,false
1975,125,6.09112,5.91540,0.17572,0.43563,false,1.00000,false,1.00000,false,0.88545,false,5.52918,5.53556,-0.00638,0.77146,false,1.00000,false,1.00000,false,0.93007,false
1976,70,6.11557,5.92904,0.18653,0.40889,false,1.00000,false,1.00000,false,0.88545,false,5.54721,5.53945,0.00776,0.72429,false,1.00000,false,1.00000,false,0.93007,false
1977,112,6.11196,5.94268,0.16928,0.45402,false,1.00000,false,1.00000,false,0.88545,false,5.58834,5.54333,0.04501,0.04515,true,1.00000,false,1.00000,false,0.71497,false
1978,103,6.04981,5.95632,0.09349,0.67912,false,1.00000,false,1.00000,false,0.89672,false,5.52479,5.54722,-0.02243,0.31185,false,1.00000,false,1.00000,false,0.71497,false
1979,138,6.27507,5.96996,0.30511,0.18106,false,1.00000,false,1.00000,false,0.83994,false,5.58433,5.55110,0.03323,0.13686,false,1.00000,false,1.00000,false,0.71497,false
1980,132,6.21008,5.98360,0.22648,0.31957,false,1.00000,false,1.00000,false,0.86284,false,5.57494,5.55499,0.01995,0.36909,false,1.00000,false,1.00000,false,0.71497,false
1981,160,6.09675,5.99724,0.09951,0.66104,false,1.00000,false,1.00000,false,0.89672,false,5.55396,5.55887,-0.00491,0.82455,false,1.00000,false,1.00000,false,0.93007,false
1982,136,6.07559,6.01088,0.06471,0.77568,false,1.00000,false,1.00000,false,0.89672,false,5.56888,5.56276,0.00612,0.78264,false,1.00000,false,1.00000,false,0.93007,false
1983,147,6.10327,6.02452,0.07875,0.72909,false,1.00000,false,1.00000,false,0.89672,false,5.57135,5.56664,0.00471,0.83219,false,1.00000,false,1.00000,false,0.93007,false
1984,108,5.92009,6.03816,-0.11807,0.60424,false,1.00000,false,1.00000,false,0.89672,false,5.55206,5.57053,-0.01847,0.40761,false,1.00000,false,1.00000,false,0.73371,false
1985,137,6.10672,6.05180,0.05492,0.80945,false,1.00000,false,1.00000,false,0.89672,false,5.58277,5.57441,0.00836,0.70745,false,1.00000,false,1.00000,false,0.93007,false
1986,156,6.04603,6.06544,-0.01941,0.93215,false,1.00000,false,1.00000,false,0.96011,false,5.59783,5.57830,0.01953,0.38224,false,1.00000,false,1.00000,false,0.71497,false
1987,146,5.98329,6.07907,-0.09578,0.67478,false,1.00000,false,1.00000,false,0.89672,false,5.56095,5.58218,-0.02123,0.34279,false,1.00000,false,1.00000,false,0.71497,false
1988,141,5.79986,6.09271,-0.29285,0.20301,false,1.00000,false,1.00000,false,0.83994,false,5.56416,5.58607,-0.02191,0.32813,false,1.00000,false,1.00000,false,0.71497,false
1989,142,5.93437,6.10635,-0.17198,0.45266,false,1.00000,false,1.00000,false,0.88545,false,5.57430,5.58996,-0.01566,0.48400,false,1.00000,false,1.00000,false,0.76871,false
