year,num_ratings,avg_rating,avg_rating_pred,avg_rating_error,avg_rating_p_value,avg_rating_significant,avg_rating_p_value_bonferroni,avg_rating_significant_bonferroni,avg_rating_p_value_holm,avg_rating_significant_holm,avg_rating_p_value_bh,avg_rating_significant_bh
1970,12724,5.82673,5.92605,-0.09932,0.55375,false,1.00000,false,1.00000,false,0.98874,false
1971,48446,5.68042,5.95519,-0.27477,0.10592,false,1.00000,false,1.00000,false,0.81707,false
1972,23863,5.97501,5.98434,-0.00933,0.95575,false,1.00000,false,1.00000,false,0.98874,false
1973,24540,6.07951,6.01348,0.06603,0.69534,false,1.00000,false,1.00000,false,0.98874,false
1974,37012,6.02771,6.04263,-0.01492,0.92957,false,1.00000,false,1.00000,false,0.98874,false
1975,31700,5.88184,6.07177,-0.18993,0.26419,false,1.00000,false,1.00000,false,0.98874,false
1976,16745,6.22388,6.10092,0.12296,0.46898,false,1.00000,false,1.00000,false,0.98874,false
1977,63559,6.38484,6.13006,0.25478,0.13733,false,1.00000,false,1.00000,false,0.86780,false
1978,25374,5.90879,6.15921,-0.25042,0.14463,false,1.00000,false,1.00000,false,0.86780,false
1979,56472,6.33769,6.18835,0.14934,0.38187,false,1.00000,false,1.00000,false,0.98874,false
1980,53470,6.70681,6.21750,0.48931,0.00567,true,0.30628,false,0.30628,false,0.30628,false
1981,54265,6.19448,6.24664,-0.05216,0.75987,false,1.00000,false,1.00000,false,0.98874,false
1982,100555,6.66697,6.27579,0.39118,0.02541,true,1.00000,false,1.00000,false,0.45732,false
1983,76311,6.25790,6.30493,-0.04703,0.78333,false,1.00000,false,1.00000,false,0.98874,false
1984,40503,6.39331,6.33408,0.05923,0.72945,false,1.00000,false,1.00000,false,0.98874,false
1985,51734,6.45633,6.36322,0.09311,0.58734,false,1.00000,false,1.00000,false,0.98874,false
1986,80769,6.58448,6.39237,0.19211,0.26542,false,1.00000,false,1.00000,false,0.98874,false
1987,49513,6.27237,6.42151,-0.14914,0.38650,false,1.00000,false,1.00000,false,0.98874,false
1988,65825,6.27622,6.45066,-0.17444,0.31211,false,1.00000,false,1.00000,false,0.98874,false
1989,72324,6.45408,6.47980,-0.02572,0.88101,false,1.00000,false,1.00000,false,0.98874,false
