bgg_id,name,year,complexity,min_age,min_time,max_time,cooperative,predict,predict_proba
3076,Puerto Rico,2002.0,3.2796,12.0,90.0,150.0,0,True,0.9999893532788534
9440,Maharaja: The Game of Palace Building in India,2004.0,3.1737,12.0,90.0,90.0,0,True,0.9998939042925751
93,El Grande,1995.0,3.0526,12.0,60.0,120.0,0,True,0.9998435118198961
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982.0,2.6766,13.0,60.0,120.0,1,True,0.9992868173722431
13,Catan,1995.0,2.3217,10.0,60.0,120.0,0,True,0.9970948919639109
34635,Stone Age,2008.0,2.4783,10.0,60.0,90.0,0,True,0.994960021038787
94,Union Pacific,1999.0,2.5508,12.0,90.0,90.0,0,True,0.9929238088258265
59,Giganten,1999.0,2.5735,10.0,90.0,90.0,0,True,0.9891239831895952
481,Carolus Magnus,2000.0,2.5789,12.0,60.0,60.0,0,True,0.986209573129461
1350,Das Amulett,2001.0,2.6,12.0,60.0,60.0,0,True,0.9855343105735526
88,Torres,1999.0,2.8681,12.0,60.0,60.0,0,True,0.9786881846265162
22345,Yspahan,2006.0,2.365,8.0,45.0,60.0,0,True,0.9646030133119415
54,Tikal,1999.0,2.7957,10.0,90.0,90.0,0,True,0.9635817230719549
478,Citadels,2000.0,2.0531,10.0,20.0,60.0,0,True,0.9527569345527809
66188,Fresco,2010.0,2.6379,10.0,60.0,60.0,0,True,0.9527370358613453
9217,Saint Petersburg,2004.0,2.4689,10.0,45.0,60.0,0,True,0.9443473361693987
539,Dampfross,1979.0,2.1867,10.0,90.0,90.0,0,True,0.9325831748963564
12002,Jambo,2004.0,2.0705,12.0,45.0,45.0,0,True,0.9233167246225185
3800,Himalaya,2002.0,2.5764,8.0,60.0,60.0,0,True,0.9088800184638077
37380,Roll Through the Ages: The Bronze Age,2008.0,1.7782,8.0,30.0,45.0,0,True,0.9066150543908101
25643,Arkadia,2006.0,2.574,10.0,45.0,60.0,0,True,0.8859090482506299
36218,Dominion,2008.0,2.3569,13.0,30.0,30.0,0,True,0.8727940603992635
21882,Blue Moon City,2006.0,2.2967,14.0,30.0,50.0,0,True,0.8607899990696556
21790,Thurn and Taxis,2006.0,2.2614,10.0,60.0,60.0,0,True,0.769388865237666
30549,Pandemic,2008.0,2.4115,8.0,45.0,45.0,1,True,0.693172108236578
442,Um Reifenbreite,1979.0,1.9589,8.0,60.0,90.0,0,True,0.6753967286048965
34084,Witch's Brew,2008.0,1.8687,9.0,45.0,45.0,0,True,0.5772186681679531
789,Focus,1963.0,2.3889,10.0,45.0,45.0,0,False,0.3903581537688137
40628,Finca,2009.0,2.0796,10.0,45.0,45.0,0,False,0.26647876339695725
550,Barbarossa,1988.0,1.5429,12.0,60.0,60.0,0,False,0.2471672365148772
6249,Alhambra,2003.0,2.1043,8.0,45.0,60.0,0,False,0.24655193627868283
10,Elfenland,1998.0,2.1592,10.0,60.0,60.0,0,False,0.23684342120324825
30869,Thebes,2007.0,2.1585,8.0,60.0,60.0,0,False,0.21439909317183525
120,Hoity Toity,1990.0,1.8664,12.0,45.0,45.0,0,False,0.15720748433698703
20080,Aqua Romana,2005.0,2.1656,8.0,45.0,60.0,0,False,0.14060609735069693
34227,Blox,2008.0,2.0847,10.0,45.0,45.0,0,False,0.12767722538750623
9209,Ticket to Ride,2004.0,1.849,8.0,30.0,60.0,0,False,0.11942771092365154
110,Auf Achse,1987.0,1.958,8.0,60.0,60.0,0,False,0.10629359613592339
12005,Around the World in 80 Days,2004.0,1.8081,10.0,50.0,70.0,0,False,0.09837372648240583
4636,Clans,2002.0,2.0282,10.0,30.0,30.0,0,False,0.09110161689924862
822,Carcassonne,2000.0,1.9127,7.0,30.0,45.0,0,False,0.08657403658508624
438,Scotland Yard,1983.0,1.9561,10.0,45.0,45.0,0,False,0.08282405019267365
199,Manhattan,1994.0,1.9241,10.0,45.0,45.0,0,False,0.08222200447213794
22348,Duplik,2005.0,1.2212,12.0,45.0,45.0,0,False,0.08209547086908608
256,Mississippi Queen,1997.0,1.6933,10.0,45.0,45.0,0,False,0.06888468945206228
27588,Zooloretto,2007.0,1.8577,8.0,45.0,45.0,0,False,0.0570371164270364
811,Rummikub,1977.0,1.7457,8.0,60.0,60.0,0,False,0.05315262750288461
9674,Ingenious,2004.0,1.9159,10.0,45.0,45.0,0,False,0.05314069763376616
13308,Niagara,2004.0,1.8338,8.0,30.0,45.0,0,False,0.05187368418576129
214,Café International,1989.0,1.6618,10.0,45.0,60.0,0,False,0.0447525751649967
19,Wacky Wacky West,1991.0,1.8408,9.0,30.0,45.0,0,False,0.04321889832299691
2842,TransAmerica,2001.0,1.3523,13.0,30.0,30.0,0,False,0.030682394994868602
217,A la carte,1989.0,1.3029,8.0,30.0,30.0,0,False,0.027545228756567553
22278,12 Thieves,2006.0,1.8629,8.0,45.0,45.0,0,False,0.02742726960281253
22287,Buccaneer,2006.0,1.5857,8.0,30.0,30.0,0,False,0.027303148967189186
34585,Keltis,2008.0,1.6449,10.0,30.0,30.0,0,False,0.015727721669429137
2596,Villa Paletti,2001.0,1.1587,8.0,30.0,30.0,0,False,0.015258097055525244
361,Hare & Tortoise,1973.0,1.9351,8.0,45.0,45.0,0,False,0.012527636703396641
35497,Fauna,2008.0,1.4773,8.0,45.0,60.0,0,False,0.012050182162695476
45,Perudo,1800.0,1.2623,8.0,15.0,30.0,0,False,0.010540886609508705
40393,FITS,2009.0,1.3915,8.0,45.0,45.0,0,False,0.00957543846325072
5886,Die Dracheninsel,2003.0,1.25,10.0,60.0,60.0,1,False,0.009060025881113987
382,Heimlich & Co.,1984.0,1.4848,8.0,30.0,30.0,0,False,0.0074495016104252415
17240,That's Life!,2005.0,1.318,8.0,30.0,30.0,0,False,0.005597088443463075
938,Enchanted Forest,1981.0,1.2586,6.0,30.0,60.0,0,False,0.004926211719081004
17534,Just4Fun,2005.0,1.2712,9.0,25.0,25.0,0,False,0.003257915067001473
10814,Dawn Under,2004.0,1.6421,6.0,30.0,30.0,0,False,0.002578478816089115
988,Zapp Zerapp,2000.0,1.3103,7.0,30.0,30.0,0,False,0.0025363749209377094
39856,Dixit,2008.0,1.2186,8.0,30.0,30.0,0,False,0.0014141434586397612
29223,Marrakech,2007.0,1.3707,6.0,30.0,30.0,0,False,0.001269529188657818
