jahrgang,bgg_id,url,winner,nominated,recommended,sonderpreis
2001,https://boardgamegeek.com/boardgame/1702/klondike,https://boardgamegeek.com/boardgame/1702/klondike,1,1,1,
2002,https://boardgamegeek.com/boardgame/4522/ladybugs-costume-party,https://boardgamegeek.com/boardgame/4522/ladybugs-costume-party,1,1,1,
2003,https://boardgamegeek.com/boardgame/8195/viva-topo,https://boardgamegeek.com/boardgame/8195/viva-topo,1,1,1,
2004,https://boardgamegeek.com/boardgame/12346/spooky-stairs,https://boardgamegeek.com/boardgame/12346/spooky-stairs,1,1,1,
2005,https://boardgamegeek.com/boardgame/16369/das-kleine-gespenst,https://boardgamegeek.com/boardgame/16369/das-kleine-gespenst,1,1,1,
2006,https://boardgamegeek.com/boardgame/23890/der-schwarze-pirat,https://boardgamegeek.com/boardgame/23890/der-schwarze-pirat,1,1,1,
2007,https://boardgamegeek.com/boardgame/27948/beppo-der-bock,https://boardgamegeek.com/boardgame/27948/beppo-der-bock,1,1,1,
2008,https://boardgamegeek.com/boardgame/33643/whoowasit,https://boardgamegeek.com/boardgame/33643/whoowasit,1,1,1,
2009,https://boardgamegeek.com/boardgame/41916/magic-labyrinth,https://boardgamegeek.com/boardgame/41916/magic-labyrinth,1,1,1,
2010,https://boardgamegeek.com/boardgame/59223/diego-drachenzahn,https://boardgamegeek.com/boardgame/59223/diego-drachenzahn,1,1,1,
2011,https://boardgamegeek.com/boardgame/91671/da-ist-der-wurm-drin,https://boardgamegeek.com/boardgame/91671/da-ist-der-wurm-drin,1,1,1,
2012,https://boardgamegeek.com/boardgame/92644/schnappt-hubi,https://boardgamegeek.com/boardgame/92644/schnappt-hubi,1,1,1,
2013,https://boardgamegeek.com/boardgame/130792/enchanted-tower,https://boardgamegeek.com/boardgame/130792/enchanted-tower,1,1,1,
2014,https://boardgamegeek.com/boardgame/146312/ghost-fightin-treasure-hunters,https://boardgamegeek.com/boardgame/146312/ghost-fightin-treasure-hunters,1,1,1,
2015,https://boardgamegeek.com/boardgame/171129/spinderella,https://boardgamegeek.com/boardgame/171129/spinderella,1,1,1,
2016,https://boardgamegeek.com/boardgame/191004/my-first-stone-age,https://boardgamegeek.com/boardgame/191004/my-first-stone-age,1,1,1,
2017,https://boardgamegeek.com/boardgame/177524/icecool,https://boardgamegeek.com/boardgame/177524/icecool,1,1,1,
2018,https://boardgamegeek.com/boardgame/235655/dragons-breath,https://boardgamegeek.com/boardgame/235655/dragons-breath,1,1,1,
2019,https://boardgamegeek.com/boardgame/269526/valley-vikings,https://boardgamegeek.com/boardgame/269526/valley-vikings,1,1,1,
2020,https://boardgamegeek.com/boardgame/259830/hedgehog-roll,https://boardgamegeek.com/boardgame/259830/hedgehog-roll,1,1,1,
2021,https://boardgamegeek.com/boardgame/300010/dragomino,https://boardgamegeek.com/boardgame/300010/dragomino,1,1,1,
