jahrgang,bgg_id,url,winner,nominated,recommended,sonderpreis
2011,68448,https://boardgamegeek.com/boardgame/68448/7-wonders,1,1,1,
2011,91873,https://boardgamegeek.com/boardgame/91873/strasbourg,0,1,1,
2011,96913,https://boardgamegeek.com/boardgame/96913/lancaster,0,1,1,
2012,104006,https://boardgamegeek.com/boardgame/104006/village,1,1,1,
2012,73761,https://boardgamegeek.com/boardgame/73761/k2,0,1,1,
2012,118048,https://boardgamegeek.com/boardgame/118048/targi,0,1,1,
2012,43570,https://boardgamegeek.com/boardgame/43570/friday,0,0,1,
2012,70149,https://boardgamegeek.com/boardgame/70149/ora-et-labora,0,0,1,
2012,106217,https://boardgamegeek.com/boardgame/106217/hawaii,0,0,1,
2013,127398,https://boardgamegeek.com/boardgame/127398/legends-andor,1,1,1,
2013,129948,https://boardgamegeek.com/boardgame/129948/palaces-carrara,0,1,1,
2013,136888,https://boardgamegeek.com/boardgame/136888/bruges,0,1,1,
2013,120677,https://boardgamegeek.com/boardgame/120677/terra-mystica,0,0,1,
2013,126163,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,0,0,1,
2014,148949,https://boardgamegeek.com/boardgame/148949/istanbul,1,1,1,
2014,124361,https://boardgamegeek.com/boardgame/124361/concordia,0,1,1,
2014,144344,https://boardgamegeek.com/boardgame/144344/rococo,0,1,1,
2014,130877,https://boardgamegeek.com/boardgame/130877/blood-bound,0,0,1,
2014,132372,https://boardgamegeek.com/boardgame/132372/guildhall,0,0,1,
2014,137408,https://boardgamegeek.com/boardgame/137408/amerigo,0,0,1,
2014,144733,https://boardgamegeek.com/boardgame/144733/russian-railroads,0,0,1,
2015,172308,https://boardgamegeek.com/boardgame/172308/broom-service,1,1,1,
2015,163968,https://boardgamegeek.com/boardgame/163968/elysium,0,1,1,
2015,164928,https://boardgamegeek.com/boardgame/164928/orleans,0,1,1,
2015,159675,https://boardgamegeek.com/boardgame/159675/fields-arle,0,0,1,
2015,162082,https://boardgamegeek.com/boardgame/162082/deus,0,0,1,
2015,171623,https://boardgamegeek.com/boardgame/171623/voyages-marco-polo,0,0,1,
2016,176494,https://boardgamegeek.com/boardgame/176494/isle-skye-chieftain-king,1,1,1,
2016,146508,https://boardgamegeek.com/boardgame/146508/time-stories,0,1,1,
2016,161936,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,0,1,1,
2016,170216,https://boardgamegeek.com/boardgame/170216/blood-rage,0,0,1,
2016,172386,https://boardgamegeek.com/boardgame/172386/mombasa,0,0,1,
2016,173346,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,0,0,1,
2017,203416,https://boardgamegeek.com/boardgame/203416/exit-game-pharaohs-tomb,1,1,1,
2017,203417,https://boardgamegeek.com/boardgame/203417/exit-game-secret-lab,1,1,1,
2017,203420,https://boardgamegeek.com/boardgame/203420/exit-game-abandoned-cabin,1,1,1,
2017,167791,https://boardgamegeek.com/boardgame/167791/terraforming-mars,0,1,1,
2017,170042,https://boardgamegeek.com/boardgame/170042/raiders-north-sea,0,1,1,
2017,171131,https://boardgamegeek.com/boardgame/171131/captain-sonar,0,0,1,
2017,171233,https://boardgamegeek.com/boardgame/171233/big-book-madness,0,0,1,
2017,171668,https://boardgamegeek.com/boardgame/171668/grizzled,0,0,1,
2017,193738,https://boardgamegeek.com/boardgame/193738/great-western-trail,0,0,1,
2018,244521,https://boardgamegeek.com/boardgame/244521/quacks-quedlinburg,1,1,1,
2018,221107,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,0,0,0,Special Prize
2018,227789,https://boardgamegeek.com/boardgame/227789/heaven-ale,0,1,1,
2018,244522,https://boardgamegeek.com/boardgame/244522/s-pretty-clever,0,1,1,
2018,201808,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,0,0,1,
2018,232520,https://boardgamegeek.com/boardgame/232520/pioneers,0,0,1,
2019,266192,https://boardgamegeek.com/boardgame/266192/wingspan,1,1,1,
2019,223321,https://boardgamegeek.com/boardgame/223321/detective-modern-crime-board-game,0,1,1,
2019,245934,https://boardgamegeek.com/boardgame/245934/carpe-diem,0,1,1,
2019,217861,https://boardgamegeek.com/boardgame/217861/paper-tales,0,0,1,
2019,236457,https://boardgamegeek.com/boardgame/236457/architects-west-kingdom,0,0,1,
2019,242804,https://boardgamegeek.com/boardgame/242804/lowlands,0,0,1,
2019,244711,https://boardgamegeek.com/boardgame/244711/newton,0,0,1,
2020,284083,https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine,1,1,1,
2020,245655,https://boardgamegeek.com/boardgame/245655/kings-dilemma,0,1,1,
2020,263918,https://boardgamegeek.com/boardgame/263918/cartographers,0,1,1,
2020,247763,https://boardgamegeek.com/boardgame/247763/underwater-cities,0,0,1,
2020,262712,https://boardgamegeek.com/boardgame/262712/res-arcana,0,0,1,
2020,266810,https://boardgamegeek.com/boardgame/266810/paladins-west-kingdom,0,0,1,
2021,300531,https://boardgamegeek.com/boardgame/300531/paleo,1,1,1,
2021,223040,https://boardgamegeek.com/boardgame/223040/fantasy-realms,0,1,1,
2021,312484,https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak,0,1,1,
2021,191189,https://boardgamegeek.com/boardgame/191189/aeons-end,0,0,1,
2021,251247,https://boardgamegeek.com/boardgame/251247/barrage,0,0,1,
2021,291457,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,0,0,1,
2021,291859,https://boardgamegeek.com/boardgame/291859/riftforce,0,0,1,
2022,328479,https://boardgamegeek.com/boardgame/328479/living-forest,1,1,1,
2022,246784,https://boardgamegeek.com/boardgame/246784/cryptid,0,1,1,
2022,316554,https://boardgamegeek.com/boardgame/316554/dune-imperium,0,1,1,
2022,299684,https://boardgamegeek.com/boardgame/299684/khora-rise-empire,0,0,1,
2022,318560,https://boardgamegeek.com/boardgame/318560/witchstone,0,0,1,
2022,342942,https://boardgamegeek.com/boardgame/342942/ark-nova,0,0,1,
2023,359970,https://boardgamegeek.com/boardgame/359970/challengers,1,1,1,
2023,350636,https://boardgamegeek.com/boardgame/350636/unlock-game-adventures,0,0,0,Special Prize
2023,177478,https://boardgamegeek.com/boardgame/177478/iki,0,1,1,
2023,258779,https://boardgamegeek.com/boardgame/258779/planet-unknown,0,1,1,
2023,345584,https://boardgamegeek.com/boardgame/345584/mindbug-first-contact,0,0,1,
2023,368954,https://boardgamegeek.com/boardgame/368954/council-shadows,0,0,1,
