country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
ae,1,294788,Conqueror: Final Conquest,2020,9.38462,9.23858,26
ae,2,233078,Twilight Imperium: Fourth Edition,2017,8.94286,8.78403,21
ae,3,256960,Pax Pamir: Second Edition,2019,9.01429,8.77659,14
ae,4,351969,All Time Wrestling,2023,9.12500,8.71665,8
ae,5,314040,Pandemic Legacy: Season 0,2020,9.14286,8.68130,7
ae,6,174430,Gloomhaven,2017,8.75862,8.64836,29
ae,7,271055,Dwellings of Eldervale,2020,8.90909,8.62094,11
ae,8,264220,Tainted Grail: The Fall of Avalon,2019,9.07143,8.61892,7
ae,9,332420,Nexum Galaxy,2021,9.37500,8.59036,4
ae,10,295770,Frosthaven,2022,9.20000,8.57534,5
ae,11,224517,Brass: Birmingham,2018,8.64184,8.56006,38
ae,12,192135,Too Many Bones,2017,8.85000,8.54114,10
ae,13,167791,Terraforming Mars,2016,8.55608,8.49641,51
ae,14,295564,Unmatched Game System,2019,9.25000,8.49067,4
ae,15,169786,Scythe,2016,8.50604,8.44952,53
ae,16,255984,Sleeping Gods,2021,8.70000,8.40497,10
ae,17,220308,Gaia Project,2017,8.54190,8.40158,21
ae,18,312484,Lost Ruins of Arnak,2020,8.49032,8.39546,31
ae,19,237182,Root,2018,8.43429,8.35154,35
ae,20,341005,One Earth,2022,8.66667,8.34556,9
ae,21,316554,Dune: Imperium,2020,8.41579,8.33989,38
ae,22,161936,Pandemic Legacy: Season 1,2015,8.44840,8.33330,25
ae,23,253344,Cthulhu: Death May Die,2019,8.68750,8.32843,8
ae,24,173346,7 Wonders Duel,2015,8.38043,8.31821,46
ae,25,310100,Nemesis: Lockdown,2022,8.71429,8.30703,7
ae,26,96848,Mage Knight Board Game,2011,8.51923,8.30045,13
ae,27,203420,Exit: The Game – The Abandoned Cabin,2016,9.00000,8.29129,4
ae,27,352697,Resist!,2022,9.00000,8.29129,4
ae,29,124361,Concordia,2013,8.38200,8.26949,25
ae,30,291457,Gloomhaven: Jaws of the Lion,2020,8.39130,8.26903,23
ae,31,284378,Kanban EV,2020,8.47692,8.26121,13
ae,32,256916,Concordia Venus,2018,8.45714,8.25713,14
ae,33,262211,Cloudspire,2019,8.56667,8.25570,9
ae,34,247763,Underwater Cities,2018,8.45385,8.23980,13
ae,35,366013,Heat: Pedal to the Metal,2022,8.35882,8.19766,17
ae,36,317985,Beyond the Sun,2020,8.40769,8.19699,13
ae,37,162886,Spirit Island,2017,8.30000,8.18159,23
ae,38,266192,Wingspan,2019,8.22037,8.17015,54
ae,39,180263,The 7th Continent,2017,8.39000,8.16449,12
ae,40,25021,Sekigahara: The Unification of Japan,2011,8.50000,8.16205,8
