country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
ar,1,316554,Dune: Imperium,2020,8.74586,8.55582,111
ar,2,291457,Gloomhaven: Jaws of the Lion,2020,8.76843,8.53317,89
ar,3,187645,Star Wars: Rebellion,2016,8.79936,8.53111,78
ar,4,174430,Gloomhaven,2017,8.66486,8.52383,148
ar,5,224517,Brass: Birmingham,2018,8.57299,8.45101,167
ar,6,237182,Root,2018,8.50263,8.38612,171
ar,7,182028,Through the Ages: A New Story of Civilization,2015,8.52250,8.38047,140
ar,8,167791,Terraforming Mars,2016,8.44182,8.36978,275
ar,9,342942,Ark Nova,2021,8.52904,8.35752,115
ar,10,233078,Twilight Imperium: Fourth Edition,2017,8.71182,8.35366,55
ar,11,12333,Twilight Struggle,2005,8.48333,8.34410,141
ar,12,84876,The Castles of Burgundy,2011,8.45185,8.34165,178
ar,13,220308,Gaia Project,2017,8.53137,8.33923,102
ar,14,173346,7 Wonders Duel,2015,8.40124,8.32812,267
ar,15,162886,Spirit Island,2017,8.47832,8.30685,113
ar,16,193738,Great Western Trail,2016,8.46111,8.29614,117
ar,17,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.87879,8.29428,33
ar,18,115746,War of the Ring: Second Edition,2011,8.59219,8.29114,64
ar,19,169786,Scythe,2016,8.36206,8.28604,253
ar,20,167355,Nemesis,2018,8.44413,8.23865,92
ar,21,161936,Pandemic Legacy: Season 1,2015,8.43404,8.23332,94
ar,22,336847,Tyrants of the Underdark: Board Game,2021,8.94731,8.22408,26
ar,23,271320,The Castles of Burgundy,2019,8.67561,8.21800,41
ar,24,246900,Eclipse: Second Dawn for the Galaxy,2020,8.71351,8.20825,37
ar,25,341169,Great Western Trail: Second Edition,2021,8.67949,8.20135,39
ar,26,96848,Mage Knight Board Game,2011,8.37737,8.18246,95
ar,27,308765,Praga Caput Regni,2020,8.50526,8.18063,57
ar,28,276025,Maracaibo,2019,8.48197,8.17883,61
ar,29,164928,Orléans,2014,8.34204,8.17842,113
ar,30,31260,Agricola,2007,8.27880,8.16850,167
ar,31,184267,On Mars,2020,8.60122,8.15433,41
ar,32,266192,Wingspan,2019,8.22920,8.14831,226
ar,33,329591,Ultimate Railroads,2021,8.90000,8.14053,24
ar,34,126163,Tzolk'in: The Mayan Calendar,2012,8.22568,8.13013,190
ar,35,28720,Brass: Lancashire,2007,8.35000,8.10683,74
ar,36,255984,Sleeping Gods,2021,8.92273,8.10527,22
ar,37,364073,Splendor Duel,2022,8.72103,8.10174,29
ar,38,368229,Utópolis,2022,8.41964,8.09924,56
ar,39,109276,Kanban: Driver's Edition,2014,8.72857,8.09004,28
ar,40,251247,Barrage,2019,8.37419,8.08625,62
ar,41,171908,El Grande Big Box,2015,8.76731,8.08184,26
ar,42,185343,Anachrony,2017,8.26942,8.04944,80
ar,43,312484,Lost Ruins of Arnak,2020,8.15078,8.04556,167
ar,44,205059,Mansions of Madness: Second Edition,2016,8.18333,8.04396,126
ar,45,102680,Trajan,2011,8.28971,8.03261,68
ar,46,268864,Undaunted: Normandy,2019,8.25461,8.02524,76
ar,47,125153,The Gallerist,2015,8.42045,8.02441,44
ar,48,205637,Arkham Horror: The Card Game,2016,8.20745,8.02223,94
ar,49,203993,Lorenzo il Magnifico,2016,8.27391,8.02164,69
ar,50,221107,Pandemic Legacy: Season 2,2017,8.63929,8.01842,28
ar,51,18602,Caylus,2005,8.27846,8.01172,65
ar,52,245638,Coimbra,2018,8.21353,8.00971,85
ar,53,366013,Heat: Pedal to the Metal,2022,8.24889,8.00840,72
ar,54,317985,Beyond the Sun,2020,8.38152,8.00553,46
ar,55,120677,Terra Mystica,2012,8.16566,7.99191,99
ar,56,157354,Five Tribes: The Djinns of Naqala,2014,8.12598,7.99061,127
ar,57,229853,Teotihuacan: City of Gods,2018,8.24242,7.98275,66
ar,58,256960,Pax Pamir: Second Edition,2019,8.40750,7.97959,40
ar,59,144733,Russian Railroads,2013,8.19487,7.97577,78
ar,60,170216,Blood Rage,2015,8.06599,7.97222,182
ar,61,146021,Eldritch Horror,2013,8.07289,7.97017,166
ar,62,124361,Concordia,2013,8.09754,7.95844,122
ar,63,171623,The Voyages of Marco Polo,2015,8.05056,7.94632,162
ar,64,182874,Grand Austria Hotel,2015,8.13716,7.94534,88
ar,65,262712,Res Arcana,2019,8.15355,7.93260,76
ar,66,364011,Great Western Trail: Argentina,2022,8.50690,7.92877,29
ar,67,161970,Alchemists,2014,8.05504,7.92526,129
ar,68,285774,Marvel Champions: The Card Game,2019,8.10778,7.92201,90
ar,69,216132,Clans of Caledonia,2017,8.19508,7.92110,61
ar,70,189932,Tyrants of the Underdark,2016,8.23600,7.90410,50
ar,71,199792,Everdell,2018,8.02289,7.90016,135
ar,72,124742,Android: Netrunner,2012,8.18421,7.89426,57
ar,73,93,El Grande,1995,8.07022,7.89083,92
ar,74,102794,Caverna: The Cave Farmers,2013,8.05625,7.88477,96
ar,75,253344,Cthulhu: Death May Die,2019,8.22396,7.88148,48
ar,76,188920,This War of Mine: The Board Game,2017,8.14237,7.86560,59
ar,77,161533,Lisboa,2017,8.41724,7.85636,29
ar,78,227224,The Red Cathedral,2020,7.95653,7.84846,150
ar,79,201808,Clank!: A Deck-Building Adventure,2016,7.92750,7.84651,200
ar,80,356825,Paso del Brahmán,2022,8.17347,7.84335,49
ar,81,200680,Agricola (Revised Edition),2016,8.01989,7.84222,91
ar,82,247763,Underwater Cities,2018,8.24175,7.83823,40
ar,83,175640,Vinhos: Deluxe Edition,2016,8.50833,7.83635,24
ar,84,73439,Troyes,2010,7.99293,7.83044,99
ar,85,228341,Pulsar 2849,2017,8.03590,7.82972,78
ar,86,177736,A Feast for Odin,2016,8.07969,7.82854,64
ar,87,233371,Clank! In! Space!: A Deck-Building Adventure,2017,8.25676,7.82331,37
ar,88,3076,Puerto Rico,2002,7.90863,7.82061,182
ar,89,35677,Le Havre,2008,8.03200,7.81860,75
ar,90,220877,Rajas of the Ganges,2017,7.95945,7.81422,110
ar,91,307170,El Valle Secreto,2021,7.95402,7.81155,112
ar,92,122515,Keyflower,2012,7.97172,7.81061,99
ar,93,175914,Food Chain Magnate,2015,8.07119,7.80187,59
ar,94,284083,The Crew: The Quest for Planet Nine,2019,7.89088,7.79759,170
ar,95,463,Magic: The Gathering,1993,7.92105,7.78282,114
ar,96,244521,The Quacks of Quedlinburg,2018,7.86168,7.77398,179
ar,97,43015,Hansa Teutonica,2009,8.10889,7.76192,45
ar,98,266810,Paladins of the West Kingdom,2019,7.99922,7.75590,64
ar,99,196340,Yokohama,2016,8.18056,7.74927,36
ar,100,230802,Azul,2017,7.80476,7.74792,273
ar,101,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,7.87143,7.74141,119
ar,102,822,Carcassonne,2000,7.76711,7.73145,432
ar,103,110327,Lords of Waterdeep,2012,7.80310,7.72980,210
ar,104,310873,Carnegie,2022,8.20625,7.72606,32
ar,105,72125,Eclipse: New Dawn for the Galaxy,2011,8.01509,7.72527,53
ar,106,171,Chess,1475,7.85140,7.72450,121
ar,107,132416,Imperios Milenarios,2012,8.09756,7.72325,41
ar,108,2651,Power Grid,2004,7.82682,7.72313,148
ar,109,300531,Paleo,2020,7.94143,7.72228,70
ar,110,39463,Cosmic Encounter,2008,7.90000,7.72167,86
ar,111,14996,Ticket to Ride: Europe,2005,7.77851,7.70980,222
ar,112,282524,Horrified,2019,8.01837,7.70740,49
ar,113,291453,SCOUT,2019,8.24643,7.70326,28
ar,114,127060,Bora Bora,2013,8.11351,7.70259,37
ar,115,343905,Boonlake,2021,8.22069,7.69759,29
ar,116,183394,Viticulture Essential Edition,2015,7.79638,7.69662,152
ar,117,236457,Architects of the West Kingdom,2018,7.83282,7.69507,110
ar,118,28143,Race for the Galaxy,2007,7.83155,7.69387,110
ar,119,188834,Secret Hitler,2016,7.82069,7.69035,116
ar,120,323612,Bitoku,2021,7.93770,7.68989,61
ar,121,30549,Pandemic,2008,7.74151,7.68739,279
ar,122,205896,Rising Sun,2018,7.89054,7.68657,74
ar,123,281259,The Isle of Cats,2019,7.89551,7.67765,69
ar,124,254640,Just One,2018,7.78865,7.66978,126
ar,125,155821,Inis,2016,7.82796,7.66710,93
ar,126,230914,Carcassonne Big Box 6,2017,8.18276,7.66696,29
ar,127,62219,Dominant Species,2010,7.98913,7.66434,46
ar,128,12493,Twilight Imperium: Third Edition,2005,8.00930,7.66220,43
ar,129,127023,Kemet,2012,7.81724,7.64690,87
ar,130,324856,The Crew: Mission Deep Sea,2021,8.16786,7.64022,28
ar,131,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,7.95652,7.63599,46
ar,132,150145,Skull King,2013,7.78854,7.63502,96
ar,133,378395,One Card: Cereal Killer,2023,8.11667,7.62720,30
ar,134,163412,Patchwork,2014,7.69130,7.62251,213
ar,135,367220,Sea Salt & Paper,2022,7.85420,7.62172,63
ar,136,37111,Battlestar Galactica: The Board Game,2008,7.79286,7.61874,84
ar,137,258779,Planet Unknown,2022,8.08645,7.61541,31
ar,138,257499,Arkham Horror (Third Edition),2018,7.93043,7.61331,46
ar,139,36218,Dominion,2008,7.68497,7.60952,193
ar,140,154809,Nippon,2015,8.07742,7.60802,31
ar,141,252526,Pictomania (Second Edition),2018,7.92978,7.60663,45
ar,142,68448,7 Wonders,2010,7.65524,7.60445,286
ar,143,337765,Brian Boru: High King of Ireland,2021,8.00556,7.60242,36
ar,144,295947,Cascadia,2021,7.79026,7.59956,76
ar,145,369384,Blockits,2022,7.89388,7.59828,49
ar,146,77130,Sid Meier's Civilization: The Board Game,2010,7.94634,7.59382,41
ar,147,206718,Ethnos,2017,7.93500,7.57663,40
ar,148,104006,Village,2011,7.77500,7.57597,72
ar,149,172308,Broom Service,2015,7.83636,7.57583,55
ar,150,283155,Calico,2020,7.72989,7.57426,92
ar,151,164153,Star Wars: Imperial Assault,2014,7.73488,7.56883,86
ar,152,180263,The 7th Continent,2017,7.91707,7.56877,41
ar,153,163068,Trickerion: Legends of Illusion,2015,7.97429,7.56668,35
ar,154,148949,Istanbul,2014,7.70549,7.56569,102
ar,155,297030,Tekhenu: Obelisk of the Sun,2020,7.95722,7.56187,36
ar,156,118048,Targi,2012,7.75405,7.56173,74
ar,157,170042,Raiders of the North Sea,2015,7.79828,7.55384,58
ar,158,184921,Bunny Kingdom,2017,7.62765,7.54462,170
ar,159,239188,Chronicles of Crime,2018,7.81442,7.54319,52
ar,160,54,Tikal,1999,7.81404,7.54285,52
ar,161,306735,Under Falling Skies,2020,7.91316,7.54218,38
ar,162,182631,Star Realms: Colony Wars,2015,7.80000,7.53931,54
ar,163,198994,Hero Realms,2016,7.65366,7.53922,123
ar,164,40834,Dominion: Intrigue,2009,7.74412,7.53730,68
ar,165,54998,Cyclades,2009,7.64825,7.53667,126
ar,166,328871,Terraforming Mars: Ares Expedition,2021,7.96212,7.53619,33
ar,167,250458,Gùgōng,2018,7.85455,7.53525,44
ar,168,236191,London (Second Edition),2017,7.78345,7.53287,56
ar,169,148228,Splendor,2014,7.59632,7.53254,220
ar,170,118,Modern Art,1992,7.76780,7.53026,59
ar,171,172386,Mombasa,2015,7.89737,7.52882,38
ar,172,263918,Cartographers,2019,7.58227,7.52566,247
ar,173,25613,Through the Ages: A Story of Civilization,2006,7.85476,7.52237,42
ar,174,198928,Iberia,2016,7.92941,7.51942,34
ar,175,9209,Ticket to Ride,2004,7.58498,7.51893,211
ar,176,283948,Marco Polo II: In the Service of the Khan,2019,7.81319,7.51696,47
ar,177,95527,Madeira,2013,8.09583,7.51599,24
ar,178,295195,Clash of Armies: Medieval,2021,7.70833,7.51514,72
ar,179,244522,That's Pretty Clever!,2018,7.64167,7.51300,108
ar,180,277901,Olvir,2019,7.71940,7.51210,67
ar,181,147020,Star Realms,2014,7.60000,7.50457,145
ar,182,34635,Stone Age,2008,7.57351,7.50118,191
ar,183,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.77600,7.49990,50
ar,184,217372,The Quest for El Dorado,2017,7.71871,7.49643,62
ar,185,246784,Cryptid,2018,7.63390,7.49611,100
ar,186,178900,Codenames,2015,7.54083,7.48977,269
ar,187,83330,Mansions of Madness,2011,7.68939,7.48209,66
ar,188,158600,Hanamikoji,2013,7.77234,7.48134,47
ar,189,59294,Runewars,2010,7.92097,7.48006,31
ar,190,39856,Dixit,2008,7.52333,7.46744,243
ar,191,192291,Sushi Go Party!,2016,7.54970,7.46739,165
ar,192,346501,Mille Fiori,2021,7.83243,7.46570,37
ar,193,197786,Say my Name,2015,7.58872,7.46324,108
ar,194,162082,Deus,2014,7.76818,7.46060,44
ar,195,103343,A Game of Thrones: The Board Game (Second Edition),2011,7.55871,7.45640,132
ar,196,521,Crokinole,1876,7.74298,7.45574,47
ar,197,171131,Captain Sonar,2016,7.58431,7.45220,102
ar,198,318084,Furnace,2020,7.85758,7.44973,33
ar,199,223953,Kitchen Rush,2017,7.79282,7.44803,39
ar,200,150376,Dead of Winter: A Crossroads Game,2014,7.53208,7.44752,159
ar,201,45315,Dungeon Lords,2009,7.82571,7.44259,35
ar,202,209010,Mechs vs. Minions,2016,7.91786,7.43967,28
ar,203,19969,Truco,,7.75000,7.43877,43
ar,204,329954,Carcassonne: 20th Anniversary Edition,2021,7.89310,7.43299,29
ar,205,294484,Unmatched: Cobble & Fog,2020,7.92593,7.43199,27
ar,206,176494,Isle of Skye: From Chieftain to King,2015,7.61288,7.43034,73
ar,207,209685,Century: Spice Road,2017,7.53852,7.42936,122
ar,208,348450,Lacrimosa,2022,7.76923,7.42798,39
ar,209,103885,Star Wars: X-Wing Miniatures Game,2012,7.73721,7.42774,43
ar,210,269144,Hadara,2019,7.59806,7.42748,78
ar,211,2655,Hive,2000,7.54120,7.42748,117
ar,212,222509,Lords of Hellas,2018,7.97917,7.42539,24
ar,213,31563,Middle-Earth Quest,2009,7.93462,7.42384,26
ar,214,311193,Anno 1800: The Board Game,2020,7.86500,7.42261,30
ar,215,70149,Ora et Labora,2011,7.87931,7.42185,29
ar,216,555,The Princes of Florence,2000,7.89286,7.41961,28
ar,217,244654,Wildlands,2018,7.69479,7.41884,48
ar,218,306040,Merv: The Heart of the Silk Road,2020,7.78333,7.41595,36
ar,219,293141,King of Tokyo: Dark Edition,2020,7.57289,7.41373,83
ar,220,233398,Endeavor: Age of Sail,2018,7.85333,7.41313,30
ar,221,42,Tigris & Euphrates,1997,7.68163,7.41224,49
ar,222,39683,At the Gates of Loyang,2009,7.85000,7.41042,30
ar,223,183840,Oh My Goods!,2015,7.59278,7.40969,72
ar,224,223040,Fantasy Realms,2017,7.84667,7.40771,30
ar,225,340466,Unfathomable,2021,7.81875,7.40731,32
ar,226,206941,First Class: All Aboard the Orient Express!,2016,7.91154,7.40561,26
ar,227,296151,Viscounts of the West Kingdom,2020,7.80303,7.40462,33
ar,228,199561,Sagrada,2017,7.46872,7.40428,204
ar,229,97207,Dungeon Petz,2011,7.66939,7.40151,49
ar,230,245655,The King's Dilemma,2019,7.90385,7.39953,26
ar,231,242302,Space Base,2018,7.57432,7.39734,74
ar,232,224037,Codenames: Duet,2017,7.60156,7.39696,64
ar,233,199478,Flamme Rouge,2016,7.64423,7.39295,52
ar,234,175155,Forbidden Stars,2015,7.98636,7.39254,22
ar,235,126042,Nations,2013,7.79688,7.38932,32
ar,236,54043,Jaipur,2009,7.46022,7.38744,179
ar,237,188,Go,-2200,7.71897,7.38528,39
ar,238,140620,Lewis & Clark: The Expedition,2013,7.66170,7.38487,47
ar,239,232832,Century: Golem Edition,2017,7.67111,7.38236,45
ar,240,123260,Suburbia,2012,7.63431,7.37987,51
ar,241,13,CATAN,1995,7.40712,7.37837,451
ar,242,273657,El Camarero,2018,7.50529,7.37819,102
ar,243,8217,San Juan,2004,7.57167,7.37551,66
ar,244,279537,The Search for Planet X,2020,7.80667,7.37519,30
ar,245,319966,The King Is Dead: Second Edition,2020,7.72162,7.37231,37
ar,246,46213,Telestrations,2009,7.80000,7.36977,30
ar,247,233867,Welcome To...,2018,7.53205,7.36684,78
ar,248,105551,Archipelago,2012,7.97619,7.36361,21
ar,249,283355,Dune,2019,7.82143,7.36231,28
ar,250,104162,Descent: Journeys in the Dark (Second Edition),2012,7.48558,7.36199,104
ar,251,224108,Magus: Aura Mortis,2017,7.56452,7.35769,62
ar,252,2653,Survive: Escape from Atlantis!,1982,7.46595,7.35553,116
ar,253,128671,Spartacus: A Game of Blood and Treachery,2012,7.68026,7.35239,39
ar,254,387817,Recreo Arcano,2023,7.79310,7.35222,29
ar,255,369347,Héroes y Dados,2022,7.65476,7.35061,42
ar,256,96913,Lancaster,2011,7.83462,7.34482,26
ar,257,132531,Roll for the Galaxy,2014,7.54603,7.34399,63
ar,258,372,Schotten Totten,1999,7.43172,7.34394,145
ar,259,66188,Fresco,2010,7.50120,7.34224,80
ar,260,303057,Pan Am,2020,7.75161,7.34155,31
ar,261,176920,Mission: Red Planet (Second Edition),2015,7.48571,7.33492,84
ar,262,259393,Lunes,2018,7.43302,7.33337,127
ar,263,6249,Alhambra,2003,7.41117,7.33165,159
ar,264,43111,Chaos in the Old World,2009,7.85417,7.32831,24
ar,265,107529,Kingdom Builder,2011,7.50507,7.32740,71
ar,266,159508,AquaSphere,2014,7.74000,7.32100,30
ar,267,154597,Hive Pocket,2010,7.61952,7.32034,42
ar,268,40692,Small World,2009,7.40548,7.31946,146
ar,269,265402,In the Hall of the Mountain King,2019,7.55185,7.31929,54
ar,270,220,High Society,1995,7.45074,7.31859,95
ar,271,20551,Shogun,2006,7.72097,7.31648,31
ar,272,271324,It's a Wonderful World,2019,7.53964,7.31581,56
ar,273,156129,Deception: Murder in Hong Kong,2014,7.50239,7.31536,67
ar,274,172287,Champions of Midgard,2015,7.52373,7.31176,59
ar,275,38453,Space Alert,2008,7.79231,7.31139,26
ar,276,156858,Black Orchestra,2016,7.66857,7.31133,35
ar,277,234487,Altiplano,2017,7.80800,7.30861,25
ar,278,227789,Heaven & Ale,2017,7.75357,7.30787,28
ar,279,63628,The Manhattan Project,2012,7.76667,7.30516,27
ar,280,176189,Zombicide: Black Plague,2015,7.48529,7.30233,68
ar,281,169426,Roll Player,2016,7.41596,7.30185,109
ar,282,176734,The Manhattan Project: Energy Empire,2016,7.75778,7.29808,27
ar,283,21241,Neuroshima Hex! 3.0,2006,7.88810,7.29730,21
ar,284,318977,MicroMacro: Crime City,2020,7.61538,7.29727,39
ar,285,345972,Cat in the Box: Deluxe Edition,2022,7.79244,7.29642,25
ar,286,315767,Cartographers Heroes,2021,7.88571,7.29551,21
ar,287,4390,Carcassonne: Hunters and Gatherers,2002,7.73286,7.29126,28
ar,288,221194,Dinosaur Island,2017,7.54286,7.29060,49
ar,289,92828,Dixit: Odyssey,2011,7.42065,7.28794,93
ar,290,287954,Azul: Summer Pavilion,2019,7.52075,7.28789,53
ar,291,37046,Ghost Stories,2008,7.49016,7.28785,61
ar,292,146652,Legendary Encounters: An Alien Deck Building Game,2014,7.72857,7.28782,28
ar,293,136888,Bruges,2013,7.77960,7.28636,25
ar,294,21790,Thurn and Taxis,2006,7.54681,7.28469,47
ar,295,82222,Xia: Legends of a Drift System,2014,7.84091,7.28183,22
ar,296,270970,Century: A New World,2019,7.62222,7.28077,36
ar,297,43570,Friday,2011,7.51538,7.27920,52
ar,298,140934,Arboretum,2015,7.42805,7.27834,82
ar,299,336374,Sandwich Wars,2021,7.56905,7.27699,42
