rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,320963,10.00000,8.99455,10
2,167355,9.06857,8.79750,35
3,224517,8.88258,8.74128,66
4,167791,8.77959,8.71663,147
5,291457,8.75952,8.61716,63
6,287189,8.82051,8.59237,39
7,174430,8.64353,8.54061,85
8,244271,9.15714,8.53368,14
9,256916,8.95000,8.51610,20
10,291794,9.27273,8.49052,11
11,115746,8.76897,8.47391,29
12,164153,8.76786,8.46335,28
13,365717,9.16667,8.45755,12
14,316554,8.59618,8.44226,55
15,249259,8.79545,8.41432,22
16,12333,8.58140,8.38814,43
17,246900,8.93333,8.38076,15
18,169786,8.43571,8.35742,105
19,96848,8.54651,8.35545,43
20,173346,8.37163,8.31170,135
21,221107,8.62917,8.29419,24
22,146021,8.43000,8.28434,55
23,25021,8.98182,8.25992,11
24,199792,8.35060,8.23322,67
25,28720,8.52200,8.21010,25
26,160069,8.72000,8.20177,15
27,187645,8.37857,8.19402,42
28,182631,8.83333,8.18868,12
29,126163,8.35833,8.17508,42
30,220308,8.38250,8.16917,36
31,295770,8.85455,8.15904,11
32,170216,8.22955,8.14313,88
33,162886,8.31111,8.14218,45
34,266192,8.19854,8.13686,123
35,266507,8.67857,8.13669,14
36,237182,8.23403,8.12897,72
37,124361,8.31098,8.12665,41
38,314040,8.69231,8.11381,13
39,324856,8.41667,8.10444,24
40,110327,8.18523,8.10021,88
41,222509,8.56250,8.09572,16
42,161936,8.22222,8.08452,54
43,284378,8.65385,8.08232,13
44,256960,8.57000,8.07591,15
45,177736,8.35885,8.07400,26
46,223321,8.50000,8.06575,17
46,264220,8.50000,8.06575,17
48,84876,8.18306,8.06407,62
49,342942,8.22778,8.06385,45
50,180263,8.28182,8.05873,33
51,297562,8.61538,8.05083,13
52,251247,8.35417,8.04863,24
53,161533,8.50625,8.04805,16
54,172287,8.29310,8.04100,29
55,341169,8.52000,8.03395,15
56,247763,8.28593,8.01764,27
57,201808,8.18605,8.01759,43
58,244521,8.15151,8.01498,53
59,269385,8.37500,8.01342,20
60,188920,8.30833,8.00770,24
61,312484,8.12222,8.00770,63
62,125153,8.80000,8.00059,9
63,171,8.18421,7.99528,38
64,175155,8.38889,7.99076,18
65,183394,8.10077,7.99053,65
66,216132,8.39471,7.97570,17
67,3076,8.13929,7.97007,42
68,193738,8.16324,7.95545,34
69,263918,8.11750,7.94186,40
70,34635,8.05690,7.93605,58
71,285774,8.40000,7.93327,15
72,233078,8.13143,7.93154,35
73,124742,8.17241,7.93120,29
74,28143,8.08140,7.91950,43
75,182028,8.05588,7.91939,51
76,255984,8.45385,7.91856,13
77,121921,8.02167,7.91633,66
78,68448,7.95130,7.90634,154
79,12493,8.19565,7.89593,23
80,268864,8.35333,7.89411,15
81,233371,8.27222,7.89017,18
82,225694,8.09394,7.88592,33
83,295947,8.02979,7.88385,47
84,230914,8.31250,7.88383,16
85,274638,8.33333,7.87733,15
86,205896,8.05447,7.87467,38
87,266810,8.16522,7.86888,23
88,185343,8.05441,7.85511,34
89,154597,8.09464,7.85287,28
90,171623,8.07833,7.85269,30
91,120677,8.08448,7.85121,29
92,182874,8.26875,7.84675,16
93,102794,8.00625,7.83807,40
94,285192,8.18947,7.83577,19
95,150376,7.95086,7.83503,58
96,521,8.18421,7.83119,19
97,170042,8.01528,7.82913,36
98,283155,8.04355,7.82752,31
99,157354,7.93063,7.82448,63
100,239188,7.96596,7.82371,47
101,230253,8.30000,7.82266,14
102,294484,8.11364,7.81135,22
103,172386,8.22375,7.80861,16
104,271320,8.15789,7.80834,19
105,209010,8.08333,7.80679,24
106,305096,8.21875,7.80437,16
107,230802,7.86922,7.80422,102
108,122515,8.10227,7.80130,22
109,2651,7.93265,7.79773,49
110,229853,8.02929,7.79360,28
111,248918,8.45000,7.79087,10
112,14996,7.83355,7.79020,152
113,178944,7.88071,7.78672,70
114,164928,7.92956,7.78355,45
115,169426,8.02593,7.78268,27
116,77423,8.02222,7.77933,27
117,317985,8.18750,7.77788,16
118,104162,7.95278,7.77125,36
119,822,7.80987,7.76696,152
120,233262,8.14706,7.76390,17
121,198994,7.93919,7.76320,37
122,203993,8.08750,7.76208,20
123,146652,8.01154,7.76130,26
124,35677,8.19333,7.75986,15
125,205637,7.90455,7.75696,44
126,274364,8.18667,7.75427,15
127,266966,8.40000,7.75204,10
128,253344,8.15625,7.75139,16
129,331106,8.14375,7.74080,16
130,129437,8.45556,7.73959,9
131,63888,8.23077,7.73591,13
132,329082,8.05500,7.73366,20
133,271896,7.97917,7.71377,24
134,148228,7.76066,7.70857,122
135,234487,8.04105,7.70686,19
136,155987,7.86410,7.70168,39
137,232832,8.03421,7.70092,19
138,251219,8.01000,7.69432,20
139,216734,7.99048,7.69037,21
140,284083,7.83195,7.67904,41
141,266524,7.82209,7.67646,43
142,206718,7.88500,7.67628,30
143,233398,8.02222,7.67462,18
144,175914,7.98150,7.66941,20
145,196340,8.08267,7.66701,15
146,336986,7.95000,7.66664,22
147,139976,8.22727,7.66182,11
148,200680,8.17500,7.65766,12
149,129050,8.34444,7.65539,9
150,31627,8.00588,7.64316,17
151,270844,7.95000,7.64187,20
152,91312,7.75472,7.63862,53
153,127023,7.79605,7.63444,38
154,309630,8.07143,7.63306,14
155,195421,8.04000,7.63121,15
156,40692,7.68421,7.62701,107
157,10630,7.89130,7.62542,23
158,258779,8.13333,7.62406,12
159,283355,7.90952,7.61918,21
160,297030,8.08462,7.61624,13
161,128882,7.69757,7.61532,74
162,218479,8.28889,7.61329,9
163,163412,7.69195,7.61299,77
164,315767,8.22000,7.61226,10
165,281259,7.84577,7.61205,26
166,236457,7.75595,7.61132,42
167,101721,8.07692,7.60994,13
168,274637,7.83333,7.60863,27
169,181279,7.80833,7.60632,30
170,286749,8.27778,7.60487,9
170,351526,8.27778,7.60487,9
172,163967,7.80000,7.60466,31
173,188866,7.95294,7.59788,17
174,213893,7.93111,7.59607,18
175,155821,7.79500,7.59416,30
176,163602,8.13636,7.58976,11
176,271055,8.13636,7.58976,11
178,2655,7.77187,7.58446,32
179,167698,8.08333,7.58373,12
180,463,7.78333,7.58351,30
181,227224,8.18000,7.58120,10
182,163068,7.95313,7.57923,16
183,258309,8.03846,7.57845,13
184,314491,8.00000,7.57380,14
185,202408,7.84091,7.57017,22
186,284742,7.91118,7.56216,17
187,199561,7.67000,7.56212,55
188,123260,7.74688,7.56152,32
189,205716,8.15000,7.55790,10
190,209685,7.69878,7.55460,41
191,2511,7.79917,7.55304,24
192,242639,7.91875,7.55009,16
193,228341,7.78400,7.54827,25
194,22545,7.94000,7.54730,15
195,12,7.81364,7.54605,22
196,156129,7.70833,7.54490,36
197,246684,7.91250,7.54479,16
198,178900,7.59636,7.54293,110
199,271088,7.93333,7.54171,15
200,193042,7.75926,7.54169,27
201,184267,7.86667,7.54050,18
202,265188,7.93000,7.53891,15
203,124708,7.88235,7.53751,17
204,93,7.81429,7.53541,21
205,271324,7.72759,7.52653,29
206,39463,7.65227,7.52017,44
207,66056,7.77261,7.51992,23
208,31563,8.04545,7.51770,11
209,193037,7.90333,7.51654,15
210,31481,7.74800,7.51598,25
211,113294,7.96154,7.51547,13
211,194966,7.96154,7.51547,13
213,260180,7.87500,7.51301,16
214,54043,7.61241,7.51258,58
215,287954,7.85294,7.51236,17
216,108745,7.64318,7.51164,44
217,244711,8.09000,7.51131,10
218,262712,7.78571,7.51029,21
219,42215,7.77273,7.50987,22
220,127060,7.99167,7.50979,12
221,220877,7.81316,7.50894,19
222,233867,7.75652,7.50563,23
223,195162,8.14444,7.50384,9
224,21241,7.73200,7.50164,25
225,194655,7.60175,7.50076,57
226,252526,7.85000,7.49182,16
227,103343,7.54615,7.49107,104
228,350316,7.90000,7.49085,14
229,126042,7.80556,7.48781,18
230,284189,8.11111,7.47858,9
230,284653,8.11111,7.47858,9
232,9209,7.56087,7.47837,69
233,37111,7.67857,7.47557,28
234,54998,7.63333,7.47545,36
235,229220,7.78611,7.47105,18
236,146278,7.94167,7.46946,12
237,161970,7.60732,7.46913,41
238,59946,7.77778,7.46386,18
239,290236,7.65517,7.46065,29
240,170624,7.97273,7.46005,11
241,176189,7.83333,7.45780,15
242,318977,7.70000,7.45539,23
243,102680,7.78529,7.45450,17
244,148949,7.59024,7.45318,41
245,282524,7.80000,7.44944,16
246,278920,7.91667,7.44929,12
247,147020,7.61818,7.44831,33
248,48726,7.70000,7.44556,22
249,215,8.00000,7.44142,10
250,62219,7.81000,7.43822,15
251,97207,7.66000,7.43707,25
252,202426,8.05556,7.43648,9
252,204184,8.05556,7.43648,9
254,232405,7.70143,7.43616,21
255,104710,7.90000,7.43585,12
256,91872,7.70000,7.43490,21
257,72125,7.60313,7.42963,32
258,66356,7.75588,7.42935,17
259,43111,7.73333,7.42555,18
260,70919,7.50143,7.42241,70
261,296151,7.84615,7.42099,13
262,70323,7.47308,7.41996,104
263,224037,7.54628,7.41795,43
264,118048,7.62185,7.41752,27
265,232414,7.87667,7.41703,12
266,192291,7.55769,7.41632,39
267,274960,7.59833,7.41470,30
268,162082,7.69000,7.41457,20
269,244522,7.64167,7.41240,24
270,171131,7.60714,7.41080,28
271,311193,7.90909,7.40961,11
272,200147,7.57059,7.40904,34
273,245638,7.71389,7.40878,18
274,224783,7.66905,7.40768,21
275,279537,7.77333,7.40746,15
276,366013,7.67250,7.39927,20
277,31260,7.62542,7.39789,24
278,103885,7.68421,7.39695,19
278,285967,7.68421,7.39695,19
280,155703,7.78571,7.39605,14
281,154203,7.51304,7.39454,46
282,55690,8.00000,7.39439,9
282,267367,8.00000,7.39439,9
284,170416,7.62083,7.39380,24
285,350933,7.80769,7.38950,13
286,66188,7.80000,7.38320,13
287,300531,7.83333,7.38207,12
288,97786,7.51667,7.37811,39
289,123123,7.82500,7.37535,12
290,28023,7.49261,7.37531,46
291,227794,7.78462,7.37061,13
292,291572,7.75000,7.36642,14
293,240196,7.90000,7.36376,10
293,332772,7.90000,7.36376,10
295,193322,7.55357,7.36222,28
296,257501,7.67647,7.36143,17
297,136063,7.62500,7.35774,20
298,192135,7.80000,7.35519,12
299,199042,7.73571,7.35457,14
300,46213,7.94444,7.35229,9
301,191189,7.59091,7.34908,22
302,300327,7.72857,7.34865,14
303,292375,7.79167,7.34847,12
304,171668,7.65882,7.34634,17
305,196202,7.87500,7.34435,10
306,156858,7.93333,7.34387,9
307,156566,7.62105,7.34210,19
308,198773,7.42422,7.34143,64
309,172,7.78000,7.33906,12
310,160477,7.53333,7.33752,27
311,301880,7.86500,7.33658,10
312,254640,7.50467,7.32923,30
313,21763,7.85000,7.32493,10
314,219513,7.51667,7.32246,27
315,132531,7.61111,7.32017,18
316,205059,7.50714,7.32011,28
317,252153,7.66667,7.31796,15
318,59959,7.51111,7.31744,27
319,246192,7.62353,7.31615,17
320,150658,7.75000,7.31486,12
321,41114,7.40714,7.31394,56
322,257499,7.61765,7.31112,17
323,348450,7.88889,7.31019,9
323,356414,7.88889,7.31019,9
325,269207,7.83000,7.30940,10
326,241451,7.78182,7.30872,11
327,73439,7.54318,7.30688,22
328,274841,7.63125,7.30641,16
329,213460,7.77273,7.30152,11
330,194594,7.47333,7.30064,30
331,233312,7.72500,7.29469,12
332,162286,7.56579,7.29411,19
332,183251,7.56579,7.29411,19
334,16747,7.86667,7.29335,9
335,133848,7.63333,7.28999,15
336,216600,7.80000,7.28610,10
337,110277,7.58824,7.28597,17
338,262215,7.85556,7.28493,9
339,204583,7.35725,7.28290,69
340,256382,7.50435,7.28149,23
341,118,7.70833,7.28125,12
342,45315,7.58235,7.28093,17
343,100423,7.37558,7.27724,52
344,328871,7.51667,7.27366,21
345,2653,7.63429,7.27044,14
346,331265,7.77900,7.26979,10
347,188,7.56765,7.26836,17
348,244331,7.69167,7.26781,12
349,188834,7.40833,7.26710,36
350,172047,7.72727,7.26549,11
350,318184,7.72727,7.26549,11
352,176920,7.43621,7.26145,29
353,277085,7.50000,7.25900,21
354,197376,7.46000,7.25771,25
355,192457,7.40000,7.25176,34
356,218530,7.70909,7.25107,11
357,173101,7.63846,7.25094,13
358,260428,7.66667,7.24764,12
359,156009,7.33981,7.24508,53
360,171499,7.40000,7.23863,31
361,146508,7.43800,7.23798,25
362,223040,7.48500,7.23535,20
363,293014,7.43200,7.23260,25
364,286096,7.39667,7.23068,30
365,3,7.68182,7.22946,11
365,169255,7.68182,7.22946,11
365,228660,7.68182,7.22946,11
368,6472,7.77778,7.22600,9
368,250881,7.77778,7.22600,9
370,100901,7.67727,7.22585,11
371,42,7.53125,7.22165,16
372,173156,7.76667,7.21758,9
373,21790,7.52000,7.21212,16
374,129622,7.26534,7.20945,88
375,90137,7.61667,7.20731,12
376,13,7.23882,7.20651,152
377,241724,7.45000,7.20475,20
378,264241,7.58077,7.20370,13
379,199478,7.55000,7.20052,14
380,104006,7.30889,7.20018,45
381,25292,7.50000,7.19517,16
382,21523,7.63636,7.19343,11
382,90419,7.63636,7.19343,11
382,235488,7.63636,7.19343,11
385,147116,7.73333,7.19232,9
386,24480,7.51667,7.19210,15
387,176396,7.33324,7.19020,34
388,285984,7.53571,7.18867,14
388,295577,7.53571,7.18867,14
390,15987,7.36071,7.18733,28
391,256730,7.67000,7.18515,10
392,174785,7.72222,7.18390,9
392,189932,7.72222,7.18390,9
392,303057,7.72222,7.18390,9
395,157969,7.24653,7.18201,75
396,163642,7.58333,7.18042,12
397,169318,7.61818,7.17901,11
398,176494,7.37292,7.17242,24
399,128671,7.43889,7.17168,18
400,336794,7.65000,7.16962,10
400,346199,7.65000,7.16962,10
402,71721,7.53846,7.16906,13
403,228504,7.56667,7.16698,12
404,283393,7.50000,7.15904,14
405,166669,7.68333,7.15443,9
406,155624,7.41667,7.15252,18
407,10547,7.22273,7.15076,66
408,167400,7.54167,7.14682,12
409,30549,7.17550,7.14376,149
410,232043,7.32500,7.14316,26
411,98778,7.23404,7.14312,52
412,168435,7.40556,7.14294,18
413,232219,7.43750,7.14219,16
414,291453,7.66667,7.14180,9
414,346501,7.66667,7.14180,9
416,107529,7.38158,7.13412,19
417,212402,7.41059,7.13403,17
418,43015,7.52500,7.13337,12
418,269210,7.52500,7.13337,12
420,93260,7.49231,7.13127,13
421,157403,7.60000,7.13079,10
422,201921,7.46429,7.12942,14
423,260300,7.28333,7.12727,30
424,204472,7.51667,7.12665,12
425,207207,7.48462,7.12497,13
426,318084,7.43333,7.12218,15
427,185589,7.54545,7.12136,11
428,284435,7.50750,7.11926,12
429,306040,7.58500,7.11914,10
430,163166,7.38235,7.10988,17
431,203427,7.36667,7.10941,18
432,40793,7.57000,7.10749,10
432,111124,7.57000,7.10749,10
434,17223,7.46154,7.10608,13
435,205961,7.39375,7.10511,16
436,242302,7.31364,7.10388,22
437,276042,7.42857,7.09979,14
438,158339,7.45385,7.09978,13
439,169124,7.51818,7.09975,11
440,232918,7.61111,7.09970,9
441,39856,7.14252,7.09951,107
442,73761,7.44615,7.09348,13
443,150,7.55000,7.09196,10
444,15062,7.24000,7.08773,30
445,25613,7.35588,7.08725,17
446,503,7.50000,7.08533,11
447,37046,7.21429,7.08407,35
448,40765,7.33333,7.08067,18
449,217372,7.26200,7.08014,25
450,172081,7.45833,7.07960,12
451,298069,7.49091,7.07813,11
452,143741,7.19737,7.07790,38
453,133473,7.27391,7.07668,23
454,171233,7.30000,7.07362,20
454,175324,7.30000,7.07362,20
456,236191,7.52500,7.07255,10
457,50,7.22828,7.07228,29
458,180974,7.36667,7.06624,15
459,140620,7.44167,7.06615,12
460,38386,7.34375,7.06273,16
461,171273,7.36000,7.06065,15
462,181304,7.10347,7.05905,101
463,9609,7.55556,7.05761,9
463,53953,7.55556,7.05761,9
463,218509,7.55556,7.05761,9
466,172818,7.32059,7.05706,17
467,287589,7.28947,7.05413,19
468,155426,7.25682,7.05363,22
469,155695,7.14848,7.05144,46
470,257527,7.34667,7.04946,15
471,255692,7.42083,7.04935,12
472,235817,7.45455,7.04930,11
473,192074,7.49000,7.04537,10
474,122298,7.26750,7.04521,20
475,269144,7.36071,7.04350,14
476,40834,7.38462,7.04309,13
476,198928,7.38462,7.04309,13
478,68425,7.53333,7.04077,9
479,77130,7.15526,7.03876,38
480,158600,7.23182,7.03152,22
481,96913,7.47000,7.02984,10
482,165986,7.36154,7.02420,13
483,215311,7.33214,7.01980,14
484,760,7.35385,7.01790,13
485,308765,7.35385,7.01790,13
486,181796,7.50000,7.01551,9
487,47185,7.40909,7.01327,11
488,40769,7.28125,7.00976,16
489,478,7.07424,7.00848,66
490,158899,7.10000,7.00581,46
491,144733,7.39545,7.00246,11
492,122522,7.15607,7.00176,28
493,193214,7.28333,6.99632,15
494,147949,7.10921,6.99594,38
495,265736,7.18261,6.99553,23
496,92828,7.04104,6.98553,77
497,25669,7.28571,6.98129,14
498,295374,7.30769,6.98011,13
499,97842,7.33333,6.97877,12
500,36218,7.02988,6.97740,81
501,198740,7.40000,6.97548,10
501,299169,7.40000,6.97548,10
503,184921,7.21111,6.97529,18
504,69120,7.44444,6.97341,9
504,230244,7.44444,6.97341,9
506,163968,7.22059,6.97154,17
507,234277,7.32083,6.96869,12
508,283864,7.43333,6.96499,9
509,233247,7.20588,6.95896,17
510,295486,7.25357,6.95463,14
511,176165,7.33182,6.95202,11
511,177639,7.33182,6.95202,11
513,22827,7.22667,6.94877,15
514,27162,7.21667,6.94038,15
515,16986,7.10200,6.93666,25
516,87890,7.35000,6.93665,10
517,245934,7.18125,6.92500,16
518,180592,7.37778,6.92289,9
519,299252,7.33000,6.92112,10
520,143884,7.12500,6.92063,20
521,200077,7.29091,6.91959,11
521,276830,7.29091,6.91959,11
523,256226,7.14167,6.91542,18
524,1234,7.08696,6.91051,23
525,160499,7.10238,6.90929,21
526,192860,7.14706,6.90865,17
527,255674,7.35556,6.90606,9
528,30869,7.27273,6.90518,11
529,207753,7.14118,6.90362,17
530,194607,7.16667,6.89843,15
531,148951,7.20769,6.89823,13
532,82222,7.30000,6.89782,10
533,209778,7.02581,6.89622,31
534,2397,7.10526,6.89415,19
535,143986,7.12941,6.89356,17
536,246784,7.14375,6.89322,16
537,155068,7.33333,6.88922,9
537,187377,7.33333,6.88922,9
537,250780,7.33333,6.88922,9
540,198454,7.08500,6.88566,20
541,59294,7.19231,6.88563,13
542,205398,6.97174,6.88510,46
543,280453,7.24545,6.88356,11
544,34219,6.96563,6.88274,48
545,206941,7.31111,6.87238,9
546,316377,7.13333,6.87046,15
547,350184,7.22727,6.86915,11
548,143693,7.26000,6.86676,10
549,204027,7.09412,6.86337,17
550,131357,6.92833,6.86297,60
551,253664,7.14286,6.86279,14
552,194880,7.02500,6.86175,24
553,123540,6.97576,6.85741,33
554,329465,7.02955,6.85264,22
555,137095,6.95447,6.85210,38
556,113924,7.27778,6.84712,9
557,100679,7.11929,6.84323,14
558,217085,7.11429,6.83908,14
559,204836,7.26667,6.83870,9
560,11,7.00000,6.83322,23
561,238992,7.18182,6.83312,11
562,221194,7.21500,6.83181,10
563,142326,7.15000,6.83090,12
564,220,7.02789,6.82695,19
565,245654,7.11923,6.82580,13
566,140934,6.98333,6.82454,24
567,34119,7.06250,6.82435,16
568,279254,7.11538,6.82265,13
569,54,7.06667,6.81452,15
570,372,7.12500,6.81073,12
571,192153,7.02941,6.80803,17
572,128621,7.01667,6.80765,18
573,247436,7.22222,6.80502,9
573,340677,7.22222,6.80502,9
575,299684,7.07143,6.80353,14
576,160851,7.05000,6.80054,15
577,146886,7.17200,6.79842,10
578,205418,7.10417,6.79393,12
579,180593,7.00000,6.79328,18
580,29368,7.16000,6.78910,10
581,116954,7.05357,6.78872,14
582,195528,7.20000,6.78818,9
583,218603,6.87500,6.78684,42
584,201825,7.03333,6.78655,15
585,169654,7.06538,6.78171,13
586,175117,6.85957,6.78115,47
587,195043,7.08333,6.77712,12
587,346703,7.08333,6.77712,12
589,66849,7.14000,6.77357,10
590,127398,6.85244,6.76375,41
591,139899,7.16667,6.76292,9
592,65244,6.88333,6.76227,30
593,205610,7.09091,6.76106,11
594,162580,7.12000,6.75804,10
595,105551,7.08182,6.75386,11
596,262543,7.05417,6.75360,12
597,27173,7.05000,6.75024,12
598,181521,7.14444,6.74608,9
599,296912,6.93421,6.74559,19
600,37904,6.96875,6.74489,16
601,5782,7.06909,6.74377,11
602,121288,7.10000,6.74251,10
602,195314,7.10000,6.74251,10
602,275467,7.10000,6.74251,10
605,171669,7.01538,6.74077,13
606,9674,7.06364,6.73944,11
607,153938,6.83077,6.73934,39
608,230080,6.99286,6.73836,14
609,258036,6.98929,6.73539,14
610,351913,7.02500,6.73007,12
611,17226,7.04545,6.72503,11
612,16992,6.85185,6.72167,27
613,265381,7.11111,6.72083,9
614,234190,6.88095,6.71455,21
615,177524,7.02727,6.71062,11
616,27588,7.00000,6.70991,12
616,262726,7.00000,6.70991,12
618,12942,6.96154,6.69668,13
618,175621,6.96154,6.69668,13
620,157809,7.07778,6.69557,9
621,92415,6.81667,6.68987,27
622,83330,7.00000,6.68900,11
623,136991,6.82917,6.68688,24
624,270673,6.96667,6.68302,12
625,320,6.77237,6.68281,38
626,4390,7.05556,6.67873,9
626,194690,7.05556,6.67873,9
628,195544,6.81667,6.67572,24
629,216459,6.83250,6.66492,20
630,224272,7.00000,6.66485,10
631,154386,7.02222,6.65347,9
632,198830,6.98000,6.64932,10
633,242574,6.83056,6.64718,18
634,148575,6.86667,6.64671,15
635,31594,7.01111,6.64505,9
636,157526,6.85333,6.63552,15
637,217449,6.88462,6.63370,13
638,191862,6.85714,6.62578,14
639,158392,6.78947,6.61989,19
640,131835,6.83333,6.61874,15
641,176558,6.94000,6.61826,10
642,119,6.71176,6.61722,34
643,223855,6.90909,6.61694,11
644,150312,6.73037,6.61188,27
645,213492,6.82000,6.60756,15
646,38159,6.84615,6.60221,13
647,169544,6.70690,6.59796,29
648,27627,6.82143,6.59615,14
649,244992,6.68594,6.58810,32
650,18602,6.90000,6.58719,10
651,129736,6.80769,6.57072,13
652,179803,6.90444,6.56422,9
653,198455,6.87000,6.56390,10
654,162007,6.73529,6.55649,17
655,8203,6.80833,6.55531,12
656,131366,6.88889,6.55244,9
657,6249,6.67500,6.54922,24
658,823,6.85000,6.54836,10
659,102652,6.81818,6.54488,11
660,438,6.71588,6.53988,17
661,189052,6.75385,6.52663,13
662,181494,6.74615,6.52033,13
663,63268,6.60345,6.50385,29
664,9220,6.54915,6.50037,59
665,155362,6.63500,6.49225,20
666,220520,6.72500,6.48809,12
667,119788,6.74545,6.48723,11
668,432,6.66667,6.47890,15
668,244228,6.66667,6.47890,15
670,82168,6.70833,6.47465,12
671,112,6.68846,6.47309,13
672,915,6.77778,6.46824,9
672,214293,6.77778,6.46824,9
674,172242,6.58913,6.46803,23
675,52461,6.67692,6.46365,13
676,12692,6.59048,6.45907,21
677,183840,6.66538,6.45420,13
678,129948,6.74444,6.44298,9
679,270314,6.68182,6.43679,11
680,45134,6.72222,6.42614,9
681,166384,6.51852,6.42043,27
682,3955,6.60714,6.41840,14
683,811,6.54722,6.40290,18
684,194879,6.63636,6.40076,11
685,39953,6.58571,6.40062,14
686,185196,6.65000,6.39305,10
687,137297,6.52632,6.39134,19
688,179172,6.58846,6.39122,13
689,154479,6.58333,6.37382,12
690,176229,6.53333,6.36703,15
691,29294,6.59091,6.36473,11
692,194626,6.55000,6.35972,13
693,251658,6.63333,6.35879,9
694,8790,6.53846,6.35028,13
694,217020,6.53846,6.35028,13
696,181345,6.61111,6.34195,9
697,181,6.50000,6.33906,15
698,191178,6.55000,6.33230,11
699,144270,6.48571,6.31767,14
700,151247,6.55000,6.31539,10
701,174660,6.52727,6.31429,11
702,8098,6.40000,6.30711,25
703,18803,6.43750,6.29461,16
704,208895,6.49545,6.28906,11
705,65568,6.46154,6.28729,13
706,13308,6.44286,6.28212,14
707,149155,6.47545,6.27321,11
708,177702,6.43846,6.26840,13
709,147151,6.32308,6.26653,39
710,256788,6.50000,6.25775,9
711,62871,6.38235,6.25463,17
712,34585,6.37857,6.22879,14
713,172308,6.38583,6.21452,12
714,24068,6.40000,6.19891,10
715,147030,6.30556,6.19454,18
716,172225,6.22391,6.19276,64
717,239840,6.37778,6.16514,9
718,221965,6.30000,6.14528,12
719,297978,6.29583,6.14192,12
720,200847,6.25625,6.14098,16
721,299545,6.26923,6.12983,13
722,38032,6.30200,6.12281,10
