country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
br,1,224517,Brass: Birmingham,2018,8.97414,8.81901,527
br,2,220308,Gaia Project,2017,8.82404,8.65851,470
br,3,120677,Terra Mystica,2012,8.67743,8.59457,920
br,4,167791,Terraforming Mars,2016,8.66280,8.59150,1068
br,5,233078,Twilight Imperium: Fourth Edition,2017,8.83967,8.58782,302
br,6,248562,Mage Knight: Ultimate Edition,2018,9.32078,8.57757,102
br,7,249277,Brazil: Imperial,2021,8.80969,8.54554,284
br,8,174430,Gloomhaven,2017,8.71122,8.54457,450
br,9,162886,Spirit Island,2017,8.70972,8.50784,367
br,10,3076,Puerto Rico,2002,8.56731,8.50626,1213
br,11,12333,Twilight Struggle,2005,8.60297,8.49001,652
br,12,193738,Great Western Trail,2016,8.62261,8.48945,553
br,13,173346,7 Wonders Duel,2015,8.56111,8.48398,953
br,14,108687,Puerto Rico,2011,8.80641,8.47618,222
br,15,115746,War of the Ring: Second Edition,2011,8.70985,8.44859,278
br,16,182028,Through the Ages: A New Story of Civilization,2015,8.60585,8.44226,443
br,17,28720,Brass: Lancashire,2007,8.62695,8.43565,378
br,18,84876,The Castles of Burgundy,2011,8.51834,8.43145,831
br,19,291457,Gloomhaven: Jaws of the Lion,2020,8.78711,8.41677,194
br,20,216132,Clans of Caledonia,2017,8.56078,8.39675,435
br,21,161533,Lisboa,2017,8.60084,8.39476,346
br,22,161936,Pandemic Legacy: Season 1,2015,8.55723,8.38863,422
br,23,237182,Root,2018,8.50289,8.36905,528
br,24,177736,A Feast for Odin,2016,8.53814,8.36355,404
br,25,365258,World Wonders,2023,9.04272,8.35900,103
br,26,342942,Ark Nova,2021,8.62349,8.34637,253
br,27,169786,Scythe,2016,8.41820,8.33007,791
br,28,187645,Star Wars: Rebellion,2016,8.51269,8.32512,371
br,29,316554,Dune: Imperium,2020,8.55211,8.31764,296
br,30,96848,Mage Knight Board Game,2011,8.47061,8.30302,412
br,31,266192,Wingspan,2019,8.35627,8.26204,722
br,32,341169,Great Western Trail: Second Edition,2021,8.66766,8.24958,162
br,33,312484,Lost Ruins of Arnak,2020,8.43868,8.23684,334
br,34,124361,Concordia,2013,8.38986,8.22757,414
br,35,126163,Tzolk'in: The Mayan Calendar,2012,8.34812,8.22688,554
br,36,102794,Caverna: The Cave Farmers,2013,8.36213,8.22434,487
br,37,205637,Arkham Horror: The Card Game,2016,8.49236,8.22000,246
br,38,219217,Arena: The Contest,2019,9.00000,8.20638,84
br,39,2651,Power Grid,2004,8.26681,8.19681,949
br,40,251247,Barrage,2019,8.44052,8.18334,257
br,41,175914,Food Chain Magnate,2015,8.45417,8.17710,238
br,42,31260,Agricola,2007,8.24097,8.16795,900
br,43,230802,Azul,2017,8.23334,8.16612,977
br,44,229853,Teotihuacan: City of Gods,2018,8.35062,8.15645,337
br,45,157354,Five Tribes: The Djinns of Naqala,2014,8.25191,8.15516,676
br,46,246900,Eclipse: Second Dawn for the Galaxy,2020,8.85323,8.15106,93
br,47,200680,Agricola (Revised Edition),2016,8.40442,8.14487,251
br,48,184267,On Mars,2020,8.58505,8.14229,147
br,49,62219,Dominant Species,2010,8.31867,8.12065,326
br,50,171623,The Voyages of Marco Polo,2015,8.24172,8.11250,498
br,51,102680,Trajan,2011,8.27408,8.11240,398
br,52,68448,7 Wonders,2010,8.15253,8.10419,1327
br,53,268012,Chronicles of Drunagor: Age of Darkness,2021,9.83784,8.10416,37
br,54,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.33693,8.10293,274
br,55,164928,Orléans,2014,8.23804,8.10141,469
br,56,199792,Everdell,2018,8.27674,8.09798,358
br,57,283948,Marco Polo II: In the Service of the Khan,2019,8.53957,8.08201,139
br,58,18602,Caylus,2005,8.23050,8.08058,424
br,59,205059,Mansions of Madness: Second Edition,2016,8.20251,8.06847,472
br,60,172386,Mombasa,2015,8.25794,8.05432,309
br,61,276025,Maracaibo,2019,8.33886,8.05184,219
br,62,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.18004,8.04948,481
br,63,256960,Pax Pamir: Second Edition,2019,8.49906,8.04482,138
br,64,183394,Viticulture Essential Edition,2015,8.13103,8.03034,619
br,65,201808,Clank!: A Deck-Building Adventure,2016,8.17361,8.02907,431
br,66,35677,Le Havre,2008,8.15732,8.02198,459
br,67,146886,La Granja,2014,8.21092,8.01993,325
br,68,247763,Underwater Cities,2018,8.30462,8.01752,216
br,69,122515,Keyflower,2012,8.17619,8.01448,383
br,70,171908,El Grande Big Box,2015,8.83520,8.01063,75
br,71,295947,Cascadia,2021,8.27840,8.00314,224
br,72,185343,Anachrony,2017,8.23891,8.00271,261
br,73,93,El Grande,1995,8.16745,8.00221,373
br,74,167355,Nemesis,2018,8.24738,7.99357,242
br,75,72125,Eclipse: New Dawn for the Galaxy,2011,8.13899,7.98222,390
br,76,14996,Ticket to Ride: Europe,2005,8.05165,7.97896,840
br,77,161970,Alchemists,2014,8.11940,7.97622,426
br,78,37111,Battlestar Galactica: The Board Game,2008,8.08973,7.96649,493
br,79,125153,The Gallerist,2015,8.12330,7.95830,367
br,80,54,Tikal,1999,8.09385,7.95269,428
br,81,144733,Russian Railroads,2013,8.15261,7.95195,301
br,82,182874,Grand Austria Hotel,2015,8.14980,7.95058,303
br,83,266810,Paladins of the West Kingdom,2019,8.23631,7.94658,208
br,84,319392,Luna Maris,2022,8.96610,7.94523,59
br,85,310873,Carnegie,2022,8.39421,7.94480,134
br,86,42,Tigris & Euphrates,1997,8.07578,7.94459,459
br,87,227224,The Red Cathedral,2020,8.30240,7.94218,167
br,88,12493,Twilight Imperium: Third Edition,2005,8.17608,7.94035,255
br,89,221107,Pandemic Legacy: Season 2,2017,8.52019,7.93732,103
br,90,299659,Clash of Cultures: Monumental Edition,2021,8.75484,7.93365,73
br,91,104006,Village,2011,8.06688,7.93167,443
br,92,34635,Stone Age,2008,7.99625,7.92982,901
br,93,73439,Troyes,2010,8.08557,7.91327,345
br,94,196340,Yokohama,2016,8.21046,7.90227,192
br,95,110327,Lords of Waterdeep,2012,7.99296,7.90207,651
br,96,291453,SCOUT,2019,8.35984,7.90132,129
br,97,160069,Ticket to Ride: 10th Anniversary,2014,8.52972,7.88985,92
br,98,189932,Tyrants of the Underdark,2016,8.21084,7.88453,180
br,99,205896,Rising Sun,2018,8.06036,7.87894,323
br,100,28143,Race for the Galaxy,2007,7.95337,7.87892,787
br,101,203993,Lorenzo il Magnifico,2016,8.09210,7.86295,254
br,102,233398,Endeavor: Age of Sail,2018,8.23127,7.86289,158
br,103,287954,Azul: Summer Pavilion,2019,8.14519,7.83731,187
br,104,286749,Hansa Teutonica: Big Box,2020,8.73203,7.83380,64
br,105,221194,Dinosaur Island,2017,8.11540,7.82603,198
br,106,144592,Bruxelles 1893,2013,8.23964,7.82213,137
br,107,175640,Vinhos: Deluxe Edition,2016,8.39815,7.81602,98
br,108,366013,Heat: Pedal to the Metal,2022,8.56467,7.80699,75
br,109,209418,Dominion (Second Edition),2016,8.22149,7.80674,137
br,110,124742,Android: Netrunner,2012,8.01862,7.80662,268
br,111,284083,The Crew: The Quest for Planet Nine,2019,8.00551,7.80554,284
br,112,236457,Architects of the West Kingdom,2018,7.97303,7.79473,317
br,113,304420,Bonfire,2020,8.31102,7.79287,109
br,114,178900,Codenames,2015,7.86874,7.78867,704
br,115,43015,Hansa Teutonica,2009,7.99393,7.78684,272
br,116,285774,Marvel Champions: The Card Game,2019,8.33824,7.78615,102
br,117,263918,Cartographers,2019,7.93116,7.77667,363
br,118,30549,Pandemic,2008,7.81197,7.76543,1199
