country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
by,1,167791,Terraforming Mars,2016,8.54109,8.50049,129
by,2,174430,Gloomhaven,2017,8.53966,8.45085,58
by,3,96848,Mage Knight Board Game,2011,8.54839,8.38589,31
by,4,248562,Mage Knight: Ultimate Edition,2018,8.81818,8.36376,11
by,5,271320,The Castles of Burgundy,2019,8.88889,8.33840,9
by,6,205637,Arkham Horror: The Card Game,2016,8.36583,8.28482,60
by,7,184267,On Mars,2020,8.46481,8.28478,27
by,8,364011,Great Western Trail: Argentina,2022,8.76500,8.27979,10
by,9,220308,Gaia Project,2017,8.38636,8.24136,33
by,10,182028,Through the Ages: A New Story of Civilization,2015,8.27941,8.20985,68
by,11,173346,7 Wonders Duel,2015,8.22629,8.18588,116
by,12,162886,Spirit Island,2017,8.25565,8.18019,62
by,13,342942,Ark Nova,2021,8.32692,8.14908,26
by,14,346965,Azul: Queen's Garden,2021,8.61111,8.10574,9
by,15,224517,Brass: Birmingham,2018,8.16197,8.09810,71
by,16,233078,Twilight Imperium: Fourth Edition,2017,8.24194,8.09578,31
by,17,165722,KLASK,2014,8.83333,8.08214,6
by,18,115746,War of the Ring: Second Edition,2011,8.23214,8.07182,28
by,19,193738,Great Western Trail,2016,8.11792,8.03445,53
by,20,161533,Lisboa,2017,8.22381,8.01478,21
by,21,336847,Tyrants of the Underdark: Board Game,2021,8.33846,8.00246,13
by,22,291457,Gloomhaven: Jaws of the Lion,2020,8.15714,8.00122,28
by,23,84876,The Castles of Burgundy,2011,8.06083,7.98844,60
by,24,187645,Star Wars: Rebellion,2016,8.07273,7.97456,44
by,25,157354,Five Tribes: The Djinns of Naqala,2014,8.03854,7.94947,48
by,26,31260,Agricola,2007,8.03571,7.94849,49
by,27,251247,Barrage,2019,8.03857,7.91798,35
by,28,339789,Welcome to the Moon,2021,8.31000,7.89241,10
by,29,199792,Everdell,2018,7.95703,7.89180,64
by,30,239188,Chronicles of Crime,2018,8.00000,7.88124,35
by,31,28143,Race for the Galaxy,2007,7.95377,7.87554,53
by,32,286749,Hansa Teutonica: Big Box,2020,8.45714,7.86693,7
by,33,12333,Twilight Struggle,2005,7.93232,7.85880,56
by,34,276025,Maracaibo,2019,8.00385,7.84633,26
by,35,291845,Three Sisters,2022,8.35000,7.83954,8
by,36,264220,Tainted Grail: The Fall of Avalon,2019,7.97407,7.82384,27
by,37,293835,Oltréé,2021,8.48333,7.81102,6
by,38,246900,Eclipse: Second Dawn for the Galaxy,2020,7.93548,7.80566,31
by,39,205059,Mansions of Madness: Second Edition,2016,7.87926,7.80476,54
by,40,146021,Eldritch Horror,2013,7.85000,7.80216,84
by,41,266192,Wingspan,2019,7.84659,7.80095,88
by,42,521,Crokinole,1876,8.20000,7.79875,10
by,43,108687,Puerto Rico,2011,8.07857,7.79272,14
by,44,155821,Inis,2016,7.85833,7.79166,60
by,45,262712,Res Arcana,2019,7.91563,7.79068,32
by,46,216123,Звёздные империи. Подарочное издание (Star Realms. Gift Edition),2015,8.13636,7.77531,11
by,47,124361,Concordia,2013,7.86111,7.77295,45
by,48,340041,Kingdomino Origins,2021,8.25000,7.75745,8
by,49,189932,Tyrants of the Underdark,2016,7.93636,7.75727,22
by,50,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,7.92286,7.73693,21
by,51,183394,Viticulture Essential Edition,2015,7.78506,7.73441,77
by,52,316554,Dune: Imperium,2020,7.81277,7.72995,47
by,53,161936,Pandemic Legacy: Season 1,2015,7.81477,7.72645,44
by,54,233867,Welcome To...,2018,7.83056,7.72278,36
by,55,247763,Underwater Cities,2018,7.82297,7.71832,37
by,56,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.84000,7.71134,30
by,57,307305,Bullet♥︎,2021,8.00000,7.70406,13
by,58,256960,Pax Pamir: Second Edition,2019,7.81818,7.70172,33
by,59,281259,The Isle of Cats,2019,7.85833,7.69844,24
by,60,68448,7 Wonders,2010,7.73579,7.69545,95
by,61,284378,Kanban EV,2020,7.87381,7.69164,21
by,62,171,Chess,1475,7.82143,7.68520,28
by,63,43111,Chaos in the Old World,2009,7.84091,7.66883,22
by,64,108745,Seasons,2012,7.74184,7.66472,49
by,65,72125,Eclipse: New Dawn for the Galaxy,2011,7.78125,7.66325,32
by,66,37111,Battlestar Galactica: The Board Game,2008,7.79310,7.66292,29
by,67,257527,Trapwords,2018,8.00000,7.65762,11
by,68,225694,Decrypto,2018,7.73140,7.64435,43
by,69,317985,Beyond the Sun,2020,7.81667,7.63888,21
by,70,200680,Agricola (Revised Edition),2016,7.76000,7.63574,30
by,71,230802,Azul,2017,7.68603,7.63132,68
by,72,295947,Cascadia,2021,7.75149,7.62367,29
by,73,14996,Ticket to Ride: Europe,2005,7.65566,7.62074,106
by,74,167355,Nemesis,2018,7.70732,7.61718,41
