country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
cl,1,291457,9.01182,8.82852,110
cl,2,174430,8.88086,8.76454,170
cl,3,224517,8.74796,8.64164,179
cl,4,167791,8.68100,8.62227,322
cl,5,316554,8.75143,8.61658,140
cl,6,169786,8.66365,8.59848,288
cl,7,205637,8.66306,8.52427,132
cl,8,269385,8.77688,8.49353,64
cl,9,182028,8.69654,8.47412,81
cl,10,220308,8.68911,8.46199,79
cl,11,173346,8.49509,8.44189,335
cl,12,237182,8.53024,8.42997,177
cl,13,247763,8.61277,8.42431,94
cl,14,167355,8.54257,8.37041,101
cl,15,248562,9.27368,8.36140,19
cl,16,396090,9.08333,8.36116,24
cl,17,96848,8.73956,8.35520,45
cl,18,12333,8.46311,8.34660,148
cl,19,312484,8.47480,8.33937,127
cl,20,193738,8.48679,8.33353,112
cl,21,28720,8.55273,8.33008,77
cl,22,266192,8.37909,8.32459,314
cl,23,233078,8.61806,8.30871,55
cl,24,342942,8.46542,8.30653,107
cl,25,84876,8.39605,8.30021,177
cl,26,115746,8.68698,8.29345,43
cl,27,205059,8.41200,8.29123,140
cl,28,161936,8.40296,8.26775,124
cl,29,187645,8.55742,8.25897,56
cl,30,124361,8.36698,8.25497,149
cl,31,164928,8.37881,8.25429,134
cl,32,257499,8.54086,8.25330,58
cl,33,102794,8.41237,8.24118,97
cl,34,162886,8.35611,8.22510,126
cl,35,255668,9.00952,8.22381,21
cl,36,125153,8.57857,8.19052,42
cl,37,177736,8.41142,8.18833,73
cl,38,310968,8.68182,8.18833,33
cl,39,201808,8.31919,8.18788,124
cl,40,102680,8.44667,8.17645,60
cl,41,253344,8.50903,8.17184,48
cl,42,200680,8.33830,8.16646,94
cl,43,170216,8.25583,8.15992,168
cl,44,246900,8.54244,8.15079,41
cl,45,266810,8.33227,8.14986,88
cl,46,183394,8.23310,8.14012,172
cl,47,463,8.27203,8.13668,118
cl,48,316760,8.79583,8.13161,24
cl,49,329841,8.74231,8.12963,26
cl,50,180263,8.61030,8.12791,33
cl,51,77423,8.43137,8.12015,51
cl,52,285774,8.21700,8.11789,160
