rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,188,8.81224,8.65215,196
2,182028,8.68952,8.57404,265
3,220308,8.48062,8.34129,203
4,224517,8.46427,8.32763,206
5,12333,8.39231,8.32241,402
6,3076,8.31658,8.25328,433
7,174430,8.39206,8.24808,190
8,84876,8.27179,8.19680,358
9,205637,8.32105,8.18061,190
10,342942,8.32751,8.15263,151
11,25613,8.24660,8.14262,253
12,177736,8.27176,8.13581,193
13,291457,8.40550,8.12456,93
14,96848,8.22359,8.10819,225
15,31260,8.17177,8.10511,389
16,28720,8.20617,8.10091,246
17,200680,8.31433,8.09875,120
18,175914,8.23471,8.09788,189
19,193738,8.20131,8.09242,237
20,167791,8.17205,8.08511,296
21,120677,8.16690,8.08260,305
22,421,8.34014,7.99516,72
23,73439,8.03695,7.94235,257
24,18602,8.04310,7.93847,232
25,463,8.10000,7.93819,150
26,124361,8.06110,7.92617,179
27,162886,8.08533,7.92443,150
28,284378,8.35818,7.92014,55
29,115746,8.10836,7.91158,122
30,206480,8.68667,7.89270,30
31,251247,8.11677,7.87986,100
32,159675,8.14576,7.86839,85
33,225694,8.01931,7.86634,154
34,161936,7.96151,7.85209,214
35,126163,7.94700,7.84673,233
36,2651,7.90325,7.84221,382
37,2393,8.01108,7.83247,130
38,173346,7.90155,7.83018,325
39,221107,8.18750,7.82574,64
40,102794,7.93681,7.79408,160
41,216132,7.99616,7.79241,112
42,108687,8.19964,7.79218,56
43,55690,8.21212,7.77634,52
44,271320,8.48125,7.77388,32
45,172386,7.93664,7.77158,137
46,102680,7.88445,7.76633,191
47,316554,7.98812,7.76489,101
48,175640,8.06014,7.75657,74
49,341169,8.21875,7.75175,48
50,28143,7.80872,7.73948,322
51,1,7.98656,7.73891,90
52,93,7.87929,7.73657,156
53,249259,7.94563,7.73010,103
54,40834,7.84586,7.72966,191
55,161970,7.87723,7.71619,137
56,161533,7.95618,7.70909,89
57,246900,8.19237,7.70466,45
58,310873,8.09091,7.69383,55
59,247763,7.92809,7.68383,89
60,312484,7.87643,7.68245,112
61,35677,7.77797,7.68227,227
62,70149,7.84118,7.68150,136
63,36218,7.73697,7.67334,340
64,182874,7.79267,7.66994,176
65,155873,8.19512,7.66859,41
66,184267,7.96347,7.66424,72
67,276025,7.86361,7.66413,108
68,2093,7.80128,7.66324,156
69,164928,7.77211,7.65669,186
70,283948,7.92877,7.63731,73
71,125153,7.80943,7.63520,122
72,77423,7.76250,7.61991,148
73,122515,7.72906,7.61524,185
74,144733,7.75604,7.61475,149
75,9609,8.00185,7.61243,54
76,2181,8.02157,7.60976,51
77,13122,7.93750,7.60940,64
78,187645,7.88224,7.60634,76
79,230802,7.68646,7.60613,261
80,178900,7.67790,7.60208,276
81,171623,7.73030,7.59810,158
82,521,7.73322,7.59596,152
83,163412,7.66767,7.59401,283
84,19777,7.88841,7.58727,69
85,62219,7.71678,7.57528,146
86,203993,7.77476,7.57428,103
87,266121,7.99792,7.56885,48
88,17392,7.90541,7.56794,61
89,324856,7.91525,7.56657,59
90,59294,7.81139,7.55273,79
91,237182,7.65379,7.54709,191
92,555,7.68632,7.54495,144
93,108745,7.60857,7.53618,280
94,192135,7.79724,7.52806,75
95,43015,7.67379,7.52135,132
96,68448,7.57303,7.51942,375
97,42,7.60810,7.51916,226
98,227789,7.81014,7.51888,69
99,79828,7.80141,7.51841,71
100,284083,7.67023,7.51696,131
101,171,7.68769,7.51615,117
102,822,7.56230,7.51173,396
103,144592,7.75886,7.50607,79
104,118,7.56886,7.50263,301
105,205059,7.61036,7.49230,168
106,229853,7.67333,7.48513,105
107,279537,7.92326,7.48430,45
108,196340,7.65994,7.48217,111
109,262215,7.84630,7.48109,54
110,295947,7.70341,7.47948,88
111,4098,7.63782,7.47895,124
112,14105,7.69533,7.47669,90
113,366013,7.97179,7.46916,39
114,244522,7.65270,7.46628,105
115,66589,7.77403,7.45942,62
116,111341,7.85082,7.45387,49
117,269385,7.76116,7.45262,63
118,97207,7.66196,7.45086,92
119,191189,7.66556,7.44988,90
120,264220,7.78453,7.44487,57
121,91,7.75161,7.44011,62
122,103343,7.52671,7.43742,216
123,233078,7.77158,7.43384,57
124,63888,7.52781,7.42979,196
125,104006,7.54623,7.42777,162
126,31594,7.53064,7.42015,173
127,180263,7.64797,7.41543,82
128,245638,7.65844,7.41134,77
129,269210,7.76415,7.40613,53
130,308765,7.82200,7.40138,45
131,215,7.50403,7.39675,176
132,126042,7.58366,7.39672,101
133,144344,7.54950,7.39250,120
134,205896,7.53469,7.38997,130
135,124742,7.49135,7.38967,185
136,96913,7.57778,7.38794,99
137,31481,7.51752,7.38791,145
138,183394,7.55265,7.38647,113
139,157354,7.49319,7.37847,163
140,72125,7.47570,7.37161,179
141,43111,7.59506,7.36576,81
142,25554,7.47581,7.36466,167
143,285774,7.53601,7.36121,106
144,195539,7.65984,7.35682,61
145,194655,7.46207,7.35589,174
146,1115,7.61086,7.34804,70
147,875,7.84054,7.34433,37
148,127060,7.50330,7.33978,112
149,175155,7.71979,7.33850,48
150,266810,7.63607,7.33638,61
151,9216,7.51717,7.33287,99
152,34635,7.39735,7.33198,279
153,95527,7.61889,7.32976,63
154,364073,7.67843,7.32266,51
155,22827,7.65962,7.31261,52
156,169255,7.67959,7.31156,49
157,148228,7.36208,7.30555,318
158,5,7.40037,7.30481,188
159,39856,7.36431,7.30345,295
160,223321,7.68511,7.30318,47
161,224037,7.57231,7.29708,65
162,109276,7.62182,7.29663,55
163,244521,7.42779,7.29631,136
164,110327,7.39540,7.29393,176
165,77130,7.45752,7.29371,109
166,160495,7.70674,7.29191,43
167,92828,7.41929,7.29187,140
168,146886,7.46848,7.28863,99
169,37111,7.39127,7.28366,165
170,118048,7.43103,7.27842,116
171,234,7.75405,7.27618,37
172,185343,7.53382,7.27410,68
173,317985,7.82188,7.27095,32
174,54043,7.34374,7.26629,227
175,218417,7.85000,7.26449,30
176,27833,7.43067,7.26348,105
177,155426,7.36618,7.26294,170
178,233398,7.60000,7.26258,52
179,45315,7.44133,7.26231,98
180,231733,7.79091,7.25999,33
181,42052,7.51000,7.25657,69
182,170216,7.35494,7.25346,172
183,246192,7.43632,7.25266,95
184,300322,7.64773,7.25147,44
185,233371,7.59020,7.24884,51
186,199792,7.37647,7.24849,136
187,253344,7.68250,7.24758,40
188,167355,7.45563,7.24619,83
189,229220,7.61522,7.23890,46
190,40354,7.70622,7.23848,37
191,206941,7.54259,7.22466,54
192,176494,7.34406,7.22404,143
193,101721,7.43800,7.22353,80
194,59959,7.35703,7.22303,128
195,18833,7.39608,7.21793,96
196,17226,7.55294,7.21767,51
197,33160,7.40506,7.21341,89
198,104162,7.35132,7.21059,121
199,201808,7.34451,7.21044,127
200,279613,7.72424,7.20877,33
201,266192,7.29003,7.20752,206
202,14996,7.27278,7.20356,245
203,19857,7.39575,7.20110,87
204,39351,7.42667,7.20090,75
205,271319,7.53747,7.19917,50
206,46213,7.38111,7.19377,90
207,47185,7.45625,7.19293,64
208,9217,7.30289,7.19208,152
209,31627,7.52137,7.19125,51
210,27708,7.55652,7.19065,46
211,54138,7.40127,7.18850,79
212,20551,7.33900,7.18639,110
213,260605,7.45645,7.18578,62
214,156776,7.65167,7.18557,36
215,176396,7.36910,7.18107,89
216,265188,7.63243,7.18034,37
217,297030,7.63135,7.17949,37
218,30549,7.22678,7.17794,342
219,274364,7.55682,7.17733,44
220,13,7.22179,7.17644,368
221,104020,7.42181,7.17640,68
