country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
co,1,404383,9.90909,8.92132,11
co,2,291457,8.82667,8.64189,54
co,3,182028,8.83370,8.61840,46
co,4,173346,8.66748,8.58776,123
co,5,271320,9.01273,8.56961,22
co,6,193738,8.76300,8.56812,50
co,7,167791,8.64587,8.56792,125
co,8,291178,9.20000,8.55351,15
co,9,169786,8.63680,8.54297,103
co,10,224517,8.66986,8.53771,73
co,11,256916,9.16667,8.52600,15
co,12,175914,8.82933,8.51063,30
co,13,342942,8.68627,8.49949,51
co,14,362640,8.90476,8.45750,21
co,15,115746,8.70895,8.44200,35
co,16,12333,8.56689,8.44069,74
co,17,174430,8.58591,8.43555,62
co,18,199792,8.55556,8.42647,72
co,19,284378,8.89649,8.41008,19
co,20,124361,8.55000,8.40581,64
co,21,219666,8.80435,8.40345,23
co,22,251247,8.71552,8.39814,29
co,23,237182,8.49329,8.38169,82
co,24,187645,8.66613,8.37192,31
co,25,184267,8.62857,8.36831,35
co,26,266192,8.41444,8.34166,124
co,27,247763,8.82222,8.32398,18
co,28,162886,8.53947,8.30505,38
co,29,185343,8.62143,8.30346,28
co,30,84876,8.37863,8.29171,102
co,31,161936,8.49038,8.28907,44
co,32,109276,8.58000,8.28516,30
co,33,31260,8.38214,8.27715,84
co,34,164928,8.38310,8.25966,71
co,35,167355,8.53125,8.25758,32
co,36,183394,8.34429,8.24412,87
co,37,205059,8.38421,8.23200,57
co,38,329841,8.80000,8.22340,15
co,39,161970,8.35774,8.21849,62
co,40,126163,8.33111,8.21610,75
co,41,316554,8.36364,8.20731,55
co,42,203993,8.48065,8.20367,31
co,43,28720,8.43514,8.20312,37
co,44,269385,8.62500,8.19678,20
co,45,220308,8.44118,8.18992,34
co,46,125153,8.40658,8.18240,38
co,47,253344,8.60000,8.17520,20
co,48,7854,8.54348,8.17423,23
co,49,96848,8.41429,8.17185,35
co,50,285774,8.44828,8.15728,29
co,51,157354,8.28174,8.15216,65
co,52,163068,8.44138,8.15106,29
co,53,214887,8.90909,8.14535,11
co,54,295947,8.33111,8.14448,45
co,55,312484,8.27484,8.14366,64
co,56,317985,8.70000,8.14087,15
co,57,93,8.32261,8.14032,46
co,58,70149,8.55500,8.13637,20
co,59,200680,8.33837,8.13432,41
co,60,161533,8.55000,8.13206,20
co,61,172386,8.50909,8.12951,22
co,62,121921,8.33500,8.12647,40
co,63,62219,8.35278,8.12152,36
co,64,323612,8.34571,8.10898,35
co,65,233078,8.61875,8.10224,16
co,66,120677,8.22339,8.08862,61
co,67,177352,8.91000,8.08808,10
co,68,220877,8.31943,8.08488,35
co,69,122515,8.26905,8.07439,42
co,70,279537,8.38462,8.07062,26
co,71,182874,8.31697,8.06967,33
co,72,35677,8.26154,8.05360,39
co,73,230802,8.10096,8.05242,167
co,74,110327,8.17889,8.05033,63
co,75,102794,8.28171,8.05031,35
co,76,144733,8.33952,8.05027,28
co,77,180263,8.37917,8.04270,24
co,78,196340,8.53125,8.02923,16
co,79,146021,8.17170,8.02066,53
co,80,216132,8.34000,8.01989,25
co,81,2651,8.09574,8.01091,94
co,82,328871,8.40500,8.00693,20
co,83,175226,8.72727,8.00427,11
co,84,310873,8.61538,8.00374,13
co,85,308765,8.44444,8.00286,18
co,86,229853,8.15686,8.00112,51
co,87,191189,8.60000,7.99138,13
co,88,227224,8.12542,7.99132,59
co,89,350108,8.17500,7.97824,40
co,90,25613,8.30870,7.96793,23
co,91,171623,8.13076,7.96751,48
co,92,102680,8.23103,7.96148,29
co,93,245638,8.33333,7.96114,21
co,94,356123,8.38889,7.95563,18
co,95,300531,8.22414,7.95526,29
co,96,188920,8.26400,7.95246,25
co,97,236457,8.07540,7.95180,63
co,98,55690,8.73000,7.95146,10
co,99,163412,8.02340,7.94496,99
co,100,155821,8.20690,7.93972,29
co,101,146508,8.21071,7.93458,28
co,102,205637,8.10357,7.92054,42
co,103,266810,8.20235,7.91794,27
co,104,118048,8.17333,7.91742,30
co,105,148228,7.98824,7.89862,85
co,106,194655,7.99740,7.89848,77
co,107,276025,8.22870,7.89763,23
co,108,324856,8.15517,7.89310,29
co,109,188866,8.11471,7.89134,34
co,110,34635,7.97667,7.88644,84
co,111,146886,8.20000,7.88447,24
co,112,230914,8.32941,7.88404,17
co,113,283948,8.26000,7.88179,20
co,114,3076,7.95279,7.87580,98
co,115,188834,8.00556,7.86639,54
co,116,10630,8.09394,7.86622,33
co,117,170216,7.96237,7.85402,69
co,118,244521,7.97311,7.85073,61
co,119,146652,8.37857,7.84632,14
co,120,201808,8.02780,7.84608,41
co,121,14996,7.91489,7.83597,94
co,122,176189,8.08000,7.83303,30
co,123,234487,8.05501,7.83071,33
co,124,88,8.07689,7.83021,30
co,125,18602,8.00537,7.82526,41
co,126,341169,8.25843,7.82424,17
co,127,199478,8.03939,7.81647,33
co,128,213893,8.42500,7.81289,12
co,129,194594,7.90630,7.80598,73
co,130,20551,8.10833,7.80352,24
co,131,287954,8.03226,7.79695,31
co,132,171908,8.45455,7.79264,11
co,132,319422,8.45455,7.79264,11
co,134,224710,8.27333,7.78876,15
co,135,22545,8.26667,7.78326,15
co,135,297030,8.26667,7.78326,15
co,137,150145,7.90893,7.77965,56
co,138,233247,8.50000,7.77690,10
co,139,128671,8.10545,7.77679,22
co,140,204305,8.37750,7.77533,12
co,141,126042,8.37500,7.77336,12
co,142,36218,7.86538,7.77284,78
co,143,205896,8.00267,7.76310,30
co,144,160477,7.93095,7.76006,42
co,145,239188,7.93171,7.75689,41
co,146,294484,8.30769,7.75646,13
co,147,366013,8.09524,7.75432,21
co,148,128882,7.81684,7.74190,95
co,149,269511,8.45000,7.73895,10
co,150,284083,7.84917,7.73811,64
co,151,198994,8.02000,7.73596,25
co,152,104162,7.97517,7.73087,29
co,153,217372,7.92857,7.72654,35
co,154,257499,8.09544,7.72375,19
co,155,91080,8.11111,7.71951,18
co,156,170042,7.96690,7.71561,28
co,157,199561,7.80487,7.71470,78
co,158,184921,7.88048,7.71313,42
co,159,92828,7.83750,7.71205,56
co,160,2511,8.14750,7.70903,16
co,161,127060,8.04286,7.70882,21
co,162,246784,8.01304,7.70815,23
co,163,260678,8.29167,7.70746,12
co,164,260605,7.83593,7.70618,54
co,165,221194,7.90571,7.70559,35
co,166,269207,8.05500,7.70489,20
co,167,124742,7.98200,7.70224,25
co,168,144592,8.40000,7.70100,10
co,169,159675,8.23077,7.69464,13
co,170,27746,8.10000,7.69074,17
co,171,50750,8.12500,7.69026,16
co,172,155068,8.05263,7.68707,19
co,173,331787,8.31818,7.68683,11
co,174,39856,7.74528,7.67997,106
co,175,192291,7.74851,7.67997,101
co,176,27833,8.02500,7.67900,20
co,177,40834,7.89281,7.67678,32
co,178,285192,8.20769,7.67609,13
co,179,144344,8.13333,7.67322,15
co,179,175640,8.13333,7.67322,15
co,181,12493,8.16429,7.67166,14
co,182,262712,7.83659,7.66861,41
co,183,2655,7.82500,7.66848,44
co,184,348450,8.19231,7.66373,13
co,185,169426,7.83784,7.65304,37
co,186,154597,7.95455,7.64492,22
co,187,148949,7.77755,7.63892,49
co,188,28143,7.78478,7.63723,46
co,189,2653,7.71057,7.63272,87
co,190,191862,7.77909,7.63191,46
co,191,103343,7.75091,7.62803,55
co,192,31594,7.87778,7.62753,27
co,193,244522,7.79500,7.62619,40
co,194,255620,8.00000,7.62507,18
co,195,206718,7.96000,7.62290,20
co,196,68448,7.69051,7.62242,99
co,197,47,7.90870,7.61646,23
co,198,73439,7.80571,7.61390,35
co,199,77130,8.06000,7.61270,15
co,200,299252,8.16667,7.60862,12
co,201,161614,8.08571,7.60762,14
co,202,164153,7.82258,7.60675,31
co,203,282524,7.85185,7.60434,27
co,204,293296,8.11538,7.60191,13
co,205,177736,7.80303,7.60085,33
co,206,236179,8.15000,7.59544,12
co,207,77423,8.03333,7.59069,15
co,208,822,7.62953,7.59025,169
co,209,42,7.77222,7.58802,36
co,209,225694,7.77222,7.58802,36
co,211,222509,8.25000,7.58716,10
co,212,296151,7.88636,7.58534,22
co,213,140934,7.72826,7.58436,46
co,214,193037,7.97059,7.58170,17
co,215,297562,8.18182,7.58101,11
co,216,263918,7.72222,7.57573,45
co,217,268864,8.12500,7.57567,12
co,218,283155,7.76784,7.57411,34
co,219,281259,7.79333,7.57380,30
co,220,271896,8.23000,7.57198,10
co,221,43015,7.95882,7.57179,17
co,221,209010,7.95882,7.57179,17
co,223,172287,7.86364,7.56548,22
co,224,30549,7.60910,7.56390,145
co,225,198928,7.96875,7.55989,16
co,226,209685,7.80769,7.55650,26
co,227,147020,7.65556,7.55211,63
co,228,156566,7.70714,7.55198,42
co,229,72225,8.20000,7.54921,10
co,229,256960,8.20000,7.54921,10
co,229,366161,8.20000,7.54921,10
co,232,104006,7.77857,7.54646,28
co,232,171131,7.77857,7.54646,28
co,234,143693,7.92353,7.54205,17
co,235,303057,7.70000,7.54184,41
co,236,177639,7.90000,7.54006,18
co,237,555,7.82174,7.54005,23
co,238,70919,7.61527,7.53994,86
