country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
cr,1,233078,Twilight Imperium: Fourth Edition,2017,9.21667,8.84898,12
cr,2,224517,Brass: Birmingham,2018,8.97586,8.82481,29
cr,3,174430,Gloomhaven,2017,8.95926,8.79831,27
cr,4,216132,Clans of Caledonia,2017,9.06667,8.61122,9
cr,5,200680,Agricola (Revised Edition),2016,8.80000,8.59605,20
cr,6,266507,Clank! Legacy: Acquisitions Incorporated,2019,9.40000,8.58666,5
cr,7,301081,Flora,2020,9.50000,8.50893,4
cr,8,271320,The Castles of Burgundy,2019,9.16667,8.50649,6
cr,9,253344,Cthulhu: Death May Die,2019,8.94444,8.50460,9
cr,10,230914,Carcassonne Big Box 6,2017,8.86364,8.50386,11
cr,11,170216,Blood Rage,2015,8.63103,8.49497,29
cr,12,169786,Scythe,2016,8.57209,8.48076,43
cr,13,342942,Ark Nova,2021,8.63600,8.47901,25
cr,14,205637,Arkham Horror: The Card Game,2016,8.61739,8.44849,23
cr,15,84876,The Castles of Burgundy,2011,8.54474,8.44271,38
cr,16,237182,Root,2018,8.50395,8.40329,38
cr,17,266810,Paladins of the West Kingdom,2019,8.74545,8.39832,11
cr,18,205059,Mansions of Madness: Second Edition,2016,8.48611,8.38069,36
cr,19,167791,Terraforming Mars,2016,8.43846,8.36585,52
cr,20,201808,Clank!: A Deck-Building Adventure,2016,8.46429,8.33107,28
cr,21,35677,Le Havre,2008,8.52632,8.33007,19
cr,22,383179,Age of Innovation,2023,9.25000,8.32087,4
cr,23,328871,Terraforming Mars: Ares Expedition,2021,8.54375,8.31218,16
cr,24,291457,Gloomhaven: Jaws of the Lion,2020,8.43462,8.29308,26
cr,25,366013,Heat: Pedal to the Metal,2022,8.65000,8.28330,10
cr,26,183394,Viticulture Essential Edition,2015,8.38333,8.28154,36
cr,27,284189,Foundations of Rome,2022,9.00000,8.27008,5
cr,28,21523,Runebound: Second Edition,2005,8.72500,8.26898,8
cr,29,220308,Gaia Project,2017,8.52857,8.26808,14
cr,30,199792,Everdell,2018,8.34125,8.25065,40
cr,31,173346,7 Wonders Duel,2015,8.33488,8.25061,43
cr,32,316554,Dune: Imperium,2020,8.41364,8.24901,22
cr,33,239188,Chronicles of Crime,2018,8.50000,8.24196,14
cr,34,161970,Alchemists,2014,8.38750,8.23724,24
cr,35,233371,Clank! In! Space!: A Deck-Building Adventure,2017,9.12500,8.22685,4
cr,36,182028,Through the Ages: A New Story of Civilization,2015,8.37500,8.22539,24
cr,37,167355,Nemesis,2018,8.43750,8.21402,16
cr,38,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.41111,8.21257,18
cr,39,171623,The Voyages of Marco Polo,2015,8.46429,8.20932,14
cr,40,18602,Caylus,2005,8.39474,8.20703,19
cr,41,247763,Underwater Cities,2018,8.50000,8.20321,12
cr,42,6050,Duel of Ages Set 1: Worldspanner,2003,8.90000,8.19094,5
cr,43,212402,The Grimm Forest,2018,8.62500,8.18312,8
cr,44,124361,Concordia,2013,8.38824,8.18050,17
cr,45,120677,Terra Mystica,2012,8.36471,8.15866,17
cr,46,266524,PARKS,2019,8.33000,8.15510,20
cr,47,182874,Grand Austria Hotel,2015,8.53889,8.15084,9
cr,48,162886,Spirit Island,2017,8.28462,8.15032,26
cr,49,279537,The Search for Planet X,2020,8.57500,8.14019,8
cr,50,185343,Anachrony,2017,8.31250,8.13868,20
cr,51,230253,Star Realms: Frontiers,2018,9.00000,8.13282,4
cr,51,284378,Kanban EV,2020,9.00000,8.13282,4
cr,51,297562,Kemet: Blood and Sand,2021,9.00000,8.13282,4
cr,54,266192,Wingspan,2019,8.18276,8.12317,58
cr,55,28720,Brass: Lancashire,2007,8.35333,8.12295,15
cr,56,150376,Dead of Winter: A Crossroads Game,2014,8.21818,8.11383,33
cr,57,308765,Praga Caput Regni,2020,8.40000,8.11310,12
cr,58,11170,Heroscape Master Set: Rise of the Valkyrie,2004,8.80000,8.11179,5
cr,58,54138,Imperial 2030,2009,8.80000,8.11179,5
cr,58,283948,Marco Polo II: In the Service of the Khan,2019,8.80000,8.11179,5
cr,61,311193,Anno 1800: The Board Game,2020,8.53125,8.10263,8
cr,62,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.40909,8.09793,11
cr,63,31260,Agricola,2007,8.19375,8.08723,32
cr,64,31627,Ticket to Ride: Nordic Countries,2007,8.42000,8.08008,10
cr,65,125153,The Gallerist,2015,8.75000,8.07222,5
cr,66,164153,Star Wars: Imperial Assault,2014,8.28125,8.06965,16
cr,67,270844,Imperial Settlers: Empires of the North,2019,8.47500,8.05433,8
cr,68,122515,Keyflower,2012,8.30769,8.04933,13
