rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,295785,9.20526,8.87320,95
2,174430,8.78549,8.68146,286
3,224517,8.76405,8.66505,299
4,115746,8.91153,8.66101,118
5,162886,8.77403,8.64872,235
6,342942,8.76112,8.63832,239
7,233078,8.79955,8.61065,154
8,291457,8.68570,8.53397,187
9,256960,8.70955,8.52912,157
10,182028,8.65096,8.52191,219
11,187645,8.67316,8.48693,150
12,167791,8.52858,8.47740,544
13,25613,8.60745,8.46019,188
14,237182,8.52275,8.44431,351
15,248562,8.82121,8.40902,66
16,167355,8.48957,8.39459,285
17,385610,8.81129,8.37729,62
18,316554,8.46509,8.37088,285
19,169786,8.34445,8.29009,480
20,205637,8.49278,8.28600,126
21,220308,8.46436,8.26962,133
22,312484,8.35899,8.26908,288
23,193738,8.38218,8.23518,174
24,299659,8.54305,8.23153,82
25,366013,8.34717,8.19445,165
26,255984,8.70375,8.18134,48
27,180263,8.42598,8.18024,102
28,310100,8.75581,8.17421,43
29,281655,8.70652,8.16477,46
30,12333,8.24929,8.16043,280
31,264220,8.32701,8.14636,137
32,266192,8.19692,8.14590,485
33,173346,8.19019,8.13173,421
34,251247,8.40121,8.13084,91
35,96848,8.24510,8.11886,194
36,170216,8.19614,8.11077,286
37,161936,8.23313,8.08737,166
38,199792,8.15311,8.08482,354
39,339789,8.51111,8.06662,54
40,223321,8.28318,8.05948,107
41,124742,8.29125,8.04348,96
42,246900,8.34615,8.04144,78
43,84876,8.20129,8.03972,147
44,28720,8.30930,8.03377,86
45,271320,8.59214,8.02902,42
46,120677,8.12376,8.02842,248
47,12493,8.38090,8.02803,67
48,164153,8.36418,8.01336,67
49,42,8.17992,7.98912,122
50,181819,8.70312,7.97873,32
51,274364,8.17321,7.96720,112
52,3076,8.03767,7.96405,313
53,73171,8.60000,7.96076,36
54,295947,8.07232,7.94855,185
55,253344,8.21149,7.94832,87
56,175914,8.33483,7.94121,58
57,177736,8.25100,7.92678,70
58,209010,8.16146,7.92521,96
59,192135,8.50256,7.92183,39
60,215,8.17294,7.90801,85
61,101721,8.45750,7.89707,40
62,183394,8.01492,7.89391,185
63,146508,8.06512,7.89173,129
64,308765,8.21324,7.88520,68
65,216132,8.09951,7.88314,103
66,341169,8.48108,7.87962,37
67,43111,8.16757,7.86827,74
68,233312,8.16712,7.86424,73
69,266810,8.04268,7.86302,123
70,256916,8.27547,7.85919,53
71,37111,8.00470,7.85678,149
72,102794,7.97905,7.85596,179
73,285774,8.03391,7.84335,115
74,277085,8.11013,7.83385,79
75,73439,8.12347,7.83261,75
76,72125,8.04851,7.83254,101
77,191189,8.05851,7.82700,94
78,324856,8.36250,7.82007,40
79,178900,7.86232,7.81699,478
80,38453,7.97574,7.81645,136
81,318184,8.15397,7.81093,63
82,198953,8.09189,7.80109,74
83,188920,7.90908,7.79883,195
84,247763,7.96595,7.79557,126
85,304783,8.11970,7.79457,66
86,188,8.11045,7.79071,67
87,2651,7.86112,7.78833,294
88,205059,7.91172,7.78382,167
89,31260,7.83067,7.77554,386
90,161970,7.91811,7.76968,143
91,323612,8.40606,7.76436,33
92,126163,7.86995,7.75877,190
93,263918,7.83208,7.75258,265
94,17133,8.00120,7.74792,83
95,185343,7.94514,7.74517,105
96,205896,7.90154,7.74037,130
97,195421,8.04776,7.73570,67
98,306735,7.94907,7.73372,97
99,291453,7.96591,7.72903,88
100,124361,7.94766,7.72618,94
101,184267,8.05317,7.72316,63
102,225694,7.98961,7.71999,77
103,316377,8.11731,7.71835,52
104,104162,7.85400,7.71585,150
105,146021,7.84086,7.71384,163
106,5404,8.14167,7.71091,48
107,45315,7.81294,7.71011,201
108,374173,8.31765,7.70982,34
109,329082,7.95542,7.70678,83
110,233371,7.99718,7.70654,71
111,281259,7.90294,7.70113,102
112,155821,7.94817,7.69755,82
113,221107,8.21000,7.69647,40
114,318182,8.33437,7.69337,32
115,236457,7.80410,7.69208,183
116,268864,7.88641,7.68777,103
117,54,7.79081,7.68058,185
118,175155,8.10851,7.67561,47
119,31481,7.74348,7.67544,299
120,221769,8.18000,7.67216,40
121,230802,7.73178,7.67152,337
122,77423,7.79562,7.66886,160
123,291572,8.19842,7.66549,38
124,171662,7.98361,7.65346,61
125,280794,8.34483,7.65113,29
126,164928,7.93239,7.64930,71
127,285192,7.97226,7.64823,62
128,54998,7.77267,7.64791,161
129,224037,7.79275,7.64724,138
130,283355,8.06458,7.64640,48
131,163841,8.33793,7.64592,29
132,269385,7.82301,7.64545,113
133,82222,8.30667,7.63967,30
134,127023,7.84091,7.63886,99
135,93,7.85380,7.63662,92
136,84889,8.11951,7.63299,41
137,161533,8.09651,7.63268,43
138,25021,8.23333,7.62977,33
139,287954,7.84457,7.62823,92
140,121921,7.73298,7.62716,188
