country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
dk,1,161936,Pandemic Legacy: Season 1,2015,8.68891,8.56410,441
dk,2,174430,Gloomhaven,2017,8.65101,8.55187,553
dk,3,251661,Oathsworn: Into the Deepwood,2022,9.33960,8.51817,66
dk,4,295770,Frosthaven,2022,9.16208,8.43088,72
dk,5,342942,Ark Nova,2021,8.59804,8.40808,275
dk,6,224517,Brass: Birmingham,2018,8.51921,8.36855,342
dk,7,233078,Twilight Imperium: Fourth Edition,2017,8.53270,8.31564,233
dk,8,291457,Gloomhaven: Jaws of the Lion,2020,8.43959,8.23879,245
dk,9,316554,Dune: Imperium,2020,8.39006,8.23554,318
dk,10,246900,Eclipse: Second Dawn for the Galaxy,2020,8.62222,8.23265,126
dk,11,220308,Gaia Project,2017,8.45103,8.21221,204
dk,12,162886,Spirit Island,2017,8.31224,8.19309,406
dk,13,167791,Terraforming Mars,2016,8.24084,8.18595,879
dk,14,12333,Twilight Struggle,2005,8.29148,8.17879,427
dk,15,115746,War of the Ring: Second Edition,2011,8.47974,8.16849,154
dk,16,314040,Pandemic Legacy: Season 0,2020,8.80357,8.12896,70
dk,17,55690,Kingdom Death: Monster,2015,8.60722,8.05983,84
dk,18,193738,Great Western Trail,2016,8.16766,8.04122,361
dk,19,187645,Star Wars: Rebellion,2016,8.21034,8.01939,237
dk,20,324856,The Crew: Mission Deep Sea,2021,8.31650,8.00219,143
dk,21,167355,Nemesis,2018,8.12301,7.95882,269
dk,22,84876,The Castles of Burgundy,2011,8.06375,7.94535,371
dk,23,363622,The Castles of Burgundy: Special Edition,2023,9.34871,7.93675,31
dk,24,173346,7 Wonders Duel,2015,7.95809,7.90205,770
dk,25,199792,Everdell,2018,8.01389,7.89183,352
dk,26,120677,Terra Mystica,2012,7.99080,7.88375,400
dk,27,205637,Arkham Horror: The Card Game,2016,8.01680,7.87937,311
dk,28,182028,Through the Ages: A New Story of Civilization,2015,8.01253,7.85360,266
dk,29,366013,Heat: Pedal to the Metal,2022,8.03960,7.85184,225
dk,30,312484,Lost Ruins of Arnak,2020,7.98540,7.85009,312
dk,31,266192,Wingspan,2019,7.91523,7.84796,627
dk,32,221107,Pandemic Legacy: Season 2,2017,8.16165,7.84495,133
dk,33,183394,Viticulture Essential Edition,2015,7.95434,7.83387,348
dk,34,124361,Concordia,2013,7.94974,7.83048,351
dk,35,237182,Root,2018,7.96273,7.82701,308
dk,36,3076,Puerto Rico,2002,7.88912,7.81967,600
dk,37,169786,Scythe,2016,7.88302,7.81022,570
dk,38,192135,Too Many Bones,2017,8.27111,7.81006,90
dk,39,341169,Great Western Trail: Second Edition,2021,8.48634,7.80700,61
dk,40,170216,Blood Rage,2015,7.91432,7.80225,369
dk,41,256916,Concordia Venus,2018,8.38000,7.79188,70
dk,42,248562,Mage Knight: Ultimate Edition,2018,9.11290,7.78746,31
dk,43,177736,A Feast for Odin,2016,8.00466,7.78515,187
dk,44,521,Crokinole,1876,8.16021,7.73720,95
dk,45,247763,Underwater Cities,2018,8.01643,7.73027,140
dk,46,72125,Eclipse: New Dawn for the Galaxy,2011,7.87679,7.72591,265
dk,47,28720,Brass: Lancashire,2007,8.00865,7.72518,141
dk,48,96848,Mage Knight Board Game,2011,7.86811,7.72291,275
dk,49,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.30221,7.71666,68
dk,50,164928,Orléans,2014,7.90178,7.71417,212
dk,51,124742,Android: Netrunner,2012,7.86900,7.71020,250
dk,52,271320,The Castles of Burgundy,2019,8.21080,7.70862,79
dk,53,255984,Sleeping Gods,2021,8.24459,7.70850,74
dk,54,284083,The Crew: The Quest for Planet Nine,2019,7.80512,7.69527,359
dk,55,223321,Detective: A Modern Crime Board Game,2018,8.30344,7.68904,64
dk,56,264220,Tainted Grail: The Fall of Avalon,2019,8.02232,7.68661,117
dk,57,126163,Tzolk'in: The Mayan Calendar,2012,7.82695,7.68280,272
dk,58,185343,Anachrony,2017,7.99556,7.67980,124
dk,59,209010,Mechs vs. Minions,2016,7.85297,7.66082,202
dk,60,295947,Cascadia,2021,7.82447,7.65941,235
dk,61,62219,Dominant Species,2010,7.87542,7.65878,179
dk,62,332398,Everdell: The Complete Collection,2022,8.90323,7.65470,31
dk,63,253344,Cthulhu: Death May Die,2019,8.20667,7.64108,68
dk,64,229853,Teotihuacan: City of Gods,2018,7.91321,7.63880,140
dk,65,182874,Grand Austria Hotel,2015,7.91761,7.63555,136
dk,66,31260,Agricola,2007,7.67801,7.61439,597
dk,67,276025,Maracaibo,2019,7.90581,7.61176,129
dk,68,256960,Pax Pamir: Second Edition,2019,7.98436,7.60923,101
dk,69,108687,Puerto Rico,2011,8.23989,7.60862,60
dk,70,236457,Architects of the West Kingdom,2018,7.79102,7.60809,207
dk,71,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,7.88456,7.60635,136
dk,72,155821,Inis,2016,7.82517,7.60531,172
dk,73,161533,Lisboa,2017,8.08205,7.59873,78
dk,74,164153,Star Wars: Imperial Assault,2014,7.76597,7.58504,207
dk,75,244521,The Quacks of Quedlinburg,2018,7.65500,7.57648,475
dk,76,205059,Mansions of Madness: Second Edition,2016,7.69659,7.57289,301
dk,77,157354,Five Tribes: The Djinns of Naqala,2014,7.69222,7.56720,297
dk,78,317985,Beyond the Sun,2020,7.93366,7.56619,101
dk,79,146021,Eldritch Horror,2013,7.68176,7.56334,313
dk,80,295486,My City,2020,7.82843,7.54952,132
dk,81,217372,The Quest for El Dorado,2017,7.72052,7.54708,212
dk,82,230802,Azul,2017,7.59728,7.54045,645
dk,83,198928,Iberia,2016,7.87045,7.54028,111
dk,84,209418,Dominion (Second Edition),2016,7.95575,7.53548,87
dk,85,291453,SCOUT,2019,7.87064,7.53524,109
dk,86,201808,Clank!: A Deck-Building Adventure,2016,7.66305,7.53522,286
dk,87,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,7.63196,7.53196,365
dk,88,102794,Caverna: The Cave Farmers,2013,7.64139,7.53053,329
dk,89,110327,Lords of Waterdeep,2012,7.58745,7.52598,592
dk,90,332800,Summoner Wars (Second Edition),2021,8.37325,7.51253,42
dk,91,364073,Splendor Duel,2022,7.96250,7.51097,80
dk,92,28143,Race for the Galaxy,2007,7.59975,7.50973,401
dk,93,2651,Power Grid,2004,7.57813,7.50756,511
dk,94,35677,Le Havre,2008,7.65579,7.50683,242
dk,95,68448,7 Wonders,2010,7.54479,7.50366,875
dk,96,285774,Marvel Champions: The Card Game,2019,7.74803,7.50324,147
dk,97,17133,Railways of the World,2005,7.72518,7.50308,162
dk,98,199478,Flamme Rouge,2016,7.57676,7.49722,451
dk,99,37111,Battlestar Galactica: The Board Game,2008,7.60293,7.49561,334
dk,100,170042,Raiders of the North Sea,2015,7.72018,7.49482,159
dk,101,159675,Fields of Arle,2014,7.90860,7.49245,86
dk,102,321608,Hegemony: Lead Your Class to Victory,2023,8.53412,7.48527,34
dk,103,271055,Dwellings of Eldervale,2020,7.89953,7.48091,85
dk,104,216132,Clans of Caledonia,2017,7.72431,7.47762,144
dk,105,265188,Glen More II: Chronicles,2019,7.95743,7.47743,74
dk,106,40834,Dominion: Intrigue,2009,7.62261,7.47538,241
dk,107,203993,Lorenzo il Magnifico,2016,7.90488,7.47274,82
dk,108,77423,The Lord of the Rings: The Card Game,2011,7.68434,7.47105,166
dk,109,240980,Blood on the Clocktower,2022,8.37333,7.46725,39
