country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
fi,1,174430,Gloomhaven,2017,8.67495,8.50356,481
fi,2,167791,Terraforming Mars,2016,8.36589,8.26859,781
fi,3,291457,Gloomhaven: Jaws of the Lion,2020,8.55361,8.19763,208
fi,4,246900,Eclipse: Second Dawn for the Galaxy,2020,8.60312,8.18448,176
fi,5,342942,Ark Nova,2021,8.42224,8.16958,290
fi,6,233078,Twilight Imperium: Fourth Edition,2017,8.57202,8.15959,177
fi,7,161936,Pandemic Legacy: Season 1,2015,8.39928,8.13703,276
fi,8,224517,Brass: Birmingham,2018,8.32330,8.11184,339
fi,9,12333,Twilight Struggle,2005,8.21979,8.08683,534
fi,10,72125,Eclipse: New Dawn for the Galaxy,2011,8.18233,8.07554,662
fi,11,295770,Frosthaven,2022,9.09265,8.05953,68
fi,12,162886,Spirit Island,2017,8.25968,8.05354,340
fi,13,220308,Gaia Project,2017,8.37860,8.05272,215
fi,14,316554,Dune: Imperium,2020,8.23516,8.01909,320
fi,15,187645,Star Wars: Rebellion,2016,8.25749,7.96801,234
fi,16,182028,Through the Ages: A New Story of Civilization,2015,8.17369,7.92780,271
fi,17,31260,Agricola,2007,8.01008,7.92124,748
fi,18,115746,War of the Ring: Second Edition,2011,8.30643,7.91828,171
fi,19,3076,Puerto Rico,2002,7.97669,7.90128,874
fi,20,25613,Through the Ages: A Story of Civilization,2006,8.11585,7.89249,294
fi,21,120677,Terra Mystica,2012,8.03299,7.86564,388
fi,22,96848,Mage Knight Board Game,2011,8.03273,7.86418,385
fi,23,167355,Nemesis,2018,8.09722,7.85008,261
fi,24,324856,The Crew: Mission Deep Sea,2021,8.22500,7.85000,172
fi,25,266192,Wingspan,2019,7.93026,7.82412,601
fi,26,28720,Brass: Lancashire,2007,8.05148,7.81604,270
fi,27,193738,Great Western Trail,2016,8.01123,7.80137,301
fi,28,177736,A Feast for Odin,2016,8.03642,7.78906,254
fi,29,2651,Power Grid,2004,7.87142,7.78866,759
fi,30,55690,Kingdom Death: Monster,2015,8.45165,7.76768,91
fi,31,205637,Arkham Horror: The Card Game,2016,7.97041,7.76521,303
fi,32,28143,Race for the Galaxy,2007,7.84543,7.76177,742
fi,33,84876,The Castles of Burgundy,2011,7.93487,7.75543,345
fi,34,205059,Mansions of Madness: Second Edition,2016,7.94517,7.75257,321
fi,35,199792,Everdell,2018,7.94085,7.75077,325
fi,36,173346,7 Wonders Duel,2015,7.84433,7.74307,608
fi,37,312484,Lost Ruins of Arnak,2020,7.93070,7.73757,318
fi,38,124361,Concordia,2013,7.92683,7.72341,300
fi,39,4098,Age of Steam,2002,7.99071,7.70281,210
fi,40,68448,7 Wonders,2010,7.74740,7.68695,993
fi,41,264220,Tainted Grail: The Fall of Avalon,2019,8.21116,7.67753,112
fi,42,37111,Battlestar Galactica: The Board Game,2008,7.77935,7.66890,539
fi,43,102794,Caverna: The Cave Farmers,2013,7.83802,7.65799,329
fi,44,124742,Android: Netrunner,2012,7.85086,7.65618,304
fi,45,93,El Grande,1995,7.78610,7.63470,387
fi,46,248562,Mage Knight: Ultimate Edition,2018,8.67946,7.63368,56
fi,47,183394,Viticulture Essential Edition,2015,7.82610,7.62810,295
fi,48,169786,Scythe,2016,7.72356,7.62106,568
fi,49,271320,The Castles of Burgundy,2019,8.22500,7.60915,94
fi,50,126163,Tzolk'in: The Mayan Calendar,2012,7.79587,7.59922,293
fi,51,237182,Root,2018,7.77453,7.59588,322
fi,52,164153,Star Wars: Imperial Assault,2014,7.87288,7.59026,203
fi,53,40834,Dominion: Intrigue,2009,7.73065,7.58185,384
fi,54,35677,Le Havre,2008,7.75851,7.58112,322
fi,55,200680,Agricola (Revised Edition),2016,7.90815,7.55925,162
fi,56,247763,Underwater Cities,2018,7.93810,7.55449,147
fi,57,284083,The Crew: The Quest for Planet Nine,2019,7.75870,7.55439,276
fi,58,180263,The 7th Continent,2017,7.86667,7.55353,180
fi,59,341169,Great Western Trail: Second Edition,2021,8.37029,7.55346,69
fi,60,521,Crokinole,1876,7.88163,7.54371,166
fi,61,91,Paths of Glory,1999,8.22683,7.54299,82
fi,62,295947,Cascadia,2021,7.78795,7.53820,224
fi,63,15985,Blood Bowl: Living Rulebook,2004,7.99545,7.53406,121
fi,64,164928,Orléans,2014,7.80443,7.52997,203
fi,65,217372,The Quest for El Dorado,2017,7.70760,7.52909,312
