country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
fr,1,342942,Ark Nova,2021,8.76216,8.59895,1006
fr,2,167791,Terraforming Mars,2016,8.62946,8.55498,2173
fr,3,174430,Gloomhaven,2017,8.66168,8.49196,934
fr,4,224517,Brass: Birmingham,2018,8.66276,8.43692,689
fr,5,220308,Gaia Project,2017,8.68236,8.43513,629
fr,6,182028,Through the Ages: A New Story of Civilization,2015,8.60056,8.36316,639
fr,7,187645,Star Wars: Rebellion,2016,8.61488,8.35619,585
fr,8,316554,Dune: Imperium,2020,8.48007,8.34604,1125
fr,9,248562,Mage Knight: Ultimate Edition,2018,9.01055,8.32417,218
fr,10,161936,Pandemic Legacy: Season 1,2015,8.52565,8.32012,727
fr,11,12333,Twilight Struggle,2005,8.45680,8.25595,727
fr,12,28720,Brass: Lancashire,2007,8.49243,8.23629,566
fr,13,167355,Nemesis,2018,8.48407,8.22823,565
fr,14,169786,Scythe,2016,8.30664,8.21228,1523
fr,15,96848,Mage Knight Board Game,2011,8.39175,8.17473,653
fr,16,291457,Gloomhaven: Jaws of the Lion,2020,8.50441,8.16928,422
fr,17,287871,Hybris: Disordered Cosmos,2023,8.83352,8.16193,210
fr,18,276025,Maracaibo,2019,8.38993,8.15722,605
fr,19,173346,7 Wonders Duel,2015,8.20393,8.14591,2416
fr,20,251247,Barrage,2019,8.40643,8.13862,522
fr,21,193738,Great Western Trail,2016,8.29151,8.13179,873
fr,22,184267,On Mars,2020,8.52859,8.12131,341
fr,23,162886,Spirit Island,2017,8.30974,8.11888,727
fr,24,256960,Pax Pamir: Second Edition,2019,8.52753,8.10090,323
fr,25,237182,Root,2018,8.22789,8.09815,1061
fr,26,163068,Trickerion: Legends of Illusion,2015,8.43597,8.06734,369
fr,27,185343,Anachrony,2017,8.29454,8.06533,593
fr,28,363622,The Castles of Burgundy: Special Edition,2023,9.34981,8.04214,103
fr,29,205637,Arkham Horror: The Card Game,2016,8.18037,8.03604,931
fr,30,55690,Kingdom Death: Monster,2015,9.03985,8.03142,133
fr,31,246900,Eclipse: Second Dawn for the Galaxy,2020,8.61373,8.02027,225
fr,32,192135,Too Many Bones,2017,8.45080,8.01890,309
fr,33,264220,Tainted Grail: The Fall of Avalon,2019,8.35952,8.00219,371
fr,34,84876,The Castles of Burgundy,2011,8.13726,7.99877,956
fr,35,271320,The Castles of Burgundy,2019,8.63173,7.99838,209
fr,36,284378,Kanban EV,2020,8.78440,7.98974,166
fr,37,186751,Mythic Battles: Pantheon,2017,8.59579,7.98600,216
fr,38,180263,The 7th Continent,2017,8.08526,7.97372,1175
fr,39,233078,Twilight Imperium: Fourth Edition,2017,8.39722,7.96480,302
fr,40,3076,Puerto Rico,2002,8.06273,7.95657,1226
fr,41,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.61472,7.95457,197
fr,42,339789,Welcome to the Moon,2021,8.27873,7.94713,391
fr,43,115746,War of the Ring: Second Edition,2011,8.41989,7.94091,270
fr,44,31260,Agricola,2007,8.02773,7.93453,1384
fr,45,108687,Puerto Rico,2011,8.65739,7.92682,176
fr,46,164928,Orléans,2014,8.10848,7.92069,683
fr,47,191189,Aeon's End,2016,8.09593,7.92005,729
fr,48,188,Go,-2200,8.24034,7.91109,388
fr,49,247763,Underwater Cities,2018,8.14496,7.89471,507
fr,50,221107,Pandemic Legacy: Season 2,2017,8.40555,7.89237,247
fr,51,120677,Terra Mystica,2012,8.05178,7.89178,792
fr,52,249259,War Chest,2018,8.29210,7.87537,302
fr,53,312484,Lost Ruins of Arnak,2020,8.00368,7.85839,860
fr,54,366013,Heat: Pedal to the Metal,2022,8.12144,7.85838,475
fr,55,233398,Endeavor: Age of Sail,2018,8.26098,7.85005,303
fr,56,4098,Age of Steam,2002,8.29788,7.84453,274
fr,57,25613,Through the Ages: A Story of Civilization,2006,8.17588,7.84384,374
fr,58,285774,Marvel Champions: The Card Game,2019,8.09983,7.84090,479
fr,59,18602,Caylus,2005,7.96307,7.83138,938
fr,60,322289,Darwin's Journey,2023,8.49272,7.82363,184
fr,61,266192,Wingspan,2019,7.90470,7.82186,1485
fr,62,239188,Chronicles of Crime,2018,7.99188,7.81952,713
fr,63,164153,Star Wars: Imperial Assault,2014,8.08390,7.81440,455
fr,64,262712,Res Arcana,2019,7.92287,7.80026,994
fr,65,341169,Great Western Trail: Second Edition,2021,8.36779,7.79868,214
fr,66,124742,Android: Netrunner,2012,8.07215,7.79115,432
fr,67,28143,Race for the Galaxy,2007,7.88912,7.79092,1236
fr,68,102794,Caverna: The Cave Farmers,2013,8.02757,7.78970,510
fr,69,230791,Time of Legends: Joan of Arc,2019,8.63739,7.78487,142
fr,70,255984,Sleeping Gods,2021,8.43427,7.78101,185
fr,71,73439,Troyes,2010,7.93857,7.78003,762
fr,72,199792,Everdell,2018,7.94689,7.77982,723
fr,73,271324,It's a Wonderful World,2019,7.91441,7.77918,893
fr,74,126163,Tzolk'in: The Mayan Calendar,2012,7.92693,7.77421,789
fr,75,124361,Concordia,2013,7.96792,7.76919,605
fr,76,324856,The Crew: Mission Deep Sea,2021,8.21569,7.76603,267
fr,77,205059,Mansions of Madness: Second Edition,2016,8.01640,7.76388,475
fr,78,68448,7 Wonders,2010,7.81525,7.76290,2290
fr,79,253344,Cthulhu: Death May Die,2019,8.19656,7.76228,276
fr,80,216132,Clans of Caledonia,2017,8.03419,7.76016,437
fr,81,177736,A Feast for Odin,2016,8.10557,7.75870,345
fr,82,256916,Concordia Venus,2018,8.37114,7.75272,193
fr,83,310873,Carnegie,2022,8.22155,7.74088,247
fr,84,42,Tigris & Euphrates,1997,7.90456,7.73537,700
fr,85,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,7.88165,7.72998,779
fr,86,262211,Cloudspire,2019,8.87941,7.72412,102
fr,87,266810,Paladins of the West Kingdom,2019,8.04909,7.71886,356
fr,88,43015,Hansa Teutonica,2009,8.04044,7.71687,363
fr,89,364073,Splendor Duel,2022,8.09549,7.71242,306
fr,90,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.86582,7.71106,757
fr,91,183394,Viticulture Essential Edition,2015,7.89141,7.70724,635
fr,92,2651,Power Grid,2004,7.89388,7.70344,613
fr,93,274471,Malhya: Lands of Legends,2024,9.41912,7.70280,68
fr,94,295947,Cascadia,2021,7.90277,7.69744,567
fr,95,218417,Aeon's End: War Eternal,2017,8.42044,7.69051,159
fr,96,337627,Voidfall,2023,9.02184,7.68885,87
fr,97,125153,The Gallerist,2015,8.08276,7.68610,292
fr,98,157354,Five Tribes: The Djinns of Naqala,2014,7.79864,7.68331,1003
fr,99,201808,Clank!: A Deck-Building Adventure,2016,7.79205,7.68205,1051
fr,100,163839,Feudum,2018,8.44894,7.67155,148
fr,101,144733,Russian Railroads,2013,7.92152,7.66896,455
fr,102,284083,The Crew: The Quest for Planet Nine,2019,7.77031,7.65965,1034
fr,103,200680,Agricola (Revised Edition),2016,7.99625,7.65885,339
fr,104,345868,Federation,2022,8.44667,7.65410,144
fr,105,161533,Lisboa,2017,8.24086,7.65289,194
fr,106,225694,Decrypto,2018,7.84945,7.64867,567
fr,107,188920,This War of Mine: The Board Game,2017,7.91464,7.64811,427
fr,108,241451,Aeon's End: Legacy,2019,8.43077,7.63846,143
fr,109,72125,Eclipse: New Dawn for the Galaxy,2011,7.83920,7.63635,558
fr,110,170216,Blood Rage,2015,7.80916,7.63438,647
fr,111,373106,Sky Team,2023,8.42669,7.63142,142
fr,112,260789,Assassin's Creed: Brotherhood of Venice,2021,8.79381,7.63025,97
fr,113,293014,Nidavellir,2020,7.81494,7.61869,572
fr,114,147020,Star Realms,2014,7.73250,7.61821,982
fr,115,317985,Beyond the Sun,2020,8.03057,7.61673,271
fr,116,146021,Eldritch Horror,2013,7.88857,7.61404,408
fr,117,296151,Viscounts of the West Kingdom,2020,8.11351,7.60995,222
fr,118,159675,Fields of Arle,2014,8.19763,7.60941,190
fr,119,463,Magic: The Gathering,1993,7.78557,7.60879,632
fr,120,230802,Azul,2017,7.67160,7.60221,1605
fr,121,231733,Obsession,2018,8.25424,7.59981,170
fr,122,170042,Raiders of the North Sea,2015,7.78557,7.59516,583
fr,123,329591,Ultimate Railroads,2021,8.76105,7.59349,95
fr,124,229853,Teotihuacan: City of Gods,2018,7.87485,7.59080,390
fr,125,177478,IKI,2015,7.97260,7.59065,290
fr,126,37111,Battlestar Galactica: The Board Game,2008,7.76275,7.58748,631
fr,127,178900,Codenames,2015,7.66280,7.58671,1453
fr,128,356123,Turing Machine,2022,8.01597,7.58032,253
fr,129,300531,Paleo,2020,7.85668,7.57919,397
fr,130,314040,Pandemic Legacy: Season 0,2020,8.45728,7.57695,125
fr,131,172386,Mombasa,2015,7.88414,7.57223,352
fr,132,203993,Lorenzo il Magnifico,2016,7.89040,7.57137,344
fr,133,182874,Grand Austria Hotel,2015,7.88995,7.56937,342
fr,134,13122,Antiquity,2004,8.28026,7.56858,154
fr,135,244521,The Quacks of Quedlinburg,2018,7.74881,7.56578,598
fr,136,175914,Food Chain Magnate,2015,7.99330,7.55730,250
fr,137,163412,Patchwork,2014,7.66391,7.55493,999
fr,138,278292,Anachrony: Infinity Box,2020,9.43149,7.55462,58
fr,139,35677,Le Havre,2008,7.78345,7.55300,472
fr,140,196340,Yokohama,2016,7.93011,7.54803,284
fr,141,243,Advanced Squad Leader,1985,8.33333,7.54731,138
fr,142,236457,Architects of the West Kingdom,2018,7.73901,7.54674,564
fr,143,126792,Myrmes,2012,7.72783,7.53866,571
fr,144,223321,Detective: A Modern Crime Board Game,2018,7.87602,7.53850,320
fr,145,9609,War of the Ring,2004,7.84514,7.53681,350
fr,146,263918,Cartographers,2019,7.71815,7.53537,590
fr,147,174785,Mare Nostrum: Empires,2016,7.94670,7.53384,261
fr,148,175640,Vinhos: Deluxe Edition,2016,8.21504,7.53323,158
fr,149,194517,Super Fantasy Brawl,2022,8.14810,7.53269,175
fr,150,357563,Akropolis,2022,7.77849,7.52906,431
fr,151,521,Crokinole,1876,8.09218,7.52226,188
fr,152,310100,Nemesis: Lockdown,2022,8.47884,7.52221,112
fr,153,39188,Liberty Roads,2009,8.59000,7.51984,100
fr,154,285192,Destinies,2021,7.88111,7.51961,296
fr,155,62219,Dominant Species,2010,7.78652,7.51730,397
fr,156,306735,Under Falling Skies,2020,7.86536,7.51723,307
fr,157,122515,Keyflower,2012,7.73703,7.51423,479
fr,158,146652,Legendary Encounters: An Alien Deck Building Game,2014,8.05152,7.51289,198
fr,159,297658,[kosmopoli:t],2020,7.92839,7.51198,256
fr,160,163474,V-Sabotage,2016,7.97459,7.51127,230
fr,161,233867,Welcome To...,2018,7.61785,7.50954,983
fr,162,555,The Princes of Florence,2000,7.77646,7.50901,398
fr,163,205896,Rising Sun,2018,7.81294,7.50884,350
fr,164,171623,The Voyages of Marco Polo,2015,7.76775,7.50879,411
fr,165,234,Hannibal: Rome vs. Carthage,1996,8.11850,7.50458,173
fr,166,318977,MicroMacro: Crime City,2020,7.68697,7.50363,579
fr,167,209010,Mechs vs. Minions,2016,7.97195,7.50249,226
fr,168,265188,Glen More II: Chronicles,2019,8.09960,7.50072,177
fr,169,295260,It's a Wonderful World: Heritage Edition,2019,8.70227,7.49883,88
fr,170,77423,The Lord of the Rings: The Card Game,2011,7.70599,7.49801,509
fr,171,257518,Claustrophobia 1643,2019,8.45745,7.49604,110
fr,172,188834,Secret Hitler,2016,7.74691,7.49522,420
fr,173,308765,Praga Caput Regni,2020,8.03791,7.49127,193
fr,174,79828,A Few Acres of Snow,2011,7.78761,7.49053,355
fr,175,175095,Dawn of the Zeds (Third Edition),2016,8.63681,7.48253,91
fr,176,220877,Rajas of the Ganges,2017,7.83115,7.47723,296
fr,177,316412,The LOOP,2020,7.84304,7.47356,283
fr,178,132531,Roll for the Galaxy,2014,7.64345,7.46927,599
fr,179,239307,Unlock!: Secret Adventures,2017,7.94240,7.46662,219
fr,180,246784,Cryptid,2018,7.73228,7.46649,392
fr,181,277085,Love Letter,2019,7.71980,7.46467,408
fr,182,245638,Coimbra,2018,7.81376,7.46249,296
