country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
gr,1,174430,Gloomhaven,2017,8.96355,8.82180,361
gr,2,182028,Through the Ages: A New Story of Civilization,2015,8.95281,8.76446,267
gr,3,248562,Mage Knight: Ultimate Edition,2018,9.34079,8.69350,76
gr,4,12333,Twilight Struggle,2005,8.78866,8.65548,365
gr,5,96848,Mage Knight Board Game,2011,8.76938,8.62441,332
gr,6,224517,Brass: Birmingham,2018,8.72039,8.53062,246
gr,7,167791,Terraforming Mars,2016,8.62665,8.52181,444
gr,8,291457,Gloomhaven: Jaws of the Lion,2020,8.66951,8.48129,244
gr,9,115746,War of the Ring: Second Edition,2011,8.78562,8.47204,146
gr,10,264220,Tainted Grail: The Fall of Avalon,2019,8.89806,8.45597,103
gr,11,316554,Dune: Imperium,2020,8.64736,8.44141,220
gr,12,342942,Ark Nova,2021,8.62579,8.41770,216
gr,13,25613,Through the Ages: A Story of Civilization,2006,8.66570,8.40548,172
gr,14,173346,7 Wonders Duel,2015,8.43978,8.37142,647
gr,15,321608,Hegemony: Lead Your Class to Victory,2023,9.02576,8.35856,66
gr,16,187645,Star Wars: Rebellion,2016,8.65931,8.35590,145
gr,17,169786,Scythe,2016,8.42619,8.32913,449
gr,18,162886,Spirit Island,2017,8.48817,8.31408,249
gr,19,380844,Altar: Realms of the gods,2023,9.65625,8.30564,32
gr,20,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.41891,8.29751,355
gr,21,255984,Sleeping Gods,2021,8.72233,8.26443,93
gr,22,220308,Gaia Project,2017,8.60903,8.25532,120
gr,23,271320,The Castles of Burgundy,2019,8.72143,8.25505,91
gr,24,246900,Eclipse: Second Dawn for the Galaxy,2020,8.85294,8.23367,68
gr,25,62219,Dominant Species,2010,8.44358,8.21033,179
gr,26,167355,Nemesis,2018,8.43297,8.20409,182
gr,27,120677,Terra Mystica,2012,8.36459,8.20378,259
gr,28,3076,Puerto Rico,2002,8.28229,8.19629,483
gr,29,205637,Arkham Horror: The Card Game,2016,8.37117,8.18795,226
gr,30,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.53182,8.15939,110
gr,31,192135,Too Many Bones,2017,8.62140,8.15640,88
gr,32,161533,Lisboa,2017,8.68368,8.14713,76
gr,33,285774,Marvel Champions: The Card Game,2019,8.48596,8.13051,114
gr,34,199792,Everdell,2018,8.25525,8.11396,285
gr,35,28720,Brass: Lancashire,2007,8.34211,8.10076,166
gr,36,183394,Viticulture Essential Edition,2015,8.26925,8.09683,232
gr,37,266192,Wingspan,2019,8.19020,8.08947,396
gr,38,12493,Twilight Imperium: Third Edition,2005,8.44216,8.08361,111
gr,39,295770,Frosthaven,2022,9.25294,8.08276,34
gr,40,164153,Star Wars: Imperial Assault,2014,8.37299,8.08260,137
gr,41,35677,Le Havre,2008,8.25266,8.08057,231
gr,42,205059,Mansions of Madness: Second Edition,2016,8.24012,8.08048,249
gr,43,312484,Lost Ruins of Arnak,2020,8.23041,8.07657,258
gr,44,193738,Great Western Trail,2016,8.23996,8.06726,229
gr,45,126163,Tzolk'in: The Mayan Calendar,2012,8.19485,8.06239,298
gr,46,251247,Barrage,2019,8.45050,8.05666,100
gr,47,125153,The Gallerist,2015,8.39956,8.05170,113
gr,48,171,Chess,1475,8.20207,8.04036,242
gr,49,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,8.19452,8.03813,250
gr,50,124742,Android: Netrunner,2012,8.25941,8.03014,170
gr,51,247763,Underwater Cities,2018,8.31220,8.02417,135
gr,52,188920,This War of Mine: The Board Game,2017,8.27726,8.02170,152
gr,53,186751,Mythic Battles: Pantheon,2017,8.61328,8.00930,64
gr,54,157354,Five Tribes: The Djinns of Naqala,2014,8.15102,8.00538,265
gr,55,84876,The Castles of Burgundy,2011,8.12082,7.99973,318
gr,56,305096,Endless Winter: Paleoamericans,2022,8.50800,7.99545,75
gr,57,77423,The Lord of the Rings: The Card Game,2011,8.16954,7.99259,217
gr,58,266810,Paladins of the West Kingdom,2019,8.33791,7.98930,110
gr,59,72125,Eclipse: New Dawn for the Galaxy,2011,8.21667,7.98849,168
gr,60,237182,Root,2018,8.14905,7.98344,231
gr,61,175155,Forbidden Stars,2015,8.39565,7.98034,92
gr,62,341169,Great Western Trail: Second Edition,2021,8.71077,7.97699,52
gr,63,184267,On Mars,2020,8.45696,7.97446,79
gr,64,104162,Descent: Journeys in the Dark (Second Edition),2012,8.12440,7.97091,248
gr,65,102794,Caverna: The Cave Farmers,2013,8.16538,7.97024,195
gr,66,124361,Concordia,2013,8.13986,7.96857,222
gr,67,180263,The 7th Continent,2017,8.23804,7.96310,138
gr,68,31260,Agricola,2007,8.08015,7.96305,324
gr,69,295947,Cascadia,2021,8.18158,7.95997,171
gr,70,276025,Maracaibo,2019,8.28103,7.95501,116
gr,71,103343,A Game of Thrones: The Board Game (Second Edition),2011,8.09375,7.94653,256
gr,72,201808,Clank!: A Deck-Building Adventure,2016,8.18870,7.94421,154
gr,73,216132,Clans of Caledonia,2017,8.18503,7.94231,155
gr,74,172386,Mombasa,2015,8.27786,7.94199,112
gr,75,164928,Orléans,2014,8.14435,7.92928,174
gr,76,182874,Grand Austria Hotel,2015,8.16871,7.92746,155
gr,77,256916,Concordia Venus,2018,8.49185,7.91865,65
gr,78,175914,Food Chain Magnate,2015,8.29050,7.91802,100
gr,79,161936,Pandemic Legacy: Season 1,2015,8.11949,7.90977,177
gr,80,170771,Sword & Sorcery,2017,8.46462,7.89663,65
gr,81,14105,Commands & Colors: Ancients,2006,8.33048,7.89184,84
gr,82,185343,Anachrony,2017,8.22045,7.89152,112
gr,83,40354,Maria,2009,8.34937,7.88442,79
gr,84,223321,Detective: A Modern Crime Board Game,2018,8.41594,7.88376,69
gr,85,233078,Twilight Imperium: Fourth Edition,2017,8.28571,7.88242,91
gr,86,68448,7 Wonders,2010,7.91537,7.85978,654
gr,87,222509,Lords of Hellas,2018,8.22323,7.85655,99
gr,88,146508,T.I.M.E Stories,2015,8.08435,7.83922,147
gr,89,127023,Kemet,2012,8.05317,7.83636,166
gr,90,25021,Sekigahara: The Unification of Japan,2011,8.25407,7.83570,86
gr,91,25292,Merchants & Marauders,2010,8.03139,7.83183,180
gr,92,171623,The Voyages of Marco Polo,2015,7.95401,7.82942,288
gr,93,28143,Race for the Galaxy,2007,7.97521,7.82650,241
gr,94,163068,Trickerion: Legends of Illusion,2015,8.27400,7.82610,80
gr,95,206480,Imperial Struggle,2020,8.87853,7.82509,34
gr,96,18602,Caylus,2005,7.99696,7.82401,207
gr,97,110327,Lords of Waterdeep,2012,7.93303,7.82357,327
gr,98,232405,Western Legends,2018,8.22941,7.81065,85
gr,99,102680,Trajan,2011,8.03579,7.80245,152
gr,100,203993,Lorenzo il Magnifico,2016,8.14108,7.79455,102
gr,101,42,Tigris & Euphrates,1997,8.01456,7.79117,158
gr,102,229853,Teotihuacan: City of Gods,2018,8.06225,7.78892,129
gr,103,146021,Eldritch Horror,2013,7.93182,7.78628,242
gr,104,230802,Azul,2017,7.87176,7.78567,409
gr,105,236457,Architects of the West Kingdom,2018,8.02887,7.78138,142
gr,106,308765,Praga Caput Regni,2020,8.27535,7.78055,71
gr,107,284378,Kanban EV,2020,8.41879,7.78016,55
gr,108,209010,Mechs vs. Minions,2016,8.15591,7.77850,93
gr,109,310100,Nemesis: Lockdown,2022,8.63415,7.77819,41
gr,110,239188,Chronicles of Crime,2018,7.90760,7.77342,261
gr,111,126042,Nations,2013,8.03731,7.76850,130
gr,112,2651,Power Grid,2004,7.86281,7.76738,366
gr,113,521,Crokinole,1876,8.15843,7.76619,89
gr,114,108687,Puerto Rico,2011,8.50851,7.76586,47
gr,115,31594,In the Year of the Dragon,2007,8.00556,7.76342,144
gr,116,103885,Star Wars: X-Wing Miniatures Game,2012,8.11633,7.76093,98
gr,117,280794,Etherfields,2020,8.58333,7.75592,42
gr,118,256960,Pax Pamir: Second Edition,2019,8.34407,7.75524,59
gr,119,421,1830: Railways & Robber Barons,1986,8.42288,7.75489,52
gr,120,12891,Friedrich,2004,8.32131,7.75249,61
gr,121,170216,Blood Rage,2015,7.87465,7.75165,282
gr,122,144733,Russian Railroads,2013,8.05646,7.74977,113
gr,123,59294,Runewars,2010,8.03708,7.74845,120
gr,124,227935,Wonderland's War,2022,8.62821,7.74246,39
gr,125,317985,Beyond the Sun,2020,8.22971,7.73152,69
gr,126,205896,Rising Sun,2018,8.03289,7.73138,114
gr,127,271055,Dwellings of Eldervale,2020,8.54762,7.72979,42
gr,128,93,El Grande,1995,7.95720,7.72697,149
gr,129,24181,Imperial,2006,8.18000,7.72334,75
gr,130,122515,Keyflower,2012,7.94781,7.71419,146
gr,131,365717,Clank!: Catacombs,2022,8.57692,7.70570,39
gr,132,73439,Troyes,2010,7.88796,7.70531,186
gr,133,200680,Agricola (Revised Edition),2016,8.12438,7.70503,81
gr,134,19777,Indonesia,2005,8.34094,7.70117,53
gr,135,177736,A Feast for Odin,2016,7.97566,7.70012,123
gr,136,170042,Raiders of the North Sea,2015,7.86031,7.69971,211
gr,137,366013,Heat: Pedal to the Metal,2022,8.15743,7.69955,74
gr,138,279537,The Search for Planet X,2020,8.25492,7.69948,61
gr,139,253344,Cthulhu: Death May Die,2019,8.28947,7.69600,57
gr,140,9609,War of the Ring,2004,7.93429,7.69299,140
gr,141,254743,Theosis,2018,8.78145,7.69214,31
gr,142,181279,Fury of Dracula (Third/Fourth Edition),2015,7.98103,7.69018,116
gr,143,54998,Cyclades,2009,7.78224,7.68883,361
gr,144,43111,Chaos in the Old World,2009,7.86720,7.68880,189
gr,145,147020,Star Realms,2014,7.86124,7.68671,193
gr,146,83330,Mansions of Madness,2011,7.89290,7.68512,162
gr,147,394193,Kosmogonia 2086: Kronos Epilogue,2023,8.73438,7.68334,32
gr,148,263918,Cartographers,2019,7.84256,7.68317,211
gr,149,36932,Claustrophobia,2009,7.99167,7.68063,108
gr,150,297030,Tekhenu: Obelisk of the Sun,2020,8.22951,7.67919,61
gr,151,34635,Stone Age,2008,7.74441,7.67772,503
gr,152,161970,Alchemists,2014,7.84380,7.67618,200
gr,153,172287,Champions of Midgard,2015,8.00000,7.67475,103
gr,154,150376,Dead of Winter: A Crossroads Game,2014,7.79304,7.67346,280
gr,155,37111,Battlestar Galactica: The Board Game,2008,7.82824,7.67325,216
gr,156,257499,Arkham Horror (Third Edition),2018,8.28182,7.67316,55
gr,157,310873,Carnegie,2022,8.33927,7.67054,50
gr,158,233398,Endeavor: Age of Sail,2018,8.16866,7.66978,67
gr,159,251219,Istanbul: Big Box,2018,8.21475,7.66741,61
gr,160,140620,Lewis & Clark: The Expedition,2013,7.93537,7.66431,123
gr,161,285192,Destinies,2021,8.06790,7.65758,81
gr,162,101721,Mage Wars Arena,2012,8.21949,7.65646,59
gr,163,22192,HeroQuest Advanced Quest,1990,8.27925,7.65337,53
gr,164,14996,Ticket to Ride: Europe,2005,7.70189,7.65167,660
gr,165,198994,Hero Realms,2016,7.94732,7.65142,112
gr,166,699,HeroQuest,1989,7.81026,7.65096,208
gr,167,217372,The Quest for El Dorado,2017,7.89015,7.64856,137
gr,168,175640,Vinhos: Deluxe Edition,2016,8.18145,7.64781,62
gr,169,178900,Codenames,2015,7.71606,7.64500,465
gr,170,244521,The Quacks of Quedlinburg,2018,7.80350,7.63877,200
gr,171,297562,Kemet: Blood and Sand,2021,8.36889,7.63726,45
gr,172,266524,PARKS,2019,8.00905,7.63527,88
gr,173,111799,Cuba Libre,2013,8.20860,7.63233,57
gr,174,204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,8.06316,7.63119,76
gr,175,195421,Near and Far,2017,8.12157,7.62548,66
gr,176,294484,Unmatched: Cobble & Fog,2020,8.36591,7.62273,44
gr,177,239942,Black Rose Wars,2019,8.58353,7.62207,34
gr,178,351913,Tiletum,2022,8.27093,7.61830,50
gr,179,73171,Earth Reborn,2010,8.13095,7.61404,63
gr,180,22545,Age of Empires III: The Age of Discovery,2007,7.91101,7.61246,109
gr,181,306735,Under Falling Skies,2020,8.00691,7.60633,81
gr,182,25417,BattleLore,2006,7.96222,7.60238,90
gr,183,189932,Tyrants of the Underdark,2016,8.36429,7.59565,42
gr,184,218479,Cerebria: The Inside World,2018,8.60000,7.59263,32
gr,185,10630,Memoir '44,2004,7.75217,7.58960,198
gr,186,43015,Hansa Teutonica,2009,7.87018,7.58803,114
gr,187,148949,Istanbul,2014,7.74065,7.58546,207
gr,188,118048,Targi,2012,7.71076,7.58196,249
gr,189,224783,Vindication,2018,8.18679,7.58173,53
gr,190,159504,Folklore: The Affliction,2017,8.13448,7.58162,58
gr,191,285967,Ankh: Gods of Egypt,2021,8.09597,7.57934,62
gr,192,20551,Shogun,2006,7.90938,7.57622,96
gr,193,45315,Dungeon Lords,2009,7.78137,7.57269,153
gr,194,40834,Dominion: Intrigue,2009,7.80511,7.57212,137
gr,195,21050,Combat Commander: Europe,2006,8.10881,7.56869,59
gr,196,283948,Marco Polo II: In the Service of the Khan,2019,8.42703,7.56662,37
gr,197,249259,War Chest,2018,8.22917,7.56610,48
gr,198,193037,Dead of Winter: The Long Night,2016,7.97792,7.56483,77
gr,199,281259,The Isle of Cats,2019,7.89521,7.56401,96
gr,200,331787,Tiny Epic Dungeons,2021,8.12583,7.55935,56
gr,201,154809,Nippon,2015,8.29488,7.55772,43
gr,202,104006,Village,2011,7.69910,7.55641,222
gr,203,156129,Deception: Murder in Hong Kong,2014,7.90722,7.55542,90
gr,204,155821,Inis,2016,7.80595,7.55474,126
gr,205,160010,Conan,2016,8.07213,7.55354,61
gr,206,293014,Nidavellir,2020,7.92529,7.55319,85
gr,207,54138,Imperial 2030,2009,8.11696,7.55239,56
gr,208,194655,Santorini,2016,7.66627,7.55215,277
gr,209,36218,Dominion,2008,7.61349,7.55092,505
gr,210,95527,Madeira,2013,8.08305,7.54826,59
gr,211,220877,Rajas of the Ganges,2017,7.98639,7.54818,72
gr,212,265188,Glen More II: Chronicles,2019,8.14151,7.54665,53
gr,213,163412,Patchwork,2014,7.62095,7.54305,404
gr,214,146652,Legendary Encounters: An Alien Deck Building Game,2014,7.93544,7.53804,79
gr,215,132531,Roll for the Galaxy,2014,7.77164,7.53742,134
gr,216,191189,Aeon's End,2016,8.03333,7.53560,63
gr,217,58936,Wars of the Roses: Lancaster vs. York,2010,8.13846,7.53547,52
gr,218,15987,Arkham Horror,2005,7.65556,7.53542,261
gr,219,146886,La Granja,2014,7.88943,7.52999,87
gr,220,40765,Clash of Cultures,2012,7.98188,7.52892,69
gr,221,77130,Sid Meier's Civilization: The Board Game,2010,7.73268,7.52845,153
gr,222,92828,Dixit: Odyssey,2011,7.62571,7.52808,320
gr,223,274364,Watergate,2019,8.02302,7.52731,63
gr,224,245638,Coimbra,2018,7.99104,7.52537,67
gr,225,296151,Viscounts of the West Kingdom,2020,8.04417,7.52441,60
gr,226,262712,Res Arcana,2019,7.87101,7.52118,89
gr,227,268864,Undaunted: Normandy,2019,7.85223,7.52103,94
gr,228,160069,Ticket to Ride: 10th Anniversary,2014,8.22616,7.51922,44
gr,229,331106,The Witcher: Old World,2023,8.24124,7.51822,43
gr,230,124708,Mice and Mystics,2012,7.74962,7.51611,133
gr,231,54043,Jaipur,2009,7.59866,7.51521,372
gr,232,364073,Splendor Duel,2022,8.45313,7.51331,33
gr,233,284083,The Crew: The Quest for Planet Nine,2019,7.67340,7.51198,192
gr,234,93260,Summoner Wars: Master Set,2011,7.81750,7.50815,100
gr,235,227224,The Red Cathedral,2020,7.97692,7.50238,65
gr,236,128882,The Resistance: Avalon,2012,7.60391,7.50083,299
gr,237,154597,Hive Pocket,2010,7.96055,7.50058,67
gr,238,271896,Star Wars: Outer Rim,2019,8.06000,7.49987,55
gr,239,197376,Charterstone,2017,7.95746,7.49807,67
gr,240,1568,Space Crusade,1990,7.76306,7.48727,111
gr,241,177096,Freedom!,2020,8.36071,7.48643,35
gr,242,71,Civilization,1980,8.19767,7.48615,43
gr,243,31481,Galaxy Trucker,2007,7.64539,7.48605,192
gr,244,146439,BattleLore: Second Edition,2013,7.92609,7.48331,69
gr,245,199561,Sagrada,2017,7.65947,7.48005,170
gr,246,171356,Argonauts,2015,8.01404,7.47916,57
gr,247,324856,The Crew: Mission Deep Sea,2021,8.03255,7.47842,55
gr,248,229220,Santa Maria,2017,7.89900,7.47619,72
gr,249,70149,Ora et Labora,2011,7.96137,7.47153,62
gr,250,225694,Decrypto,2018,7.69573,7.46627,132
gr,251,269210,Twice as Clever!,2019,8.15409,7.46584,44
gr,252,55690,Kingdom Death: Monster,2015,8.09375,7.46358,48
gr,253,9216,Goa: A New Expedition,2004,7.88732,7.46170,71
gr,254,90137,Blood Bowl: Team Manager – The Card Game,2011,7.67826,7.45953,138
gr,255,176189,Zombicide: Black Plague,2015,7.87944,7.45522,71
gr,256,221107,Pandemic Legacy: Season 2,2017,8.04510,7.45469,51
gr,257,182631,Star Realms: Colony Wars,2015,8.10870,7.45425,46
gr,258,154203,Imperial Settlers,2014,7.59623,7.45423,212
gr,259,228341,Pulsar 2849,2017,7.95847,7.44948,59
gr,260,304783,Hadrian's Wall,2021,8.33235,7.44922,34
gr,261,463,Magic: The Gathering,1993,7.56928,7.44872,249
gr,262,199904,Pericles: The Peloponnesian Wars,2017,8.38438,7.44707,32
gr,263,169426,Roll Player,2016,7.69083,7.44341,121
gr,264,300322,Hallertau,2020,8.34545,7.43990,33
gr,265,555,The Princes of Florence,2000,7.70721,7.43822,111
gr,266,25554,Notre Dame,2007,7.63430,7.43673,151
gr,267,9625,Struggle of Empires,2004,7.94153,7.43604,59
gr,268,283155,Calico,2020,7.66538,7.43598,130
gr,269,822,Carcassonne,2000,7.47354,7.43560,786
gr,270,328871,Terraforming Mars: Ares Expedition,2021,7.85465,7.43485,71
gr,271,172818,Above and Below,2015,7.79197,7.43318,83
gr,272,244522,That's Pretty Clever!,2018,7.70063,7.43245,111
gr,273,39463,Cosmic Encounter,2008,7.60643,7.43236,171
gr,274,97207,Dungeon Petz,2011,7.63197,7.42975,147
gr,275,234,Hannibal: Rome vs. Carthage,1996,8.13571,7.42842,42
gr,276,181521,Warhammer Quest: The Adventure Card Game,2015,7.87727,7.42741,66
gr,277,198454,When I Dream,2016,7.67735,7.42403,117
gr,278,176494,Isle of Skye: From Chieftain to King,2015,7.57632,7.42285,193
gr,279,22827,StarCraft: The Board Game,2007,7.79250,7.42234,80
gr,280,30549,Pandemic,2008,7.46426,7.42190,699
gr,281,108745,Seasons,2012,7.61781,7.42176,151
gr,282,40692,Small World,2009,7.49672,7.41913,381
gr,283,233867,Welcome To...,2018,7.64486,7.41605,129
gr,284,132028,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),2012,8.36452,7.41361,31
gr,285,38453,Space Alert,2008,7.67345,7.41271,113
gr,286,26997,1989: Dawn of Freedom,2012,8.25429,7.41253,35
gr,287,282524,Horrified,2019,7.79416,7.41170,77
gr,288,144189,Fire in the Lake,2014,8.20360,7.40887,37
gr,289,233371,Clank! In! Space!: A Deck-Building Adventure,2017,7.90678,7.40849,59
gr,290,270844,Imperial Settlers: Empires of the North,2019,8.06000,7.40714,45
gr,291,224597,Warhammer Underworlds: Shadespire,2017,8.03191,7.40691,47
gr,292,158600,Hanamikoji,2013,7.78701,7.40575,77
gr,293,233312,Stuffed Fables,2018,8.13750,7.40418,40
gr,294,31563,Middle-Earth Quest,2009,7.84848,7.40407,66
gr,295,66589,Navegador,2010,7.72582,7.40358,91
gr,296,84419,Space Empires 4X,2011,7.97647,7.40198,51
gr,297,171726,Project: ELITE,2016,7.93455,7.40187,55
gr,298,127060,Bora Bora,2013,7.72722,7.40172,90
gr,299,274637,"Unmatched: Battle of Legends, Volume One",2019,8.02199,7.39944,47
gr,300,169255,A Game of Thrones: The Card Game (Second Edition),2015,8.04222,7.39390,45
gr,301,188834,Secret Hitler,2016,7.79178,7.39244,73
gr,302,146791,Shadows of Brimstone: City of the Ancients,2014,8.36333,7.39188,30
gr,303,79828,A Few Acres of Snow,2011,7.81912,7.39079,68
gr,304,127398,Legends of Andor,2012,7.51996,7.38944,223
gr,305,173442,Empires: Age of Discovery,2015,8.21143,7.38277,35
gr,306,129437,Legendary: A Marvel Deck Building Game,2012,7.69635,7.38134,92
gr,307,236191,London (Second Edition),2017,7.73716,7.37968,81
gr,308,148228,Splendor,2014,7.45570,7.37733,369
gr,309,69779,Polis: Fight for the Hegemony,2012,8.25152,7.37586,33
gr,310,184151,Legend of the Five Rings: The Card Game,2017,8.04651,7.37486,43
gr,311,155987,Abyss,2014,7.71047,7.37467,86
gr,312,332772,Revive,2022,8.18933,7.36743,35
gr,313,34119,Tales of the Arabian Nights,2009,7.59141,7.36675,128
gr,314,316377,7 Wonders (Second Edition),2020,8.10256,7.36565,39
gr,315,269207,The Taverns of Tiefenthal,2019,7.88364,7.36210,55
gr,316,142379,Escape Plan,2019,8.01136,7.36013,44
gr,317,250458,Gùgōng,2018,7.95521,7.35870,48
gr,318,194607,Mystic Vale,2016,7.78209,7.35548,67
gr,319,196326,Love Letter: Premium Edition,2016,7.65547,7.35473,95
gr,320,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.30333,7.35224,30
gr,321,283355,Dune,2019,7.96522,7.34677,46
gr,322,165401,Wir sind das Volk!,2014,8.05750,7.34642,40
gr,323,37046,Ghost Stories,2008,7.53433,7.34487,150
gr,324,246192,Gizmos,2018,7.96174,7.34416,46
gr,325,171131,Captain Sonar,2016,7.69562,7.34111,80
gr,326,33160,Endeavor,2009,7.61716,7.33937,102
gr,327,209685,Century: Spice Road,2017,7.64140,7.33710,93
gr,328,187617,Nemo's War (Second Edition),2017,7.98721,7.33119,43
gr,329,2655,Hive,2000,7.45679,7.32982,222
gr,330,155426,Castles of Mad King Ludwig,2014,7.61587,7.32845,98
gr,331,234487,Altiplano,2017,7.72971,7.32754,70
gr,332,22825,Tide of Iron,2007,8.03000,7.32657,40
gr,333,119788,Hyperborea,2014,7.69079,7.32157,76
gr,334,290236,Canvas,2021,7.56316,7.31756,114
gr,335,244711,Newton,2018,7.80807,7.31701,57
gr,336,192153,Reign of Cthulhu,2016,7.54146,7.31425,123
gr,337,295486,My City,2020,7.90851,7.31397,47
gr,338,271324,It's a Wonderful World,2019,7.81161,7.31291,56
gr,339,39856,Dixit,2008,7.36728,7.30874,476
gr,340,258210,Blitzkrieg!: World War Two in 20 Minutes,2019,7.95465,7.30722,43
gr,341,128671,Spartacus: A Game of Blood and Treachery,2012,7.61154,7.30584,91
gr,342,215341,Thunderstone Quest,2018,8.12353,7.30550,34
gr,343,163967,Tiny Epic Galaxies,2015,7.55982,7.30476,109
gr,344,254640,Just One,2018,7.54231,7.30470,117
gr,345,323612,Bitoku,2021,7.94884,7.30294,43
gr,346,136888,Bruges,2013,7.69914,7.30248,70
gr,347,3720,Subbuteo,1947,7.57723,7.30234,101
gr,348,42776,Gears of War: The Board Game,2011,7.68750,7.30197,72
gr,349,43528,World Without End,2009,7.54690,7.30134,113
gr,350,51,Ricochet Robots,1999,7.50404,7.30014,136
gr,351,318977,MicroMacro: Crime City,2020,7.64247,7.30012,81
gr,352,59959,Letters from Whitechapel,2011,7.50368,7.29981,136
gr,353,212402,The Grimm Forest,2018,7.91333,7.29788,45
gr,354,70512,Luna,2010,7.76897,7.29281,58
gr,355,13,CATAN,1995,7.32822,7.29013,724
gr,356,221194,Dinosaur Island,2017,7.84100,7.28963,50
gr,357,27708,1960: The Making of the President,2007,7.76207,7.28736,58
gr,358,204516,878 Vikings: Invasions of England,2017,8.17419,7.28646,31
gr,359,62222,Commands & Colors: Napoleonics,2010,8.06429,7.28059,35
gr,360,144344,Rococo,2013,7.79774,7.28029,53
gr,361,1634,Warhammer Quest,1995,8.16452,7.28000,31
gr,362,300531,Paleo,2020,7.87391,7.27837,46
gr,363,240196,Betrayal Legacy,2018,7.92619,7.27512,42
gr,364,2653,Survive: Escape from Atlantis!,1982,7.41544,7.27386,193
gr,365,318184,Imperium: Classics,2021,7.92405,7.27355,42
gr,366,165722,KLASK,2014,7.97179,7.27191,39
gr,367,9217,Saint Petersburg,2004,7.50746,7.26849,114
gr,368,48726,Alien Frontiers,2010,7.54928,7.26843,97
gr,369,97786,Small World Underground,2011,7.55753,7.26515,93
gr,370,300300,Chronicles of Crime: 1400,2020,7.81837,7.26385,49
gr,371,143693,Glass Road,2013,7.65483,7.26155,69
gr,372,27833,Steam,2009,7.65362,7.26057,69
gr,373,193042,Junk Art,2016,7.62200,7.26042,75
gr,374,70919,Takenoko,2011,7.34650,7.26015,314
gr,375,293141,King of Tokyo: Dark Edition,2020,8.10312,7.25722,32
gr,376,269144,Hadara,2019,8.05147,7.25591,34
gr,377,299684,Khôra: Rise of an Empire,2021,7.94744,7.25445,39
gr,378,19857,Glory to Rome,2005,7.60987,7.25429,76
gr,379,91080,Andean Abyss,2012,7.94513,7.25280,39
gr,380,6472,A Game of Thrones,2003,7.45000,7.25028,135
gr,381,20963,Fury of Dracula (Second Edition),2005,7.48640,7.24994,114
gr,382,39683,At the Gates of Loyang,2009,7.60467,7.24604,75
gr,383,111341,The Great Zimbabwe,2012,7.98889,7.24304,36
gr,384,125618,Libertalia,2012,7.53626,7.24147,91
gr,385,177639,Raptor,2015,7.54101,7.23987,89
gr,386,260605,Camel Up (Second Edition),2018,8.02588,7.23830,34
gr,387,123260,Suburbia,2012,7.50149,7.23662,101
gr,388,91872,Dungeons & Dragons: The Legend of Drizzt Board Game,2011,7.48858,7.23626,106
gr,389,204583,Kingdomino,2016,7.34867,7.23071,226
gr,390,245654,Railroad Ink: Deep Blue Edition,2018,7.68948,7.23000,58
gr,391,54,Tikal,1999,7.49307,7.22931,101
gr,392,216734,Dice Throne: Season One,2018,8.00882,7.22656,34
gr,393,59946,Dungeons & Dragons: Castle Ravenloft Board Game,2010,7.45259,7.22369,116
gr,394,17226,Descent: Journeys in the Dark,2005,7.41295,7.22210,139
gr,395,217780,Gentes,2017,7.91974,7.22177,38
gr,396,21241,Neuroshima Hex! 3.0,2006,7.43868,7.21974,121
gr,397,12,Ra,1999,7.43234,7.21881,124
