rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,391162,9.20455,8.32136,22
2,224517,8.41931,8.28606,144
3,353945,8.97778,8.27099,27
4,182028,8.42945,8.22335,91
5,161936,8.37489,8.21377,116
6,174430,8.38224,8.20795,107
7,342942,8.30152,8.16649,136
8,366013,8.44865,8.16218,64
9,220308,8.32722,8.15920,109
10,162886,8.29255,8.14998,128
11,333255,8.50369,8.11981,47
12,120677,8.19469,8.07640,150
13,316554,8.22513,8.07604,119
14,271320,8.37170,8.04146,53
15,291457,8.20350,8.03092,101
16,12333,8.16409,8.02498,125
17,284378,8.40258,8.00975,44
18,341169,8.37909,7.98945,44
19,237182,8.08426,7.98641,175
20,167791,8.04239,7.96166,210
21,3076,8.02737,7.95629,238
22,192135,8.25912,7.94183,53
23,102794,8.11833,7.91993,84
24,31260,7.99570,7.91420,204
25,84876,7.98534,7.89568,184
26,173346,7.97308,7.89382,208
27,205637,8.03690,7.88995,112
28,291453,8.03189,7.87743,106
29,108687,8.46107,7.87654,28
30,200680,8.14397,7.86335,58
31,364073,8.12000,7.86182,63
32,294175,8.30000,7.86062,37
33,266507,8.23800,7.83584,40
34,193738,7.96809,7.83089,117
35,96848,8.08065,7.82265,62
36,295947,7.98020,7.82040,100
37,225694,7.94264,7.81884,129
38,227935,8.57672,7.81691,21
39,18602,7.93947,7.80050,114
40,73439,7.92277,7.76812,101
41,321608,8.22059,7.76234,34
42,324856,8.00935,7.75849,62
43,167355,7.89141,7.75171,111
44,312484,7.87862,7.75053,121
45,35677,7.87373,7.74283,118
46,93,7.89307,7.74031,101
47,2651,7.79491,7.73063,239
48,115746,8.20312,7.72441,32
49,322289,8.45238,7.72327,21
50,28720,7.87653,7.72049,98
51,196340,7.91786,7.70129,70
52,175914,7.86669,7.68931,85
53,284083,7.80300,7.68714,130
54,300322,8.26154,7.68325,26
55,283948,7.96038,7.67744,53
56,184267,7.89512,7.67188,67
57,126042,7.92140,7.66038,57
58,62219,7.89429,7.65835,63
59,171623,7.89194,7.65281,62
60,128882,7.75357,7.64791,140
61,310873,7.93634,7.64649,51
62,221107,7.93767,7.64256,50
63,124361,7.75491,7.62429,112
64,70149,7.91400,7.62176,50
65,102680,7.85201,7.62024,63
66,216132,7.81622,7.61901,74
67,146021,7.88303,7.61785,55
68,72125,7.80429,7.59789,70
69,256960,7.99556,7.59482,36
70,125153,7.82929,7.59299,61
71,42,7.73000,7.58632,100
72,279537,7.79441,7.58341,68
73,177736,7.80010,7.58277,66
