country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
hr,1,115746,War of the Ring: Second Edition,2011,9.00192,8.76985,52
hr,2,224517,Brass: Birmingham,2018,8.75306,8.63500,98
hr,3,167791,Terraforming Mars,2016,8.64208,8.58570,202
hr,4,174430,Gloomhaven,2017,8.69500,8.58128,100
hr,5,342942,Ark Nova,2021,8.66891,8.56604,110
hr,6,12333,Twilight Struggle,2005,8.64542,8.52897,96
hr,7,316554,Dune: Imperium,2020,8.62411,8.52444,112
hr,8,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.92800,8.48703,25
hr,9,182028,Through the Ages: A New Story of Civilization,2015,8.60056,8.47842,90
hr,10,162886,Spirit Island,2017,8.55242,8.46419,124
hr,11,291457,Gloomhaven: Jaws of the Lion,2020,8.58529,8.42646,68
hr,12,187645,Star Wars: Rebellion,2016,8.60164,8.42469,61
hr,13,167355,Nemesis,2018,8.55915,8.40799,71
hr,14,341169,Great Western Trail: Second Edition,2021,8.92000,8.38721,20
hr,15,192135,Too Many Bones,2017,9.05000,8.38461,16
hr,16,84876,The Castles of Burgundy,2011,8.44479,8.35621,119
hr,17,161936,Pandemic Legacy: Season 1,2015,8.47910,8.32357,67
hr,18,124742,Android: Netrunner,2012,8.52857,8.31644,49
hr,19,310100,Nemesis: Lockdown,2022,8.80952,8.31483,21
hr,20,173346,7 Wonders Duel,2015,8.36412,8.31197,199
hr,21,256960,Pax Pamir: Second Edition,2019,8.62333,8.28118,30
hr,22,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.73182,8.26754,22
hr,23,271320,The Castles of Burgundy,2019,8.50238,8.25986,42
hr,24,351913,Tiletum,2022,8.64167,8.22294,24
hr,25,177736,A Feast for Odin,2016,8.49429,8.20866,35
hr,26,325494,ISS Vanguard,2022,9.04167,8.20861,12
hr,27,251247,Barrage,2019,8.53065,8.20822,31
hr,28,220308,Gaia Project,2017,8.41444,8.19353,45
hr,29,246900,Eclipse: Second Dawn for the Galaxy,2020,8.44615,8.19145,39
hr,30,199792,Everdell,2018,8.27540,8.18762,113
hr,31,185343,Anachrony,2017,8.43658,8.17662,38
hr,32,255984,Sleeping Gods,2021,8.47742,8.16066,31
hr,33,316377,7 Wonders (Second Edition),2020,8.44063,8.13654,32
hr,34,314040,Pandemic Legacy: Season 0,2020,8.88462,8.13620,13
hr,35,312484,Lost Ruins of Arnak,2020,8.22340,8.12052,94
hr,36,366013,Heat: Pedal to the Metal,2022,8.34167,8.11213,42
hr,37,28143,Race for the Galaxy,2007,8.17097,8.09377,124
hr,38,216132,Clans of Caledonia,2017,8.25862,8.09358,58
hr,39,324856,The Crew: Mission Deep Sea,2021,8.35135,8.09273,37
hr,40,237182,Root,2018,8.17632,8.09239,114
hr,41,233078,Twilight Imperium: Fourth Edition,2017,8.33333,8.08839,39
hr,42,229853,Teotihuacan: City of Gods,2018,8.27551,8.08110,49
hr,43,96848,Mage Knight Board Game,2011,8.22419,8.07114,62
hr,44,331106,The Witcher: Old World,2023,8.70000,8.06812,15
hr,45,62219,Dominant Species,2010,8.22317,8.06537,60
hr,46,28720,Brass: Lancashire,2007,8.32778,8.06483,36
hr,47,184267,On Mars,2020,8.51190,8.06169,21
hr,48,193738,Great Western Trail,2016,8.17381,8.06128,84
hr,49,317985,Beyond the Sun,2020,8.41731,8.05467,26
hr,50,296151,Viscounts of the West Kingdom,2020,8.43542,8.04418,24
hr,51,266192,Wingspan,2019,8.10219,8.04352,160
hr,52,276025,Maracaibo,2019,8.38333,8.03660,27
hr,53,205637,Arkham Horror: The Card Game,2016,8.19123,8.02757,57
hr,54,169786,Scythe,2016,8.06989,8.02015,187
hr,55,126163,Tzolk'in: The Mayan Calendar,2012,8.12044,8.01722,90
hr,56,161533,Lisboa,2017,8.44524,8.00499,21
hr,57,362944,War of the Ring: The Card Game,2022,8.64286,7.98718,14
hr,58,170216,Blood Rage,2015,8.06339,7.97944,109
hr,59,120677,Terra Mystica,2012,8.05813,7.97284,107
hr,60,332772,Revive,2022,8.42500,7.96932,20
hr,61,165401,Wir sind das Volk!,2014,8.65385,7.95646,13
hr,62,308765,Praga Caput Regni,2020,8.24677,7.95455,31
hr,63,40765,Clash of Cultures,2012,8.26552,7.95330,29
hr,64,249259,War Chest,2018,8.15930,7.94910,43
hr,65,25613,Through the Ages: A Story of Civilization,2006,8.22500,7.94321,32
