country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
hu,1,224517,8.60255,8.48739,490
hu,2,167791,8.49357,8.44477,1140
hu,3,271320,8.76323,8.43164,167
hu,4,185343,8.55368,8.39982,356
hu,5,220308,8.57829,8.38440,281
hu,6,342942,8.48167,8.35676,432
hu,7,187645,8.46079,8.28032,291
hu,8,233078,8.63741,8.28017,147
hu,9,173346,8.32587,8.27503,1031
hu,10,167355,8.41620,8.26688,350
hu,11,182028,8.40568,8.25443,344
hu,12,162886,8.38189,8.25286,403
hu,13,316554,8.37419,8.22860,354
hu,14,205637,8.49661,8.21763,184
hu,15,161936,8.36158,8.20440,325
hu,16,291457,8.42239,8.20411,234
hu,17,120677,8.32910,8.19026,366
hu,18,84876,8.29524,8.16287,380
hu,19,324856,8.44011,8.15661,177
hu,20,321608,9.06852,8.14375,54
hu,21,124361,8.23627,8.13470,490
hu,22,174430,8.27137,8.13022,352
hu,23,237182,8.27609,8.12136,320
hu,24,193738,8.24985,8.09880,325
hu,25,37111,8.28153,8.08540,249
hu,26,169786,8.15721,8.07852,619
hu,27,266810,8.21627,8.02962,256
hu,28,102794,8.24111,8.02881,225
hu,29,341169,8.41639,8.01688,119
hu,30,12333,8.20025,8.00474,242
hu,31,164928,8.19464,7.98509,224
hu,32,247763,8.14627,7.97204,268
hu,33,199792,8.05111,7.97197,590
hu,34,108687,8.60704,7.95414,71
hu,35,28720,8.23117,7.93277,154
hu,36,363622,9.08000,7.93169,40
hu,37,3076,8.03217,7.92839,442
hu,38,184267,8.31552,7.92125,116
hu,39,182874,8.17318,7.91802,179
hu,40,126163,8.04718,7.91199,337
hu,41,161533,8.32455,7.91060,110
hu,42,171623,8.05507,7.90180,296
hu,43,284378,8.47595,7.90170,79
hu,44,256960,8.30901,7.90051,111
hu,45,312484,8.01478,7.89803,388
hu,46,157354,7.99003,7.89518,477
hu,47,264220,8.35745,7.87933,94
hu,48,183394,7.97785,7.87887,454
hu,49,230802,7.92545,7.87812,949
hu,50,115746,8.35484,7.87289,93
hu,51,285774,8.41890,7.87241,82
hu,52,31260,7.96545,7.87229,481
hu,53,251247,8.18380,7.86871,142
hu,54,2651,7.98992,7.86644,362
hu,55,96848,8.15226,7.86415,155
hu,56,163068,8.18456,7.85717,136
hu,57,246900,8.39753,7.84961,81
hu,58,295947,7.96087,7.84910,397
hu,59,35677,8.11494,7.84486,164
hu,60,229853,8.10625,7.81817,152
hu,61,125153,8.22933,7.80981,104
hu,62,216132,8.07981,7.80892,161
hu,63,283948,8.33415,7.80352,82
hu,64,284083,7.93090,7.79500,319
hu,65,170216,7.91205,7.78920,352
hu,66,278292,9.18387,7.78908,31
hu,67,68448,7.83825,7.78712,845
hu,68,144733,8.15212,7.78616,118
hu,69,18602,7.99743,7.78289,201
hu,70,244522,7.88796,7.78205,407
hu,71,177736,8.11969,7.78050,127
hu,72,276025,8.18224,7.77979,107
hu,73,205059,8.09624,7.77337,133
hu,74,104162,8.05772,7.76995,149
hu,75,255984,8.29667,7.75144,78
hu,76,314040,8.51071,7.75133,56
hu,77,42,7.95071,7.75022,212
hu,78,221107,8.08492,7.74793,126
hu,79,164153,8.15825,7.74631,103
hu,80,295785,9.03030,7.74518,33
hu,81,248562,8.55962,7.74435,52
hu,82,266507,8.80000,7.74151,40
