country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
id,1,174430,Gloomhaven,2017,8.99750,8.73785,40
id,2,291457,Gloomhaven: Jaws of the Lion,2020,8.93182,8.69863,44
id,3,224517,Brass: Birmingham,2018,8.74493,8.60078,69
id,4,205637,Arkham Horror: The Card Game,2016,8.75800,8.56159,50
id,5,342942,Ark Nova,2021,8.67065,8.46397,46
id,6,161936,Pandemic Legacy: Season 1,2015,8.72759,8.40614,29
id,7,180263,The 7th Continent,2017,8.80435,8.39991,23
id,8,28720,Brass: Lancashire,2007,8.56415,8.38928,53
id,9,266507,Clank! Legacy: Acquisitions Incorporated,2019,9.20000,8.30140,10
id,10,108687,Puerto Rico,2011,9.05000,8.30121,12
id,11,316554,Dune: Imperium,2020,8.47250,8.29979,52
id,12,84876,The Castles of Burgundy,2011,8.36374,8.26623,91
id,13,120677,Terra Mystica,2012,8.39642,8.26408,67
id,14,162886,Spirit Island,2017,8.46116,8.25560,43
id,15,285774,Marvel Champions: The Card Game,2019,8.51176,8.25212,34
id,16,182028,Through the Ages: A New Story of Civilization,2015,8.43333,8.23815,45
id,17,200680,Agricola (Revised Edition),2016,8.46944,8.22651,36
id,18,3076,Puerto Rico,2002,8.31091,8.22269,99
id,19,31260,Agricola,2007,8.29720,8.21026,100
id,20,115746,War of the Ring: Second Edition,2011,8.62381,8.20988,21
id,21,247763,Underwater Cities,2018,8.47419,8.19530,31
id,22,96848,Mage Knight Board Game,2011,8.41711,8.19003,38
id,23,12333,Twilight Struggle,2005,8.31613,8.17760,62
id,24,237182,Root,2018,8.30769,8.17565,65
id,25,463,Magic: The Gathering,1993,8.38500,8.17082,40
id,26,193738,Great Western Trail,2016,8.31466,8.16715,58
id,27,291453,SCOUT,2019,8.52727,8.14205,22
id,28,266810,Paladins of the West Kingdom,2019,8.32568,8.10025,37
id,29,205896,Rising Sun,2018,8.21791,8.09373,67
id,30,321608,Hegemony: Lead Your Class to Victory,2023,8.78333,8.09079,12
id,31,216132,Clans of Caledonia,2017,8.36667,8.08976,30
id,32,312484,Lost Ruins of Arnak,2020,8.20948,8.06749,58
id,33,28181,Combat Commander: Pacific,2008,8.89000,8.06668,10
id,34,220308,Gaia Project,2017,8.30143,8.06624,35
id,35,255984,Sleeping Gods,2021,8.75000,8.06449,12
id,36,21050,Combat Commander: Europe,2006,8.80000,8.05495,11
id,37,2651,Power Grid,2004,8.12314,8.04316,102
id,38,35677,Le Havre,2008,8.21064,8.03746,47
id,39,173346,7 Wonders Duel,2015,8.10377,8.03706,122
id,40,233078,Twilight Imperium: Fourth Edition,2017,8.37500,8.03605,24
id,41,167791,Terraforming Mars,2016,8.09485,8.01178,97
id,42,18602,Caylus,2005,8.16250,8.00780,52
id,43,170216,Blood Rage,2015,8.07395,7.99237,98
id,44,177736,A Feast for Odin,2016,8.32609,7.98019,23
id,45,271320,The Castles of Burgundy,2019,8.64167,7.97901,12
id,46,175914,Food Chain Magnate,2015,8.14444,7.96849,45
id,47,73439,Troyes,2010,8.13333,7.96838,48
id,48,297562,Kemet: Blood and Sand,2021,8.68182,7.96345,11
id,49,284189,Foundations of Rome,2022,8.75000,7.96069,10
