rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,167791,8.45169,8.36261,152
2,174430,8.42258,8.32147,132
3,12333,8.42699,8.30939,113
4,167355,8.50298,8.27288,57
5,224517,8.44081,8.26413,74
6,316554,8.42125,8.25817,80
7,115746,8.50301,8.24813,51
8,342942,8.44531,8.23654,62
9,161936,8.37413,8.23359,92
10,124361,8.36022,8.22178,93
11,251661,9.03333,8.18626,15
12,233078,8.41846,8.17513,52
13,237182,8.29931,8.17408,101
14,169786,8.21220,8.13616,164
15,177736,8.37362,8.11086,47
16,84876,8.20487,8.09977,117
17,220308,8.37433,8.08948,43
18,162886,8.28306,8.08579,62
19,185343,8.31569,8.07671,51
20,161533,8.51154,8.04800,26
21,193738,8.16755,8.04473,98
22,366013,8.43667,8.03671,30
23,199792,8.16977,8.03059,86
24,205059,8.20152,8.02085,66
25,266192,8.09755,8.01763,149
26,173346,8.07402,8.00776,179
27,164928,8.22800,7.99223,50
28,125153,8.47792,7.98764,24
29,192135,8.60000,7.98209,19
30,182874,8.28103,7.98022,39
31,312484,8.12973,7.97174,74
32,170216,8.07890,7.95148,91
33,102794,8.12938,7.95103,65
34,205637,8.06490,7.94680,98
35,96848,8.11538,7.93798,65
36,187645,8.12373,7.92900,59
37,146652,8.16702,7.92316,47
38,164153,8.14269,7.92235,52
39,183394,8.03031,7.91380,98
40,126163,8.06538,7.89382,66
41,283355,8.27100,7.89361,30
42,155821,8.05821,7.88952,67
43,182028,8.07129,7.88903,62
44,285774,8.13311,7.88267,45
45,170042,8.12143,7.85609,42
46,146021,8.03867,7.85316,60
47,246900,8.31306,7.84992,24
48,247763,8.19275,7.84598,32
49,256916,8.49706,7.84468,17
50,264220,8.20129,7.84369,31
51,124742,7.97289,7.83956,83
52,255984,8.23852,7.83029,27
53,175914,8.16245,7.81958,32
54,62222,8.53333,7.80613,15
55,205896,8.05698,7.80358,43
56,201808,7.96250,7.79303,64
57,3076,7.87802,7.78855,121
58,35677,7.94627,7.77543,63
59,231733,8.22375,7.77532,24
60,216132,8.01302,7.77400,45
61,120677,7.90167,7.77364,84
62,271320,8.16923,7.75838,26
63,244521,7.86058,7.75789,104
64,110327,7.82790,7.75485,146
65,224783,8.16308,7.75317,26
66,295947,7.95154,7.74714,52
67,256960,8.30556,7.72173,18
68,42,7.92745,7.72142,51
69,209010,7.95930,7.71559,43
70,28143,7.81123,7.71250,106
71,28720,7.95952,7.71057,42
72,157354,7.85549,7.70837,71
73,122515,7.94318,7.70603,44
74,30549,7.74252,7.70603,286
75,230802,7.75074,7.69248,178
76,175640,8.29441,7.68615,17
77,121921,7.80167,7.67897,84
78,2651,7.76216,7.67353,116
79,62219,7.89149,7.67282,47
80,203993,8.06808,7.67280,26
81,93,7.85268,7.66944,56
82,253344,8.10870,7.66372,23
83,236457,7.83621,7.66005,58
84,127023,7.82712,7.65440,59
85,337765,8.06000,7.65271,25
86,171623,7.94229,7.65152,35
87,2511,7.77284,7.64744,81
88,212445,8.28125,7.64665,16
89,291457,7.85750,7.64603,48
90,284083,7.81500,7.64584,60
91,276025,7.93971,7.64175,34
92,156546,8.14500,7.63910,20
93,144733,7.97167,7.63504,30
94,291453,8.04583,7.62670,24
95,31260,7.70950,7.62638,121
96,285192,8.15211,7.62347,19
97,10630,7.72391,7.61517,92
98,175155,7.92500,7.61271,32
99,220877,8.00600,7.60730,25
100,271896,8.03330,7.60119,23
101,47,8.05227,7.60064,22
102,129622,7.65648,7.60035,177
103,244522,7.82545,7.59973,44
104,121,8.18235,7.59848,17
105,297562,8.25911,7.59765,15
106,154597,7.85789,7.59689,38
107,104006,7.79802,7.59572,49
108,132531,7.74600,7.59365,65
109,147020,7.68257,7.59180,109
110,163412,7.65735,7.58484,136
111,14996,7.63178,7.58301,202
112,178900,7.63135,7.58138,197
113,199478,7.76509,7.57951,53
114,54998,7.76226,7.57691,53
115,18602,7.77334,7.57687,50
116,172287,7.80929,7.57554,42
117,268864,7.92321,7.57302,28
118,188920,7.87188,7.56643,32
119,150376,7.64108,7.56591,130
120,184267,8.08000,7.56574,19
121,319966,8.00909,7.56510,22
122,169426,7.78000,7.56314,45
123,39463,7.67488,7.56150,86
124,329082,8.00000,7.55761,22
125,198928,7.86094,7.55690,32
126,111799,8.12353,7.55246,17
127,50,7.65455,7.54465,88
128,36218,7.59462,7.53374,158
129,25021,8.03947,7.53329,19
130,70149,8.03789,7.53203,19
131,372,7.86103,7.52994,29
132,225694,7.81818,7.52756,33
133,305096,8.15333,7.51723,15
134,14105,7.87037,7.51702,27
135,274364,7.84586,7.51690,29
136,37111,7.61510,7.51578,96
137,282524,7.79265,7.51265,34
138,188834,7.67621,7.51212,58
139,72125,7.69300,7.50347,50
140,176494,7.71233,7.50191,45
141,257499,8.02778,7.50176,18
142,306735,7.86538,7.50130,26
143,521,7.86026,7.49696,26
144,233371,7.83214,7.49511,28
145,92828,7.67843,7.49354,51
146,1568,7.94048,7.49184,21
147,200680,7.73895,7.49111,38
148,2653,7.66787,7.48051,50
149,104162,7.67417,7.47914,48
150,822,7.51232,7.47780,271
151,77423,7.62833,7.47281,60
152,34635,7.57989,7.47264,87
153,223321,7.85417,7.46659,24
154,68448,7.51844,7.46647,179
155,229853,7.69872,7.46090,39
156,102680,7.74962,7.45992,32
157,54043,7.52250,7.44819,124
158,281259,7.67049,7.44599,41
159,159675,8.05000,7.43867,15
160,328871,7.75372,7.43768,29
161,250458,7.94444,7.43577,18
162,310873,7.88500,7.42883,20
163,54138,7.99563,7.42619,16
164,148228,7.48658,7.42545,149
165,233247,7.99375,7.42475,16
166,209685,7.57983,7.42300,58
167,171131,7.65000,7.42265,40
168,269385,7.72500,7.42197,30
169,311193,7.92222,7.41817,18
170,148949,7.57448,7.41806,58
171,318977,7.73815,7.40451,27
172,182631,7.83333,7.40439,21
173,154203,7.58571,7.40210,49
174,9209,7.45759,7.40206,162
175,203420,7.70000,7.40037,30
176,127398,7.87211,7.39928,19
177,188,7.63486,7.39288,37
178,73439,7.55755,7.38897,53
179,263918,7.60463,7.38695,41
180,181304,7.48708,7.38680,89
181,172818,7.80905,7.38457,21
182,199561,7.51559,7.38450,68
183,2655,7.49024,7.38294,83
184,180263,7.55294,7.37870,51
185,190082,7.96000,7.37025,15
186,118048,7.55417,7.36990,48
187,233398,7.92188,7.36927,16
188,221107,7.73542,7.36739,24
189,221194,7.65161,7.36678,31
190,171,7.49079,7.36645,71
191,128671,7.88235,7.36378,17
192,41114,7.45069,7.36343,101
193,224037,7.53431,7.36165,51
194,220520,7.90937,7.35962,16
195,91312,7.63438,7.35952,32
196,271324,7.63281,7.35815,32
197,196340,7.77619,7.35775,21
198,317985,7.73913,7.35719,23
199,15985,7.87059,7.35458,17
200,712,7.66750,7.35426,28
201,189932,7.65172,7.34999,29
202,70919,7.42682,7.34738,110
203,59959,7.54432,7.34589,44
204,298047,7.85941,7.34584,17
205,341169,7.80526,7.34576,19
206,254640,7.48678,7.33932,59
207,128882,7.44217,7.33746,83
208,103885,7.47476,7.33685,63
209,163068,7.69792,7.33606,24
210,191189,7.64286,7.33318,28
211,350184,7.86875,7.32827,16
212,123260,7.47719,7.32569,57
213,239188,7.48444,7.32462,54
214,128621,7.69652,7.32185,23
215,156129,7.51628,7.31647,43
216,39683,7.70545,7.31519,22
217,62227,7.76316,7.31205,19
218,232405,7.65200,7.30962,25
219,251247,7.66625,7.30961,24
220,176734,7.81059,7.30764,17
221,39856,7.36884,7.30691,138
222,126042,7.56455,7.30572,33
223,287954,7.58967,7.30507,30
224,31627,7.61852,7.30271,27
225,269207,7.61667,7.30113,27
226,24480,7.59483,7.30107,29
227,160477,7.45396,7.29387,53
228,82222,7.76389,7.29278,18
229,262712,7.45264,7.29266,53
230,19857,7.57500,7.29240,30
231,324856,7.58276,7.29069,29
232,158600,7.46894,7.28890,47
233,96913,7.69048,7.28780,21
234,463,7.40514,7.28770,72
235,192291,7.40347,7.28613,72
236,140934,7.48163,7.28525,43
237,55690,7.75389,7.28487,18
238,220,7.49024,7.28439,41
239,103343,7.36392,7.27725,97
240,118,7.47209,7.27666,43
241,36932,7.76471,7.27174,17
242,192457,7.73333,7.26859,18
243,283155,7.66614,7.26794,21
244,27708,7.63043,7.26704,23
245,13,7.29704,7.26367,250
246,188866,7.78125,7.26073,16
247,233867,7.43617,7.25913,47
248,97207,7.57885,7.25887,26
249,121408,7.64762,7.25282,21
250,117915,7.61209,7.25182,23
251,2163,7.68421,7.24884,19
252,209418,7.80000,7.24861,15
253,12493,7.41673,7.24800,49
254,143693,7.70556,7.24659,18
255,217372,7.48794,7.24516,34
255,266810,7.48794,7.24516,34
257,234277,7.67947,7.24505,19
258,5782,7.52000,7.24489,30
259,40834,7.38305,7.24329,59
260,134253,7.65000,7.23878,20
261,142379,7.72059,7.23723,17
262,131357,7.29708,7.23711,137
263,112,7.59130,7.23458,23
264,260428,7.62524,7.23455,21
265,63888,7.49516,7.23104,31
266,245655,7.74208,7.23050,16
267,43111,7.42927,7.22972,41
268,150,7.61905,7.22950,21
269,279537,7.68322,7.22890,18
270,155624,7.73500,7.22504,16
271,213460,7.63300,7.22503,20
272,432,7.35917,7.22331,60
273,269210,7.76667,7.22326,15
274,277085,7.63000,7.22260,20
275,176920,7.52222,7.22077,27
276,12,7.38673,7.22064,49
277,285967,7.61970,7.21427,20
278,196326,7.60000,7.21395,21
279,195539,7.68353,7.20824,17
280,25292,7.41974,7.20723,38
281,92415,7.29267,7.19922,86
282,247367,7.73333,7.19792,15
283,25613,7.41667,7.19408,36
284,156336,7.51440,7.19391,25
285,153938,7.28452,7.18939,84
286,158899,7.27816,7.18647,87
287,157969,7.26568,7.18194,95
288,236191,7.50000,7.18180,25
289,240,7.64706,7.17971,17
289,135779,7.64706,7.17971,17
291,204305,7.66875,7.17390,16
292,318084,7.58842,7.17214,19
293,70323,7.21804,7.16810,158
294,181279,7.37500,7.16745,38
295,155987,7.39706,7.16538,34
296,146278,7.65625,7.16425,16
297,227789,7.68667,7.16244,15
298,172,7.30943,7.16118,53
299,266524,7.39848,7.16048,33
300,221965,7.45000,7.15931,27
301,93260,7.50000,7.15885,23
302,272738,7.56386,7.15248,19
303,161970,7.30096,7.15080,52
304,11,7.24935,7.14811,77
305,194655,7.23483,7.14728,89
306,219513,7.32000,7.14689,45
307,129437,7.34150,7.14677,40
308,483,7.37500,7.14601,34
309,155426,7.31239,7.14341,46
310,137408,7.52500,7.13769,20
311,293014,7.42259,7.13599,27
