country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
il,1,274432,Kauchuk,2019,9.44828,8.95531,29
il,2,286147,Super Farmer: The Card Game,2019,9.45238,8.80185,21
il,3,405772,Blooming Field,2024,9.56250,8.72782,16
il,4,233078,Twilight Imperium: Fourth Edition,2017,8.66111,8.33526,36
il,5,224517,Brass: Birmingham,2018,8.47046,8.29270,65
il,6,167791,Terraforming Mars,2016,8.35387,8.27967,155
il,7,220308,Gaia Project,2017,8.47021,8.22990,47
il,8,193738,Great Western Trail,2016,8.37197,8.21383,71
il,9,162886,Spirit Island,2017,8.34789,8.19107,71
il,10,124361,Concordia,2013,8.28936,8.17176,94
il,11,173346,7 Wonders Duel,2015,8.23377,8.16444,159
il,12,175914,Food Chain Magnate,2015,8.52926,8.12674,27
il,13,35677,Le Havre,2008,8.32596,8.11768,52
il,14,187645,Star Wars: Rebellion,2016,8.41429,8.10620,35
il,15,174430,Gloomhaven,2017,8.24865,8.10311,74
il,16,120677,Terra Mystica,2012,8.23815,8.07429,65
il,17,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.42069,8.05602,29
il,18,286749,Hansa Teutonica: Big Box,2020,8.50000,8.04262,23
il,19,182028,Through the Ages: A New Story of Civilization,2015,8.19754,8.02620,61
il,20,28720,Brass: Lancashire,2007,8.32057,8.02240,35
il,21,199792,Everdell,2018,8.15417,8.00994,72
il,22,161936,Pandemic Legacy: Season 1,2015,8.12195,7.99601,82
il,23,172386,Mombasa,2015,8.37407,7.99218,27
il,24,115746,War of the Ring: Second Edition,2011,8.34286,7.97686,28
il,25,161533,Lisboa,2017,8.35000,7.97130,27
il,26,84876,The Castles of Burgundy,2011,8.05564,7.95109,97
il,27,12333,Twilight Struggle,2005,8.09638,7.94950,69
il,28,164928,Orléans,2014,8.11129,7.94793,62
il,29,185343,Anachrony,2017,8.19103,7.93292,39
il,30,189932,Tyrants of the Underdark,2016,8.24469,7.93045,32
il,31,93,El Grande,1995,8.08793,7.91561,58
il,32,169786,Scythe,2016,8.00750,7.91498,108
il,33,266810,Paladins of the West Kingdom,2019,8.17368,7.91116,38
il,34,285967,Ankh: Gods of Egypt,2021,8.51687,7.89703,16
il,35,167355,Nemesis,2018,8.20219,7.89281,32
il,36,244521,The Quacks of Quedlinburg,2018,7.99038,7.86494,78
il,37,70149,Ora et Labora,2011,8.53929,7.84598,14
il,38,312484,Lost Ruins of Arnak,2020,7.97222,7.83788,72
il,39,177736,A Feast for Odin,2016,8.05222,7.83732,45
il,40,3076,Puerto Rico,2002,7.90135,7.83289,141
il,41,42,Tigris & Euphrates,1997,7.96817,7.83226,71
il,42,276025,Maracaibo,2019,8.23333,7.83142,24
il,43,274364,Watergate,2019,8.26818,7.82999,22
il,44,146439,BattleLore: Second Edition,2013,8.19115,7.82170,26
il,45,237182,Root,2018,7.96613,7.81185,62
