country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
in,1,233078,Twilight Imperium: Fourth Edition,2017,9.31000,9.00210,20
in,2,224517,Brass: Birmingham,2018,9.01800,8.89848,50
in,3,295770,Frosthaven,2022,9.50000,8.77923,8
in,4,220308,Gaia Project,2017,8.98077,8.76027,26
in,5,373877,Lakshadweep,2023,8.96296,8.75122,27
in,6,12333,Twilight Struggle,2005,8.89722,8.73901,36
in,7,314040,Pandemic Legacy: Season 0,2020,9.61000,8.67849,6
in,8,162886,Spirit Island,2017,8.80537,8.66944,41
in,9,96848,Mage Knight Board Game,2011,8.87407,8.66777,27
in,10,167355,Nemesis,2018,8.97647,8.65059,17
in,11,167791,Terraforming Mars,2016,8.69494,8.64280,106
in,12,161936,Pandemic Legacy: Season 1,2015,8.79294,8.63101,34
in,13,351535,War of Civilizations,2023,9.41667,8.52898,6
in,14,316554,Dune: Imperium,2020,8.64744,8.51165,39
in,15,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,9.16250,8.50254,8
in,16,28720,Brass: Lancashire,2007,8.68276,8.50081,29
in,17,120677,Terra Mystica,2012,8.61111,8.49411,45
in,18,271320,The Castles of Burgundy,2019,8.97273,8.49411,11
in,19,174430,Gloomhaven,2017,8.64242,8.48345,33
in,20,115746,War of the Ring: Second Edition,2011,8.80667,8.45971,15
in,21,200680,Agricola (Revised Edition),2016,8.61852,8.42784,27
in,22,24181,Imperial,2006,9.26667,8.41297,6
in,23,84876,The Castles of Burgundy,2011,8.47623,8.40978,77
in,24,193738,Great Western Trail,2016,8.51778,8.40429,45
in,25,285774,Marvel Champions: The Card Game,2019,8.75095,8.38819,14
in,26,182028,Through the Ages: A New Story of Civilization,2015,8.51389,8.37353,36
in,27,205637,Arkham Horror: The Card Game,2016,8.63158,8.36631,19
in,28,324856,The Crew: Mission Deep Sea,2021,8.57391,8.35560,23
in,29,126163,Tzolk'in: The Mayan Calendar,2012,8.44300,8.34302,50
in,30,111341,The Great Zimbabwe,2012,9.05000,8.33728,7
in,31,233371,Clank! In! Space!: A Deck-Building Adventure,2017,8.70000,8.31873,13
in,32,175914,Food Chain Magnate,2015,8.58611,8.31146,18
in,33,102794,Caverna: The Cave Farmers,2013,8.43750,8.28449,32
in,34,216132,Clans of Caledonia,2017,8.51476,8.28183,21
in,35,246900,Eclipse: Second Dawn for the Galaxy,2020,9.08333,8.27119,6
in,36,376029,Panchayat,2023,8.52632,8.26996,19
in,37,372571,Tycoon: India 1981,2023,8.66667,8.26195,12
in,38,291457,Gloomhaven: Jaws of the Lion,2020,8.52778,8.25832,18
in,39,287954,Azul: Summer Pavilion,2019,8.44583,8.24474,24
in,40,284378,Kanban EV,2020,8.60000,8.23065,13
in,41,77130,Sid Meier's Civilization: The Board Game,2010,8.66364,8.22761,11
