country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
is,1,233078,9.07353,8.89030,34
is,2,266507,9.06400,8.81998,25
is,3,316554,8.73625,8.59411,40
is,4,224517,8.64545,8.54377,55
is,5,28720,8.76000,8.53680,25
is,6,12333,8.66757,8.51770,37
is,7,184267,9.07000,8.51584,10
is,8,342942,8.60429,8.44944,35
is,9,161936,8.54018,8.44359,56
is,10,205637,8.58235,8.42431,34
is,11,167791,8.46444,8.40513,90
is,12,283355,8.62941,8.32415,17
is,13,246900,8.66667,8.32108,15
is,14,341169,8.71538,8.31719,13
is,15,174430,8.40852,8.31281,54
is,16,193738,8.37755,8.27354,49
is,17,4098,8.83333,8.26817,9
is,18,124361,8.36226,8.26636,53
is,19,363622,9.08333,8.24322,6
is,20,284083,8.31702,8.21103,47
is,21,169786,8.26056,8.19092,71
is,22,221107,8.35000,8.18551,30
is,23,366013,8.47059,8.18082,17
is,24,271320,8.48125,8.17414,16
is,25,115746,8.51429,8.16456,14
is,26,111341,8.68889,8.14821,9
is,27,173346,8.20118,8.14402,85
is,28,237182,8.22973,8.10058,37
is,29,28143,8.22027,8.09157,37
is,30,291457,8.26923,8.08644,26
is,31,175914,8.33333,8.07089,18
is,32,162886,8.18000,8.06229,40
is,33,200680,8.42308,8.06108,13
is,34,312484,8.21724,8.05533,29
is,35,169255,8.83333,8.05183,6
is,35,193949,8.83333,8.05183,6
is,35,364011,8.83333,8.05183,6
is,38,96848,8.27500,8.04150,20
is,39,251247,8.31176,8.03749,17
is,40,266192,8.10221,8.03374,68
is,41,164153,8.41667,8.02936,12
is,42,187645,8.22083,8.02733,24
is,43,310873,8.80000,8.02632,6
is,44,324856,8.26316,8.01950,19
is,45,220308,8.18400,8.00023,25
is,46,3076,8.10227,7.99795,44
is,47,191189,8.26471,7.99502,17
is,48,159675,8.56250,7.99047,8
is,49,284378,8.64286,7.98939,7
is,50,102794,8.09186,7.98564,43
is,51,167355,8.17391,7.97609,23
is,52,177736,8.10000,7.97031,35
is,53,84876,8.03846,7.95182,52
is,54,6472,8.44444,7.94521,9
is,55,180263,8.26923,7.92628,13
is,56,365717,8.66667,7.92424,6
is,57,146021,8.01111,7.91260,45
is,58,77423,8.20000,7.90535,15
is,59,276025,8.12500,7.90412,20
is,60,182874,8.03281,7.89527,32
is,61,39463,8.00244,7.89510,41
is,62,189932,8.14706,7.88885,17
is,63,62219,8.10000,7.88122,20
is,64,262941,8.50000,7.87624,7
is,65,188834,8.06818,7.87021,22
is,66,205059,8.02963,7.86844,27
is,67,161533,8.30000,7.86536,10
is,67,256730,8.30000,7.86536,10
is,69,183394,7.95208,7.86168,48
is,70,216132,8.04167,7.86091,24
is,71,126163,7.97368,7.85959,38
is,72,93,8.19231,7.85889,13
is,73,68448,7.88723,7.84146,94
is,74,224783,8.22727,7.83690,11
is,75,198830,8.36250,7.82783,8
is,76,201808,7.91818,7.82124,44
is,77,253344,8.42857,7.81966,7
is,78,2651,7.90625,7.81753,48
is,79,198994,8.03000,7.81712,20
is,80,247763,8.00952,7.80761,21
is,81,233371,7.96296,7.80603,27
is,82,314040,8.50000,7.79665,6
is,83,185343,8.02778,7.79364,18
is,83,205896,8.02778,7.79364,18
is,85,63888,8.00000,7.77954,19
is,86,128882,7.86667,7.77382,45
is,87,257499,8.10833,7.76197,12
is,88,266810,8.00588,7.76145,17
is,89,91312,8.22222,7.76067,9
is,89,317985,8.22222,7.76067,9
is,91,182028,7.93478,7.75466,23
is,92,40834,7.89655,7.75375,29
is,93,36218,7.80128,7.74832,78
is,94,10630,7.90385,7.74517,26
is,95,25613,8.00000,7.74247,16
is,96,128671,8.25000,7.73634,8
is,97,122515,7.89231,7.73440,26
is,98,138161,7.97059,7.72960,17
is,98,203993,7.97059,7.72960,17
is,100,255984,8.03846,7.72409,13
is,101,163166,8.09091,7.72006,11
is,102,217372,7.88333,7.71384,24
is,103,31260,7.78846,7.71036,52
is,104,17226,8.28571,7.70651,7
is,104,329841,8.28571,7.70651,7
is,106,295486,7.94118,7.70305,17
is,107,169426,7.90000,7.69805,20
is,108,170216,7.78864,7.69689,44
is,109,164928,7.81935,7.68957,31
is,110,286749,8.18750,7.68551,8
is,111,256960,7.98462,7.67692,13
is,112,42,7.87500,7.67516,20
is,113,37111,7.76744,7.67452,43
is,114,103343,7.76087,7.67403,46
is,115,120677,7.79118,7.67370,34
is,116,297562,8.16250,7.66518,8
is,117,279537,8.10000,7.65917,9
is,118,199383,8.05000,7.65417,10
is,118,296151,8.05000,7.65417,10
is,120,110327,7.72018,7.65084,57
is,121,233398,7.88235,7.64997,17
is,122,27708,8.21429,7.64993,7
is,122,285967,8.21429,7.64993,7
is,124,175640,8.12500,7.63469,8
is,125,236457,7.75152,7.63276,33
is,126,300322,7.95833,7.63189,12
is,127,199792,7.74286,7.63098,35
is,128,72125,7.76786,7.62819,28
is,129,155873,8.05556,7.62226,9
is,130,244521,7.69184,7.61261,49
is,131,121921,7.76154,7.61226,26
is,132,150,7.96364,7.61100,11
is,133,161970,7.73667,7.60758,30
is,134,195560,8.25000,7.60526,6
is,135,35677,7.77273,7.59754,22
is,136,43111,7.85000,7.59354,15
is,137,345972,8.14286,7.59335,7
is,138,172386,7.88462,7.58930,13
is,138,308765,7.88462,7.58930,13
is,140,281259,7.78947,7.58758,19
is,141,264220,8.06250,7.58386,8
is,142,239188,7.79444,7.58192,18
is,143,176494,7.71379,7.58188,29
is,144,170042,7.72917,7.57063,24
is,145,43015,7.79412,7.57034,17
is,146,158600,7.72083,7.56289,24
is,147,132531,7.67500,7.55689,32
is,148,12493,7.72727,7.55558,22
is,149,271896,7.80000,7.54900,15
is,150,246784,7.67778,7.53901,27
is,151,171623,7.70909,7.53880,22
is,152,172,7.72500,7.53778,20
is,153,262215,8.00000,7.53304,8
is,154,161882,7.94444,7.52999,9
is,155,127023,7.66071,7.52765,28
is,156,155068,8.05714,7.52546,7
is,157,193037,7.80769,7.52190,13
is,157,274364,7.80769,7.52190,13
is,159,146652,7.78571,7.52052,14
is,160,199478,7.73529,7.51725,17
is,161,129437,7.67391,7.51309,23
is,162,182631,7.92222,7.51153,9
is,163,225694,7.69000,7.50572,20
is,164,14996,7.55556,7.50440,72
is,165,148949,7.61176,7.50349,34
is,166,285774,7.63111,7.49532,27
is,167,118048,7.64167,7.48936,24
is,168,118,7.75000,7.48895,14
is,168,103885,7.75000,7.48895,14
is,170,198928,7.76923,7.48821,13
is,170,265188,7.76923,7.48821,13
is,172,163602,7.79167,7.48735,12
is,172,245638,7.79167,7.48735,12
is,174,270844,7.81818,7.48637,11
is,175,822,7.52371,7.48609,97
is,176,340466,7.88889,7.48385,9
is,177,230802,7.53731,7.48293,67
is,178,105551,7.93750,7.48221,8
is,178,209010,7.93750,7.48221,8
is,180,22545,8.00000,7.48020,7
is,180,204305,8.00000,7.48020,7
is,182,163412,7.52917,7.47867,72
is,183,146508,7.62000,7.47485,25
is,184,282524,7.70000,7.47337,16
is,185,229853,7.63636,7.47168,22
is,186,178900,7.51688,7.46987,77
is,187,286096,7.68750,7.46216,16
is,188,194655,7.56765,7.46163,34
is,189,172287,7.57667,7.45681,30
is,190,105134,7.75000,7.45122,12
is,191,170561,7.83333,7.43772,9
is,192,73439,7.58333,7.43517,24
is,192,262712,7.58333,7.43517,24
is,194,328871,7.65625,7.43413,16
is,195,155821,7.61000,7.43246,20
is,196,147020,7.53636,7.42896,33
is,197,133848,7.92857,7.42362,7
is,198,215,7.67143,7.41949,14
is,199,123260,7.56000,7.41896,25
is,200,6249,7.56250,7.41582,24
is,201,247367,7.70833,7.41509,12
is,202,228372,8.00000,7.41388,6
is,203,30549,7.45106,7.41366,94
is,204,104162,7.56818,7.40876,22
is,205,102680,7.72727,7.40847,11
