country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
it,1,182028,Through the Ages: A New Story of Civilization,2015,8.63521,8.49205,1150
it,2,224517,Brass: Birmingham,2018,8.64901,8.46129,868
it,3,108687,Puerto Rico,2011,8.77696,8.39335,415
it,4,233078,Twilight Imperium: Fourth Edition,2017,8.74847,8.35908,404
it,5,12333,Twilight Struggle,2005,8.46357,8.35830,1494
it,6,248562,Mage Knight: Ultimate Edition,2018,9.03070,8.34429,228
it,7,3076,Puerto Rico,2002,8.40877,8.33916,2244
it,8,167791,Terraforming Mars,2016,8.40628,8.32612,1940
it,9,174430,Gloomhaven,2017,8.46354,8.29007,885
it,10,167355,Nemesis,2018,8.39592,8.22254,864
it,11,120677,Terra Mystica,2012,8.29331,8.19441,1499
it,12,251247,Barrage,2019,8.33530,8.17279,905
it,13,187645,Star Wars: Rebellion,2016,8.38151,8.16610,681
it,14,161936,Pandemic Legacy: Season 1,2015,8.30803,8.14100,870
it,15,162886,Spirit Island,2017,8.29717,8.11129,773
it,16,28720,Brass: Lancashire,2007,8.30333,8.10634,728
it,17,342942,Ark Nova,2021,8.32374,8.10553,657
it,18,169786,Scythe,2016,8.17613,8.09717,1810
it,19,220308,Gaia Project,2017,8.26160,8.07047,740
it,20,291457,Gloomhaven: Jaws of the Lion,2020,8.35124,8.06858,500
it,21,115746,War of the Ring: Second Edition,2011,8.34054,8.05995,502
it,22,175914,Food Chain Magnate,2015,8.24156,8.03059,660
it,23,173346,7 Wonders Duel,2015,8.09415,8.03026,2179
it,24,18602,Caylus,2005,8.12892,8.01670,1234
it,25,237182,Root,2018,8.08534,7.96922,1170
it,26,264220,Tainted Grail: The Fall of Avalon,2019,8.30394,7.95959,393
it,27,96848,Mage Knight Board Game,2011,8.14241,7.95505,721
it,28,31260,Agricola,2007,8.00786,7.92655,1642
it,29,84876,The Castles of Burgundy,2011,8.01895,7.91800,1318
it,30,316554,Dune: Imperium,2020,8.07863,7.91740,825
it,31,193738,Great Western Trail,2016,8.07954,7.91316,798
it,32,2651,Power Grid,2004,7.98948,7.90780,1622
it,33,205637,Arkham Horror: The Card Game,2016,8.06313,7.89991,809
it,34,271320,The Castles of Burgundy,2019,8.35283,7.87283,272
it,35,25613,Through the Ages: A Story of Civilization,2006,8.11993,7.86344,507
it,36,341169,Great Western Trail: Second Edition,2021,8.27492,7.86116,314
it,37,239942,Black Rose Wars,2019,8.23781,7.85838,342
it,38,171623,The Voyages of Marco Polo,2015,7.97078,7.85236,1093
it,39,200680,Agricola (Revised Edition),2016,8.09909,7.83622,489
it,40,35677,Le Havre,2008,7.97050,7.83320,935
it,41,366013,Heat: Pedal to the Metal,2022,8.10062,7.83317,480
it,42,246900,Eclipse: Second Dawn for the Galaxy,2020,8.35883,7.82383,239
it,43,322289,Darwin's Journey,2023,8.25774,7.80482,280
it,44,91,Paths of Glory,1999,8.34110,7.80394,236
it,45,243,Advanced Squad Leader,1985,8.70870,7.79403,138
it,46,62219,Dominant Species,2010,7.93557,7.76993,754
it,47,125153,The Gallerist,2015,8.05224,7.76913,441
it,48,317985,Beyond the Sun,2020,8.04726,7.76124,435
it,49,12493,Twilight Imperium: Third Edition,2005,8.00241,7.73558,461
it,50,124361,Concordia,2013,7.84675,7.73218,1072
it,51,124742,Android: Netrunner,2012,7.92227,7.72275,613
it,52,276025,Maracaibo,2019,8.09932,7.71384,316
it,53,180263,The 7th Continent,2017,8.02267,7.70506,382
it,54,102794,Caverna: The Cave Farmers,2013,7.85334,7.70118,796
it,55,188,Go,-2200,8.07208,7.69968,325
it,56,93,El Grande,1995,7.84978,7.69495,780
it,57,164153,Star Wars: Imperial Assault,2014,7.89992,7.69488,589
it,58,283948,Marco Polo II: In the Service of the Khan,2019,8.01606,7.68880,368
it,59,111341,The Great Zimbabwe,2012,8.09158,7.68651,297
it,60,164928,Orléans,2014,7.81842,7.68428,896
it,61,321608,Hegemony: Lead Your Class to Victory,2023,8.82714,7.68313,105
it,62,310873,Carnegie,2022,8.05971,7.67805,314
it,63,230802,Azul,2017,7.74561,7.67544,1706
it,64,247763,Underwater Cities,2018,7.96520,7.67414,411
it,65,312484,Lost Ruins of Arnak,2020,7.84091,7.67320,713
it,66,205059,Mansions of Madness: Second Edition,2016,7.79699,7.67284,963
it,67,171,Chess,1475,7.86767,7.67118,608
it,68,126163,Tzolk'in: The Mayan Calendar,2012,7.78129,7.66911,1064
it,69,205896,Rising Sun,2018,7.83806,7.66492,688
it,70,249259,War Chest,2018,8.06799,7.65607,288
it,71,318985,Puerto Rico,2020,8.26810,7.65401,193
it,72,285774,Marvel Champions: The Card Game,2019,7.98524,7.65335,357
it,73,55690,Kingdom Death: Monster,2015,8.36530,7.65200,166
it,74,185343,Anachrony,2017,8.01435,7.64934,324
it,75,24181,Imperial,2006,7.93650,7.64882,411
it,76,184267,On Mars,2020,8.17107,7.64622,225
it,77,421,1830: Railways & Robber Barons,1986,8.13711,7.64361,239
it,78,9609,War of the Ring,2004,7.87461,7.63878,499
it,79,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.77553,7.63688,848
it,80,163412,Patchwork,2014,7.71718,7.63492,1428
it,81,192135,Too Many Bones,2017,8.40178,7.63054,152
it,82,310100,Nemesis: Lockdown,2022,8.41477,7.62868,149
it,83,73439,Troyes,2010,7.80888,7.62288,628
it,84,72125,Eclipse: New Dawn for the Galaxy,2011,7.78661,7.61975,699
it,85,177736,A Feast for Odin,2016,7.80986,7.61523,598
it,86,203993,Lorenzo il Magnifico,2016,7.77745,7.61365,710
it,87,265188,Glen More II: Chronicles,2019,8.00979,7.61070,291
it,88,199792,Everdell,2018,7.74096,7.60576,857
it,89,68448,7 Wonders,2010,7.65772,7.60424,2165
it,90,182874,Grand Austria Hotel,2015,7.77532,7.60359,674
it,91,54138,Imperial 2030,2009,7.87104,7.59869,424
it,92,266192,Wingspan,2019,7.68078,7.59476,1340
it,93,281655,High Frontier 4 All,2020,8.85385,7.59009,91
it,94,28143,Race for the Galaxy,2007,7.69683,7.58938,1070
it,95,144733,Russian Railroads,2013,7.76890,7.58666,630
it,96,170216,Blood Rage,2015,7.68212,7.58661,1202
it,97,25021,Sekigahara: The Unification of Japan,2011,8.19233,7.58526,189
it,98,256960,Pax Pamir: Second Edition,2019,8.04656,7.58262,247
it,99,1513,The Republic of Rome,1990,8.05000,7.58078,244
it,100,103343,A Game of Thrones: The Board Game (Second Edition),2011,7.71325,7.57612,833
it,101,463,Magic: The Gathering,1993,7.71199,7.57337,823
it,102,266810,Paladins of the West Kingdom,2019,7.86289,7.57074,390
it,103,188920,This War of Mine: The Board Game,2017,7.79154,7.56188,494
it,104,146021,Eldritch Horror,2013,7.73688,7.56081,644
it,105,110327,Lords of Waterdeep,2012,7.69145,7.55968,860
it,106,42,Tigris & Euphrates,1997,7.71253,7.55805,733
it,107,43015,Hansa Teutonica,2009,7.82854,7.55710,417
it,108,319422,Everdell: Collector's Edition,2018,8.27867,7.55070,155
it,109,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,7.71309,7.53738,638
it,110,216132,Clans of Caledonia,2017,7.73331,7.52254,528
it,111,165401,Wir sind das Volk!,2014,7.93727,7.52082,267
it,112,31594,In the Year of the Dragon,2007,7.73352,7.51446,506
it,113,209010,Mechs vs. Minions,2016,7.90493,7.51113,281
it,114,227789,Heaven & Ale,2017,7.73447,7.50467,480
it,115,183394,Viticulture Essential Edition,2015,7.64329,7.50087,773
it,116,108745,Seasons,2012,7.59287,7.49801,1159
it,117,255984,Sleeping Gods,2021,8.17221,7.49782,163
it,118,37111,Battlestar Galactica: The Board Game,2008,7.63878,7.49751,778
it,119,256839,VektoRace,2018,7.90317,7.49509,269
it,120,253344,Cthulhu: Death May Die,2019,7.86097,7.49299,298
it,121,118048,Targi,2012,7.65948,7.49237,656
it,122,104162,Descent: Journeys in the Dark (Second Edition),2012,7.66400,7.49194,637
it,123,172386,Mombasa,2015,7.75205,7.48841,415
it,124,128882,The Resistance: Avalon,2012,7.65127,7.48596,661
it,125,171908,El Grande Big Box,2015,8.16750,7.48491,160
it,126,201808,Clank!: A Deck-Building Adventure,2016,7.64008,7.48139,687
it,127,66589,Navegador,2010,7.67360,7.47882,559
it,128,319966,The King Is Dead: Second Edition,2020,7.82114,7.47599,315
it,129,122515,Keyflower,2012,7.66355,7.47308,570
it,130,30549,Pandemic,2008,7.53393,7.47251,1767
it,131,555,The Princes of Florence,2000,7.66090,7.47098,571
it,132,295947,Cascadia,2021,7.72650,7.46968,422
it,133,71,Civilization,1980,7.88206,7.46863,262
it,134,155873,Power Grid Deluxe: Europe/North America,2014,8.16192,7.46785,156
it,135,170771,Sword & Sorcery,2017,8.10994,7.46021,166
it,136,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,7.73418,7.45980,393
it,137,19777,Indonesia,2005,8.10216,7.45728,167
it,138,140620,Lewis & Clark: The Expedition,2013,7.63658,7.45628,597
it,139,284083,The Crew: The Quest for Planet Nine,2019,7.60781,7.45359,697
it,140,521,Crokinole,1876,8.05938,7.45244,177
it,141,233398,Endeavor: Age of Sail,2018,7.80024,7.45160,308
it,142,822,Carcassonne,2000,7.49291,7.44826,2401
it,143,199478,Flamme Rouge,2016,7.60036,7.44709,699
it,144,221107,Pandemic Legacy: Season 2,2017,7.87510,7.44525,249
it,145,154597,Hive Pocket,2010,7.83758,7.44185,270
it,146,144189,Fire in the Lake,2014,8.32958,7.44003,120
it,147,214000,In the Year of the Dragon: 10th Anniversary,2017,8.12811,7.43958,155
it,148,161533,Lisboa,2017,7.88951,7.43773,236
it,149,77423,The Lord of the Rings: The Card Game,2011,7.66796,7.43679,461
it,150,40354,Maria,2009,8.06686,7.43641,169
it,151,324856,The Crew: Mission Deep Sea,2021,7.92829,7.43530,216
it,152,14996,Ticket to Ride: Europe,2005,7.49846,7.43355,1639
it,153,191189,Aeon's End,2016,7.80902,7.42405,275
it,154,229265,Wendake,2017,7.76162,7.42349,313
it,155,227224,The Red Cathedral,2020,7.71037,7.42081,365
it,156,229853,Teotihuacan: City of Gods,2018,7.68976,7.41963,391
it,157,34635,Stone Age,2008,7.49139,7.41301,1343
it,158,17392,Here I Stand,2006,8.07962,7.41017,157
it,159,300531,Paleo,2020,7.71156,7.40887,347
it,160,251661,Oathsworn: Into the Deepwood,2022,8.73797,7.40863,79
it,161,14105,Commands & Colors: Ancients,2006,7.79721,7.40712,269
it,162,178900,Codenames,2015,7.48211,7.40590,1376
it,163,228341,Pulsar 2849,2017,7.69801,7.40448,357
it,164,170042,Raiders of the North Sea,2015,7.65461,7.40185,414
it,165,236457,Architects of the West Kingdom,2018,7.55178,7.40166,697
it,166,227460,Hannibal & Hamilcar,2018,8.43564,7.40036,101
it,167,2655,Hive,2000,7.52412,7.40024,844
it,168,175155,Forbidden Stars,2015,7.82694,7.40019,245
it,169,245655,The King's Dilemma,2019,7.91234,7.39990,204
it,170,160069,Ticket to Ride: 10th Anniversary,2014,8.10732,7.39720,147
it,171,21050,Combat Commander: Europe,2006,7.91759,7.39393,199
it,172,268864,Undaunted: Normandy,2019,7.67570,7.39068,365
it,173,299659,Clash of Cultures: Monumental Edition,2021,8.31062,7.39022,113
it,174,27708,1960: The Making of the President,2007,7.84301,7.38911,229
it,175,284378,Kanban EV,2020,8.24782,7.38889,121
it,176,308119,Pax Renaissance: 2nd Edition,2021,8.63655,7.38616,83
it,177,17133,Railways of the World,2005,7.70538,7.38607,325
it,178,279537,The Search for Planet X,2020,7.98104,7.38236,173
it,179,316377,7 Wonders (Second Edition),2020,7.93035,7.38235,189
it,180,3,Samurai,1998,7.67347,7.38109,354
it,181,286749,Hansa Teutonica: Big Box,2020,8.39137,7.37820,102
it,182,4098,Age of Steam,2002,7.74677,7.37777,280
it,183,223321,Detective: A Modern Crime Board Game,2018,7.73911,7.37678,285
it,184,296151,Viscounts of the West Kingdom,2020,7.79000,7.37142,246
it,185,125752,Race! Formula 90,2013,8.37039,7.37093,103
it,186,147020,Star Realms,2014,7.51685,7.37006,701
it,187,699,HeroQuest,1989,7.53645,7.36770,609
it,188,206480,Imperial Struggle,2020,8.48315,7.36672,92
it,189,225694,Decrypto,2018,7.54923,7.36529,558
it,190,230914,Carcassonne Big Box 6,2017,7.95936,7.36065,171
it,191,39856,Dixit,2008,7.42116,7.35858,1634
it,192,104006,Village,2011,7.50138,7.35837,715
it,193,294484,Unmatched: Cobble & Fog,2020,7.88816,7.35405,191
it,194,262712,Res Arcana,2019,7.59956,7.35326,414
it,195,40834,Dominion: Intrigue,2009,7.54657,7.35243,525
it,196,22545,Age of Empires III: The Age of Discovery,2007,7.59141,7.35168,425
it,197,285967,Ankh: Gods of Egypt,2021,7.64653,7.35128,345
it,198,104020,Vanuatu,2011,7.63448,7.35081,359
it,199,239188,Chronicles of Crime,2018,7.57896,7.34927,443
it,200,175640,Vinhos: Deluxe Edition,2016,7.99139,7.34788,158
it,201,189932,Tyrants of the Underdark,2016,7.77691,7.34642,236
