country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
jp,1,224517,Brass: Birmingham,2018,8.41771,8.24986,283
jp,2,174430,Gloomhaven,2017,8.44853,8.21082,197
jp,3,161936,Pandemic Legacy: Season 1,2015,8.28409,8.09860,242
jp,4,220308,Gaia Project,2017,8.27101,8.08988,247
jp,5,291457,Gloomhaven: Jaws of the Lion,2020,8.25280,7.91857,125
jp,6,167791,Terraforming Mars,2016,7.96935,7.88905,514
jp,7,342942,Ark Nova,2021,8.05581,7.86574,215
jp,8,84876,The Castles of Burgundy,2011,7.96657,7.86247,392
jp,9,124361,Concordia,2013,7.96262,7.85608,382
jp,10,177736,A Feast for Odin,2016,8.00185,7.85193,271
jp,11,164928,Orléans,2014,7.96776,7.84845,340
jp,12,193738,Great Western Trail,2016,7.95536,7.82496,308
jp,13,341169,Great Western Trail: Second Edition,2021,8.47623,7.81940,61
jp,14,120677,Terra Mystica,2012,7.93366,7.81919,350
jp,15,251247,Barrage,2019,8.01094,7.81402,203
jp,16,284378,Kanban EV,2020,8.33861,7.78935,72
jp,17,316554,Dune: Imperium,2020,7.98011,7.76935,186
jp,18,93,El Grande,1995,7.91347,7.76885,271
jp,19,3076,Puerto Rico,2002,7.83889,7.75316,454
jp,20,28720,Brass: Lancashire,2007,7.92018,7.74472,221
jp,21,169786,Scythe,2016,7.81587,7.72333,415
jp,22,108687,Puerto Rico,2011,8.29254,7.72013,67
jp,23,182028,Through the Ages: A New Story of Civilization,2015,7.95886,7.71652,158
jp,24,102794,Caverna: The Cave Farmers,2013,7.86934,7.71209,243
jp,25,271320,The Castles of Burgundy,2019,8.30328,7.68462,61
jp,26,162886,Spirit Island,2017,7.83330,7.66414,221
jp,27,221107,Pandemic Legacy: Season 2,2017,8.06344,7.66188,93
jp,28,171908,El Grande Big Box,2015,8.85333,7.62800,30
jp,29,209418,Dominion (Second Edition),2016,7.86871,7.61962,147
jp,30,171623,The Voyages of Marco Polo,2015,7.75181,7.61962,277
jp,31,200680,Agricola (Revised Edition),2016,7.75630,7.61420,257
jp,32,12333,Twilight Struggle,2005,7.77167,7.60698,221
jp,33,96848,Mage Knight Board Game,2011,8.06139,7.60180,79
jp,34,31260,Agricola,2007,7.66842,7.58910,455
jp,35,122515,Keyflower,2012,7.70764,7.56910,258
jp,36,173346,7 Wonders Duel,2015,7.65388,7.56618,407
jp,37,126163,Tzolk'in: The Mayan Calendar,2012,7.65429,7.55324,351
jp,38,2651,Power Grid,2004,7.64503,7.54523,354
jp,39,175640,Vinhos: Deluxe Edition,2016,8.05725,7.54522,69
jp,40,4098,Age of Steam,2002,7.75426,7.54521,169
jp,41,383179,Age of Innovation,2023,8.72000,7.54339,30
jp,42,161533,Lisboa,2017,7.92784,7.54049,91
jp,43,266810,Paladins of the West Kingdom,2019,7.81840,7.53691,125
jp,44,312484,Lost Ruins of Arnak,2020,7.66654,7.52857,254
jp,45,216132,Clans of Caledonia,2017,7.69147,7.52563,211
jp,46,246900,Eclipse: Second Dawn for the Galaxy,2020,8.37390,7.52199,41
jp,47,203993,Lorenzo il Magnifico,2016,7.71275,7.52189,183
jp,48,187645,Star Wars: Rebellion,2016,8.02985,7.51129,67
jp,49,159675,Fields of Arle,2014,7.79256,7.50616,121
jp,50,102680,Trajan,2011,7.69302,7.50001,179
jp,51,66589,Navegador,2010,7.65525,7.49768,219
jp,52,205059,Mansions of Madness: Second Edition,2016,7.73880,7.48648,136
jp,53,144733,Russian Railroads,2013,7.68752,7.48020,165
jp,54,314040,Pandemic Legacy: Season 0,2020,8.40018,7.47711,37
jp,55,191189,Aeon's End,2016,7.64422,7.47296,199
jp,56,36218,Dominion,2008,7.53047,7.46638,530
jp,57,310873,Carnegie,2022,7.78596,7.46035,104
jp,58,118,Modern Art,1992,7.54266,7.44762,354
jp,59,115746,War of the Ring: Second Edition,2011,8.26585,7.44597,41
jp,60,218417,Aeon's End: War Eternal,2017,8.03158,7.44280,57
jp,61,256960,Pax Pamir: Second Edition,2019,7.85873,7.43551,79
jp,62,283948,Marco Polo II: In the Service of the Khan,2019,7.76000,7.42424,99
jp,63,295947,Cascadia,2021,7.58776,7.41866,196
jp,64,255984,Sleeping Gods,2021,8.28947,7.41771,38
jp,65,284083,The Crew: The Quest for Planet Nine,2019,7.54279,7.41460,258
jp,66,148228,Splendor,2014,7.47178,7.41010,535
jp,67,125153,The Gallerist,2015,7.69496,7.40831,115
jp,68,167355,Nemesis,2018,7.67667,7.40276,120
jp,69,183394,Viticulture Essential Edition,2015,7.49639,7.40275,351
jp,70,182874,Grand Austria Hotel,2015,7.59494,7.39961,168
jp,71,30549,Pandemic,2008,7.45104,7.39679,604
jp,72,234277,Nusfjord,2017,7.63769,7.38695,130
jp,73,230802,Azul,2017,7.44241,7.37327,468
jp,74,5,Acquire,1963,7.49582,7.36129,239
jp,75,760,Battle Line,2000,7.43863,7.36026,410
jp,76,266192,Wingspan,2019,7.43447,7.35495,403
jp,77,244521,The Quacks of Quedlinburg,2018,7.48991,7.35257,233
jp,78,12,Ra,1999,7.45772,7.35045,298
jp,79,17405,1846: The Race for the Midwest,2005,8.38065,7.34984,31
jp,80,175914,Food Chain Magnate,2015,7.52514,7.34507,177
jp,81,73439,Troyes,2010,7.49006,7.34142,214
jp,82,220877,Rajas of the Ganges,2017,7.59325,7.34087,126
jp,83,42,Tigris & Euphrates,1997,7.47150,7.32424,214
jp,84,35677,Le Havre,2008,7.44008,7.32007,262
jp,85,188,Go,-2200,7.56885,7.31225,122
jp,86,184267,On Mars,2020,7.59823,7.31119,109
jp,87,276025,Maracaibo,2019,7.51879,7.30906,149
jp,88,39351,Automobile,2009,7.76159,7.30876,69
jp,89,180263,The 7th Continent,2017,7.89491,7.30621,53
jp,90,157354,Five Tribes: The Djinns of Naqala,2014,7.46711,7.30317,190
jp,91,146886,La Granja,2014,7.52284,7.30206,141
jp,92,196340,Yokohama,2016,7.50616,7.30021,151
jp,93,28143,Race for the Galaxy,2007,7.38490,7.29402,341
jp,94,46213,Telestrations,2009,7.43709,7.29178,213
jp,95,247763,Underwater Cities,2018,7.55929,7.28623,113
jp,96,54043,Jaipur,2009,7.37436,7.28596,349
jp,97,317985,Beyond the Sun,2020,7.56596,7.28334,109
jp,98,110327,Lords of Waterdeep,2012,7.52394,7.28161,127
jp,99,214880,City of the Big Shoulders,2019,8.06667,7.27878,39
jp,100,189932,Tyrants of the Underdark,2016,8.17647,7.27476,34
jp,101,148949,Istanbul,2014,7.38291,7.27276,278
jp,102,324856,The Crew: Mission Deep Sea,2021,7.66171,7.26977,78
jp,103,185343,Anachrony,2017,7.58229,7.26474,96
jp,104,233078,Twilight Imperium: Fourth Edition,2017,7.70652,7.26472,69
jp,105,199792,Everdell,2018,7.38932,7.26296,241
jp,106,163412,Patchwork,2014,7.33095,7.25710,411
jp,107,236457,Architects of the West Kingdom,2018,7.43140,7.25512,172
jp,108,271324,It's a Wonderful World,2019,7.39709,7.25031,206
jp,109,205637,Arkham Horror: The Card Game,2016,7.57505,7.25000,93
jp,110,201808,Clank!: A Deck-Building Adventure,2016,7.35559,7.24478,272
jp,111,300322,Hallertau,2020,7.68806,7.23956,67
jp,112,304783,Hadrian's Wall,2021,7.72623,7.23492,61
jp,113,46396,Ubongo 3D,2009,7.48763,7.23381,118
jp,114,491,Web of Power,2000,7.41500,7.22839,160
jp,115,264220,Tainted Grail: The Fall of Avalon,2019,7.83673,7.22767,49
jp,116,5737,Domaine,2003,7.50849,7.22704,106
jp,117,227789,Heaven & Ale,2017,7.44343,7.22151,134
jp,118,822,Carcassonne,2000,7.26418,7.21703,629
jp,119,132531,Roll for the Galaxy,2014,7.35583,7.21224,206
jp,120,364073,Splendor Duel,2022,7.71897,7.20974,58
