country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
kr,1,224517,Brass: Birmingham,2018,8.74090,8.65280,411
kr,2,174430,Gloomhaven,2017,8.65839,8.54341,304
kr,3,220308,Gaia Project,2017,8.42189,8.32854,348
kr,4,314040,Pandemic Legacy: Season 0,2020,8.74795,8.30642,73
kr,5,108687,Puerto Rico,2011,8.64288,8.23951,78
kr,6,205637,Arkham Horror: The Card Game,2016,8.30930,8.22494,371
kr,7,363622,The Castles of Burgundy: Special Edition,2023,9.18750,8.21358,32
kr,8,161936,Pandemic Legacy: Season 1,2015,8.30438,8.20751,321
kr,9,182028,Through the Ages: A New Story of Civilization,2015,8.28025,8.18478,323
kr,10,28720,Brass: Lancashire,2007,8.29854,8.17420,247
kr,11,342942,Ark Nova,2021,8.27192,8.16702,292
kr,12,248562,Mage Knight: Ultimate Edition,2018,8.63810,8.15423,63
kr,13,3076,Puerto Rico,2002,8.19794,8.14768,605
kr,14,291457,Gloomhaven: Jaws of the Lion,2020,8.28181,8.12165,188
kr,15,221107,Pandemic Legacy: Season 2,2017,8.36066,8.11453,122
kr,16,310873,Carnegie,2022,8.28140,8.09180,157
kr,17,173346,7 Wonders Duel,2015,8.10150,8.04967,565
kr,18,312484,Lost Ruins of Arnak,2020,8.14074,8.04669,311
kr,19,35677,Le Havre,2008,8.10758,8.02404,347
kr,20,96848,Mage Knight Board Game,2011,8.12793,8.02295,276
kr,21,84876,The Castles of Burgundy,2011,8.06252,8.00630,512
kr,22,322289,Darwin's Journey,2023,8.37779,8.00427,77
kr,23,383179,Age of Innovation,2023,8.82571,8.00403,35
kr,24,167791,Terraforming Mars,2016,8.04005,7.99392,621
kr,25,284378,Kanban EV,2020,8.21385,7.99355,130
kr,26,162886,Spirit Island,2017,8.07303,7.99348,360
kr,27,271320,The Castles of Burgundy,2019,8.47143,7.96573,56
kr,28,341169,Great Western Trail: Second Edition,2021,8.31235,7.96310,81
kr,29,12333,Twilight Struggle,2005,8.02395,7.95028,382
kr,30,284083,The Crew: The Quest for Planet Nine,2019,8.02806,7.94684,346
kr,31,187645,Star Wars: Rebellion,2016,8.15664,7.93790,128
kr,32,25613,Through the Ages: A Story of Civilization,2006,8.08302,7.93723,192
kr,33,4098,Age of Steam,2002,8.03069,7.92080,253
kr,34,251247,Barrage,2019,8.01800,7.91302,264
kr,35,316554,Dune: Imperium,2020,8.01484,7.91150,268
kr,36,321608,Hegemony: Lead Your Class to Victory,2023,8.69714,7.90723,35
kr,37,31260,Agricola,2007,7.93861,7.88846,547
kr,38,193738,Great Western Trail,2016,7.96874,7.88807,340
kr,39,203993,Lorenzo il Magnifico,2016,7.98871,7.88681,269
kr,40,555,The Princes of Florence,2000,8.01936,7.87358,187
kr,41,218417,Aeon's End: War Eternal,2017,8.64571,7.86851,35
kr,42,177736,A Feast for Odin,2016,7.96435,7.86658,278
kr,43,324856,The Crew: Mission Deep Sea,2021,8.27407,7.84633,63
kr,44,2651,Power Grid,2004,7.90936,7.84276,404
kr,45,255984,Sleeping Gods,2021,8.23284,7.83293,67
kr,46,200680,Agricola (Revised Edition),2016,7.92574,7.82497,265
kr,47,366013,Heat: Pedal to the Metal,2022,8.35120,7.81861,50
kr,48,125153,The Gallerist,2015,7.92153,7.81435,248
kr,49,346623,Suspect Game,2021,8.54444,7.80810,36
kr,50,188,Go,-2200,7.99137,7.80123,139
kr,51,191189,Aeon's End,2016,7.89492,7.78809,246
kr,52,276025,Maracaibo,2019,7.95066,7.77850,152
kr,53,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,7.92695,7.75851,154
kr,54,175640,Vinhos: Deluxe Edition,2016,7.97370,7.75597,119
kr,55,364073,Splendor Duel,2022,7.94831,7.73115,118
kr,56,223321,Detective: A Modern Crime Board Game,2018,7.89820,7.71517,139
kr,57,253344,Cthulhu: Death May Die,2019,7.96624,7.71443,101
kr,58,93,El Grande,1995,7.82500,7.70965,220
kr,59,9609,War of the Ring,2004,8.18442,7.69879,52
kr,60,102680,Trajan,2011,7.80062,7.69679,243
kr,61,182874,Grand Austria Hotel,2015,7.76867,7.69169,327
kr,62,295947,Cascadia,2021,7.78068,7.68696,268
