country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
lt,1,174430,Gloomhaven,2017,8.91173,8.81475,98
lt,2,342942,Ark Nova,2021,8.90769,8.76372,65
lt,3,224517,Brass: Birmingham,2018,8.81818,8.71348,88
lt,4,291457,Gloomhaven: Jaws of the Lion,2020,8.86441,8.70848,59
lt,5,248562,Mage Knight: Ultimate Edition,2018,9.23529,8.69621,17
lt,6,363622,The Castles of Burgundy: Special Edition,2023,9.61111,8.61781,9
lt,7,233078,Twilight Imperium: Fourth Edition,2017,8.78039,8.60578,51
lt,8,316554,Dune: Imperium,2020,8.71918,8.59751,73
lt,9,182028,Through the Ages: A New Story of Civilization,2015,8.67656,8.54035,64
lt,10,220308,Gaia Project,2017,8.72283,8.53373,46
lt,11,271055,Dwellings of Eldervale,2020,9.02941,8.52004,17
lt,12,366013,Heat: Pedal to the Metal,2022,8.70488,8.49540,41
lt,13,312484,Lost Ruins of Arnak,2020,8.62692,8.49481,65
lt,14,251661,Oathsworn: Into the Deepwood,2022,9.20833,8.49315,12
lt,15,193738,Great Western Trail,2016,8.60500,8.48282,70
lt,16,205637,Arkham Horror: The Card Game,2016,8.63333,8.46655,51
lt,17,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.82609,8.45740,23
lt,18,255984,Sleeping Gods,2021,8.86000,8.43869,20
lt,19,173346,7 Wonders Duel,2015,8.46657,8.41875,175
lt,20,180263,The 7th Continent,2017,8.63077,8.41636,39
lt,21,167791,Terraforming Mars,2016,8.46851,8.41425,154
lt,22,341169,Great Western Trail: Second Edition,2021,8.94667,8.39355,15
lt,23,216132,Clans of Caledonia,2017,8.63030,8.38006,33
lt,24,96848,Mage Knight Board Game,2011,8.51356,8.37389,59
lt,25,199792,Everdell,2018,8.48194,8.36774,72
lt,26,187645,Star Wars: Rebellion,2016,8.63333,8.35999,30
lt,27,162886,Spirit Island,2017,8.45294,8.35658,85
lt,28,12493,Twilight Imperium: Third Edition,2005,8.58597,8.34596,34
lt,29,266192,Wingspan,2019,8.38286,8.33638,175
lt,30,120677,Terra Mystica,2012,8.43333,8.30564,63
lt,31,295770,Frosthaven,2022,8.87500,8.30128,14
