rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,363622,9.60000,8.57628,5
2,224517,8.65939,8.50774,33
3,342942,8.65385,8.46415,26
4,233078,8.81250,8.40913,12
5,185343,8.60625,8.31365,16
6,316554,8.50000,8.27975,21
7,174430,8.39189,8.26744,37
8,164153,8.52941,8.25934,17
9,124742,8.56000,8.25446,15
10,37111,8.42826,8.23071,23
11,167791,8.31154,8.22436,52
12,256960,8.78750,8.22147,8
13,12333,8.40167,8.21354,24
14,312484,8.37037,8.20375,27
15,310100,8.86667,8.13573,6
16,246900,8.61667,8.13037,9
17,237182,8.26406,8.12744,32
18,115746,8.54400,8.10976,10
19,277659,8.82889,8.10616,6
20,291457,8.32632,8.09873,19
21,124361,8.25185,8.09211,27
22,199792,8.21176,8.08525,34
23,3076,8.22667,8.08338,30
24,192135,8.38857,8.08173,14
25,163068,8.55556,8.07879,9
26,161936,8.20000,8.07747,35
27,169786,8.15396,8.07318,53
28,221107,8.32353,8.07181,17
29,39463,8.25409,8.06044,22
30,162886,8.21923,8.05568,26
31,230914,8.90000,8.05106,5
31,286749,8.90000,8.05106,5
33,31260,8.15263,8.04135,38
34,248562,8.70000,8.00525,6
35,173346,8.09302,7.99642,43
36,102794,8.17391,7.99352,23
37,366013,8.40000,7.98630,10
38,189932,8.66667,7.97916,6
39,329954,8.80000,7.97603,5
40,235802,8.65833,7.97263,6
41,28720,8.26429,7.97065,14
42,120677,8.12692,7.96892,26
43,265188,8.23600,7.96281,15
44,310873,8.46875,7.95760,8
45,164928,8.16842,7.95355,19
46,133848,8.35000,7.94344,10
47,167355,8.09600,7.93400,25
48,127023,8.17333,7.90640,15
49,317985,8.47143,7.90077,7
50,266192,7.95965,7.88989,57
51,271320,8.37500,7.87999,8
52,35677,8.08889,7.86982,18
53,2651,7.98030,7.86125,33
54,264220,8.21818,7.86104,11
55,96848,8.04286,7.85617,21
56,251247,8.20455,7.84920,11
57,345868,8.50000,7.84867,6
58,144733,8.07353,7.84410,17
59,364073,8.38571,7.83151,7
60,247763,8.18182,7.82946,11
61,308765,8.12000,7.82271,13
62,55670,8.46667,7.82258,6
63,193738,7.95556,7.81301,27
64,61487,8.56000,7.79595,5
65,300322,8.41667,7.78343,6
66,206480,8.54000,7.78095,5
67,175914,8.06923,7.77770,13
68,266507,8.25000,7.77651,8
69,155821,8.02000,7.76838,15
70,143693,8.22500,7.75582,8
71,271324,8.06667,7.75411,12
72,126163,7.90400,7.75398,25
73,284083,7.85452,7.73458,31
74,328871,8.00000,7.73444,14
75,54998,7.99286,7.72805,14
76,192458,8.18750,7.72477,8
77,188920,8.06000,7.72364,11
78,73439,7.91111,7.70709,18
79,205637,7.81818,7.70691,33
80,170216,7.80528,7.70344,36
81,291453,7.98462,7.70269,13
82,28143,7.89474,7.70191,19
83,82222,8.15625,7.69891,8
84,12493,8.21429,7.69301,7
84,122515,8.21429,7.69301,7
84,314040,8.21429,7.69301,7
87,66589,8.30000,7.69210,6
88,274364,8.29167,7.68557,6
89,295947,7.79806,7.68100,31
90,132531,7.86000,7.67874,20
91,160069,8.40200,7.67740,5
92,26997,8.40000,7.67590,5
93,253344,8.17857,7.66415,7
94,282524,8.11000,7.66062,8
95,284189,8.17143,7.65838,7
96,224783,8.01200,7.65365,10
97,223321,8.10000,7.65234,8
98,196340,8.01000,7.65194,10
99,230802,7.71887,7.65133,53
100,251219,8.36000,7.64589,5
101,244521,7.75806,7.64304,31
102,43015,7.88067,7.64296,15
103,285192,8.23333,7.63990,6
104,293014,7.89286,7.63868,14
105,240,8.21667,7.62685,6
106,339789,8.13143,7.62606,7
107,110327,7.77292,7.62555,24
108,59946,8.12857,7.62375,7
109,102680,8.06250,7.62130,8
110,154203,7.83750,7.61731,16
111,297562,8.32000,7.61588,5
112,205896,7.90833,7.61506,12
113,182028,7.83438,7.61448,16
114,324856,7.88462,7.61404,13
115,188,8.00000,7.60992,9
116,266810,7.95800,7.60736,10
117,258779,8.10714,7.60644,7
118,148575,8.30000,7.60087,5
118,281474,8.30000,7.60087,5
120,231733,8.03417,7.59784,8
121,146021,7.76190,7.59584,21
122,203993,8.09286,7.59490,7
123,126792,7.94000,7.59192,10
124,199478,7.77368,7.59060,19
125,209010,7.82200,7.59015,15
126,144344,8.08571,7.58913,7
127,2653,7.85385,7.58676,13
128,155426,7.85077,7.58403,13
129,285774,7.82143,7.57483,14
130,180263,7.75263,7.57125,19
131,218417,8.00000,7.56956,8
132,177736,7.78125,7.56636,16
133,150145,7.94444,7.56304,9
134,194655,7.67733,7.56292,30
135,255984,7.87273,7.56098,11
136,244711,7.90000,7.55763,10
137,295374,8.04000,7.55219,7
138,31481,7.70000,7.55158,23
139,19857,7.83333,7.54920,12
140,146886,8.03571,7.54873,7
141,345584,8.11667,7.54857,6
142,36218,7.60800,7.54011,50
143,21241,7.73529,7.53602,17
144,198928,8.20000,7.52584,5
144,290359,8.20000,7.52584,5
144,304420,8.20000,7.52584,5
144,329841,8.20000,7.52584,5
144,345972,8.20000,7.52584,5
149,217372,7.66522,7.51915,23
150,239464,7.93750,7.51782,8
151,68448,7.58750,7.51756,48
152,18602,7.67619,7.51642,21
153,191189,7.70278,7.51639,18
154,72125,7.73333,7.51033,15
155,43111,7.98714,7.50949,7
156,10630,7.64583,7.50671,24
157,118048,7.74615,7.49128,13
158,154597,7.90000,7.48678,8
159,244522,7.64286,7.48554,21
160,137408,7.95714,7.48525,7
161,188834,7.75000,7.47601,12
162,108687,7.94286,7.47371,7
163,276025,7.80000,7.47190,10
164,20963,8.01667,7.47028,6
165,196326,7.83333,7.46926,9
166,163412,7.59231,7.46646,26
167,9609,7.93000,7.46332,7
168,521,7.92857,7.46216,7
169,8217,7.82222,7.45988,9
169,269207,7.82222,7.45988,9
171,90040,8.00000,7.45723,6
171,114031,8.00000,7.45723,6
171,281442,8.00000,7.45723,6
171,283355,8.00000,7.45723,6
171,318184,8.00000,7.45723,6
176,104162,7.65437,7.45144,16
177,200680,8.10000,7.45081,5
178,87890,7.91429,7.45062,7
179,121921,7.54118,7.44595,34
180,352697,7.98333,7.44418,6
181,34635,7.53970,7.44179,33
182,47,7.76000,7.43760,10
183,150376,7.55600,7.42770,25
184,147020,7.57273,7.42699,22
185,263918,7.54615,7.42308,26
186,24480,7.58947,7.42122,19
187,119890,7.87143,7.41600,7
188,2511,7.65462,7.41013,13
189,286096,7.59706,7.41010,17
190,37046,7.72500,7.40760,10
191,70149,8.04200,7.40729,5
192,21348,8.04000,7.40579,5
193,227224,7.93333,7.40504,6
194,30380,7.66667,7.40282,12
195,206718,7.64615,7.40263,13
196,157354,7.55000,7.39950,21
197,171131,7.56316,7.39703,19
198,40834,7.60667,7.39631,15
199,323612,7.91667,7.39199,6
200,172386,7.70000,7.38616,10
200,306735,7.70000,7.38616,10
202,251658,7.64750,7.38599,12
203,90137,7.64167,7.38087,12
204,51,8.00000,7.37578,5
204,1231,8.00000,7.37578,5
204,65781,8.00000,7.37578,5
204,258210,8.00000,7.37578,5
204,296151,8.00000,7.37578,5
209,198994,7.72222,7.37549,9
210,140620,7.65455,7.37146,11
211,39683,7.81429,7.36983,7
212,159675,7.88333,7.36589,6
212,306040,7.88333,7.36589,6
214,266524,7.46867,7.36522,30
215,169426,7.53667,7.36433,18
216,174660,7.98000,7.36077,5
217,350316,7.87500,7.35937,6
218,463,7.54000,7.35813,17
219,322289,7.63636,7.35567,11
220,77423,7.50950,7.35516,20
221,125153,7.59231,7.35490,13
222,216600,7.78571,7.34674,7
223,202408,7.96000,7.34577,5
224,27162,7.60000,7.34428,12
225,84876,7.44828,7.34256,29
226,242302,7.54667,7.34231,15
227,182134,7.57692,7.34126,13
228,333255,7.95000,7.33826,5
229,128882,7.59167,7.33696,12
230,199561,7.46957,7.33669,23
231,104006,7.50556,7.33585,18
232,271896,7.77143,7.33520,7
233,21050,7.71375,7.33259,8
234,138161,7.94000,7.33076,5
235,205059,7.46818,7.32979,22
236,66362,7.58333,7.32964,12
237,158600,7.66667,7.32860,9
237,184267,7.66667,7.32860,9
239,226522,7.83333,7.32675,6
239,283948,7.83333,7.32675,6
239,285967,7.83333,7.32675,6
242,160477,7.54286,7.32585,14
243,127398,7.44231,7.32548,26
244,220877,7.70000,7.32121,8
245,24508,7.62000,7.31757,10
246,281259,7.50625,7.31727,16
247,372,7.59091,7.31619,11
248,105551,7.81667,7.31370,6
249,118,7.53846,7.30716,13
250,27364,7.90000,7.30075,5
250,96913,7.90000,7.30075,5
250,260605,7.90000,7.30075,5
253,555,7.63333,7.30047,9
254,6472,7.71429,7.28903,7
