rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,167791,8.88970,8.80019,100
2,342942,8.89394,8.63618,33
3,174430,8.68704,8.53462,54
4,363622,9.20833,8.52470,12
5,233078,8.79310,8.51146,29
6,266507,8.80476,8.42676,21
7,187645,8.70000,8.38682,25
8,115746,8.84375,8.35910,16
9,291457,8.57222,8.35698,36
10,173346,8.42962,8.35653,106
11,224517,8.48889,8.34595,54
12,193738,8.49333,8.32318,45
13,200680,8.70000,8.30027,19
14,162886,8.46944,8.26140,36
15,161936,8.41617,8.25707,47
16,266192,8.30763,8.24454,118
17,271320,8.54040,8.24284,25
18,177736,8.55217,8.23022,23
19,255984,8.55909,8.22335,22
20,12333,8.41886,8.20894,35
21,247694,8.71429,8.19264,14
22,169786,8.25426,8.17701,94
23,341169,8.73077,8.17308,13
24,199792,8.28669,8.16422,59
25,237182,8.29639,8.16265,54
26,180263,8.41071,8.15367,28
27,316554,8.34171,8.15240,38
28,96848,8.50000,8.14175,20
29,325494,8.88889,8.10412,9
30,164928,8.30571,8.10393,35
31,146021,8.21803,8.10233,61
32,246900,8.63846,8.09671,13
33,2181,8.80000,8.09593,10
34,244513,8.51875,8.08120,16
35,157354,8.18772,8.06564,57
36,167355,8.23250,8.05899,40
37,182028,8.21333,8.04875,42
38,220308,8.36857,8.04046,21
39,84876,8.14818,8.02373,55
40,264220,8.45000,8.02242,16
41,205059,8.17500,8.01968,44
42,371340,8.53846,8.01397,13
43,175155,8.50000,8.01313,14
44,312484,8.14792,8.00630,48
45,170216,8.13137,7.99850,51
46,244521,8.06318,7.98392,85
47,316377,8.40250,7.98180,16
48,59294,8.36765,7.97309,17
49,350184,8.35294,7.96041,17
50,285774,8.42857,7.95330,14
51,35677,8.13611,7.95142,36
52,120677,8.10762,7.94944,42
53,188920,8.25000,7.94818,22
54,310100,8.50000,7.94695,12
55,279537,8.27600,7.94450,20
56,183394,8.04603,7.94095,63
57,201808,8.06324,7.93380,51
58,263918,8.09750,7.91552,36
59,121921,8.01667,7.90782,60
60,331106,8.50000,7.90662,11
61,209010,8.30625,7.89950,16
62,128671,8.23684,7.89497,19
63,244522,8.06051,7.89402,39
64,205637,8.03500,7.89386,46
65,25613,8.15000,7.89064,25
66,295947,8.04975,7.88784,40
67,12493,8.23889,7.88024,18
68,226522,8.25294,7.87416,17
69,28720,8.05882,7.86978,34
70,216132,8.12000,7.86358,25
71,155821,8.05937,7.85940,32
72,159675,8.43636,7.85557,11
73,18602,8.00000,7.85485,44
74,124361,8.03662,7.84922,34
75,108687,8.54444,7.83944,9
76,146508,8.02059,7.83437,34
77,126163,7.94815,7.83107,54
78,124742,8.05556,7.82228,27
79,247763,8.10000,7.81465,22
80,262543,8.43400,7.80802,10
81,161970,7.92000,7.80627,55
82,176494,8.03962,7.79972,26
83,68448,7.85000,7.79720,118
84,304783,8.41800,7.79543,10
85,336986,8.03462,7.79519,26
86,177524,7.87160,7.79477,81
87,102794,7.95946,7.79149,37
88,10630,7.95000,7.78678,38
89,231733,8.40000,7.78127,10
90,220877,8.29167,7.77702,12
91,199561,7.89110,7.76807,50
92,269385,7.98571,7.76620,28
93,124708,7.99259,7.76506,27
94,266810,8.03130,7.76429,23
95,276025,8.12471,7.76357,17
96,160069,8.27500,7.76343,12
97,370226,8.44444,7.76260,9
98,245655,8.31818,7.76076,11
98,302723,8.31818,7.76076,11
100,188,8.04762,7.75622,21
101,364011,8.43333,7.75406,9
102,281259,7.90244,7.75338,41
103,170042,8.09000,7.75085,18
104,36218,7.84762,7.75072,63
105,233371,8.02273,7.74585,22
106,328871,7.99000,7.73718,24
107,271324,7.97917,7.72745,24
108,164153,7.93103,7.72312,29
109,77423,7.92414,7.71681,29
110,126042,7.96667,7.71622,24
111,230802,7.78374,7.71469,87
112,37111,7.85119,7.70857,42
113,40834,7.86154,7.70799,39
114,192135,8.24545,7.70242,11
115,224783,8.10000,7.70187,15
116,103886,8.36111,7.69856,9
117,155426,7.92462,7.69558,26
118,182874,8.00526,7.69232,19
119,223321,7.97143,7.68875,21
120,271601,8.22727,7.68783,11
121,185343,8.03529,7.68646,17
122,324856,8.10714,7.68403,14
123,171623,7.85294,7.67911,34
124,205896,7.89679,7.67801,27
125,268864,8.16667,7.67507,12
126,110327,7.77830,7.67306,56
127,42,7.91667,7.67129,24
128,52461,8.11538,7.66392,13
128,269144,8.11538,7.66392,13
130,2651,7.74044,7.65451,68
131,14996,7.68228,7.64545,158
132,108745,7.77614,7.64398,44
133,2511,7.91905,7.64236,21
134,262712,7.86538,7.64195,26
135,233867,7.78987,7.64098,39
136,236457,7.78200,7.63709,40
137,286749,8.27778,7.63453,9
138,257501,7.95333,7.63208,18
139,97207,7.79559,7.62600,34
140,104162,7.77838,7.62277,37
141,28143,7.73028,7.62171,53
142,92828,7.69351,7.61887,77
143,463,7.78257,7.61841,35
144,103343,7.72885,7.61836,52
145,296151,7.95294,7.61544,17
146,318184,8.24667,7.61062,9
147,232090,8.08333,7.60709,12
148,31627,7.94118,7.60530,17
149,148949,7.78333,7.59402,30
150,254640,7.73949,7.59387,39
151,318977,7.77062,7.59321,32
152,333255,8.16000,7.59248,10
153,79828,8.22222,7.59184,9
153,227935,8.22222,7.59184,9
153,256916,8.22222,7.59184,9
153,310873,8.22222,7.59184,9
157,191189,7.87500,7.59139,20
158,239307,8.15000,7.58461,10
159,251247,7.93750,7.58420,16
160,104006,7.75000,7.58378,34
161,108906,8.09091,7.57844,11
162,232414,8.14050,7.57714,10
163,73439,7.75645,7.57492,31
164,213460,7.92500,7.57351,16
165,366013,7.86842,7.57257,19
166,4098,8.08182,7.57115,11
166,161533,8.08182,7.57115,11
168,34635,7.62460,7.56850,100
169,182631,8.00000,7.56846,13
170,144733,7.80208,7.56834,24
171,286096,7.76429,7.56433,28
172,205398,7.71053,7.56326,38
173,275870,7.93333,7.56073,15
174,160477,7.80261,7.55972,23
175,184267,8.17778,7.55768,9
176,265188,8.10000,7.54528,10
177,146652,7.96154,7.53663,13
178,245638,7.76250,7.53278,24
179,295486,7.90000,7.53250,15
180,132531,7.70437,7.53214,32
181,136888,7.87500,7.53076,16
182,197376,7.85294,7.52920,17
183,17133,8.13333,7.52353,9
184,122515,7.67162,7.52331,37
185,77130,7.71923,7.50960,26
186,150376,7.61154,7.50687,52
187,17392,8.11111,7.50645,9
187,246684,8.11111,7.50645,9
187,300322,8.11111,7.50645,9
190,274364,7.95833,7.50514,12
191,294484,7.92308,7.50481,13
192,282524,7.82353,7.50384,17
193,41114,7.61667,7.50346,48
194,3076,7.58333,7.50110,66
195,123260,7.64167,7.49162,36
