rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,115746,9.22222,8.64176,18
2,284378,8.89069,8.54186,29
3,291457,8.75000,8.46043,34
4,161936,8.62347,8.42495,49
5,220308,8.69714,8.41972,35
6,224517,8.57833,8.41667,60
7,366013,8.96314,8.39651,17
8,96848,8.56364,8.38895,55
9,187645,8.64545,8.35749,33
10,162886,8.52943,8.35057,53
11,120677,8.47742,8.32584,62
12,4098,8.57353,8.29969,34
13,167355,8.54167,8.28445,36
14,174430,8.41731,8.24195,52
15,124361,8.37500,8.23299,64
16,3076,8.29963,8.21600,108
17,108687,8.73529,8.20595,17
18,28720,8.41395,8.20477,43
19,233078,8.62857,8.20086,21
20,175914,8.34038,8.16965,52
21,256960,8.44262,8.13022,28
22,167791,8.22137,8.12933,95
23,2651,8.21143,8.12244,98
24,184267,8.42679,8.11607,28
25,342942,8.33283,8.11539,40
26,125153,8.30008,8.09907,43
27,173346,8.19578,8.09193,83
28,55690,8.95000,8.08900,10
29,182028,8.27500,8.08791,46
30,175640,8.39444,8.07703,27
31,255984,8.73077,8.07265,13
32,104162,8.30270,8.07157,37
33,121921,8.23094,8.06970,53
34,31260,8.13457,8.06114,116
35,84876,8.15793,8.05433,82
36,266192,8.14042,8.05112,95
37,126163,8.18656,8.04766,61
38,297562,8.80000,8.03393,11
39,216132,8.20833,8.03285,48
40,205637,8.16500,8.02505,60
41,251247,8.35668,8.02128,25
42,285774,8.28125,8.01942,32
43,198928,8.43789,8.00027,19
44,193738,8.12586,7.98347,58
45,172386,8.26552,7.98101,29
46,203993,8.17800,7.97244,40
47,161533,8.21324,7.97149,34
48,279537,8.40000,7.94776,18
49,72125,8.25769,7.94496,26
50,169786,8.03095,7.93457,84
51,336986,8.27083,7.93362,24
52,124742,8.11750,7.91659,40
53,19777,8.36056,7.91447,18
54,170216,8.02732,7.91424,71
55,183394,8.07098,7.91360,51
56,62219,8.09545,7.91307,44
57,73439,8.02899,7.91270,69
58,102680,8.13429,7.90570,35
