country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
nl,1,224517,Brass: Birmingham,2018,8.62319,8.41704,665
nl,2,174430,Gloomhaven,2017,8.54968,8.41187,993
nl,3,342942,Ark Nova,2021,8.53834,8.37402,822
nl,4,162886,Spirit Island,2017,8.53669,8.36997,809
nl,5,161936,Pandemic Legacy: Season 1,2015,8.47996,8.34158,965
nl,6,291457,Gloomhaven: Jaws of the Lion,2020,8.41399,8.20200,599
nl,7,167791,Terraforming Mars,2016,8.27532,8.18772,1442
nl,8,233078,Twilight Imperium: Fourth Edition,2017,8.57755,8.17690,314
nl,9,316554,Dune: Imperium,2020,8.30532,8.09738,587
nl,10,295770,Frosthaven,2022,8.99053,8.06894,131
nl,11,167355,Nemesis,2018,8.36606,8.06741,404
nl,12,169786,Scythe,2016,8.15045,8.05328,1235
nl,13,199792,Everdell,2018,8.11756,8.02387,1266
nl,14,115746,War of the Ring: Second Edition,2011,8.54265,7.98841,211
nl,15,255984,Sleeping Gods,2021,8.29996,7.98814,375
nl,16,193738,Great Western Trail,2016,8.12932,7.98133,788
nl,17,187645,Star Wars: Rebellion,2016,8.30905,7.97484,348
nl,18,12333,Twilight Struggle,2005,8.13921,7.96202,653
nl,19,266192,Wingspan,2019,8.00970,7.95143,1977
nl,20,363622,The Castles of Burgundy: Special Edition,2023,9.01215,7.94032,107
nl,21,182028,Through the Ages: A New Story of Civilization,2015,8.16912,7.93333,485
nl,22,96848,Mage Knight Board Game,2011,8.12181,7.89859,505
nl,23,246900,Eclipse: Second Dawn for the Galaxy,2020,8.47359,7.89611,195
nl,24,173346,7 Wonders Duel,2015,7.96020,7.89499,1726
nl,25,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.64944,7.89427,149
nl,26,312484,Lost Ruins of Arnak,2020,8.01414,7.88529,870
nl,27,3076,Puerto Rico,2002,7.95814,7.87678,1373
nl,28,205059,Mansions of Madness: Second Edition,2016,8.07971,7.87175,536
nl,29,183394,Viticulture Essential Edition,2015,8.02058,7.87044,742
nl,30,324856,The Crew: Mission Deep Sea,2021,8.12364,7.86994,439
nl,31,164928,Orléans,2014,8.02952,7.86209,663
nl,32,124361,Concordia,2013,8.00516,7.85106,717
nl,33,237182,Root,2018,7.99830,7.84719,730
nl,34,120677,Terra Mystica,2012,7.94929,7.83487,959
nl,35,84876,The Castles of Burgundy,2011,7.97421,7.83171,769
nl,36,220308,Gaia Project,2017,8.07468,7.82825,444
nl,37,314040,Pandemic Legacy: Season 0,2020,8.38500,7.82240,194
nl,38,205637,Arkham Horror: The Card Game,2016,7.97910,7.79591,589
nl,39,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.15001,7.77935,289
nl,40,251661,Oathsworn: Into the Deepwood,2022,8.93154,7.76289,91
nl,41,247763,Underwater Cities,2018,8.08350,7.76230,331
nl,42,180263,The 7th Continent,2017,7.97572,7.76066,494
nl,43,284083,The Crew: The Quest for Planet Nine,2019,7.86054,7.75167,972
nl,44,271320,The Castles of Burgundy,2019,8.21925,7.75113,226
nl,45,276025,Maracaibo,2019,8.03997,7.74155,353
nl,46,2651,Power Grid,2004,7.83355,7.73843,1106
nl,47,170216,Blood Rage,2015,7.92012,7.72832,546
nl,48,185343,Anachrony,2017,8.10329,7.72568,277
nl,49,177736,A Feast for Odin,2016,7.93127,7.71650,485
nl,50,175914,Food Chain Magnate,2015,8.04259,7.71431,317
nl,51,325494,ISS Vanguard,2022,8.66667,7.70651,108
nl,52,332398,Everdell: The Complete Collection,2022,8.72385,7.68610,99
nl,53,164153,Star Wars: Imperial Assault,2014,8.02459,7.68560,303
nl,54,264220,Tainted Grail: The Fall of Avalon,2019,8.14950,7.67962,218
nl,55,295947,Cascadia,2021,7.81869,7.67262,699
nl,56,285774,Marvel Champions: The Card Game,2019,7.99348,7.67066,316
nl,57,248562,Mage Knight: Ultimate Edition,2018,8.75688,7.66356,93
nl,58,93,El Grande,1995,7.76682,7.65052,869
nl,59,341169,Great Western Trail: Second Edition,2021,8.23324,7.64936,173
nl,60,31260,Agricola,2007,7.71638,7.64726,1460
nl,61,256960,Pax Pamir: Second Edition,2019,8.17161,7.64627,192
nl,62,251247,Barrage,2019,8.04122,7.64576,255
nl,63,28720,Brass: Lancashire,2007,7.86702,7.64000,443
nl,64,284378,Kanban EV,2020,8.37000,7.62889,135
nl,65,126163,Tzolk'in: The Mayan Calendar,2012,7.76275,7.61866,691
nl,66,201808,Clank!: A Deck-Building Adventure,2016,7.80659,7.61439,517
nl,67,230802,Azul,2017,7.66921,7.60747,1604
nl,68,184267,On Mars,2020,8.19327,7.60180,167
nl,69,217372,The Quest for El Dorado,2017,7.71067,7.60038,895
nl,70,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,7.73350,7.59806,728
nl,71,170042,Raiders of the North Sea,2015,7.75206,7.59595,631
nl,72,55690,Kingdom Death: Monster,2015,8.42458,7.59157,118
nl,73,102794,Caverna: The Cave Farmers,2013,7.76435,7.58932,561
nl,74,366013,Heat: Pedal to the Metal,2022,7.84534,7.58660,379
nl,75,266810,Paladins of the West Kingdom,2019,7.87325,7.58128,335
nl,76,236457,Architects of the West Kingdom,2018,7.71872,7.57207,664
nl,77,463,Magic: The Gathering,1993,7.71091,7.57144,698
nl,78,221107,Pandemic Legacy: Season 2,2017,7.86729,7.57141,329
nl,79,28143,Race for the Galaxy,2007,7.69469,7.56430,744
nl,80,191189,Aeon's End,2016,7.96361,7.56159,241
nl,81,159675,Fields of Arle,2014,7.87199,7.56147,312
nl,82,366161,Wingspan Asia,2022,8.23264,7.56025,144
nl,83,216132,Clans of Caledonia,2017,7.81576,7.55664,373
nl,84,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.81098,7.55543,378
nl,85,30549,Pandemic,2008,7.60382,7.55521,1987
nl,86,209010,Mechs vs. Minions,2016,7.82384,7.55284,356
nl,87,40834,Dominion: Intrigue,2009,7.70960,7.55226,613
nl,88,35677,Le Havre,2008,7.70984,7.55128,608
nl,89,244521,The Quacks of Quedlinburg,2018,7.62754,7.54127,1112
nl,90,192135,Too Many Bones,2017,8.08305,7.54111,177
nl,91,314491,Meadow,2021,7.82395,7.53804,335
nl,92,188920,This War of Mine: The Board Game,2017,8.03233,7.53645,193
nl,93,36218,Dominion,2008,7.59394,7.53353,1582
nl,94,364073,Splendor Duel,2022,7.98385,7.53315,212
nl,95,42,Tigris & Euphrates,1997,7.67588,7.53165,662
nl,96,231733,Obsession,2018,8.06936,7.52787,176
nl,97,182874,Grand Austria Hotel,2015,7.85656,7.52694,289
nl,98,72125,Eclipse: New Dawn for the Galaxy,2011,7.78054,7.52103,366
nl,99,304783,Hadrian's Wall,2021,8.07940,7.51294,167
nl,100,68448,7 Wonders,2010,7.57854,7.51267,1436
nl,101,124742,Android: Netrunner,2012,7.76859,7.50728,361
nl,102,269207,The Taverns of Tiefenthal,2019,7.69049,7.50332,503
nl,103,110327,Lords of Waterdeep,2012,7.65031,7.50300,639
nl,104,146508,T.I.M.E Stories,2015,7.70535,7.49554,447
nl,105,155821,Inis,2016,7.78669,7.49466,321
nl,106,77423,The Lord of the Rings: The Card Game,2011,7.75435,7.49014,354
nl,107,220877,Rajas of the Ganges,2017,7.73384,7.48682,378
nl,108,332772,Revive,2022,8.20791,7.48482,129
nl,109,328871,Terraforming Mars: Ares Expedition,2021,7.75868,7.48439,340
nl,110,125153,The Gallerist,2015,7.95065,7.48247,199
nl,111,37111,Battlestar Galactica: The Board Game,2008,7.73074,7.47628,365
nl,112,118048,Targi,2012,7.64292,7.47251,544
nl,113,10630,Memoir '44,2004,7.62709,7.47186,597
nl,114,146021,Eldritch Horror,2013,7.70819,7.46907,387
nl,115,310873,Carnegie,2022,7.87978,7.46860,225
nl,116,233371,Clank! In! Space!: A Deck-Building Adventure,2017,7.91818,7.46720,205
nl,117,281259,The Isle of Cats,2019,7.71878,7.46630,366
nl,118,209418,Dominion (Second Edition),2016,7.84251,7.46289,243
nl,119,256916,Concordia Venus,2018,8.17791,7.46283,129
nl,120,521,Crokinole,1876,7.85356,7.46271,236
nl,121,172386,Mombasa,2015,7.80504,7.46114,268
nl,122,18602,Caylus,2005,7.62553,7.45905,553
nl,123,234671,Pandemic: Rising Tide,2017,7.77883,7.45818,287
nl,124,14996,Ticket to Ride: Europe,2005,7.50470,7.45693,1925
nl,125,92828,Dixit: Odyssey,2011,7.62572,7.45640,543
nl,126,62219,Dominant Species,2010,7.77205,7.45331,288
nl,127,268864,Undaunted: Normandy,2019,7.90537,7.45319,203
nl,128,31627,Ticket to Ride: Nordic Countries,2007,7.70870,7.45303,359
nl,129,321608,Hegemony: Lead Your Class to Victory,2023,8.30673,7.45018,107
nl,130,198928,Iberia,2016,8.00884,7.45004,164
nl,131,147020,Star Realms,2014,7.58124,7.44871,691
nl,132,161533,Lisboa,2017,7.97919,7.44472,171
nl,133,148949,Istanbul,2014,7.54632,7.43874,847
nl,134,4098,Age of Steam,2002,7.82943,7.43278,229
nl,135,317985,Beyond the Sun,2020,7.92527,7.43185,184
nl,136,253344,Cthulhu: Death May Die,2019,8.19328,7.43077,119
nl,137,163412,Patchwork,2014,7.48323,7.42630,1590
nl,138,305096,Endless Winter: Paleoamericans,2022,7.79497,7.42433,244
nl,139,218417,Aeon's End: War Eternal,2017,8.38484,7.41641,93
nl,140,229853,Teotihuacan: City of Gods,2018,7.66219,7.41614,366
nl,141,271324,It's a Wonderful World,2019,7.64837,7.41573,387
nl,142,199478,Flamme Rouge,2016,7.65750,7.41551,372
nl,143,277659,Final Girl,2021,8.25626,7.41512,107
nl,144,555,The Princes of Florence,2000,7.62596,7.40970,415
nl,145,144733,Russian Railroads,2013,7.62922,7.40930,408
nl,146,225694,Decrypto,2018,7.73267,7.40882,277
nl,147,295486,My City,2020,7.65363,7.40857,366
nl,148,310100,Nemesis: Lockdown,2022,8.45116,7.40833,86
nl,149,421,1830: Railways & Robber Barons,1986,7.93195,7.40767,171
nl,150,171623,The Voyages of Marco Polo,2015,7.57387,7.40495,530
nl,151,188,Go,-2200,7.66985,7.39936,330
nl,152,128882,The Resistance: Avalon,2012,7.64068,7.39826,368
nl,153,34635,Stone Age,2008,7.47164,7.39804,1212
nl,154,132531,Roll for the Galaxy,2014,7.62768,7.39728,387
nl,155,263918,Cartographers,2019,7.59972,7.39584,437
nl,156,365717,Clank!: Catacombs,2022,8.39663,7.39565,89
nl,157,12493,Twilight Imperium: Third Edition,2005,7.71177,7.38895,275
nl,158,223321,Detective: A Modern Crime Board Game,2018,7.93634,7.38585,161
nl,159,104162,Descent: Journeys in the Dark (Second Edition),2012,7.67133,7.38549,310
nl,160,287954,Azul: Summer Pavilion,2019,7.64405,7.38435,341
nl,161,300531,Paleo,2020,7.58093,7.38415,450
nl,162,296151,Viscounts of the West Kingdom,2020,7.79065,7.37819,214
nl,163,266524,PARKS,2019,7.59856,7.37644,397
nl,164,161970,Alchemists,2014,7.57956,7.37595,433
nl,165,322289,Darwin's Journey,2023,8.19299,7.37115,107
nl,166,27833,Steam,2009,7.79048,7.36999,209
nl,167,157354,Five Tribes: The Djinns of Naqala,2014,7.52916,7.36943,550
nl,168,200680,Agricola (Revised Edition),2016,7.68736,7.36909,276
nl,169,234487,Altiplano,2017,7.69441,7.36805,269
nl,170,127023,Kemet,2012,7.75338,7.36404,225
nl,171,7854,YINSH,2003,7.68922,7.36363,269
nl,172,17133,Railways of the World,2005,7.71720,7.36157,246
nl,173,306735,Under Falling Skies,2020,7.70845,7.36133,252
nl,174,239188,Chronicles of Crime,2018,7.53600,7.35681,487
nl,175,25613,Through the Ages: A Story of Civilization,2006,7.66648,7.35606,281
nl,176,265188,Glen More II: Chronicles,2019,7.87939,7.35192,165
nl,177,9609,War of the Ring,2004,7.62644,7.35189,317
nl,178,150376,Dead of Winter: A Crossroads Game,2014,7.50093,7.34154,543
nl,179,270633,Aeon's End: The New Age,2019,8.53264,7.33494,72
nl,180,54043,Jaipur,2009,7.43226,7.33409,878
nl,181,123260,Suburbia,2012,7.58976,7.33400,337
nl,182,158600,Hanamikoji,2013,7.52724,7.32916,434
nl,183,9216,Goa: A New Expedition,2004,7.58125,7.32916,341
nl,184,155426,Castles of Mad King Ludwig,2014,7.59707,7.32779,319
nl,185,199561,Sagrada,2017,7.46278,7.32510,623
nl,186,318977,MicroMacro: Crime City,2020,7.53729,7.32357,401
nl,187,178900,Codenames,2015,7.38228,7.32207,1422
nl,188,350184,Earth,2023,7.71846,7.31899,214
nl,189,286749,Hansa Teutonica: Big Box,2020,8.14854,7.31872,103
nl,190,279537,The Search for Planet X,2020,7.81272,7.31867,173
nl,191,122515,Keyflower,2012,7.56222,7.31624,347
nl,192,244522,That's Pretty Clever!,2018,7.41577,7.31483,845
nl,193,291453,SCOUT,2019,7.73300,7.31323,203
nl,194,254640,Just One,2018,7.52180,7.31205,406
nl,195,171131,Captain Sonar,2016,7.56888,7.31166,331
nl,196,285967,Ankh: Gods of Egypt,2021,7.95634,7.31142,132
nl,197,245655,The King's Dilemma,2019,7.86654,7.31044,153
nl,198,163068,Trickerion: Legends of Illusion,2015,7.76412,7.30939,187
nl,199,176189,Zombicide: Black Plague,2015,7.75621,7.30881,190
nl,200,184921,Bunny Kingdom,2017,7.61290,7.30830,279
nl,201,12,Ra,1999,7.47702,7.30528,494
nl,202,329082,Radlands,2021,7.82469,7.30195,162
nl,203,194655,Santorini,2016,7.45345,7.29967,550
nl,204,39856,Dixit,2008,7.37640,7.29717,1066
nl,205,286096,Tapestry,2019,7.48073,7.29381,451
nl,206,258779,Planet Unknown,2022,7.96190,7.29311,126
nl,207,148228,Splendor,2014,7.36007,7.29102,1219
nl,208,73439,Troyes,2010,7.54526,7.29097,331
nl,209,215,Tichu,1991,7.55171,7.28969,321
nl,210,188834,Secret Hitler,2016,7.46014,7.28764,487
nl,211,205896,Rising Sun,2018,7.60707,7.28451,260
nl,212,311193,Anno 1800: The Board Game,2020,7.72979,7.28386,188
nl,213,97207,Dungeon Petz,2011,7.59773,7.28377,267
nl,214,227935,Wonderland's War,2022,8.08388,7.27967,104
nl,215,39463,Cosmic Encounter,2008,7.50182,7.27835,374
nl,216,242705,Aeon Trespass: Odyssey,2022,8.94920,7.27801,50
nl,217,329841,Ticket to Ride: Europe – 15th Anniversary,2021,7.95171,7.27789,124
nl,218,356123,Turing Machine,2022,7.91298,7.27588,131
nl,219,43015,Hansa Teutonica,2009,7.50581,7.27305,358
nl,220,199042,Harry Potter: Hogwarts Battle,2016,7.55961,7.26894,286
nl,221,283355,Dune,2019,7.87919,7.26818,136
nl,222,230253,Star Realms: Frontiers,2018,8.06587,7.26727,104
