country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
nz,1,161936,Pandemic Legacy: Season 1,2015,8.60172,8.47254,239
nz,2,224517,Brass: Birmingham,2018,8.55742,8.38885,178
nz,3,174430,Gloomhaven,2017,8.45567,8.32470,224
nz,4,115746,War of the Ring: Second Edition,2011,8.64989,8.32071,89
nz,5,342942,Ark Nova,2021,8.51068,8.31073,146
nz,6,162886,Spirit Island,2017,8.39636,8.25734,206
nz,7,266507,Clank! Legacy: Acquisitions Incorporated,2019,8.88140,8.22355,43
nz,8,220308,Gaia Project,2017,8.42679,8.16561,106
nz,9,316554,Dune: Imperium,2020,8.33018,8.16162,164
nz,10,291457,Gloomhaven: Jaws of the Lion,2020,8.36471,8.13825,121
nz,11,167791,Terraforming Mars,2016,8.19973,8.11303,313
nz,12,187645,Star Wars: Rebellion,2016,8.36224,8.08797,98
nz,13,314040,Pandemic Legacy: Season 0,2020,8.60208,8.05026,48
nz,14,124361,Concordia,2013,8.15295,8.01047,183
nz,15,233078,Twilight Imperium: Fourth Edition,2017,8.28065,8.00130,93
nz,16,266192,Wingspan,2019,8.06000,7.99275,385
nz,17,169786,Scythe,2016,8.05770,7.98274,344
nz,18,266810,Paladins of the West Kingdom,2019,8.18686,7.97446,121
nz,19,193738,Great Western Trail,2016,8.13430,7.96477,151
nz,20,12333,Twilight Struggle,2005,8.11298,7.96336,171
nz,21,55690,Kingdom Death: Monster,2015,8.57317,7.95202,41
nz,22,199792,Everdell,2018,8.04854,7.93512,223
nz,23,167355,Nemesis,2018,8.15950,7.90927,100
nz,24,236457,Architects of the West Kingdom,2018,8.03439,7.90237,189
nz,25,205637,Arkham Horror: The Card Game,2016,8.08105,7.89409,133
nz,26,324856,The Crew: Mission Deep Sea,2021,8.23288,7.89248,73
nz,27,255984,Sleeping Gods,2021,8.20000,7.88272,78
nz,28,284083,The Crew: The Quest for Planet Nine,2019,8.03616,7.88065,159
nz,29,84876,The Castles of Burgundy,2011,7.97893,7.87314,233
nz,30,120677,Terra Mystica,2012,8.00723,7.86826,177
nz,31,312484,Lost Ruins of Arnak,2020,8.02452,7.86502,154
nz,32,296151,Viscounts of the West Kingdom,2020,8.11837,7.85276,92
nz,33,180263,The 7th Continent,2017,8.11304,7.84797,92
nz,34,221107,Pandemic Legacy: Season 2,2017,8.08875,7.83602,96
nz,35,173346,7 Wonders Duel,2015,7.91343,7.82828,284
nz,36,183394,Viticulture Essential Edition,2015,7.92830,7.81977,222
nz,37,283355,Dune,2019,8.17761,7.81824,67
nz,38,164928,Orléans,2014,8.03134,7.81652,112
nz,39,246900,Eclipse: Second Dawn for the Galaxy,2020,8.43154,7.81501,39
nz,40,170042,Raiders of the North Sea,2015,7.92903,7.81244,206
nz,41,231733,Obsession,2018,8.21172,7.79988,58
nz,42,237182,Root,2018,7.92567,7.79803,187
nz,43,28143,Race for the Galaxy,2007,7.87523,7.78939,277
nz,44,3076,Puerto Rico,2002,7.85117,7.77857,326
nz,45,244521,The Quacks of Quedlinburg,2018,7.88594,7.76410,193
nz,46,175914,Food Chain Magnate,2015,8.03854,7.75315,82
nz,47,170216,Blood Rage,2015,7.89091,7.74851,164
nz,48,341169,Great Western Trail: Second Edition,2021,8.23638,7.74113,47
nz,49,124742,Android: Netrunner,2012,7.91279,7.73300,129
nz,50,96848,Mage Knight Board Game,2011,7.89015,7.72171,137
nz,51,205059,Mansions of Madness: Second Edition,2016,7.90943,7.72040,122
nz,52,33160,Endeavor,2009,7.92798,7.71675,109
nz,53,285774,Marvel Champions: The Card Game,2019,7.99410,7.71671,83
nz,54,295947,Cascadia,2021,7.88180,7.71620,139
nz,55,126163,Tzolk'in: The Mayan Calendar,2012,7.85315,7.69981,149
nz,56,182874,Grand Austria Hotel,2015,8.08621,7.69342,58
nz,57,177736,A Feast for Odin,2016,7.91832,7.69282,101
nz,58,182028,Through the Ages: A New Story of Civilization,2015,7.89132,7.69164,114
nz,59,247763,Underwater Cities,2018,8.02014,7.69043,69
nz,60,209010,Mechs vs. Minions,2016,8.05565,7.68895,62
nz,61,201808,Clank!: A Deck-Building Adventure,2016,7.85278,7.68236,133
nz,62,304783,Hadrian's Wall,2021,8.00522,7.66899,67
nz,63,227935,Wonderland's War,2022,8.33147,7.66891,34
nz,64,230802,Azul,2017,7.72970,7.66304,337
nz,65,2651,Power Grid,2004,7.73225,7.65803,302
nz,66,28720,Brass: Lancashire,2007,7.86109,7.65739,110
nz,67,216132,Clans of Caledonia,2017,7.96806,7.65691,72
nz,68,251247,Barrage,2019,8.06000,7.65336,55
nz,69,37111,Battlestar Galactica: The Board Game,2008,7.75596,7.64075,193
nz,70,366013,Heat: Pedal to the Metal,2022,8.11957,7.63704,46
nz,71,35677,Le Havre,2008,7.78831,7.62595,136
nz,72,31260,Agricola,2007,7.69779,7.62586,307
nz,73,200680,Agricola (Revised Edition),2016,7.98683,7.61987,60
nz,74,350316,Wayfarers of the South Tigris,2022,8.09778,7.61063,45
nz,75,102794,Caverna: The Cave Farmers,2013,7.75096,7.59125,136
nz,76,198928,Iberia,2016,7.84405,7.58611,84
nz,77,93,El Grande,1995,7.77009,7.58500,117
nz,78,205896,Rising Sun,2018,7.87173,7.58324,75
nz,79,302723,Forgotten Waters,2020,8.16216,7.57866,37
nz,80,36218,Dominion,2008,7.63259,7.57570,379
nz,81,264052,Circadians: First Light,2019,7.96673,7.57490,55
nz,82,233398,Endeavor: Age of Sail,2018,7.88162,7.56605,68
nz,83,12,Ra,1999,7.69634,7.56553,164
nz,84,256960,Pax Pamir: Second Edition,2019,7.92339,7.56064,59
nz,85,43015,Hansa Teutonica,2009,7.88424,7.56006,66
nz,86,163068,Trickerion: Legends of Illusion,2015,8.04318,7.55750,44
nz,87,317985,Beyond the Sun,2020,7.89426,7.54591,61
nz,88,191189,Aeon's End,2016,7.94132,7.54129,53
nz,89,144733,Russian Railroads,2013,7.87951,7.53330,61
