country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
pe,1,161533,Lisboa,2017,9.50833,9.06645,12
pe,2,189270,Operación: Zombies Perú,2014,10.00000,8.96858,5
pe,3,220308,Gaia Project,2017,9.13182,8.90191,22
pe,4,291457,Gloomhaven: Jaws of the Lion,2020,8.95312,8.79981,32
pe,5,102794,Caverna: The Cave Farmers,2013,8.92606,8.77836,33
pe,6,125153,The Gallerist,2015,9.04444,8.77401,18
pe,7,246900,Eclipse: Second Dawn for the Galaxy,2020,9.16667,8.76245,12
pe,8,316554,Dune: Imperium,2020,8.88889,8.75448,36
pe,9,175914,Food Chain Magnate,2015,8.93077,8.74519,26
pe,10,342942,Ark Nova,2021,8.89677,8.74132,31
pe,11,175640,Vinhos: Deluxe Edition,2016,9.32500,8.72553,8
pe,12,185343,Anachrony,2017,8.91000,8.67404,20
pe,13,251247,Barrage,2019,8.84400,8.65629,25
pe,14,224517,Brass: Birmingham,2018,8.74706,8.65508,51
pe,15,260902,Iocus Arcanus,2022,8.88889,8.63032,18
pe,16,248562,Mage Knight: Ultimate Edition,2018,9.28571,8.62250,7
pe,17,343905,Boonlake,2021,9.18750,8.60958,8
pe,18,317985,Beyond the Sun,2020,9.01091,8.59287,11
pe,19,205637,Arkham Horror: The Card Game,2016,8.72353,8.58847,34
pe,20,233078,Twilight Imperium: Fourth Edition,2017,8.83529,8.56705,17
pe,21,35677,Le Havre,2008,8.70303,8.56494,33
pe,22,295947,Cascadia,2021,8.71379,8.55706,29
pe,23,371972,Ierusalem: Anno Domini,2023,9.00000,8.54698,10
pe,24,312484,Lost Ruins of Arnak,2020,8.56939,8.47900,49
pe,25,184267,On Mars,2020,8.77333,8.47814,15
pe,26,90137,Blood Bowl: Team Manager – The Card Game,2011,9.36000,8.47527,5
pe,26,359609,Arkham Horror: The Card Game (Revised Edition),2021,9.36000,8.47527,5
pe,28,237182,Root,2018,8.53684,8.45964,57
pe,29,28720,Brass: Lancashire,2007,8.64167,8.45839,24
pe,30,228341,Pulsar 2849,2017,9.00000,8.45147,8
pe,30,274364,Watergate,2019,9.00000,8.45147,8
pe,32,286749,Hansa Teutonica: Big Box,2020,9.16667,8.43851,6
pe,33,157354,Five Tribes: The Djinns of Naqala,2014,8.50667,8.41050,45
pe,34,115746,War of the Ring: Second Edition,2011,8.71429,8.40570,14
pe,35,266810,Paladins of the West Kingdom,2019,8.53030,8.39966,33
pe,36,167355,Nemesis,2018,8.53438,8.39965,32
pe,37,182028,Through the Ages: A New Story of Civilization,2015,8.57200,8.39956,25
pe,38,12333,Twilight Struggle,2005,8.50000,8.38704,38
pe,39,177736,A Feast for Odin,2016,8.60000,8.38549,20
pe,39,366013,Heat: Pedal to the Metal,2022,8.60000,8.38549,20
pe,41,167791,Terraforming Mars,2016,8.43470,8.38305,83
pe,42,329591,Ultimate Railroads,2021,9.20000,8.35195,5
pe,43,297030,Tekhenu: Obelisk of the Sun,2020,8.87500,8.34606,8
pe,44,285774,Marvel Champions: The Card Game,2019,8.46629,8.34541,35
pe,45,175155,Forbidden Stars,2015,9.05000,8.34501,6
pe,46,308765,Praga Caput Regni,2020,8.72727,8.34300,11
pe,47,183394,Viticulture Essential Edition,2015,8.40968,8.34154,62
pe,48,62219,Dominant Species,2010,8.64286,8.34113,14
pe,49,71721,Space Hulk: Death Angel – The Card Game,2010,8.85000,8.32498,8
pe,50,264220,Tainted Grail: The Fall of Avalon,2019,8.77778,8.31306,9
pe,51,296100,Rococo: Deluxe Edition,2020,8.90000,8.30435,7
pe,52,193738,Great Western Trail,2016,8.45000,8.30125,28
pe,53,126163,Tzolk'in: The Mayan Calendar,2012,8.39487,8.28856,39
pe,54,126042,Nations,2013,8.87143,8.28079,7
pe,55,120677,Terra Mystica,2012,8.39444,8.27965,36
pe,56,328871,Terraforming Mars: Ares Expedition,2021,8.57143,8.27656,14
pe,57,317231,Monasterium,2020,9.10000,8.27487,5
pe,58,214887,CO₂: Second Chance,2018,8.85714,8.26901,7
