country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
ph,1,336382,Marvel United: X-Men,2021,9.40000,8.73844,13
ph,2,285774,Marvel Champions: The Card Game,2019,8.95479,8.69005,32
ph,3,266192,Wingspan,2019,8.69731,8.60854,93
ph,4,291457,Gloomhaven: Jaws of the Lion,2020,8.75102,8.58388,49
ph,5,312484,Lost Ruins of Arnak,2020,8.81993,8.57941,34
ph,6,253344,Cthulhu: Death May Die,2019,9.31818,8.57564,11
ph,7,342942,Ark Nova,2021,8.79688,8.54423,32
ph,8,237182,Root,2018,8.69111,8.52381,48
ph,9,162886,Spirit Island,2017,8.67083,8.50460,48
ph,10,271055,Dwellings of Eldervale,2020,9.30000,8.50260,10
ph,11,177736,A Feast for Odin,2016,8.76957,8.43112,23
ph,12,316554,Dune: Imperium,2020,8.60488,8.41600,41
ph,13,183394,Viticulture Essential Edition,2015,8.51154,8.41238,78
ph,14,248562,Mage Knight: Ultimate Edition,2018,9.37500,8.40924,8
ph,15,174430,Gloomhaven,2017,8.54386,8.40836,57
ph,16,205637,Arkham Horror: The Card Game,2016,8.53638,8.40560,59
ph,17,169786,Scythe,2016,8.47098,8.40217,112
ph,18,230253,Star Realms: Frontiers,2018,9.00000,8.31934,11
ph,19,170216,Blood Rage,2015,8.36512,8.27929,86
ph,20,161936,Pandemic Legacy: Season 1,2015,8.40351,8.27425,57
ph,21,329841,Ticket to Ride: Europe – 15th Anniversary,2021,8.98500,8.25370,10
ph,22,84876,The Castles of Burgundy,2011,8.36852,8.23406,54
ph,23,197376,Charterstone,2017,8.57143,8.22662,21
ph,24,284653,Mind MGMT: The Psychic Espionage “Game.”,2021,9.12500,8.22155,8
ph,25,12333,Twilight Struggle,2005,8.45667,8.21622,30
ph,26,305096,Endless Winter: Paleoamericans,2022,8.86364,8.20949,11
ph,27,110327,Lords of Waterdeep,2012,8.26849,8.20805,119
ph,28,236457,Architects of the West Kingdom,2018,8.33190,8.19173,51
ph,29,124361,Concordia,2013,8.32885,8.19139,52
ph,30,230802,Azul,2017,8.24840,8.17442,96
ph,31,224517,Brass: Birmingham,2018,8.35676,8.16544,37
ph,32,205059,Mansions of Madness: Second Edition,2016,8.35714,8.15564,35
ph,33,249259,War Chest,2018,8.74167,8.15426,12
ph,34,201808,Clank!: A Deck-Building Adventure,2016,8.27500,8.14936,56
