country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
ro,1,342942,Ark Nova,2021,9.08341,8.89947,104
ro,2,224517,Brass: Birmingham,2018,9.02097,8.86071,118
ro,3,363622,The Castles of Burgundy: Special Edition,2023,9.61458,8.83307,24
ro,4,266192,Wingspan,2019,8.73096,8.65314,228
ro,5,167791,Terraforming Mars,2016,8.71833,8.63877,222
ro,6,220308,Gaia Project,2017,8.91391,8.63799,64
ro,7,271320,The Castles of Burgundy,2019,8.92052,8.61800,58
ro,8,316554,Dune: Imperium,2020,8.72920,8.55716,100
ro,9,173346,7 Wonders Duel,2015,8.61942,8.55102,251
ro,10,174430,Gloomhaven,2017,8.71456,8.54804,103
ro,11,161936,Pandemic Legacy: Season 1,2015,8.78357,8.53925,70
ro,12,84876,The Castles of Burgundy,2011,8.64186,8.53041,153
ro,13,312484,Lost Ruins of Arnak,2020,8.63696,8.51575,140
ro,14,182028,Through the Ages: A New Story of Civilization,2015,8.68526,8.50714,95
ro,15,284378,Kanban EV,2020,9.05242,8.50664,31
ro,16,161533,Lisboa,2017,8.88233,8.50638,45
ro,17,182874,Grand Austria Hotel,2015,8.71814,8.50159,78
ro,18,169786,Scythe,2016,8.57134,8.48161,187
ro,19,193738,Great Western Trail,2016,8.60124,8.46342,121
ro,20,171623,The Voyages of Marco Polo,2015,8.62529,8.43542,87
ro,21,124361,Concordia,2013,8.52219,8.43390,187
ro,22,291457,Gloomhaven: Jaws of the Lion,2020,8.60208,8.43031,96
ro,23,251247,Barrage,2019,8.76746,8.42459,48
ro,24,177736,A Feast for Odin,2016,8.67254,8.41976,65
ro,25,248562,Mage Knight: Ultimate Edition,2018,9.31944,8.40977,18
ro,26,162886,Spirit Island,2017,8.57828,8.39126,87
ro,27,102794,Caverna: The Cave Farmers,2013,8.54489,8.37462,95
ro,28,183394,Viticulture Essential Edition,2015,8.47810,8.36684,145
ro,29,167355,Nemesis,2018,8.68700,8.36460,50
ro,30,199792,Everdell,2018,8.48371,8.36171,132
ro,31,233078,Twilight Imperium: Fourth Edition,2017,8.63465,8.35299,57
ro,32,115746,War of the Ring: Second Edition,2011,8.66275,8.34845,51
ro,33,12333,Twilight Struggle,2005,8.50069,8.34233,101
ro,34,205059,Mansions of Madness: Second Edition,2016,8.61271,8.34168,59
ro,35,295947,Cascadia,2021,8.48711,8.34047,109
ro,36,96848,Mage Knight Board Game,2011,8.54295,8.33819,78
ro,37,308765,Praga Caput Regni,2020,8.74184,8.32369,38
ro,38,216132,Clans of Caledonia,2017,8.52405,8.32297,79
ro,39,187645,Star Wars: Rebellion,2016,8.59397,8.32033,58
ro,40,321608,Hegemony: Lead Your Class to Victory,2023,8.97708,8.31666,24
ro,41,3076,Puerto Rico,2002,8.41904,8.31483,152
ro,42,126163,Tzolk'in: The Mayan Calendar,2012,8.38676,8.30286,188
ro,43,247763,Underwater Cities,2018,8.52503,8.29693,69
ro,44,237182,Root,2018,8.43649,8.29480,111
ro,45,276025,Maracaibo,2019,8.63933,8.29039,45
ro,46,283948,Marco Polo II: In the Service of the Khan,2019,8.80927,8.28657,30
ro,47,164928,Orléans,2014,8.46477,8.28269,86
ro,48,266507,Clank! Legacy: Acquisitions Incorporated,2019,9.04250,8.26463,20
ro,49,175914,Food Chain Magnate,2015,8.63122,8.25332,41
ro,50,125153,The Gallerist,2015,8.54314,8.24073,51
ro,51,332772,Revive,2022,8.85540,8.23890,25
ro,52,31260,Agricola,2007,8.32771,8.22136,144
ro,53,521,Crokinole,1876,8.55429,8.19341,42
ro,54,279537,The Search for Planet X,2020,8.51000,8.18815,47
ro,55,285774,Marvel Champions: The Card Game,2019,8.48700,8.18483,50
ro,56,163068,Trickerion: Legends of Illusion,2015,8.67129,8.18406,31
ro,57,28143,Race for the Galaxy,2007,8.32315,8.18333,108
ro,58,35677,Le Havre,2008,8.36325,8.18145,83
ro,59,351913,Tiletum,2022,8.77240,8.17115,25
ro,60,146021,Eldritch Horror,2013,8.35366,8.17040,82
ro,61,230802,Azul,2017,8.23621,8.16915,224
ro,62,157354,Five Tribes: The Djinns of Naqala,2014,8.28750,8.16649,124
ro,63,185343,Anachrony,2017,8.39508,8.16441,65
ro,64,203993,Lorenzo il Magnifico,2016,8.48047,8.16177,47
ro,65,172386,Mombasa,2015,8.43259,8.15583,54
ro,66,120677,Terra Mystica,2012,8.28703,8.14653,106
ro,67,37111,Battlestar Galactica: The Board Game,2008,8.30889,8.14360,90
ro,68,266810,Paladins of the West Kingdom,2019,8.35357,8.14124,70
ro,69,205637,Arkham Horror: The Card Game,2016,8.35746,8.13606,67
ro,70,170042,Raiders of the North Sea,2015,8.33849,8.13534,73
ro,71,124742,Android: Netrunner,2012,8.37339,8.13429,62
ro,72,175640,Vinhos: Deluxe Edition,2016,8.58182,8.13285,33
ro,73,205896,Rising Sun,2018,8.36797,8.11824,59
ro,74,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,8.24043,8.11259,115
ro,75,200680,Agricola (Revised Edition),2016,8.45976,8.11006,42
ro,76,297562,Kemet: Blood and Sand,2021,8.86579,8.09671,19
ro,77,144733,Russian Railroads,2013,8.36570,8.09525,54
ro,78,221107,Pandemic Legacy: Season 2,2017,8.65192,8.09112,26
ro,79,110327,Lords of Waterdeep,2012,8.19032,8.08914,144
ro,80,28720,Brass: Lancashire,2007,8.29848,8.07863,66
ro,81,296100,Rococo: Deluxe Edition,2020,8.80000,8.07538,20
ro,82,296151,Viscounts of the West Kingdom,2020,8.39556,8.07371,45
ro,83,159675,Fields of Arle,2014,8.64880,8.07026,25
ro,84,329841,Ticket to Ride: Europe – 15th Anniversary,2021,8.69565,8.06748,23
ro,85,209010,Mechs vs. Minions,2016,8.46111,8.06082,36
ro,86,229853,Teotihuacan: City of Gods,2018,8.26366,8.04952,67
ro,87,310873,Carnegie,2022,8.49500,8.04709,32
ro,88,230914,Carcassonne Big Box 6,2017,8.43297,8.04579,37
ro,89,150376,Dead of Winter: A Crossroads Game,2014,8.20165,8.04431,91
ro,90,148949,Istanbul,2014,8.15559,8.04292,127
ro,91,284083,The Crew: The Quest for Planet Nine,2019,8.19376,8.04007,93
ro,92,256960,Pax Pamir: Second Edition,2019,8.44743,8.03918,35
ro,93,301880,Raiders of Scythia,2020,8.56444,8.03591,27
ro,94,264220,Tainted Grail: The Fall of Avalon,2019,8.62917,8.03482,24
ro,95,68448,7 Wonders,2010,8.08630,8.03463,276
ro,96,34635,Stone Age,2008,8.09959,8.03388,217
ro,97,62219,Dominant Species,2010,8.30769,8.03352,52
ro,98,314491,Meadow,2021,8.30094,8.03210,53
ro,99,73439,Troyes,2010,8.18805,8.02474,87
ro,100,170216,Blood Rage,2015,8.18125,8.02010,88
ro,101,170771,Sword & Sorcery,2017,8.85294,8.01908,17
ro,102,328871,Terraforming Mars: Ares Expedition,2021,8.22554,8.00838,65
ro,103,199561,Sagrada,2017,8.11518,8.00667,130
ro,104,236457,Architects of the West Kingdom,2018,8.16689,8.00660,88
ro,105,244522,That's Pretty Clever!,2018,8.18867,8.00101,75
ro,106,281442,Trismegistus: The Ultimate Formula,2019,8.77756,7.99694,18
ro,107,104162,Descent: Journeys in the Dark (Second Edition),2012,8.19926,7.99296,68
ro,108,224783,Vindication,2018,8.39171,7.99118,35
ro,109,286749,Hansa Teutonica: Big Box,2020,8.62273,7.98667,22
ro,110,300322,Hallertau,2020,8.56833,7.98555,24
ro,111,155821,Inis,2016,8.20091,7.98262,64
ro,112,220877,Rajas of the Ganges,2017,8.24609,7.98251,53
ro,113,14996,Ticket to Ride: Europe,2005,8.02903,7.98247,300
ro,114,10630,Memoir '44,2004,8.11768,7.97689,99
ro,115,18602,Caylus,2005,8.16384,7.97319,73
ro,116,343905,Boonlake,2021,8.54142,7.96374,24
ro,117,293014,Nidavellir,2020,8.18302,7.96301,63
ro,118,164153,Star Wars: Imperial Assault,2014,8.28929,7.95972,42
ro,119,316377,7 Wonders (Second Edition),2020,8.37576,7.95681,33
ro,120,184267,On Mars,2020,8.32770,7.95441,37
ro,121,93,El Grande,1995,8.17500,7.94563,60
ro,122,285967,Ankh: Gods of Egypt,2021,8.38529,7.94200,31
ro,123,324856,The Crew: Mission Deep Sea,2021,8.28897,7.93730,39
ro,124,2651,Power Grid,2004,8.01000,7.93180,175
ro,125,72125,Eclipse: New Dawn for the Galaxy,2011,8.16364,7.91640,55
ro,126,231733,Obsession,2018,8.31529,7.91551,34
ro,127,148228,Splendor,2014,7.98246,7.90679,179
ro,128,161970,Alchemists,2014,8.03047,7.90291,106
ro,129,245638,Coimbra,2018,8.18208,7.90064,48
ro,130,255984,Sleeping Gods,2021,8.36172,7.89666,29
ro,131,108687,Puerto Rico,2011,8.60526,7.89572,19
ro,132,239188,Chronicles of Crime,2018,8.09873,7.88564,63
ro,133,269385,The Lord of the Rings: Journeys in Middle-Earth,2019,8.29688,7.87859,32
ro,134,251219,Istanbul: Big Box,2018,8.30694,7.87569,31
ro,135,25613,Through the Ages: A Story of Civilization,2006,8.20625,7.87248,40
ro,136,233398,Endeavor: Age of Sail,2018,8.22730,7.86726,37
ro,137,366013,Heat: Pedal to the Metal,2022,8.14766,7.86455,47
ro,138,258779,Planet Unknown,2022,8.31172,7.85479,29
ro,139,317985,Beyond the Sun,2020,8.18425,7.85320,40
ro,140,287954,Azul: Summer Pavilion,2019,8.09815,7.85295,54
ro,141,201808,Clank!: A Deck-Building Adventure,2016,8.08929,7.85285,56
ro,142,54998,Cyclades,2009,7.95137,7.84495,124
ro,143,40834,Dominion: Intrigue,2009,8.03551,7.84432,69
ro,144,228341,Pulsar 2849,2017,8.10196,7.84339,51
ro,145,176189,Zombicide: Black Plague,2015,8.57222,7.84051,18
ro,146,42,Tigris & Euphrates,1997,8.06379,7.83705,58
ro,147,77423,The Lord of the Rings: The Card Game,2011,8.03281,7.82811,64
ro,148,341169,Great Western Trail: Second Edition,2021,8.32962,7.82615,26
ro,149,2655,Hive,2000,7.96489,7.82567,94
