country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
rs,1,224517,9.00859,8.90040,78
rs,2,342942,9.06213,8.88347,47
rs,3,256916,9.26562,8.75998,16
rs,4,115746,8.98714,8.75626,35
rs,5,316554,8.84549,8.73251,71
rs,6,28720,8.92590,8.72094,39
rs,7,167791,8.68699,8.63372,146
rs,8,174430,8.73232,8.62010,69
rs,9,124361,8.71015,8.59210,65
rs,10,233078,8.75610,8.57026,41
rs,11,246900,8.95263,8.55376,19
rs,12,369571,9.50000,8.55294,8
rs,13,84876,8.65926,8.54803,68
rs,14,220308,8.69894,8.53850,47
rs,15,35677,8.74457,8.52975,35
rs,16,162886,8.64098,8.51819,61
rs,17,173346,8.56563,8.51606,151
rs,18,161533,8.81000,8.49981,24
rs,19,284378,9.07077,8.49838,13
rs,20,167355,8.59945,8.46564,55
rs,21,341169,8.87824,8.44789,17
rs,22,370858,8.71154,8.43171,26
rs,23,12333,8.57938,8.42799,48
rs,24,247763,8.65667,8.41549,30
rs,25,62219,8.62697,8.40826,33
rs,26,199792,8.46651,8.40048,109
rs,27,31260,8.54347,8.39676,49
rs,28,124742,8.61969,8.39516,32
rs,29,193738,8.51895,8.39299,57
rs,30,37111,8.53520,8.39167,50
rs,31,312484,8.49803,8.38939,66
rs,32,192458,8.80588,8.38476,17
rs,33,187645,8.58235,8.37267,34
rs,34,256960,8.72500,8.36900,20
rs,35,15985,9.08000,8.36820,10
rs,36,182028,8.48774,8.35409,53
rs,37,169786,8.41802,8.35126,106
rs,38,186751,9.13667,8.35062,9
rs,39,249259,9.12222,8.33930,9
rs,40,317985,9.11111,8.33059,9
rs,41,122515,8.56267,8.32867,30
rs,42,120677,8.47553,8.32630,47
rs,43,216132,8.59385,8.32427,26
rs,44,102794,8.47533,8.31982,45
rs,45,266810,8.54194,8.31646,31
rs,46,110327,8.38400,8.30219,85
rs,47,271320,8.83077,8.29685,13
rs,48,221107,8.72500,8.29195,16
rs,49,73171,9.05556,8.28704,9
rs,50,251247,8.71875,8.28654,16
rs,51,3076,8.37414,8.27574,70
rs,52,175914,8.63737,8.27492,19
rs,53,285192,9.02778,8.26527,9
rs,54,274637,8.48276,8.24763,29
rs,55,210113,9.00000,8.24350,9
rs,56,274364,8.72143,8.23637,14
rs,57,59294,8.48370,8.23254,27
rs,58,309625,8.65625,8.23243,16
rs,59,171623,8.46103,8.22762,29
rs,60,128671,8.48920,8.21926,25
rs,61,335764,9.06250,8.21902,8
rs,62,185343,8.44828,8.21586,29
rs,63,105551,8.72462,8.20771,13
rs,64,205637,8.35333,8.20420,45
rs,65,184267,8.53150,8.19686,20
rs,65,276025,8.53150,8.19686,20
rs,67,253344,8.84000,8.17592,10
rs,68,170216,8.27101,8.17481,69
rs,69,102680,8.50579,8.15854,19
rs,70,255984,8.56875,8.15668,16
rs,71,189932,8.97500,8.15224,8
rs,72,164153,8.36767,8.14857,30
rs,73,126163,8.27059,8.14203,51
rs,74,295947,8.24621,8.13352,58
rs,75,73439,8.34929,8.11731,28
rs,76,181530,8.65833,8.11710,12
rs,77,294484,8.57857,8.11502,14
rs,78,244522,8.24216,8.11491,51
rs,79,172386,8.47333,8.11306,18
rs,80,183394,8.23725,8.11024,51
rs,81,43015,8.39773,8.10399,22
rs,82,265188,8.68182,8.09611,11
rs,83,104162,8.23419,8.08500,43
rs,84,7854,8.72000,8.07978,10
rs,85,22827,8.53571,8.07862,14
rs,86,286749,8.50000,8.07412,15
rs,87,281442,8.86250,8.06638,8
rs,88,125153,8.48933,8.06497,15
rs,89,135219,8.70000,8.06375,10
rs,89,209010,8.70000,8.06375,10
rs,91,26997,8.63636,8.05902,11
rs,91,109276,8.63636,8.05902,11
rs,93,68448,8.12175,8.05635,97
rs,94,310100,8.46667,8.04552,15
rs,95,161970,8.19571,8.04532,42
rs,96,262712,8.34429,8.04368,21
rs,97,296151,8.33045,8.04353,22
rs,98,93,8.32273,8.03659,22
rs,99,198928,8.51538,8.03202,13
rs,100,237182,8.12537,8.03160,67
rs,101,209418,8.81250,8.02822,8
rs,102,291457,8.11214,8.02271,70
rs,103,182874,8.23793,8.02210,29
rs,104,95527,8.58818,8.01971,11
rs,105,164928,8.25111,8.01953,27
rs,106,155821,8.29130,8.01946,23
rs,107,54625,8.50000,8.01910,13
rs,108,96848,8.17897,8.01870,39
rs,109,157354,8.12885,8.00910,52
rs,110,201808,8.19687,8.00278,32
rs,111,31627,8.62000,7.99966,10
rs,112,177736,8.26636,7.98594,22
rs,113,304783,8.54545,7.98485,11
rs,114,204305,8.42500,7.98457,14
rs,115,297562,8.60000,7.98364,10
rs,116,244711,8.39286,7.95727,14
rs,117,9609,8.42308,7.95451,13
rs,118,127023,8.14323,7.94731,31
rs,119,93260,8.37857,7.94514,14
rs,120,310873,8.55000,7.94358,10
rs,121,287954,8.19583,7.94320,24
rs,122,28143,8.04383,7.94280,60
rs,123,325635,8.61111,7.93866,9
rs,124,121921,8.04121,7.93694,58
rs,125,233371,8.34000,7.93683,15
rs,126,18602,8.33533,7.93283,15
rs,127,117915,8.53600,7.93236,10
rs,128,175155,8.21429,7.92742,21
rs,129,217372,8.38462,7.92221,13
rs,129,274638,8.38462,7.92221,13
rs,131,266192,7.96504,7.91851,129
rs,132,72125,8.10867,7.90936,30
rs,133,147020,8.05872,7.90564,39
rs,134,244115,8.50000,7.90352,10
rs,134,300322,8.50000,7.90352,10
rs,136,232405,8.27500,7.90238,16
rs,137,170042,8.01415,7.90169,53
rs,138,712,8.55556,7.89512,9
rs,139,24480,8.35000,7.89315,13
rs,140,2651,8.01574,7.88957,47
rs,141,364073,8.16667,7.88484,21
rs,142,224783,8.37500,7.88232,12
rs,143,822,7.91727,7.87894,154
rs,144,223040,8.27133,7.87792,15
rs,145,37904,8.22353,7.87659,17
rs,146,263918,7.96265,7.87594,68
rs,147,230802,7.92200,7.87485,125
rs,148,308765,8.23750,7.86991,16
rs,149,244521,7.94616,7.86574,73
rs,150,200680,8.14286,7.86354,21
rs,151,245638,8.15500,7.86192,20
rs,152,144733,8.59375,7.86126,8
rs,153,130176,8.51111,7.86028,9
rs,154,245934,8.30769,7.85762,13
rs,155,154203,8.03030,7.85333,33
rs,156,154809,8.50000,7.85157,9
rs,156,216600,8.50000,7.85157,9
rs,156,332772,8.50000,7.85157,9
rs,159,70149,8.38182,7.85134,11
rs,160,12493,8.11227,7.84747,22
rs,161,324856,7.96833,7.84699,48
rs,162,203993,8.23333,7.84531,15
rs,163,184921,8.14737,7.84153,19
rs,164,39463,8.02710,7.83979,31
rs,165,224597,8.56250,7.83741,8
rs,166,82222,8.36364,7.83650,11
rs,167,171,7.97366,7.83248,41
rs,168,108745,8.09500,7.83195,22
rs,169,163602,8.13632,7.83175,19
rs,170,42,8.03571,7.82927,28
rs,171,233398,8.07913,7.82795,23
rs,172,271896,8.26923,7.82533,13
rs,173,271324,8.14444,7.82403,18
rs,174,36932,8.40000,7.82340,10
rs,175,40834,8.16176,7.82269,17
rs,176,161936,7.95476,7.81781,42
rs,177,316377,7.99091,7.81669,33
rs,178,319966,8.33636,7.81425,11
rs,179,285774,8.08714,7.81372,21
rs,180,176189,8.09500,7.80854,20
