rank,bgg_id,avg_rating,bayes_rating,num_ratings
1,187645,8.65315,8.53687,510
2,167791,8.40603,8.36243,1282
3,248562,8.72933,8.35513,149
4,224517,8.40429,8.32655,710
5,115746,8.43984,8.30832,417
6,233078,8.44786,8.30158,374
7,246900,8.38225,8.20719,302
8,174430,8.24768,8.16271,612
9,316554,8.24646,8.15061,540
10,175155,8.36199,8.14327,236
11,264220,8.26785,8.13901,400
12,336847,8.40238,8.13188,190
13,182028,8.21034,8.12476,599
14,173346,8.12815,8.08589,1195
15,12333,8.16784,8.08021,575
16,84876,8.17001,8.07878,552
17,308119,8.51626,8.07841,115
18,342942,8.26142,8.06498,255
19,271320,8.55683,8.05741,100
20,167355,8.13153,8.05028,613
21,220308,8.18581,8.04688,358
22,155821,8.12003,8.04539,666
23,299659,8.35459,8.02184,148
24,291457,8.18752,8.00435,267
25,339789,8.30594,8.00072,160
26,251247,8.12639,7.99573,373
27,28143,8.06905,7.98034,546
28,193738,8.08286,7.97657,455
29,189932,8.11853,7.97139,328
30,249259,8.10228,7.96908,362
31,28720,8.11940,7.96178,305
32,284378,8.25481,7.95178,158
33,162886,8.02358,7.94441,603
34,255668,8.62710,7.93730,69
35,321608,8.47084,7.90499,83
36,363622,9.11632,7.88873,38
37,341169,8.15820,7.87991,167
38,364011,8.50606,7.87162,73
39,169786,7.91280,7.86734,1017
40,124742,8.12672,7.86167,174
41,205637,7.92495,7.86057,716
42,161533,8.14575,7.85796,160
43,312484,7.94248,7.85206,508
44,161936,7.94814,7.84296,435
45,237182,7.89520,7.83677,781
46,177736,7.98965,7.83605,297
47,157354,7.92945,7.83579,487
48,316377,8.08400,7.83110,180
49,325635,8.15765,7.82395,136
50,205059,7.88598,7.81358,624
51,256960,7.97072,7.81176,284
52,37111,7.95293,7.81059,317
53,199792,7.87089,7.79086,559
54,96848,7.94353,7.79084,293
55,68448,7.83536,7.78351,860
56,146021,7.83654,7.78245,824
57,263895,8.29023,7.77874,87
58,182874,7.88823,7.77407,389
59,294484,7.90018,7.76722,333
60,295947,7.87908,7.76012,371
61,216132,7.87189,7.74654,350
62,184267,7.91224,7.73746,250
63,335764,8.28063,7.73504,80
64,363247,8.27400,7.72972,80
65,225694,7.83772,7.72652,391
66,285967,7.98452,7.72580,168
67,164928,7.80212,7.70914,464
68,120677,7.81861,7.70858,392
69,286749,8.02040,7.69558,132
70,255984,7.95942,7.68423,155
71,31260,7.77345,7.68385,476
72,310873,8.13895,7.68098,93
73,269385,7.81223,7.67520,310
74,183394,7.72730,7.66521,681
75,221107,7.93462,7.66375,156
76,257499,7.81648,7.65407,259
77,161970,7.78477,7.63921,287
78,230802,7.67534,7.62300,792
79,170216,7.67877,7.61855,687
80,22827,7.86667,7.61207,162
81,266192,7.66265,7.61080,795
82,14996,7.64630,7.60655,1035
83,125153,7.94003,7.60335,122
84,295564,8.65641,7.60325,39
85,12493,7.90735,7.60312,135
86,247763,7.73151,7.59682,304
87,364073,8.05596,7.59604,89
88,72125,7.76005,7.59507,248
89,331106,7.95354,7.59200,113
90,274638,7.80445,7.59069,191
91,122515,7.72176,7.58848,306
92,15363,7.83293,7.58469,164
93,160094,7.87136,7.58107,140
94,31627,7.74290,7.58099,251
95,200680,7.70707,7.57667,311
96,163839,7.84391,7.57549,151
97,237179,8.16706,7.57201,68
98,274637,7.67399,7.56904,385
99,223321,7.75446,7.56011,207
100,3076,7.67616,7.55990,346
101,103343,7.62123,7.55349,592
102,354544,8.16462,7.54902,65
103,126163,7.62520,7.52812,408
104,822,7.55845,7.52683,1252
105,274364,7.70667,7.52525,218
106,322708,7.99071,7.52089,84
107,281259,7.62552,7.52004,374
108,59294,7.83984,7.51925,123
109,246684,7.82951,7.51905,127
110,239188,7.61823,7.51722,390
111,324856,7.78283,7.51187,145
112,91,8.20070,7.51154,57
113,139976,7.78589,7.50781,141
114,2511,7.65365,7.50635,266
115,102794,7.69149,7.50340,208
116,209010,7.89000,7.49952,100
117,287954,7.64187,7.49937,274
118,284778,8.36556,7.49834,45
119,164153,7.74551,7.49569,156
120,230253,7.69055,7.49569,200
121,332686,8.49487,7.49561,39
122,163412,7.53125,7.49042,952
123,110327,7.61555,7.48825,305
124,205896,7.63938,7.48322,248
125,175914,7.69464,7.48303,183
126,253344,7.70408,7.48281,175
127,276025,7.65146,7.48034,226
128,286751,7.84771,7.47955,105
129,77423,7.82613,7.47811,111
130,284777,8.24280,7.47243,50
131,73439,7.63560,7.47110,234
132,163068,8.04552,7.47103,67
133,185343,7.61606,7.47031,264
134,371942,7.96218,7.46917,78
135,313010,7.80113,7.46709,115
136,54998,7.55474,7.45886,399
137,182631,7.71313,7.45820,150
138,323612,7.79608,7.45774,113
139,68264,7.85417,7.45623,96
140,147020,7.50014,7.45322,813
141,317985,7.65569,7.45284,188
142,233867,7.54569,7.45114,403
143,124361,7.54690,7.44784,384
144,279537,7.67836,7.44783,165
145,244521,7.52623,7.44654,477
146,178900,7.48395,7.43632,794
147,266810,7.62558,7.43299,196
148,127023,7.57548,7.43202,263
149,297562,7.89691,7.43130,81
150,158600,7.54389,7.43067,333
151,191189,7.59223,7.42446,224
152,362944,7.86647,7.42436,85
153,300531,7.62027,7.41978,187
154,262712,7.50015,7.41887,461
155,216123,7.61628,7.41714,188
156,77130,7.53915,7.41255,295
157,172287,7.54491,7.41247,282
158,271896,7.56321,7.41032,244
159,199561,7.48209,7.40927,512
160,217372,7.53356,7.40730,295
161,121921,7.47644,7.40646,532
162,283948,7.66290,7.40618,145
163,229853,7.55545,7.40197,242
164,91312,7.55966,7.40038,233
165,204583,7.48150,7.39692,438
166,126100,7.55439,7.39615,234
167,82222,7.70678,7.39343,118
168,227935,7.90639,7.39296,72
169,128671,7.54785,7.38295,223
170,409572,8.46324,7.38218,34
171,340466,7.54856,7.37798,215
172,188,7.68000,7.37489,120
173,263918,7.44349,7.37404,527
174,291572,7.83125,7.37384,80
175,171623,7.47656,7.36979,342
176,170771,7.69204,7.36903,113
177,258779,7.64808,7.36754,130
178,329954,8.10918,7.36565,49
179,201808,7.43898,7.36257,476
180,329841,8.27100,7.36197,40
181,135219,7.93889,7.36178,63
182,239942,7.61306,7.36072,144
183,108687,7.84865,7.35826,74
184,55690,7.88382,7.35197,68
185,40834,7.54324,7.35098,188
186,10630,7.50836,7.34462,220
187,96007,7.89733,7.34348,65
188,36218,7.40759,7.34149,544
189,296063,7.62968,7.33991,124
190,184921,7.50736,7.33732,211
191,244522,7.49607,7.33731,226
192,108745,7.43641,7.33729,362
193,230914,8.20951,7.33534,41
194,205398,7.44061,7.33521,340
195,136888,7.48085,7.33517,246
196,34635,7.41186,7.33062,440
197,293835,7.69381,7.32616,97
198,333255,7.78896,7.32589,77
199,25021,7.85776,7.32564,67
200,43111,7.60195,7.32372,128
201,367220,7.47391,7.32126,233
202,146439,7.60918,7.31815,122
203,233398,7.64537,7.31685,108
204,308765,7.54312,7.31319,154
205,83330,7.66707,7.31003,99
206,236457,7.40553,7.30722,359
207,268864,7.43343,7.30610,277
208,203993,7.54388,7.30420,147
209,346965,7.75359,7.30235,78
210,132531,7.40559,7.30003,333
211,171131,7.54821,7.29749,140
212,45315,7.57331,7.29699,127
213,284083,7.41933,7.29420,280
214,305096,7.55752,7.29409,133
215,332772,7.76845,7.28968,73
216,165722,7.63196,7.28938,102
217,271324,7.45620,7.28605,205
218,35677,7.40450,7.28033,280
219,172386,7.68741,7.27875,85
220,296151,7.46069,7.27707,189
221,175640,7.89643,7.27682,56
222,318084,7.42084,7.27574,239
223,328871,7.41228,7.27525,253
224,40692,7.32024,7.27487,764
225,204305,7.66598,7.27262,88
226,194655,7.41081,7.27133,248
227,260605,7.47116,7.27122,173
228,129622,7.33695,7.27071,522
229,285774,7.78657,7.27052,67
230,311193,7.60355,7.26829,103
231,2651,7.34780,7.26717,428
232,304420,7.65977,7.26385,87
233,276182,8.37258,7.26238,31
234,323784,7.60510,7.26117,100
235,293014,7.41766,7.26066,219
236,9209,7.34972,7.26043,385
237,277700,7.63791,7.26018,91
238,126042,7.64111,7.25936,90
239,283355,7.72162,7.25775,74
240,307305,7.45692,7.25739,172
241,128882,7.47335,7.25628,158
242,144797,7.62021,7.25551,94
243,336794,7.48497,7.25219,147
244,284435,7.39750,7.25076,233
245,310100,7.96042,7.24889,48
246,256226,7.43983,7.24805,178
247,181530,7.35382,7.24429,311
248,36932,7.51210,7.23833,124
249,292375,7.65519,7.23652,81
250,188920,7.35314,7.23508,287
251,25613,7.54887,7.23013,106
252,150376,7.30418,7.22510,426
253,102680,7.54903,7.22246,103
254,521,7.55765,7.21576,98
255,227224,7.47651,7.21488,128
256,281549,7.41364,7.21436,168
257,131111,8.09474,7.21394,38
258,224037,7.31241,7.21369,339
259,39463,7.32982,7.21210,284
