country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
se,1,224517,Brass: Birmingham,2018,8.49921,8.35042,666
se,2,174430,Gloomhaven,2017,8.44467,8.34622,1005
se,3,161936,Pandemic Legacy: Season 1,2015,8.42396,8.29797,772
se,4,115746,War of the Ring: Second Edition,2011,8.47662,8.20907,352
se,5,167791,Terraforming Mars,2016,8.20497,8.14892,1643
se,6,233078,Twilight Imperium: Fourth Edition,2017,8.38128,8.14547,390
se,7,316554,Dune: Imperium,2020,8.24245,8.06516,503
se,8,342942,Ark Nova,2021,8.22480,8.05648,528
se,9,295770,Frosthaven,2022,8.93780,8.05097,100
se,10,162886,Spirit Island,2017,8.17907,8.03980,634
se,11,12333,Twilight Struggle,2005,8.13076,8.03723,943
se,12,291457,Gloomhaven: Jaws of the Lion,2020,8.19188,7.98834,425
se,13,220308,Gaia Project,2017,8.20285,7.98319,393
se,14,182028,Through the Ages: A New Story of Civilization,2015,8.13730,7.98315,560
se,15,187645,Star Wars: Rebellion,2016,8.10829,7.94185,510
se,16,28720,Brass: Lancashire,2007,8.12399,7.92515,424
se,17,246900,Eclipse: Second Dawn for the Galaxy,2020,8.28788,7.91042,222
se,18,286749,Hansa Teutonica: Big Box,2020,8.56712,7.86914,118
se,19,193738,Great Western Trail,2016,7.98925,7.86523,663
se,20,205637,Arkham Horror: The Card Game,2016,7.99725,7.86260,610
se,21,124361,Concordia,2013,7.95880,7.82944,626
se,22,324856,The Crew: Mission Deep Sea,2021,8.21966,7.82367,204
se,23,271320,The Castles of Burgundy,2019,8.20284,7.80765,203
se,24,55690,Kingdom Death: Monster,2015,8.39248,7.79310,133
se,25,314040,Pandemic Legacy: Season 0,2020,8.40195,7.78214,128
se,26,221107,Pandemic Legacy: Season 2,2017,8.06987,7.77184,265
se,27,177736,A Feast for Odin,2016,7.93920,7.74811,409
se,28,120677,Terra Mystica,2012,7.84146,7.74168,781
se,29,169786,Scythe,2016,7.79865,7.73576,1236
se,30,255984,Sleeping Gods,2021,8.25714,7.72981,147
se,31,237182,Root,2018,7.82843,7.71142,657
se,32,266192,Wingspan,2019,7.77011,7.70310,1143
