country_code,rank,bgg_id,avg_rating,bayes_rating,num_ratings
sg,1,174430,8.60183,8.42514,109
sg,2,161936,8.58960,8.40052,101
sg,3,224517,8.55708,8.38876,113
sg,4,220308,8.54000,8.21498,55
sg,5,182028,8.50089,8.18518,56
sg,6,342942,8.38494,8.17290,83
sg,7,115746,8.62571,8.13080,35
sg,8,162886,8.25727,8.12237,128
sg,9,124361,8.27959,8.10460,98
sg,10,12333,8.22054,8.06948,112
sg,11,205637,8.18958,8.01695,96
sg,12,316554,8.18333,8.01111,96
sg,13,233078,8.34286,8.00610,49
sg,14,291457,8.18800,7.97106,75
sg,15,96848,8.17438,7.97100,80
sg,16,266507,8.43125,7.93104,32
sg,17,256916,8.52222,7.92971,27
sg,18,237182,8.04991,7.92231,125
sg,19,173346,7.99560,7.90148,168
sg,20,124742,8.05789,7.85396,76
sg,21,28720,8.06370,7.85159,73
sg,22,167791,7.89401,7.80320,167
sg,23,25021,8.32586,7.80298,29
sg,24,221107,8.38462,7.80172,26
sg,25,84876,7.88704,7.79381,162
sg,26,121921,7.94739,7.77702,88
sg,27,285774,8.02414,7.76680,58
sg,28,200680,8.08696,7.76303,46
sg,29,366013,8.31481,7.76296,27
sg,30,164928,7.96644,7.76238,73
sg,31,35677,7.94250,7.75676,80
sg,32,93,7.94667,7.74921,75
sg,33,175914,8.04479,7.73782,48
sg,34,28143,7.83311,7.73373,148
sg,35,283355,8.27407,7.73021,27
sg,36,284083,7.86762,7.72791,105
sg,37,31260,7.80899,7.72662,178
sg,38,292375,8.40952,7.71503,21
sg,39,122515,7.89220,7.71439,82
sg,40,120677,7.85394,7.71379,104
sg,41,256960,7.97358,7.70024,53
sg,42,199792,7.82391,7.69806,115
sg,43,170216,7.83192,7.69792,108
sg,44,312484,7.83524,7.69744,105
sg,45,205059,7.89859,7.69503,71
sg,46,161533,8.04634,7.69400,41
sg,47,25613,7.96373,7.68202,51
sg,48,169786,7.76470,7.67728,164
sg,49,126163,7.82223,7.67022,94
sg,50,266192,7.74730,7.67006,185
sg,51,177736,7.88923,7.66947,65
sg,52,193738,7.87464,7.66778,69
sg,53,189932,8.30000,7.65503,22
sg,54,108687,8.36000,7.65165,20
sg,55,43111,7.92365,7.65126,52
sg,56,42,7.80222,7.64528,90
sg,57,230802,7.72389,7.64499,179
sg,58,2181,8.14636,7.64253,28
sg,59,298047,7.92857,7.64089,49
sg,60,251247,8.03714,7.63542,35
sg,61,92828,7.87672,7.63442,58
sg,62,9609,7.92224,7.61307,45
sg,63,233398,7.91522,7.61280,46
sg,64,284378,8.03030,7.60942,33
sg,65,178900,7.67701,7.60796,201
sg,66,187645,7.88400,7.60659,50
sg,67,286749,8.30000,7.60651,20
sg,68,3076,7.66953,7.59796,193
sg,69,102794,7.76190,7.59749,84
sg,70,183394,7.71224,7.59342,116
sg,71,2651,7.66634,7.59070,182
sg,72,205896,7.77536,7.57715,69
sg,73,125153,7.81667,7.57677,57
sg,74,295947,7.74785,7.57491,79
sg,75,188,7.85042,7.56689,48
sg,76,150376,7.67198,7.55532,116
sg,77,55690,8.07308,7.55314,26
sg,78,43015,7.76016,7.54932,64
sg,79,144344,7.94091,7.53490,33
sg,80,274364,7.94688,7.52932,32
sg,81,244521,7.68218,7.52865,87
sg,82,277085,8.00000,7.52404,28
sg,83,291453,7.79592,7.52395,49
sg,84,209010,7.98571,7.51247,28
sg,85,198928,8.01923,7.51017,26
sg,86,184267,7.87778,7.51013,36
sg,87,276025,7.89706,7.50817,34
sg,88,46213,7.85263,7.50519,38
sg,89,158600,7.70703,7.50115,64
sg,90,463,7.66750,7.49469,76
sg,91,103885,7.80714,7.49447,42
sg,92,254640,7.75600,7.49349,50
sg,93,147020,7.64647,7.49215,85
sg,94,72125,7.78977,7.49172,44
sg,95,118,7.59959,7.49123,121
sg,96,146021,7.62796,7.48726,93
sg,97,73439,7.66528,7.48386,72
sg,98,317985,7.81000,7.48350,40
sg,99,62219,7.68076,7.48294,66
sg,100,68448,7.53292,7.48075,250
sg,101,241451,8.13000,7.47861,20
sg,102,310873,7.94286,7.47778,28
sg,103,194655,7.56507,7.47596,146
sg,104,37111,7.59612,7.47017,103
sg,105,12493,7.78463,7.46851,41
sg,106,148949,7.59901,7.45738,91
sg,107,40834,7.60952,7.45619,84
sg,108,163412,7.54453,7.45077,137
sg,109,127023,7.65820,7.44794,61
sg,110,104162,7.71915,7.44647,47
sg,111,271055,7.82059,7.44410,34
sg,112,253344,7.79444,7.43968,36
sg,113,171623,7.64032,7.43485,62
sg,114,175155,7.88571,7.43151,28
sg,115,90137,7.74500,7.42769,40
sg,116,555,7.63115,7.42352,61
sg,117,77423,7.64643,7.42061,56
sg,118,268864,7.88889,7.42054,27
sg,119,36218,7.48583,7.41794,186
sg,120,260605,7.68913,7.41502,46
sg,121,324856,7.67143,7.41421,49
sg,122,157354,7.50711,7.41377,135
sg,123,14996,7.49277,7.41353,159
sg,124,225694,7.65288,7.41092,52
sg,125,196340,7.65745,7.39235,47
sg,126,14105,7.88800,7.39018,25
sg,127,266810,7.61545,7.38928,55
sg,128,128882,7.47868,7.38730,136
sg,129,2655,7.53827,7.38504,81
sg,130,201808,7.54231,7.38333,78
sg,131,39463,7.51889,7.38126,90
sg,132,54043,7.47874,7.38121,127
sg,133,176494,7.59737,7.38018,57
sg,134,185343,7.77419,7.37578,31
sg,135,232414,7.78333,7.37239,30
sg,136,269385,7.98500,7.36952,20
sg,137,262712,7.56803,7.36656,61
sg,138,279537,7.76129,7.36514,31
sg,139,18602,7.51017,7.36405,84
sg,140,2093,7.59126,7.36398,54
sg,141,203993,7.68421,7.36164,38
sg,142,93260,7.81481,7.36099,27
sg,143,25417,7.76667,7.35872,30
