country_code,rank,bgg_id,name,year,avg_rating,bayes_rating,num_ratings
si,1,312682,Silver Coin: Age of Monster Hunters,2023,10.00000,9.07064,5
si,2,248562,Mage Knight: Ultimate Edition,2018,9.75000,8.99248,6
si,3,160069,Ticket to Ride: 10th Anniversary,2014,9.80000,8.91194,5
si,3,295770,Frosthaven,2022,9.80000,8.91194,5
si,5,233078,Twilight Imperium: Fourth Edition,2017,9.17333,8.88008,15
si,6,96848,Mage Knight Board Game,2011,9.03846,8.86979,26
si,7,316554,Dune: Imperium,2020,9.01897,8.86783,29
si,8,174430,Gloomhaven,2017,8.91860,8.81818,43
si,9,193738,Great Western Trail,2016,9.00217,8.81462,23
si,10,172386,Mombasa,2015,9.64000,8.78498,5
si,11,115746,War of the Ring: Second Edition,2011,9.01389,8.77696,18
si,12,256960,Pax Pamir: Second Edition,2019,9.60000,8.75325,5
si,12,350316,Wayfarers of the South Tigris,2022,9.60000,8.75325,5
si,14,167791,Terraforming Mars,2016,8.82143,8.74599,56
si,15,246900,Eclipse: Second Dawn for the Galaxy,2020,9.15000,8.72969,10
si,16,175914,Food Chain Magnate,2015,9.41667,8.71856,6
si,17,266810,Paladins of the West Kingdom,2019,9.03846,8.71647,13
si,18,184267,On Mars,2020,9.75000,8.70670,4
si,19,182028,Through the Ages: A New Story of Civilization,2015,8.90476,8.70608,21
si,20,215,Tichu,1991,9.04167,8.69515,12
si,21,173346,7 Wonders Duel,2015,8.71959,8.66320,73
si,22,125153,The Gallerist,2015,9.33333,8.65008,6
si,22,332772,Revive,2022,9.33333,8.65008,6
si,24,220308,Gaia Project,2017,8.98333,8.64253,12
si,25,164153,Star Wars: Imperial Assault,2014,8.92308,8.61158,13
si,26,218417,Aeon's End: War Eternal,2017,9.40000,8.59455,5
si,26,317985,Beyond the Sun,2020,9.40000,8.59455,5
si,28,291457,Gloomhaven: Jaws of the Lion,2020,8.74231,8.58775,26
si,29,169786,Scythe,2016,8.66400,8.58374,50
si,30,146439,BattleLore: Second Edition,2013,9.25000,8.58160,6
si,31,162886,Spirit Island,2017,8.72222,8.57405,27
si,32,175155,Forbidden Stars,2015,9.14286,8.57177,7
si,33,221107,Pandemic Legacy: Season 2,2017,9.05000,8.55330,8
si,34,342942,Ark Nova,2021,8.68462,8.53281,26
si,35,209418,Dominion (Second Edition),2016,9.30000,8.51520,5
si,36,187645,Star Wars: Rebellion,2016,8.71667,8.49978,18
si,37,171623,The Voyages of Marco Polo,2015,8.71765,8.48884,17
si,38,4098,Age of Steam,2002,8.88889,8.46076,9
si,39,276025,Maracaibo,2019,8.93750,8.45654,8
si,40,237182,Root,2018,8.65789,8.45546,19
